"Date Time, GMT+10:00","Temp, °C (LGR S/N: 9826669, SEN S/N: 9826669, LBL: temperature)","Intensity, lum/ft² (LGR S/N: 9826669, SEN S/N: 9826669, LBL: light intensity)"
12/12/18 10:25,32.394,0
12/12/18 10:30,31.268,0
12/12/18 10:35,32.394,576
12/12/18 10:40,34.903,576
12/12/18 10:45,36.62,576
12/12/18 10:50,38.268,448
12/12/18 10:55,39.843,432
12/12/18 11:00,40.53,128
12/12/18 11:05,41.458,432
12/12/18 11:10,41.928,416
12/12/18 11:15,41.928,384
12/12/18 11:20,41.575,352
12/12/18 11:25,31.983,960
12/12/18 11:30,30.255,0
12/12/18 11:35,29.652,0
12/12/18 11:40,29.652,0
12/12/18 11:45,29.752,0
12/12/18 11:50,29.953,0
12/12/18 11:55,30.255,0
12/12/18 12:00,30.558,0
12/12/18 12:05,30.862,0
12/12/18 12:10,31.37,0
12/12/18 12:15,31.676,0
12/12/18 12:20,32.086,0
12/12/18 12:25,32.291,0
12/12/18 12:30,32.6,0
12/12/18 12:35,32.807,0
12/12/18 12:40,33.014,0
12/12/18 12:45,33.222,0
12/12/18 12:50,33.326,0
12/12/18 12:55,33.535,0
12/12/18 13:00,33.639,0
12/12/18 13:05,33.743,0
12/12/18 13:10,33.848,0
12/12/18 13:15,33.953,0
12/12/18 13:20,34.058,0
12/12/18 13:25,34.163,0
12/12/18 13:30,34.268,0
12/12/18 13:35,34.268,0
12/12/18 13:40,34.374,0
12/12/18 13:45,34.585,10
12/12/18 13:50,34.058,0
12/12/18 13:55,33.43,0
12/12/18 14:00,32.807,0
12/12/18 14:05,32.291,0
12/12/18 14:10,31.778,0
12/12/18 14:15,31.268,0
12/12/18 14:20,30.862,0
12/12/18 14:25,30.457,0
12/12/18 14:30,30.154,0
12/12/18 14:35,29.752,0
12/12/18 14:40,29.352,0
12/12/18 14:45,28.953,0
12/12/18 14:50,28.555,0
12/12/18 14:55,28.159,0
12/12/18 15:00,27.764,0
12/12/18 15:05,27.272,0
12/12/18 15:10,26.879,0
12/12/18 15:15,26.488,0
12/12/18 15:20,26.097,0
12/12/18 15:25,25.708,0
12/12/18 15:30,25.416,0
12/12/18 15:35,24.931,0
12/12/18 15:40,24.641,0
12/12/18 15:45,24.255,0
12/12/18 15:50,24.158,192
12/12/18 15:55,24.158,184
12/12/18 16:00,24.351,168
12/12/18 16:05,24.545,160
12/12/18 16:10,24.641,136
12/12/18 16:15,24.931,160
12/12/18 16:20,25.125,152
12/12/18 16:25,25.513,144
12/12/18 16:30,25.708,136
12/12/18 16:35,25.902,128
12/12/18 16:40,26.292,106
12/12/18 16:45,26.781,117
12/12/18 16:50,27.272,107
12/12/18 16:55,27.567,104
12/12/18 17:00,27.862,96
12/12/18 17:05,28.06,92
12/12/18 17:10,28.258,88
12/12/18 17:15,28.456,83
12/12/18 17:20,28.555,61
12/12/18 17:25,28.655,61
12/12/18 17:30,28.655,0
12/12/18 17:35,28.555,0
12/12/18 17:40,28.555,3
12/12/18 17:45,28.456,1
12/12/18 17:50,28.357,32
12/12/18 17:55,28.456,26
12/12/18 18:00,28.555,22
12/12/18 18:05,28.555,19
12/12/18 18:10,28.655,14
12/12/18 18:15,28.655,11
12/12/18 18:20,28.655,10
12/12/18 18:25,28.655,7
12/12/18 18:30,28.754,4
12/12/18 18:35,28.655,2
12/12/18 18:40,28.655,0
12/12/18 18:45,28.655,0
12/12/18 18:50,28.655,0
12/12/18 18:55,28.655,0
12/12/18 19:00,28.655,0
12/12/18 19:05,28.655,0
12/12/18 19:10,28.655,0
12/12/18 19:15,28.655,0
12/12/18 19:20,28.655,0
12/12/18 19:25,28.655,0
12/12/18 19:30,28.655,0
12/12/18 19:35,28.655,0
12/12/18 19:40,28.655,0
12/12/18 19:45,28.655,0
12/12/18 19:50,28.655,0
12/12/18 19:55,28.655,0
12/12/18 20:00,28.655,0
12/12/18 20:05,28.655,0
12/12/18 20:10,28.655,0
12/12/18 20:15,28.655,0
12/12/18 20:20,28.655,0
12/12/18 20:25,28.655,0
12/12/18 20:30,28.655,0
12/12/18 20:35,28.655,0
