name	term	lev	seq	value
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora26617	0.21084421755959792
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora14482	-0.026848518912398724
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora16731	0.2934936709619296
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora16744	-0.09857408170030471
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora00541	-0.33074769371146023
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora00570	-0.20126666682636235
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora01137	-0.20554381658795323
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora01154	-0.2270722256273012
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora01482	-0.03722382233767213
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora03115	-0.061185933729206506
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora04723	0.08377801639751122
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora04990	-0.23801331473940432
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora05001	0.04970506981708417
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora09157	-0.0652874740194662
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora20068	-0.09825152909091056
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora20343	0.5068896794019613
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora12721	-0.47728329492480764
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora20519	-0.1725710576662466
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora27765	-0.2940848551393022
"mitochondrial small ribosomal subunit"	GO:0000314;GO:0005763	5	Amillepora28421	0.32107347609481146
"chromocenter"	GO:0010369	2	Amillepora25594	-0.12071703895296482
"chromocenter"	GO:0010369	2	Amillepora00711	-1.2155867313031763
"chromocenter"	GO:0010369	2	Amillepora00805	1.0277019137960122
"chromocenter"	GO:0010369	2	Amillepora00825	0.7392775129286256
"chromocenter"	GO:0010369	2	Amillepora04410	-0.0864635551463565
"chromocenter"	GO:0010369	2	Amillepora10392	-0.14155001942690024
"chromocenter"	GO:0010369	2	Amillepora10805	0.14228144470513626
"chromocenter"	GO:0010369	2	Amillepora06442	-0.009297722868377064
"chromocenter"	GO:0010369	2	Amillepora06447	0.003675682405944001
"chromocenter"	GO:0010369	2	Amillepora19755	-0.27443593665072025
"chromocenter"	GO:0010369	2	Amillepora21657	-0.3284434709301306
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora04740	-0.11694865136273627
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora23347	-0.04704945965613002
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora09119	-0.24049097802096514
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora06668	0.0313558952320538
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora19672	0.36997768948437637
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora12545	0.2976137709613042
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora21498	0.5148774953564219
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora21497	1.4756980104648643
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora21500	0.04553415304832766
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora21506	0.2455791320496375
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora21517	0.012021534010648866
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora21523	0.7394174842264986
"neurotransmitter receptor complex"	GO:0008328;GO:0098878	4	Amillepora29628	0.819643520903486
"extracellular matrix component"	GO:0044420	2	Amillepora17930	0.06828500844838258
"extracellular matrix component"	GO:0044420	2	Amillepora18558	-0.47429918392055087
"extracellular matrix component"	GO:0044420	2	Amillepora18572	-0.1594226843245752
"extracellular matrix component"	GO:0044420	2	Amillepora18581	-0.21541354914690208
"extracellular matrix component"	GO:0044420	2	Amillepora18576	-0.3202173270295515
"extracellular matrix component"	GO:0044420	2	Amillepora26719	-0.316538716183301
"extracellular matrix component"	GO:0044420	2	Amillepora12916	0.2494361316504879
"extracellular matrix component"	GO:0044420	2	Amillepora13071	0.5841668321088022
"extracellular matrix component"	GO:0044420	2	Amillepora14245	-0.2815038778140208
"extracellular matrix component"	GO:0044420	2	Amillepora14255	-0.11132107219584719
"extracellular matrix component"	GO:0044420	2	Amillepora14735	-0.25303609746106515
"extracellular matrix component"	GO:0044420	2	Amillepora14805	-0.4360628689983555
"extracellular matrix component"	GO:0044420	2	Amillepora15075	1.2026386944595426
"extracellular matrix component"	GO:0044420	2	Amillepora15094	-0.15155776681229793
"extracellular matrix component"	GO:0044420	2	Amillepora15105	-0.18160599218105944
"extracellular matrix component"	GO:0044420	2	Amillepora15297	0.40789493525019993
"extracellular matrix component"	GO:0044420	2	Amillepora15464	-0.18906380033878298
"extracellular matrix component"	GO:0044420	2	Amillepora15502	0.0713616489760473
"extracellular matrix component"	GO:0044420	2	Amillepora16040	-0.2287507218436816
"extracellular matrix component"	GO:0044420	2	Amillepora16213	0.2444467481124904
"extracellular matrix component"	GO:0044420	2	Amillepora16220	-0.4381019910468956
"extracellular matrix component"	GO:0044420	2	Amillepora24976	0.15045702935158556
"extracellular matrix component"	GO:0044420	2	Amillepora00499	-0.4613943217188179
"extracellular matrix component"	GO:0044420	2	Amillepora00731	-0.03021026936992271
"extracellular matrix component"	GO:0044420	2	Amillepora00926	-0.2639363626506709
"extracellular matrix component"	GO:0044420	2	Amillepora01026	0.2234833570159365
"extracellular matrix component"	GO:0044420	2	Amillepora01027	0.33119076021444904
"extracellular matrix component"	GO:0044420	2	Amillepora01708	-0.1967673962809209
"extracellular matrix component"	GO:0044420	2	Amillepora02937	0.14950311158758983
"extracellular matrix component"	GO:0044420	2	Amillepora02941	-0.03946968958333466
"extracellular matrix component"	GO:0044420	2	Amillepora03221	-0.09486883109487686
"extracellular matrix component"	GO:0044420	2	Amillepora03235	-0.8531721647518913
"extracellular matrix component"	GO:0044420	2	Amillepora03234	-0.7434563448689718
"extracellular matrix component"	GO:0044420	2	Amillepora03233	-0.5364395773780981
"extracellular matrix component"	GO:0044420	2	Amillepora03553	0.21489538897823915
"extracellular matrix component"	GO:0044420	2	Amillepora03867	0.1970771402232482
"extracellular matrix component"	GO:0044420	2	Amillepora04344	-0.39611522756786577
"extracellular matrix component"	GO:0044420	2	Amillepora04740	-0.11694865136273627
"extracellular matrix component"	GO:0044420	2	Amillepora04820	0.22560567684905344
"extracellular matrix component"	GO:0044420	2	Amillepora04817	0.37018263370150745
"extracellular matrix component"	GO:0044420	2	Amillepora06028	-1.0264873507186891
"extracellular matrix component"	GO:0044420	2	Amillepora21944	0.1294522823483639
"extracellular matrix component"	GO:0044420	2	Amillepora22071	-0.5138795239300911
"extracellular matrix component"	GO:0044420	2	Amillepora22102	0.8137659878968673
"extracellular matrix component"	GO:0044420	2	Amillepora22520	-0.07885897408901799
"extracellular matrix component"	GO:0044420	2	Amillepora22522	-0.7218536480361656
"extracellular matrix component"	GO:0044420	2	Amillepora22521	-0.23979437748422736
"extracellular matrix component"	GO:0044420	2	Amillepora22524	-0.25040379065664786
"extracellular matrix component"	GO:0044420	2	Amillepora22523	-1.1114874748549053
"extracellular matrix component"	GO:0044420	2	Amillepora23442	-0.16496429185549738
"extracellular matrix component"	GO:0044420	2	Amillepora08650	-0.030994662435210818
"extracellular matrix component"	GO:0044420	2	Amillepora09499	0.15300355045636102
"extracellular matrix component"	GO:0044420	2	Amillepora10034	0.3011204816484451
"extracellular matrix component"	GO:0044420	2	Amillepora10408	-0.8238710702209675
"extracellular matrix component"	GO:0044420	2	Amillepora10760	-0.1027077095421717
"extracellular matrix component"	GO:0044420	2	Amillepora10759	0.03590152217199991
"extracellular matrix component"	GO:0044420	2	Amillepora06364	0.1595178217185768
"extracellular matrix component"	GO:0044420	2	Amillepora06652	-0.15005826060682376
"extracellular matrix component"	GO:0044420	2	Amillepora06653	-0.09435727626079929
"extracellular matrix component"	GO:0044420	2	Amillepora06661	-0.0896135844957055
"extracellular matrix component"	GO:0044420	2	Amillepora06658	-0.07235874194460055
"extracellular matrix component"	GO:0044420	2	Amillepora07314	-0.14955281860279038
"extracellular matrix component"	GO:0044420	2	Amillepora18685	-0.35255209397382603
"extracellular matrix component"	GO:0044420	2	Amillepora19209	0.3798555739208602
"extracellular matrix component"	GO:0044420	2	Amillepora19213	1.1423569600601469
"extracellular matrix component"	GO:0044420	2	Amillepora20226	-0.11606173577412124
"extracellular matrix component"	GO:0044420	2	Amillepora20260	-0.10674282511917241
"extracellular matrix component"	GO:0044420	2	Amillepora10922	-1.0024914430219631
"extracellular matrix component"	GO:0044420	2	Amillepora11384	0.02147004217173384
"extracellular matrix component"	GO:0044420	2	Amillepora11671	-0.15226513066195188
"extracellular matrix component"	GO:0044420	2	Amillepora12489	-0.0726147649531186
"extracellular matrix component"	GO:0044420	2	Amillepora12518	-0.04581997343131716
"extracellular matrix component"	GO:0044420	2	Amillepora12521	0.022629690833139857
"extracellular matrix component"	GO:0044420	2	Amillepora12536	0.6501359753668897
"extracellular matrix component"	GO:0044420	2	Amillepora12733	0.01680452089362217
"extracellular matrix component"	GO:0044420	2	Amillepora23554	-0.16421010890565346
"extracellular matrix component"	GO:0044420	2	Amillepora23568	-0.07494370374453921
"extracellular matrix component"	GO:0044420	2	Amillepora23619	-0.010531035758247294
"extracellular matrix component"	GO:0044420	2	Amillepora23638	-0.09954618966252576
"extracellular matrix component"	GO:0044420	2	Amillepora23645	0.15183714555940625
"extracellular matrix component"	GO:0044420	2	Amillepora23717	-0.4481954869979352
"extracellular matrix component"	GO:0044420	2	Amillepora23722	-0.07316799715516702
"extracellular matrix component"	GO:0044420	2	Amillepora23738	-0.01442214748977401
"extracellular matrix component"	GO:0044420	2	Amillepora24036	0.3274576019070012
"extracellular matrix component"	GO:0044420	2	Amillepora24331	-0.8074399831446659
"extracellular matrix component"	GO:0044420	2	Amillepora24446	-0.06366108320474331
"extracellular matrix component"	GO:0044420	2	Amillepora24448	0.34747769923014216
"extracellular matrix component"	GO:0044420	2	Amillepora20490	0.010034981421377353
"extracellular matrix component"	GO:0044420	2	Amillepora20772	-1.8709609744921702
