name	term	lev	seq	value
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora16890	0.23786436857076373
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora17147	0.05674647518546105
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora14174	0.010677347091680181
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora14405	0.9975928138974326
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora16431	0.48035969600648615
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora03366	1.1459624695664612
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora03717	0.5430158900295915
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora03816	0.22722986618518592
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora04407	0.22319806693196834
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora22347	0.5038725181192438
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora09967	0.5850374492929216
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora10306	0.49614306517590745
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora10311	0.37184954527353176
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora10588	0.3143894726381858
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora06823	0.9522538806947145
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora06991	0.025218486962710226
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora07796	1.6487730568126906
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora19363	0.24559058805225145
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora19457	0.7787471052160376
"small nuclear ribonucleoprotein complex"	GO:0030532;GO:0120114	2	Amillepora19843	0.5313441178350069
