name	term	lev	seq	value
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora16928	0.6534783001967377
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora27251	0.22042347781837285
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora13183	0.02383612765345507
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora13525	1.2092271366436647
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora14345	0.5980773229111551
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora14973	0.05628845097462648
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora15137	0.10256908157203924
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora15159	0.5027223470915484
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora15171	1.006708000245011
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora15523	0.14365269541563583
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora16041	0.06564946312813902
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora16499	1.0072877425166762
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora16543	0.4072193950652338
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora16652	0.015843954282949844
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora26209	1.1691524477168012
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora00092	0.5234153564070735
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora00667	0.5825649253975909
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora01090	0.2543737012115651
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora01106	0.24387496316165055
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora01230	0.16204583551105786
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora01305	0.11113129246025673
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora01324	0.016052628856898673
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora01944	1.7171036865400335
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora02531	0.1024777347547071
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora02593	0.17200428339206475
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora03413	1.863486526905006
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora03436	2.4726442811015463
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora05347	0.14681659070037512
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora05927	0.25611416201201787
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora22203	1.0718008090863371
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora09026	0.05397723737828849
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora09122	0.365798919859298
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora09158	0.18489810826490355
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora09609	2.0630477675740697
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora09656	0.47263120016752846
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora09971	1.2241550081531773
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora10647	0.05113915076743951
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora10704	0.038267198692416605
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora06159	0.5646257029061995
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora07143	0.1978334059267323
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora07212	0.1377430733794981
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora08347	0.7861253973031852
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora19241	0.8929141279259689
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora19522	0.4222018741090715
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora19553	0.271991677507925
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora19748	0.8299689657296917
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora11065	1.0887098864090843
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora11087	0.5988381126294045
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora23705	0.652089628915308
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora24144	0.24459682947900616
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora24424	0.2249496777357952
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora24530	0.18975506036736786
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora24632	0.563494652323185
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora24664	0.4069482989558062
"transferase complex, transferring phosphorus-containing groups"	GO:0061695	2	Amillepora24762	0.8673221852551587
