name	term	lev	seq	value
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora17095	4.552471259254515
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora27506	2.4918035329847092
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora27540	10.881264693837196
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora13712	0.6435960480614366
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora13941	8.898384686208379
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora14091	4.363145342153992
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora14377	5.871542263476343
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora14389	6.193476565027054
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora15409	118.00283824706462
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora15544	7.118672238413657
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora16250	1.227734530724735
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora16553	6.945060936174032
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora24858	0.022023658975194618
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora24875	0.013356968019854759
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora25014	6.179003994015014
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora00122	22.39664951736293
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora00973	0.805169971179352
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora01469	0.8822601176896646
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora01962	3.830548665098496
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora03170	69.12036041649549
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora03291	0.12429756536967632
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora03290	1.9247158750485707
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora04485	11.588650968874008
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora04960	0.1241335288776143
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora05030	1.6326012446461295
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora05417	2.5298092024776726
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora05710	2.2850896212250533
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora05863	1.9251031473817144
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora06026	0.09207318719362209
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora21911	0.10189715064066049
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora21919	1.5617580062674665
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora22157	1.6789041558054714
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora22224	1.681544300991455
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora22315	3.9750200020435638
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora22985	1.2500318361500395
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora23185	0.3740890277354911
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora08885	4.039742555062849
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora08934	1.0790008173013912
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora09589	5.100509099733495
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora10059	0.9645723232883262
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora10848	6.844501062312796
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora07597	3.032603288813151
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora07650	42.86674158231468
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora08101	0.35533270201265293
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora08150	0.09036491429302783
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora08552	5.2061331527065295
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora08563	0.739789705787459
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora19748	14.314254018519383
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora19950	14.335888051715884
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora12284	0.3025972154562429
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora12339	0.016457729090402717
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora12874	0.4814273623076754
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora24504	28.885153406206257
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora24678	3.0993094553067997
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora20487	4.523508321244136
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora20563	2.6310657187996878
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora20582	2.1519595802872846
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora21121	30.859366811557813
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora27919	0.026567349140733085
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora33789	3.433678354499822
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora36938	0.10300504264584306
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora36947	12.428375057235442
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora36944	11.610466060335348
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora32582	3.9641461877692015
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora34056	1.4036459389540707
"polymeric cytoskeletal fiber"	GO:0099513	2	Amillepora33560	19.17547235387069
"ribosome"	GO:0005840	3	Amillepora16930	4.433118670388401
"ribosome"	GO:0005840	3	Amillepora26329	8.525724450829895
"ribosome"	GO:0005840	3	Amillepora26617	1.2064645373701912
"ribosome"	GO:0005840	3	Amillepora12950	0.878559457020115
"ribosome"	GO:0005840	3	Amillepora14482	0.3415994739498404
"ribosome"	GO:0005840	3	Amillepora14705	2.37476896267892
"ribosome"	GO:0005840	3	Amillepora14805	2.73051364730001
"ribosome"	GO:0005840	3	Amillepora14848	3.3063219174631597
"ribosome"	GO:0005840	3	Amillepora16443	7.323062035769283
"ribosome"	GO:0005840	3	Amillepora25019	1.3185587507127938
"ribosome"	GO:0005840	3	Amillepora00066	2.6056746287832198
"ribosome"	GO:0005840	3	Amillepora00154	8.212920903011764
"ribosome"	GO:0005840	3	Amillepora00272	2.644912970001902
"ribosome"	GO:0005840	3	Amillepora00650	1.3847824074826263
"ribosome"	GO:0005840	3	Amillepora01246	0.11520580527014375
"ribosome"	GO:0005840	3	Amillepora01482	0.5264707965642562
"ribosome"	GO:0005840	3	Amillepora02001	3.135070945600465
"ribosome"	GO:0005840	3	Amillepora02598	5.700048973560526
"ribosome"	GO:0005840	3	Amillepora02840	0.1762175719039357
"ribosome"	GO:0005840	3	Amillepora02957	1.4716814913675538
"ribosome"	GO:0005840	3	Amillepora02962	2.2846480067679553
"ribosome"	GO:0005840	3	Amillepora03560	0.39259211113845166
"ribosome"	GO:0005840	3	Amillepora04311	5.870275569338979
"ribosome"	GO:0005840	3	Amillepora04424	1.6891937186749264
"ribosome"	GO:0005840	3	Amillepora05923	2.4613999632752566
"ribosome"	GO:0005840	3	Amillepora06100	1.8203101751567343
"ribosome"	GO:0005840	3	Amillepora21932	1.6561871583213024
"ribosome"	GO:0005840	3	Amillepora22218	5.2960109601992755
"ribosome"	GO:0005840	3	Amillepora22471	3.2212419168192223
"ribosome"	GO:0005840	3	Amillepora23161	2.2344913038463496
"ribosome"	GO:0005840	3	Amillepora23336	1.924617658910556
"ribosome"	GO:0005840	3	Amillepora09208	0.14067613643041738
"ribosome"	GO:0005840	3	Amillepora09984	1.7143083819071026
"ribosome"	GO:0005840	3	Amillepora10093	1.2434615249721217
"ribosome"	GO:0005840	3	Amillepora10649	3.258117037547403
"ribosome"	GO:0005840	3	Amillepora06161	5.213376278184754
"ribosome"	GO:0005840	3	Amillepora06865	0.6048533414039924
"ribosome"	GO:0005840	3	Amillepora07089	0.8852600092104995
"ribosome"	GO:0005840	3	Amillepora08022	2.2300723516351106
"ribosome"	GO:0005840	3	Amillepora08096	1.1486329035596017
"ribosome"	GO:0005840	3	Amillepora08567	1.944758483979162
"ribosome"	GO:0005840	3	Amillepora18695	2.978212149918134
"ribosome"	GO:0005840	3	Amillepora19244	1.1065016620776715
"ribosome"	GO:0005840	3	Amillepora19941	32.287601731132334
"ribosome"	GO:0005840	3	Amillepora20324	7.3693573494144475
"ribosome"	GO:0005840	3	Amillepora12482	5.458484416480652
"ribosome"	GO:0005840	3	Amillepora12507	7.724658499168319
"ribosome"	GO:0005840	3	Amillepora23712	5.038223957575542
"ribosome"	GO:0005840	3	Amillepora24046	3.185909679353849
"ribosome"	GO:0005840	3	Amillepora24846	4.582941673897437
"ribosome"	GO:0005840	3	Amillepora20384	0.4542838859754693
"ribosome"	GO:0005840	3	Amillepora20386	1.8256064336782503
"ribosome"	GO:0005840	3	Amillepora20418	9.05441533019404
"ribosome"	GO:0005840	3	Amillepora20423	0.5199575279223279
"ribosome"	GO:0005840	3	Amillepora20431	2.734360114114709
"ribosome"	GO:0005840	3	Amillepora20430	2.471695327638786
