name	term	lev	seq	value
"actin-based cell projection"	GO:0098858	3	Amillepora18248	-2.8394186594256516
"actin-based cell projection"	GO:0098858	3	Amillepora18401	2.8258447831214806
"actin-based cell projection"	GO:0098858	3	Amillepora13016	1.6092354046106965
"actin-based cell projection"	GO:0098858	3	Amillepora13485	-1.9244968203671384
"actin-based cell projection"	GO:0098858	3	Amillepora14302	0.15633858341847037
"actin-based cell projection"	GO:0098858	3	Amillepora14515	0.04235805838780768
"actin-based cell projection"	GO:0098858	3	Amillepora14735	29.575484948709672
"actin-based cell projection"	GO:0098858	3	Amillepora14797	-0.44364334163382335
"actin-based cell projection"	GO:0098858	3	Amillepora15329	7.48482131200289
"actin-based cell projection"	GO:0098858	3	Amillepora16111	5.1328713248048965
"actin-based cell projection"	GO:0098858	3	Amillepora16213	-1.0794272704368826
"actin-based cell projection"	GO:0098858	3	Amillepora16220	-2.621894131438893
"actin-based cell projection"	GO:0098858	3	Amillepora16473	0.5769754305832195
"actin-based cell projection"	GO:0098858	3	Amillepora00715	-13.875446633580045
"actin-based cell projection"	GO:0098858	3	Amillepora00714	4.0204697584526485
"actin-based cell projection"	GO:0098858	3	Amillepora02729	-0.32993567628088855
"actin-based cell projection"	GO:0098858	3	Amillepora03354	-25.328061507184795
"actin-based cell projection"	GO:0098858	3	Amillepora03569	28.58631136388545
"actin-based cell projection"	GO:0098858	3	Amillepora03714	0.7098247472544612
"actin-based cell projection"	GO:0098858	3	Amillepora04619	3.455797698364733
"actin-based cell projection"	GO:0098858	3	Amillepora04698	-12.222258331450831
"actin-based cell projection"	GO:0098858	3	Amillepora04922	-87.7974971571089
"actin-based cell projection"	GO:0098858	3	Amillepora05073	-16.26218155672889
"actin-based cell projection"	GO:0098858	3	Amillepora05297	5.5649938637644425
"actin-based cell projection"	GO:0098858	3	Amillepora05764	-2.929700762364485
"actin-based cell projection"	GO:0098858	3	Amillepora22625	-7.178148102380182
"actin-based cell projection"	GO:0098858	3	Amillepora08857	3.6876127818795394
"actin-based cell projection"	GO:0098858	3	Amillepora08856	2.235190261309841
"actin-based cell projection"	GO:0098858	3	Amillepora09063	-5.323020425116869
"actin-based cell projection"	GO:0098858	3	Amillepora09624	-15.785082966103749
"actin-based cell projection"	GO:0098858	3	Amillepora09623	-13.116247925909846
"actin-based cell projection"	GO:0098858	3	Amillepora09719	-0.36284020643610193
"actin-based cell projection"	GO:0098858	3	Amillepora09803	-0.14180826040616482
"actin-based cell projection"	GO:0098858	3	Amillepora09820	-0.5733676776322746
"actin-based cell projection"	GO:0098858	3	Amillepora09932	-23.435048761700134
"actin-based cell projection"	GO:0098858	3	Amillepora09974	-8.051704237859298
"actin-based cell projection"	GO:0098858	3	Amillepora10159	2.1754667258633273
"actin-based cell projection"	GO:0098858	3	Amillepora10419	-1.1634474160313721
"actin-based cell projection"	GO:0098858	3	Amillepora10595	-0.4075209388805296
"actin-based cell projection"	GO:0098858	3	Amillepora10607	-0.30833831010429696
"actin-based cell projection"	GO:0098858	3	Amillepora10912	-7.265970366468558
"actin-based cell projection"	GO:0098858	3	Amillepora06704	6.2337778299883455
"actin-based cell projection"	GO:0098858	3	Amillepora08342	-0.04434101634929326
"actin-based cell projection"	GO:0098858	3	Amillepora08536	1.6371177028606896
"actin-based cell projection"	GO:0098858	3	Amillepora08539	-0.8556914289032139
"actin-based cell projection"	GO:0098858	3	Amillepora18927	-1.4870497503913258
"actin-based cell projection"	GO:0098858	3	Amillepora19331	-6.6164995450703765
"actin-based cell projection"	GO:0098858	3	Amillepora19525	0.36170677870634604
"actin-based cell projection"	GO:0098858	3	Amillepora19723	4.427303126165638
"actin-based cell projection"	GO:0098858	3	Amillepora19748	9.988702325222446
"actin-based cell projection"	GO:0098858	3	Amillepora10993	-3.3781625913731825
"actin-based cell projection"	GO:0098858	3	Amillepora11047	3.034046300764771
"actin-based cell projection"	GO:0098858	3	Amillepora11194	-2.209585366347291
"actin-based cell projection"	GO:0098858	3	Amillepora11228	11.105682614012734
"actin-based cell projection"	GO:0098858	3	Amillepora11671	8.83803401165057
"actin-based cell projection"	GO:0098858	3	Amillepora11907	0.24787856198695796
"actin-based cell projection"	GO:0098858	3	Amillepora12506	39.79897298496161
"actin-based cell projection"	GO:0098858	3	Amillepora23674	5.900054936762868
"actin-based cell projection"	GO:0098858	3	Amillepora24374	-1.1111233530614628
"actin-based cell projection"	GO:0098858	3	Amillepora24703	24.794994415357543
"actin-based cell projection"	GO:0098858	3	Amillepora27935	0.18564206475275868
"actin-based cell projection"	GO:0098858	3	Amillepora31785	-0.4758227043074005
"actin-based cell projection"	GO:0098858	3	Amillepora30348	1.3249752440566438
"actin-based cell projection"	GO:0098858	3	Amillepora30349	0.728970502973898
"actin-based cell projection"	GO:0098858	3	Amillepora36847	-1.5764834871558422
"actin-based cell projection"	GO:0098858	3	Amillepora33560	3.0188514390215127
"apical cortex"	GO:0045179	3	Amillepora16111	5.1328713248048965
"apical cortex"	GO:0045179	3	Amillepora16604	-0.8094350823687114
"apical cortex"	GO:0045179	3	Amillepora25240	-1.2322041025583972
"apical cortex"	GO:0045179	3	Amillepora00743	1.143434734723006
"apical cortex"	GO:0045179	3	Amillepora03428	2.201956130437906
"apical cortex"	GO:0045179	3	Amillepora04485	1.779993856361645
"apical cortex"	GO:0045179	3	Amillepora04897	8.778561966663165
"apical cortex"	GO:0045179	3	Amillepora22157	-0.9649851292705309
"apical cortex"	GO:0045179	3	Amillepora10159	2.1754667258633273
"apical cortex"	GO:0045179	3	Amillepora10757	3.200426185899057
"apical cortex"	GO:0045179	3	Amillepora08375	1.6967316234276792
"apical cortex"	GO:0045179	3	Amillepora18885	7.00245394559084
"apical cortex"	GO:0045179	3	Amillepora12424	12.393072721950114
"apical cortex"	GO:0045179	3	Amillepora23674	5.900054936762868
"apical cortex"	GO:0045179	3	Amillepora29848	22.053144507241694
"apical cortex"	GO:0045179	3	Amillepora32109	-1.099425806808017
"histone deacetylase complex"	GO:0000118	5	Amillepora16992	14.844611677706549
"histone deacetylase complex"	GO:0000118	5	Amillepora27215	11.531572493397672
"histone deacetylase complex"	GO:0000118	5	Amillepora15124	-0.29733586218747093
"histone deacetylase complex"	GO:0000118	5	Amillepora16413	-2.6467416706354916
"histone deacetylase complex"	GO:0000118	5	Amillepora16539	5.70796507509593
"histone deacetylase complex"	GO:0000118	5	Amillepora26016	-0.44251826815528117
"histone deacetylase complex"	GO:0000118	5	Amillepora01009	-0.8571140847209425
"histone deacetylase complex"	GO:0000118	5	Amillepora02022	-0.03441382935754298
"histone deacetylase complex"	GO:0000118	5	Amillepora02766	3.702055323715757
"histone deacetylase complex"	GO:0000118	5	Amillepora04677	-3.3367737151867223
"histone deacetylase complex"	GO:0000118	5	Amillepora21928	8.614252876106303
"histone deacetylase complex"	GO:0000118	5	Amillepora22260	0.8229244803487505
"histone deacetylase complex"	GO:0000118	5	Amillepora22303	7.580549073342897
"histone deacetylase complex"	GO:0000118	5	Amillepora08599	18.749133317690195
"histone deacetylase complex"	GO:0000118	5	Amillepora10256	-1.3965338001187322
"histone deacetylase complex"	GO:0000118	5	Amillepora06591	7.0266487755433955
"histone deacetylase complex"	GO:0000118	5	Amillepora06966	-2.9352431110019044
"histone deacetylase complex"	GO:0000118	5	Amillepora06970	-3.254861533048658
"histone deacetylase complex"	GO:0000118	5	Amillepora08457	5.466771923584202
"histone deacetylase complex"	GO:0000118	5	Amillepora19265	-2.220688410957108
"histone deacetylase complex"	GO:0000118	5	Amillepora19919	-1.9527296878579425
"histone deacetylase complex"	GO:0000118	5	Amillepora11099	0.406863938656463
"histone deacetylase complex"	GO:0000118	5	Amillepora24437	0.5644728064842547
"histone deacetylase complex"	GO:0000118	5	Amillepora24820	0.7971159674383315
"histone deacetylase complex"	GO:0000118	5	Amillepora21657	-13.515826210539513
"histone deacetylase complex"	GO:0000118	5	Amillepora30737	-6.110413423474559
"histone deacetylase complex"	GO:0000118	5	Amillepora35887	-0.615605165240653
"histone deacetylase complex"	GO:0000118	5	Amillepora35893	-1.7926969355755136
"histone deacetylase complex"	GO:0000118	5	Amillepora35885	-1.3893552599612353
"histone deacetylase complex"	GO:0000118	5	Amillepora35889	-0.5356735163455082
"histone deacetylase complex"	GO:0000118	5	Amillepora32197	-11.933614126070077
"histone deacetylase complex"	GO:0000118	5	Amillepora36419	-0.2183371970868489
"histone deacetylase complex"	GO:0000118	5	Amillepora37284	-1.612482067604457
"endocytic vesicle"	GO:0030139	2	Amillepora17050	-2.2514592354882623
"endocytic vesicle"	GO:0030139	2	Amillepora17114	-4.042421818871415
"endocytic vesicle"	GO:0030139	2	Amillepora17141	-9.627475303936986
"endocytic vesicle"	GO:0030139	2	Amillepora18491	4.2559368655349195
"endocytic vesicle"	GO:0030139	2	Amillepora26310	0.47875204472460653
"endocytic vesicle"	GO:0030139	2	Amillepora26695	-9.993936650603876
"endocytic vesicle"	GO:0030139	2	Amillepora12932	-1.9868453474676808
"endocytic vesicle"	GO:0030139	2	Amillepora13322	2.312818144328921
"endocytic vesicle"	GO:0030139	2	Amillepora14026	-1.2167309893352733
"endocytic vesicle"	GO:0030139	2	Amillepora14456	0.030173078160410167
"endocytic vesicle"	GO:0030139	2	Amillepora14735	29.575484948709672
"endocytic vesicle"	GO:0030139	2	Amillepora15151	-0.8988477690761721
"endocytic vesicle"	GO:0030139	2	Amillepora15242	9.498161341093095
"endocytic vesicle"	GO:0030139	2	Amillepora15767	-1.845825046210985
"endocytic vesicle"	GO:0030139	2	Amillepora16355	-0.18490781190828617
"endocytic vesicle"	GO:0030139	2	Amillepora24953	0.7993832167959312
"endocytic vesicle"	GO:0030139	2	Amillepora24970	2.22008559378934
"endocytic vesicle"	GO:0030139	2	Amillepora25093	9.407341965023083
"endocytic vesicle"	GO:0030139	2	Amillepora25170	1.883430711500144
"endocytic vesicle"	GO:0030139	2	Amillepora25174	1.9959364680425473
"endocytic vesicle"	GO:0030139	2	Amillepora25301	16.146334612124853
"endocytic vesicle"	GO:0030139	2	Amillepora25573	-3.650628359263939
"endocytic vesicle"	GO:0030139	2	Amillepora25580	-14.323305506590167
"endocytic vesicle"	GO:0030139	2	Amillepora25661	-4.63425701411183
"endocytic vesicle"	GO:0030139	2	Amillepora25658	-5.358124563340158
"endocytic vesicle"	GO:0030139	2	Amillepora25670	-11.812711640835342
"endocytic vesicle"	GO:0030139	2	Amillepora25679	-10.706485845585423
"endocytic vesicle"	GO:0030139	2	Amillepora25672	-12.450871207046232
"endocytic vesicle"	GO:0030139	2	Amillepora25863	-20.28696703118919
"endocytic vesicle"	GO:0030139	2	Amillepora26027	-0.7201305457082526
"endocytic vesicle"	GO:0030139	2	Amillepora26133	7.99333947395548
"endocytic vesicle"	GO:0030139	2	Amillepora26184	-4.745163087294149
"endocytic vesicle"	GO:0030139	2	Amillepora26183	-3.7800248325098265
"endocytic vesicle"	GO:0030139	2	Amillepora26234	0.3142327355006006
"endocytic vesicle"	GO:0030139	2	Amillepora00065	4.3011902314086665
"endocytic vesicle"	GO:0030139	2	Amillepora00093	15.203855997837517
"endocytic vesicle"	GO:0030139	2	Amillepora00137	-24.788198036342152
"endocytic vesicle"	GO:0030139	2	Amillepora00263	2.362525643874034
"endocytic vesicle"	GO:0030139	2	Amillepora00446	-2.4453193531639474
"endocytic vesicle"	GO:0030139	2	Amillepora00777	-0.06562171655017449
"endocytic vesicle"	GO:0030139	2	Amillepora00790	0.8332915849354898
"endocytic vesicle"	GO:0030139	2	Amillepora00831	0.6844132101497062
"endocytic vesicle"	GO:0030139	2	Amillepora01788	28.00518826918538
"endocytic vesicle"	GO:0030139	2	Amillepora02498	-6.652044833536622
"endocytic vesicle"	GO:0030139	2	Amillepora02852	7.685326684330385
"endocytic vesicle"	GO:0030139	2	Amillepora02859	-0.7676217804193224
"endocytic vesicle"	GO:0030139	2	Amillepora03044	-0.4054121096638005
"endocytic vesicle"	GO:0030139	2	Amillepora03170	19.305660624814315
"endocytic vesicle"	GO:0030139	2	Amillepora03360	0.49877770720389386
"endocytic vesicle"	GO:0030139	2	Amillepora04372	-2.515052818991203
"endocytic vesicle"	GO:0030139	2	Amillepora04487	-0.10769524266017567
"endocytic vesicle"	GO:0030139	2	Amillepora04614	6.882729869462767
"endocytic vesicle"	GO:0030139	2	Amillepora04893	-5.903234213785822
"endocytic vesicle"	GO:0030139	2	Amillepora05038	4.7915212012042945
"endocytic vesicle"	GO:0030139	2	Amillepora05403	2.0291123492215717
"endocytic vesicle"	GO:0030139	2	Amillepora05784	-19.67718257374249
"endocytic vesicle"	GO:0030139	2	Amillepora05904	-2.653782287094738
"endocytic vesicle"	GO:0030139	2	Amillepora06021	-6.385238777130247
