name	term	lev	seq	value
"respiratory chain complex"	GO:0098803	3	Amillepora16811	6.146947825457715
"respiratory chain complex"	GO:0098803	3	Amillepora17040	-0.4429852245227912
"respiratory chain complex"	GO:0098803	3	Amillepora18148	-1.1011567853225324
"respiratory chain complex"	GO:0098803	3	Amillepora12927	-8.758787097174991
"respiratory chain complex"	GO:0098803	3	Amillepora13633	6.189234483739041
"respiratory chain complex"	GO:0098803	3	Amillepora14800	5.620894033988098
"respiratory chain complex"	GO:0098803	3	Amillepora14801	2.5991359460119012
"respiratory chain complex"	GO:0098803	3	Amillepora15324	-6.334221513317321
"respiratory chain complex"	GO:0098803	3	Amillepora24988	1.0706284365561747
"respiratory chain complex"	GO:0098803	3	Amillepora25738	-7.7358204587582255
"respiratory chain complex"	GO:0098803	3	Amillepora01316	-11.760365829711429
"respiratory chain complex"	GO:0098803	3	Amillepora01789	-4.656521534769296
"respiratory chain complex"	GO:0098803	3	Amillepora02778	0.2596447247415178
"respiratory chain complex"	GO:0098803	3	Amillepora03045	-3.2153202792015554
"respiratory chain complex"	GO:0098803	3	Amillepora03225	1.4769808781234834
"respiratory chain complex"	GO:0098803	3	Amillepora05366	-1.8580719166134836
"respiratory chain complex"	GO:0098803	3	Amillepora22313	-8.412404227206704
"respiratory chain complex"	GO:0098803	3	Amillepora23081	0.2854079172166912
"respiratory chain complex"	GO:0098803	3	Amillepora08689	-2.582555259198732
"respiratory chain complex"	GO:0098803	3	Amillepora08911	-8.23845772159905
"respiratory chain complex"	GO:0098803	3	Amillepora10700	-7.489573008616402
"respiratory chain complex"	GO:0098803	3	Amillepora07201	-1.136462763717224
"respiratory chain complex"	GO:0098803	3	Amillepora08349	-0.4060913572340931
"respiratory chain complex"	GO:0098803	3	Amillepora18889	0.03767675546768879
"respiratory chain complex"	GO:0098803	3	Amillepora11045	-10.081248511850344
"respiratory chain complex"	GO:0098803	3	Amillepora24429	15.595265276781669
"respiratory chain complex"	GO:0098803	3	Amillepora20522	3.9081411065386513
"respiratory chain complex"	GO:0098803	3	Amillepora20899	-3.6179495795679486
"respiratory chain complex"	GO:0098803	3	Amillepora29583	-50.51950189966719
"respiratory chain complex"	GO:0098803	3	Amillepora28807	2.7508598045171073
"respiratory chain complex"	GO:0098803	3	Amillepora35968	-3.3183732595508695
"respiratory chain complex"	GO:0098803	3	Amillepora31870	7.749013196274208
"respiratory chain complex"	GO:0098803	3	Amillepora29557	-5.243389782756861
"respiratory chain complex"	GO:0098803	3	Amillepora37607	-3.8164977463671192
"organelle envelope lumen"	GO:0031970	2	Amillepora13633	6.189234483739041
"organelle envelope lumen"	GO:0031970	2	Amillepora13943	5.1719054039683865
"organelle envelope lumen"	GO:0031970	2	Amillepora16246	-4.499595579558044
"organelle envelope lumen"	GO:0031970	2	Amillepora16344	46.25686345514879
"organelle envelope lumen"	GO:0031970	2	Amillepora01201	53.48708543233733
"organelle envelope lumen"	GO:0031970	2	Amillepora01782	2.0426787099567107
"organelle envelope lumen"	GO:0031970	2	Amillepora02842	22.401426528503837
"organelle envelope lumen"	GO:0031970	2	Amillepora04104	13.742732498348404
"organelle envelope lumen"	GO:0031970	2	Amillepora04375	2.5510246072923883
"organelle envelope lumen"	GO:0031970	2	Amillepora04632	-7.6562820140175925
"organelle envelope lumen"	GO:0031970	2	Amillepora05793	-8.357462920560746
"organelle envelope lumen"	GO:0031970	2	Amillepora05795	1.9479737662283405
"organelle envelope lumen"	GO:0031970	2	Amillepora23063	-0.36977934616848324
"organelle envelope lumen"	GO:0031970	2	Amillepora23163	-0.22824324332092766
"organelle envelope lumen"	GO:0031970	2	Amillepora09094	-2.0010431552279524
"organelle envelope lumen"	GO:0031970	2	Amillepora06705	-0.19737916362237873
"organelle envelope lumen"	GO:0031970	2	Amillepora07016	-5.421207163365081
"organelle envelope lumen"	GO:0031970	2	Amillepora07325	-11.975284607547835
"organelle envelope lumen"	GO:0031970	2	Amillepora08560	-3.8857100987892066
"organelle envelope lumen"	GO:0031970	2	Amillepora18755	-6.222793843799276
"organelle envelope lumen"	GO:0031970	2	Amillepora18765	-3.0183120649311492
"organelle envelope lumen"	GO:0031970	2	Amillepora19957	1.115891305173687
"organelle envelope lumen"	GO:0031970	2	Amillepora19977	-4.693845780782149
"organelle envelope lumen"	GO:0031970	2	Amillepora11045	-10.081248511850344
"organelle envelope lumen"	GO:0031970	2	Amillepora12557	35.75596939382997
"organelle envelope lumen"	GO:0031970	2	Amillepora24407	-35.5472564683102
"organelle envelope lumen"	GO:0031970	2	Amillepora24415	-41.80136976316683
"organelle envelope lumen"	GO:0031970	2	Amillepora24669	-17.135958908508798
"organelle envelope lumen"	GO:0031970	2	Amillepora21253	13.237363543917512
"organelle envelope lumen"	GO:0031970	2	Amillepora29576	-0.21142544895059998
"organelle envelope lumen"	GO:0031970	2	Amillepora28791	-5.259168895076965
"organelle envelope lumen"	GO:0031970	2	Amillepora28790	56.60373668521568
"organelle envelope lumen"	GO:0031970	2	Amillepora28798	-15.836795241234242
"organelle envelope lumen"	GO:0031970	2	Amillepora28810	-0.9412061035865733
"organelle envelope lumen"	GO:0031970	2	Amillepora32423	-2.510986986529225
"organelle envelope lumen"	GO:0031970	2	Amillepora32444	-1.570660898260226
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora27336	-10.360417069290538
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora03561	-1.8276476181664654
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora04346	2.2507057579852674
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora05347	-9.528406220505403
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora21895	-25.390432216922786
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora10395	1.2843493820140728
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora10647	-68.73996689235213
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora06532	-49.72358000707446
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora11065	-30.112755098541637
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora12840	1.6281451174298471
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora12871	-1.239737474204118
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora21396	-0.3169130064831114
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora29721	-2.8460090149580513
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora29769	-2.8121451326834035
"cyclin-dependent protein kinase holoenzyme complex"	GO:0000307	6	Amillepora33594	-4.405295750533128
"semaphorin receptor complex"	GO:0002116	3	Amillepora25993	-0.6328650043683054
"semaphorin receptor complex"	GO:0002116	3	Amillepora05098	1.3194363819592534
"semaphorin receptor complex"	GO:0002116	3	Amillepora10106	4.169630076588125
"semaphorin receptor complex"	GO:0002116	3	Amillepora06544	1.4088228553383182
"semaphorin receptor complex"	GO:0002116	3	Amillepora06549	-10.127978285282843
"semaphorin receptor complex"	GO:0002116	3	Amillepora28518	0.8483955243716075
"semaphorin receptor complex"	GO:0002116	3	Amillepora32321	-0.16484872244356183
"semaphorin receptor complex"	GO:0002116	3	Amillepora32320	0.16646844843468087
"semaphorin receptor complex"	GO:0002116	3	Amillepora32335	-0.4764467939327981
