name	term	lev	seq	value
"chromatoid body"	GO:0033391	2	Amillepora15386	1.484540065642345
"chromatoid body"	GO:0033391	2	Amillepora25105	0.11711087853192666
"chromatoid body"	GO:0033391	2	Amillepora00725	-0.20944845807312862
"chromatoid body"	GO:0033391	2	Amillepora00726	0.34495545747000694
"chromatoid body"	GO:0033391	2	Amillepora00728	0.2671703582555838
"chromatoid body"	GO:0033391	2	Amillepora03889	0.08307293474409182
"chromatoid body"	GO:0033391	2	Amillepora09534	-0.19151321309305916
"chromatoid body"	GO:0033391	2	Amillepora09725	-1.0807238968110766
"chromatoid body"	GO:0033391	2	Amillepora08053	0.1866133265974851
"chromatoid body"	GO:0033391	2	Amillepora24520	-0.0980012834303189
"chromatoid body"	GO:0033391	2	Amillepora24522	0.9993898973808388
"chromatoid body"	GO:0033391	2	Amillepora30742	-0.4266792386077503
"chromatoid body"	GO:0033391	2	Amillepora36897	1.4602657219264146
"chromatoid body"	GO:0033391	2	Amillepora36898	0.8264493692475632
"chromatoid body"	GO:0033391	2	Amillepora30017	1.1048123460992483
"presynaptic membrane"	GO:0042734	3	Amillepora16900	3.30308877852281
"presynaptic membrane"	GO:0042734	3	Amillepora16901	-1.8558555883564185
"presynaptic membrane"	GO:0042734	3	Amillepora16903	-0.39875241502486464
"presynaptic membrane"	GO:0042734	3	Amillepora16905	-3.2865906390370037
"presynaptic membrane"	GO:0042734	3	Amillepora16904	-1.4240537266531028
"presynaptic membrane"	GO:0042734	3	Amillepora16908	-1.2117968168719382
"presynaptic membrane"	GO:0042734	3	Amillepora16931	-0.47280502012446646
"presynaptic membrane"	GO:0042734	3	Amillepora16959	1.5625615796189358
"presynaptic membrane"	GO:0042734	3	Amillepora14091	-0.6134110931597629
"presynaptic membrane"	GO:0042734	3	Amillepora14456	-0.574553297022459
"presynaptic membrane"	GO:0042734	3	Amillepora16163	-0.18304814233657843
"presynaptic membrane"	GO:0042734	3	Amillepora25088	-1.447678919714645
"presynaptic membrane"	GO:0042734	3	Amillepora26194	-0.6299148115920591
"presynaptic membrane"	GO:0042734	3	Amillepora00288	2.0519908748943085
"presynaptic membrane"	GO:0042734	3	Amillepora02496	0.19209583788389764
"presynaptic membrane"	GO:0042734	3	Amillepora02576	-0.7280632789902661
"presynaptic membrane"	GO:0042734	3	Amillepora04987	0.07616710958805847
"presynaptic membrane"	GO:0042734	3	Amillepora05004	-0.279350458245262
"presynaptic membrane"	GO:0042734	3	Amillepora05038	-0.7099229265856786
"presynaptic membrane"	GO:0042734	3	Amillepora05210	1.2483418937237802
"presynaptic membrane"	GO:0042734	3	Amillepora23069	1.4646055953056856
"presynaptic membrane"	GO:0042734	3	Amillepora23294	-1.8327277501321948
"presynaptic membrane"	GO:0042734	3	Amillepora23373	0.7717152125802165
"presynaptic membrane"	GO:0042734	3	Amillepora23375	0.9897467178440126
"presynaptic membrane"	GO:0042734	3	Amillepora23376	1.4680558466560982
"presynaptic membrane"	GO:0042734	3	Amillepora09205	0.0650149158071067
"presynaptic membrane"	GO:0042734	3	Amillepora06651	-2.097136927068914
"presynaptic membrane"	GO:0042734	3	Amillepora07143	1.2143238862176948
"presynaptic membrane"	GO:0042734	3	Amillepora07345	-0.7406864628922692
"presynaptic membrane"	GO:0042734	3	Amillepora08001	1.5163132957382521
"presynaptic membrane"	GO:0042734	3	Amillepora08232	1.8425376982971455
"presynaptic membrane"	GO:0042734	3	Amillepora08420	1.3920715377768527
"presynaptic membrane"	GO:0042734	3	Amillepora20340	-0.683293107150741
"presynaptic membrane"	GO:0042734	3	Amillepora12827	0.34866946967326934
"presynaptic membrane"	GO:0042734	3	Amillepora24374	-0.08263106189646746
"presynaptic membrane"	GO:0042734	3	Amillepora24451	2.6147407260615387
"presynaptic membrane"	GO:0042734	3	Amillepora24449	-1.8144017563834827
"presynaptic membrane"	GO:0042734	3	Amillepora20380	1.1315478766813871
"presynaptic membrane"	GO:0042734	3	Amillepora21498	1.4543908951708138
"presynaptic membrane"	GO:0042734	3	Amillepora21500	0.15413339836440615
"presynaptic membrane"	GO:0042734	3	Amillepora21506	1.026649163479658
"presynaptic membrane"	GO:0042734	3	Amillepora21517	-0.029058855671019415
"presynaptic membrane"	GO:0042734	3	Amillepora27595	-0.18701962342112158
"presynaptic membrane"	GO:0042734	3	Amillepora30777	0.12420330496831924
"presynaptic membrane"	GO:0042734	3	Amillepora31371	0.4663328195151752
"paranode region of axon"	GO:0033270	2	Amillepora16900	3.30308877852281
