name	term	lev	seq	value
"septate junction"	GO:0005918	2	Amillepora27500	-20.772762501079907
"septate junction"	GO:0005918	2	Amillepora14161	1.200976662055888
"septate junction"	GO:0005918	2	Amillepora25311	6.336257611653667
"septate junction"	GO:0005918	2	Amillepora26161	-21.28344207369932
"septate junction"	GO:0005918	2	Amillepora01134	21.918683123655594
"septate junction"	GO:0005918	2	Amillepora01484	1.5498930785981593
"septate junction"	GO:0005918	2	Amillepora01784	-0.4219434440730804
"septate junction"	GO:0005918	2	Amillepora03991	1.7419835158451875
"septate junction"	GO:0005918	2	Amillepora22520	-5.960650683800524
"septate junction"	GO:0005918	2	Amillepora22522	-7.35341380583735
"septate junction"	GO:0005918	2	Amillepora22521	-0.4486324673206824
"septate junction"	GO:0005918	2	Amillepora22524	-7.325182832887555
"septate junction"	GO:0005918	2	Amillepora22523	-14.259693871715942
"septate junction"	GO:0005918	2	Amillepora09018	-18.085260842688918
"septate junction"	GO:0005918	2	Amillepora10760	-10.976824711592185
"septate junction"	GO:0005918	2	Amillepora10759	-23.62818998923271
"septate junction"	GO:0005918	2	Amillepora11030	10.713504821422184
"septate junction"	GO:0005918	2	Amillepora23592	-0.2607337641233017
"septate junction"	GO:0005918	2	Amillepora23597	-2.189458804830951
"septate junction"	GO:0005918	2	Amillepora23659	60.31664419706105
"septate junction"	GO:0005918	2	Amillepora24738	-15.855893277479941
"septate junction"	GO:0005918	2	Amillepora20538	-40.822961131644234
"septate junction"	GO:0005918	2	Amillepora29624	-1.3537884196294017
"septate junction"	GO:0005918	2	Amillepora29092	-0.12055833603091409
"septate junction"	GO:0005918	2	Amillepora30730	-29.24572544438399
"septate junction"	GO:0005918	2	Amillepora30732	-0.021803987772853053
"septate junction"	GO:0005918	2	Amillepora32109	-0.8265127868652961
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora18452	-16.912546441163485
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora27356	3.2408960091192314
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora14099	-4.797005192845148
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora15392	-2.147406336478912
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora01436	-1.702471706928392
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora01458	-1.1144890865218302
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora22375	-0.6301444552578856
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora10150	4.771848851254628
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora06665	-10.309900881341873
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora06809	-24.266446532721496
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora33092	-0.8264788733544847
"voltage-gated calcium channel complex"	GO:0005891	3	Amillepora33268	-2.282283231408027
"axon part"	GO:0033267	2	Amillepora16900	-8.684483564633872
"axon part"	GO:0033267	2	Amillepora16901	81.57860701326517
"axon part"	GO:0033267	2	Amillepora16903	10.273433671708686
"axon part"	GO:0033267	2	Amillepora16905	38.82597097978422
"axon part"	GO:0033267	2	Amillepora16904	37.64400531026538
"axon part"	GO:0033267	2	Amillepora16908	5.53288213277393
"axon part"	GO:0033267	2	Amillepora16959	-13.59670907789867
"axon part"	GO:0033267	2	Amillepora17029	0.4837986262942177
"axon part"	GO:0033267	2	Amillepora18401	6.658401944258807
"axon part"	GO:0033267	2	Amillepora26297	-2.9869711944298927
"axon part"	GO:0033267	2	Amillepora26619	1.7507000815665101
"axon part"	GO:0033267	2	Amillepora27473	-8.765142368789567
"axon part"	GO:0033267	2	Amillepora13215	-36.26244248803971
"axon part"	GO:0033267	2	Amillepora13485	-13.391699259668588
"axon part"	GO:0033267	2	Amillepora14025	-10.823236095256002
"axon part"	GO:0033267	2	Amillepora14377	12.569556019209964
"axon part"	GO:0033267	2	Amillepora14389	10.86119550710798
"axon part"	GO:0033267	2	Amillepora15094	0.3256771600203074
"axon part"	GO:0033267	2	Amillepora15105	0.4626301768669142
"axon part"	GO:0033267	2	Amillepora15158	21.607816131945384
"axon part"	GO:0033267	2	Amillepora15224	3.2831646008864164
"axon part"	GO:0033267	2	Amillepora15392	-2.147406336478912
"axon part"	GO:0033267	2	Amillepora16163	14.492124396509345
"axon part"	GO:0033267	2	Amillepora16251	3.6130375873167475
"axon part"	GO:0033267	2	Amillepora16740	0.10900186994110081
"axon part"	GO:0033267	2	Amillepora25131	-27.023367508353232
"axon part"	GO:0033267	2	Amillepora25161	-4.149292659180223
"axon part"	GO:0033267	2	Amillepora25181	-6.078121548841859
"axon part"	GO:0033267	2	Amillepora25303	8.651354552052192
"axon part"	GO:0033267	2	Amillepora26067	1.1463855953927824
"axon part"	GO:0033267	2	Amillepora26184	-34.363890406101234
"axon part"	GO:0033267	2	Amillepora00260	-3.808339879397819
"axon part"	GO:0033267	2	Amillepora00502	9.545979020292737
"axon part"	GO:0033267	2	Amillepora00533	-2.7215113860678684
"axon part"	GO:0033267	2	Amillepora00537	-22.721242420607226
"axon part"	GO:0033267	2	Amillepora00572	-28.81468718497227
"axon part"	GO:0033267	2	Amillepora00579	-8.24106001767466
"axon part"	GO:0033267	2	Amillepora00582	-1.5322312992912486
"axon part"	GO:0033267	2	Amillepora00715	-38.092772934299056
"axon part"	GO:0033267	2	Amillepora00714	6.663749029450571
"axon part"	GO:0033267	2	Amillepora00983	6.5770246066228975
"axon part"	GO:0033267	2	Amillepora01026	-3.818866226193133
"axon part"	GO:0033267	2	Amillepora01027	2.2322774404724073
"axon part"	GO:0033267	2	Amillepora01044	-13.325969873740005
"axon part"	GO:0033267	2	Amillepora01087	-34.05594747265254
"axon part"	GO:0033267	2	Amillepora01436	-1.702471706928392
