name	term	lev	seq	value
"protein-DNA complex"	GO:0032993	2	Amillepora27221	1.0862455495914978
"protein-DNA complex"	GO:0032993	2	Amillepora13183	17.34396234264463
"protein-DNA complex"	GO:0032993	2	Amillepora13753	20.14348870267155
"protein-DNA complex"	GO:0032993	2	Amillepora13938	0.5973642932686807
"protein-DNA complex"	GO:0032993	2	Amillepora14342	12.426459202463276
"protein-DNA complex"	GO:0032993	2	Amillepora14358	18.32417298854482
"protein-DNA complex"	GO:0032993	2	Amillepora15272	19.344189011491522
"protein-DNA complex"	GO:0032993	2	Amillepora16482	29.402631876647646
"protein-DNA complex"	GO:0032993	2	Amillepora16503	49.39169474260598
"protein-DNA complex"	GO:0032993	2	Amillepora26106	21.939498557517716
"protein-DNA complex"	GO:0032993	2	Amillepora01000	33.945092672248215
"protein-DNA complex"	GO:0032993	2	Amillepora01131	16.06107246793578
"protein-DNA complex"	GO:0032993	2	Amillepora03103	27.81118402750512
"protein-DNA complex"	GO:0032993	2	Amillepora03238	20.119946650344723
"protein-DNA complex"	GO:0032993	2	Amillepora03654	20.63550728228275
"protein-DNA complex"	GO:0032993	2	Amillepora21960	38.17283002364112
"protein-DNA complex"	GO:0032993	2	Amillepora22056	7.1681646375951855
"protein-DNA complex"	GO:0032993	2	Amillepora23110	9.351738536253837
"protein-DNA complex"	GO:0032993	2	Amillepora23207	12.935788613930796
"protein-DNA complex"	GO:0032993	2	Amillepora23237	35.308780085472534
"protein-DNA complex"	GO:0032993	2	Amillepora08612	4.473018358030634
"protein-DNA complex"	GO:0032993	2	Amillepora08633	11.399478542395691
"protein-DNA complex"	GO:0032993	2	Amillepora09106	0.177777879812296
"protein-DNA complex"	GO:0032993	2	Amillepora09110	1.3543051277564782
"protein-DNA complex"	GO:0032993	2	Amillepora09931	0.21791113657948072
"protein-DNA complex"	GO:0032993	2	Amillepora10112	27.356071292598127
"protein-DNA complex"	GO:0032993	2	Amillepora10255	20.134069447513845
"protein-DNA complex"	GO:0032993	2	Amillepora06371	1.3783955084841497
"protein-DNA complex"	GO:0032993	2	Amillepora06943	2.618175589432274
"protein-DNA complex"	GO:0032993	2	Amillepora07514	12.498561333522442
"protein-DNA complex"	GO:0032993	2	Amillepora08376	7.559920678939545
"protein-DNA complex"	GO:0032993	2	Amillepora08494	26.392540437400005
"protein-DNA complex"	GO:0032993	2	Amillepora24474	15.828311424104273
"protein-DNA complex"	GO:0032993	2	Amillepora24563	12.238361788740171
"protein-DNA complex"	GO:0032993	2	Amillepora24791	1.9873829364719116
"protein-DNA complex"	GO:0032993	2	Amillepora20468	35.50446476913732
"protein-DNA complex"	GO:0032993	2	Amillepora21241	36.46788009834542
"protein-DNA complex"	GO:0032993	2	Amillepora21657	30.625746719574572
"protein-DNA complex"	GO:0032993	2	Amillepora27787	2.840596362051908
"protein-DNA complex"	GO:0032993	2	Amillepora27780	3.462683493586194
"protein-DNA complex"	GO:0032993	2	Amillepora27806	1.532863340432784
"protein-DNA complex"	GO:0032993	2	Amillepora27821	2.0963649509599542
"protein-DNA complex"	GO:0032993	2	Amillepora27817	4.833901926957001
"protein-DNA complex"	GO:0032993	2	Amillepora31065	26.5174732024608
"protein-DNA complex"	GO:0032993	2	Amillepora32097	27.815769171003712
"protein-DNA complex"	GO:0032993	2	Amillepora29531	7.677539027901666
