name	term	lev	seq	value
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora16890	-33.55581543376478
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora17147	-44.20383555871434
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora13217	-6.656042819549229
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora14058	-16.426651855489844
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora14174	3.1553309272351506
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora14537	2.92809996665397
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora16431	-7.618841441237048
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora16450	-0.9214935742674011
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora25509	-17.52390613064292
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora26244	-0.5694667111128814
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora00043	0.03820570148673081
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora01129	-5.73057863019758
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora02910	-11.614670750638185
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora03816	-14.079457751385387
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora04407	-1.7830486580971876
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora22119	8.563422273251136
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora22298	10.46109955551826
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora22347	2.7235922867641267
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora08743	-24.945191086160616
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora09680	-3.0730133514530036
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora09967	-8.979109753750345
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora10033	0.9467993467291264
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora10306	-0.09056543717062644
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora10311	-0.5763873091244196
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora10588	-13.008031475886938
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora06991	-0.26487370972250657
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora08511	-10.96059160771163
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora19448	-55.67350311946329
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora19457	-13.52463650148849
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora19843	113.2379948717085
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora19852	4.199298940351339
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora10972	-11.278513746117508
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora11278	33.72204550777635
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora12738	9.88096190294489
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora12798	-2.2752394506458042
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora24361	-6.494874498166061
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora20358	4.036251657360592
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora21611	0.33144125093615473
"spliceosomal snRNP complex"	GO:0097525	3	Amillepora33515	-1.6239448764754467
"RNA cap binding complex"	GO:0034518	2	Amillepora27341	-9.761286544911453
"RNA cap binding complex"	GO:0034518	2	Amillepora02537	-73.78812022941474
"RNA cap binding complex"	GO:0034518	2	Amillepora09534	16.418244189967844
"RNA cap binding complex"	GO:0034518	2	Amillepora06375	0.1369143822870192
"RNA cap binding complex"	GO:0034518	2	Amillepora23676	-51.83611221430665
"RNA cap binding complex"	GO:0034518	2	Amillepora23712	-0.9388318704523221
"RNA cap binding complex"	GO:0034518	2	Amillepora21205	1.2716387334615058
"RNA cap binding complex"	GO:0034518	2	Amillepora21207	2.7343261502364866
"RNA cap binding complex"	GO:0034518	2	Amillepora21615	29.946244768412154
"RNA cap binding complex"	GO:0034518	2	Amillepora28811	-17.770258786075786
"RNA cap binding complex"	GO:0034518	2	Amillepora30489	-0.1640955337665625
"phagocytic vesicle"	GO:0045335	2	Amillepora17050	-2.0792340332589894
"phagocytic vesicle"	GO:0045335	2	Amillepora17114	0.1983324305573135
"phagocytic vesicle"	GO:0045335	2	Amillepora18491	2.730503206020389
"phagocytic vesicle"	GO:0045335	2	Amillepora12932	0.520111596943116
"phagocytic vesicle"	GO:0045335	2	Amillepora14026	-0.36341172731992105
"phagocytic vesicle"	GO:0045335	2	Amillepora14735	78.05196547667677
"phagocytic vesicle"	GO:0045335	2	Amillepora15151	-26.52299968524316
"phagocytic vesicle"	GO:0045335	2	Amillepora25093	-2.4588236404999533
"phagocytic vesicle"	GO:0045335	2	Amillepora25301	9.296626450681659
"phagocytic vesicle"	GO:0045335	2	Amillepora26027	-17.255189117052034
"phagocytic vesicle"	GO:0045335	2	Amillepora26133	53.23210540238737
"phagocytic vesicle"	GO:0045335	2	Amillepora26234	21.18947971777637
"phagocytic vesicle"	GO:0045335	2	Amillepora00065	0.6066328777948695
"phagocytic vesicle"	GO:0045335	2	Amillepora00093	14.746277793294178
"phagocytic vesicle"	GO:0045335	2	Amillepora00777	50.91959948891764
"phagocytic vesicle"	GO:0045335	2	Amillepora00790	50.18155502354195
"phagocytic vesicle"	GO:0045335	2	Amillepora02498	-0.5226637168834397
"phagocytic vesicle"	GO:0045335	2	Amillepora02852	10.810772369430218
"phagocytic vesicle"	GO:0045335	2	Amillepora02859	4.120091400367624
"phagocytic vesicle"	GO:0045335	2	Amillepora03044	-6.285516227180697
"phagocytic vesicle"	GO:0045335	2	Amillepora03170	124.35168925735334
"phagocytic vesicle"	GO:0045335	2	Amillepora03360	0.0951824231720435
"phagocytic vesicle"	GO:0045335	2	Amillepora04372	-36.4931374262809
"phagocytic vesicle"	GO:0045335	2	Amillepora04614	4.222110155017654
