name	term	lev	seq	value
"apical junction complex"	GO:0043296	3	Amillepora18436	3.428879446999507
"apical junction complex"	GO:0043296	3	Amillepora18486	0.6551162774637797
"apical junction complex"	GO:0043296	3	Amillepora27500	1.6599638115498483
"apical junction complex"	GO:0043296	3	Amillepora14161	1.7493770757559544
"apical junction complex"	GO:0043296	3	Amillepora14260	0.085318095072401
"apical junction complex"	GO:0043296	3	Amillepora15149	3.4475410879114934
"apical junction complex"	GO:0043296	3	Amillepora16163	0.18304814233657843
"apical junction complex"	GO:0043296	3	Amillepora25311	0.7670708841419398
"apical junction complex"	GO:0043296	3	Amillepora26161	0.13827453343519266
"apical junction complex"	GO:0043296	3	Amillepora01063	1.6099853563344686
"apical junction complex"	GO:0043296	3	Amillepora01134	0.09727359065957077
"apical junction complex"	GO:0043296	3	Amillepora01484	0.23782840104136782
"apical junction complex"	GO:0043296	3	Amillepora01784	0.5352662595419456
"apical junction complex"	GO:0043296	3	Amillepora01848	0.7744096961144137
"apical junction complex"	GO:0043296	3	Amillepora03360	0.914235727683472
"apical junction complex"	GO:0043296	3	Amillepora03714	0.34066702752532524
"apical junction complex"	GO:0043296	3	Amillepora03800	0.33714297390880893
"apical junction complex"	GO:0043296	3	Amillepora03991	0.17730015663168242
"apical junction complex"	GO:0043296	3	Amillepora04348	0.08956988676778155
"apical junction complex"	GO:0043296	3	Amillepora05471	0.28131141017216477
"apical junction complex"	GO:0043296	3	Amillepora05936	3.2891482948045696
"apical junction complex"	GO:0043296	3	Amillepora22520	2.960530858501455
"apical junction complex"	GO:0043296	3	Amillepora22521	0.9471991289611312
"apical junction complex"	GO:0043296	3	Amillepora22523	0.09848278590340966
"apical junction complex"	GO:0043296	3	Amillepora08857	0.16851994095570574
"apical junction complex"	GO:0043296	3	Amillepora08856	0.338919541979888
"apical junction complex"	GO:0043296	3	Amillepora10097	1.754220254354366
"apical junction complex"	GO:0043296	3	Amillepora10757	0.7604507445606383
"apical junction complex"	GO:0043296	3	Amillepora10760	0.8937876700173567
"apical junction complex"	GO:0043296	3	Amillepora10759	2.730847381984085
"apical junction complex"	GO:0043296	3	Amillepora06645	0.03955834114678294
"apical junction complex"	GO:0043296	3	Amillepora06805	0.11477115349560099
"apical junction complex"	GO:0043296	3	Amillepora08358	0.6876185219109602
"apical junction complex"	GO:0043296	3	Amillepora08361	0.23697835930739156
"apical junction complex"	GO:0043296	3	Amillepora18885	0.23549794012972683
"apical junction complex"	GO:0043296	3	Amillepora19364	1.7263037738128955
"apical junction complex"	GO:0043296	3	Amillepora12424	0.158594634652248
"apical junction complex"	GO:0043296	3	Amillepora23659	3.095953961621291
"apical junction complex"	GO:0043296	3	Amillepora24738	0.42429538178789317
"apical junction complex"	GO:0043296	3	Amillepora20538	0.4777259736174995
"apical junction complex"	GO:0043296	3	Amillepora30732	0.21506303491491632
"apical junction complex"	GO:0043296	3	Amillepora30734	0.5917638594457715
"apical junction complex"	GO:0043296	3	Amillepora33560	1.0420299300888343
"secretory granule lumen"	GO:0034774	2	Amillepora15033	0.04950054881095345
"secretory granule lumen"	GO:0034774	2	Amillepora03028	2.608519985988373
"secretory granule lumen"	GO:0034774	2	Amillepora03033	5.575630836697393
"secretory granule lumen"	GO:0034774	2	Amillepora22469	1.573371459532805
"secretory granule lumen"	GO:0034774	2	Amillepora22468	0.4161306936301567
"secretory granule lumen"	GO:0034774	2	Amillepora22470	2.706167757261398
"secretory granule lumen"	GO:0034774	2	Amillepora22643	1.8988221468528164
"secretory granule lumen"	GO:0034774	2	Amillepora09932	0.4117831507211781
"secretory granule lumen"	GO:0034774	2	Amillepora19099	1.393986747733549
"secretory granule lumen"	GO:0034774	2	Amillepora29445	0.5021460981217798
"organelle subcompartment"	GO:0031984	2	Amillepora16814	1.3164786499737529
"organelle subcompartment"	GO:0031984	2	Amillepora17105	0.33895488090360887
"organelle subcompartment"	GO:0031984	2	Amillepora17860	0.20143881931469806
"organelle subcompartment"	GO:0031984	2	Amillepora17864	0.3074631899281908
"organelle subcompartment"	GO:0031984	2	Amillepora18012	0.0400295579148737
"organelle subcompartment"	GO:0031984	2	Amillepora18434	1.0321727662235556
"organelle subcompartment"	GO:0031984	2	Amillepora18484	0.6962135998004342
"organelle subcompartment"	GO:0031984	2	Amillepora18536	1.3169532803345736
"organelle subcompartment"	GO:0031984	2	Amillepora26482	0.4406256749722317
"organelle subcompartment"	GO:0031984	2	Amillepora26762	0.25972955964674893
"organelle subcompartment"	GO:0031984	2	Amillepora27522	0.7991147329852296
"organelle subcompartment"	GO:0031984	2	Amillepora12978	4.841656210979358
"organelle subcompartment"	GO:0031984	2	Amillepora13185	1.5154867640440066
"organelle subcompartment"	GO:0031984	2	Amillepora14161	1.7493770757559544
"organelle subcompartment"	GO:0031984	2	Amillepora14377	1.1607693778196926
"organelle subcompartment"	GO:0031984	2	Amillepora14389	0.8765775062530857
"organelle subcompartment"	GO:0031984	2	Amillepora14449	0.9761339293583381
"organelle subcompartment"	GO:0031984	2	Amillepora14593	1.4922344426745189
"organelle subcompartment"	GO:0031984	2	Amillepora14657	1.9702850042207887
"organelle subcompartment"	GO:0031984	2	Amillepora14864	0.9297499533770167
"organelle subcompartment"	GO:0031984	2	Amillepora15009	0.18341474771721716
"organelle subcompartment"	GO:0031984	2	Amillepora15157	0.43457920787662363
"organelle subcompartment"	GO:0031984	2	Amillepora15459	0.47550140617260084
"organelle subcompartment"	GO:0031984	2	Amillepora15460	0.20217624300660222
"organelle subcompartment"	GO:0031984	2	Amillepora15763	1.2369008977600962
"organelle subcompartment"	GO:0031984	2	Amillepora16105	0.1857488932934209
"organelle subcompartment"	GO:0031984	2	Amillepora16133	0.019750710695354907
"organelle subcompartment"	GO:0031984	2	Amillepora16261	0.4604669797150616
"organelle subcompartment"	GO:0031984	2	Amillepora16297	0.12265738513035036
