name	term	lev	seq	value
"RNA cap binding complex"	GO:0034518	2	Amillepora27341	0.09578249032552494
"RNA cap binding complex"	GO:0034518	2	Amillepora02537	1.505518537434094
"RNA cap binding complex"	GO:0034518	2	Amillepora09534	2.9917083567757277
"RNA cap binding complex"	GO:0034518	2	Amillepora06375	-2.5809672845004656
"RNA cap binding complex"	GO:0034518	2	Amillepora23676	-0.04729051984257772
"RNA cap binding complex"	GO:0034518	2	Amillepora23712	6.021489957900009
"RNA cap binding complex"	GO:0034518	2	Amillepora21205	-0.48072432734838155
"RNA cap binding complex"	GO:0034518	2	Amillepora21207	-0.5956598582844524
"RNA cap binding complex"	GO:0034518	2	Amillepora21615	2.63194056228607
"RNA cap binding complex"	GO:0034518	2	Amillepora28811	-0.31564879811913343
"RNA cap binding complex"	GO:0034518	2	Amillepora30489	-0.3238096637662789
"trans-Golgi network membrane"	GO:0032588	5	Amillepora17050	5.706192274922304
"trans-Golgi network membrane"	GO:0032588	5	Amillepora14161	6.578150697922073
"trans-Golgi network membrane"	GO:0032588	5	Amillepora14202	0.0313288392367086
"trans-Golgi network membrane"	GO:0032588	5	Amillepora15009	0.34030913359666853
"trans-Golgi network membrane"	GO:0032588	5	Amillepora15570	-0.3820533134687472
"trans-Golgi network membrane"	GO:0032588	5	Amillepora15763	0.1234018340096172
"trans-Golgi network membrane"	GO:0032588	5	Amillepora16401	6.484848983540586
"trans-Golgi network membrane"	GO:0032588	5	Amillepora25311	2.3292828611389664
"trans-Golgi network membrane"	GO:0032588	5	Amillepora25722	-0.30870364138835704
"trans-Golgi network membrane"	GO:0032588	5	Amillepora25727	1.3419498146911388
"trans-Golgi network membrane"	GO:0032588	5	Amillepora26002	-0.9884026133982541
"trans-Golgi network membrane"	GO:0032588	5	Amillepora26161	-2.723228645313101
"trans-Golgi network membrane"	GO:0032588	5	Amillepora00263	0.860328969638667
"trans-Golgi network membrane"	GO:0032588	5	Amillepora00777	0.1038273985251261
"trans-Golgi network membrane"	GO:0032588	5	Amillepora00790	-0.009121755233991415
"trans-Golgi network membrane"	GO:0032588	5	Amillepora01071	-1.0348145707112144
"trans-Golgi network membrane"	GO:0032588	5	Amillepora01371	-0.992135284855766
"trans-Golgi network membrane"	GO:0032588	5	Amillepora01614	-0.854239182174937
"trans-Golgi network membrane"	GO:0032588	5	Amillepora02498	-5.13298344664658
"trans-Golgi network membrane"	GO:0032588	5	Amillepora04352	-0.17817863886514304
"trans-Golgi network membrane"	GO:0032588	5	Amillepora05403	7.1211358258984
"trans-Golgi network membrane"	GO:0032588	5	Amillepora06090	0.9519075773125119
"trans-Golgi network membrane"	GO:0032588	5	Amillepora22862	-0.3253875135495063
"trans-Golgi network membrane"	GO:0032588	5	Amillepora23167	-0.8426496401099103
"trans-Golgi network membrane"	GO:0032588	5	Amillepora23429	2.997465517164104
"trans-Golgi network membrane"	GO:0032588	5	Amillepora08650	4.175707621181952
"trans-Golgi network membrane"	GO:0032588	5	Amillepora09127	-1.9979717814477886
"trans-Golgi network membrane"	GO:0032588	5	Amillepora06645	1.9679661843173013
"trans-Golgi network membrane"	GO:0032588	5	Amillepora07211	2.2460386088258333
"trans-Golgi network membrane"	GO:0032588	5	Amillepora19007	-16.86587232850604
"trans-Golgi network membrane"	GO:0032588	5	Amillepora19011	7.164232414302431
"trans-Golgi network membrane"	GO:0032588	5	Amillepora19585	3.035606003520513
"trans-Golgi network membrane"	GO:0032588	5	Amillepora19748	-0.6455875730277993
"trans-Golgi network membrane"	GO:0032588	5	Amillepora19985	2.7935820516102834
"trans-Golgi network membrane"	GO:0032588	5	Amillepora12908	-9.336183958689086
"trans-Golgi network membrane"	GO:0032588	5	Amillepora24822	-0.4754705257692712
"trans-Golgi network membrane"	GO:0032588	5	Amillepora21121	1.5333579562184805
"trans-Golgi network membrane"	GO:0032588	5	Amillepora28046	-0.03893122598338729
"trans-Golgi network membrane"	GO:0032588	5	Amillepora31298	1.4078620538923354
"trans-Golgi network membrane"	GO:0032588	5	Amillepora31473	-0.8936312544433513
"trans-Golgi network membrane"	GO:0032588	5	Amillepora29740	-0.546936917779944
"trans-Golgi network membrane"	GO:0032588	5	Amillepora29748	-0.5231451592807346
"trans-Golgi network membrane"	GO:0032588	5	Amillepora32422	1.0923293602646371
"trans-Golgi network membrane"	GO:0032588	5	Amillepora32443	2.7125068020867684
"trans-Golgi network membrane"	GO:0032588	5	Amillepora34500	-0.3863794903236008
"trans-Golgi network membrane"	GO:0032588	5	Amillepora36532	-1.1980462222495183
"npBAF complex"	GO:0071564	2	Amillepora27395	-0.5743708239348184
"npBAF complex"	GO:0071564	2	Amillepora25472	-1.1593120063219273
"npBAF complex"	GO:0071564	2	Amillepora25488	-1.0911416605033273
"npBAF complex"	GO:0071564	2	Amillepora10023	-1.8930082210485941
"npBAF complex"	GO:0071564	2	Amillepora19861	-2.212663953447339
"npBAF complex"	GO:0071564	2	Amillepora10969	-1.1766484175369536
"npBAF complex"	GO:0071564	2	Amillepora11945	-0.6856348576517276
"npBAF complex"	GO:0071564	2	Amillepora12675	-1.2775284281305688
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora18543	0.08385132295805092
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora14876	-0.601678731754535
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora16248	0.15869687531537296
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora25718	1.606784370986285
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora01992	-0.19787407222253506
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora03064	-0.051421917469194896
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora04310	0.3862624388999703
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora04980	0.30595977358814735
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora05009	0.41302792555842055
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora05213	-0.16016364333940025
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora22120	0.7153136869753103
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora12480	3.5328977046576613
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora29723	0.48449062164948375
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora29763	0.6854562082633978
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora29767	0.24587919190259255
"COPI-coated vesicle membrane"	GO:0030663	2	Amillepora32283	1.3370339274496401
