name	term	lev	seq	value
"nuclear matrix"	GO:0016363	4	Amillepora16975	0.6997255976446912
"nuclear matrix"	GO:0016363	4	Amillepora17278	1.3522110494369717
"nuclear matrix"	GO:0016363	4	Amillepora26297	1.222384520264019
"nuclear matrix"	GO:0016363	4	Amillepora26813	-0.09022937177667725
"nuclear matrix"	GO:0016363	4	Amillepora27337	0.03367981310502976
"nuclear matrix"	GO:0016363	4	Amillepora12941	0.0031006805425211454
"nuclear matrix"	GO:0016363	4	Amillepora14174	1.5290913765476373
"nuclear matrix"	GO:0016363	4	Amillepora15025	0.38463134219714035
"nuclear matrix"	GO:0016363	4	Amillepora15143	-1.264221168784807
"nuclear matrix"	GO:0016363	4	Amillepora15298	-0.8718791876526166
"nuclear matrix"	GO:0016363	4	Amillepora01150	0.5926492809488548
"nuclear matrix"	GO:0016363	4	Amillepora01302	3.4519822126958504
"nuclear matrix"	GO:0016363	4	Amillepora01595	0.08101762567434456
"nuclear matrix"	GO:0016363	4	Amillepora02494	-4.261131407001006
"nuclear matrix"	GO:0016363	4	Amillepora02526	0.59514273889718206
"nuclear matrix"	GO:0016363	4	Amillepora03553	-1.9949702447750028
"nuclear matrix"	GO:0016363	4	Amillepora04407	0.3588412237322998
"nuclear matrix"	GO:0016363	4	Amillepora04674	-10.720357949170019
"nuclear matrix"	GO:0016363	4	Amillepora06133	0.6434837809510319
"nuclear matrix"	GO:0016363	4	Amillepora22859	0.8575557468891009
"nuclear matrix"	GO:0016363	4	Amillepora23208	1.4699172796084332
"nuclear matrix"	GO:0016363	4	Amillepora08737	-1.6464922927827974
"nuclear matrix"	GO:0016363	4	Amillepora08866	-1.7710815663862285
"nuclear matrix"	GO:0016363	4	Amillepora09136	2.0760250474724775
"nuclear matrix"	GO:0016363	4	Amillepora10011	0.10557008111711624
"nuclear matrix"	GO:0016363	4	Amillepora10032	-0.10233366270523973
"nuclear matrix"	GO:0016363	4	Amillepora07016	-0.014190150336757704
"nuclear matrix"	GO:0016363	4	Amillepora07017	-0.04297553264105031
