name	term	lev	seq	value
"protein heterodimerization activity"	GO:0046982	2	Amillepora16872	0.1715945383697887
"protein heterodimerization activity"	GO:0046982	2	Amillepora26508	0.3024145966645364
"protein heterodimerization activity"	GO:0046982	2	Amillepora26503	0.1093966859559384
"protein heterodimerization activity"	GO:0046982	2	Amillepora26511	0.3778973800933004
"protein heterodimerization activity"	GO:0046982	2	Amillepora26506	0.030739304710443376
"protein heterodimerization activity"	GO:0046982	2	Amillepora26531	0.3322174026374947
"protein heterodimerization activity"	GO:0046982	2	Amillepora26541	0.2748033813749712
"protein heterodimerization activity"	GO:0046982	2	Amillepora27208	0.15812814035554332
"protein heterodimerization activity"	GO:0046982	2	Amillepora13104	0.014960077956067382
"protein heterodimerization activity"	GO:0046982	2	Amillepora14585	0.12294302579401338
"protein heterodimerization activity"	GO:0046982	2	Amillepora14735	0.25303609746106515
"protein heterodimerization activity"	GO:0046982	2	Amillepora14764	0.6000034428828501
"protein heterodimerization activity"	GO:0046982	2	Amillepora14891	0.29637068268159356
"protein heterodimerization activity"	GO:0046982	2	Amillepora15277	0.4355626384437961
"protein heterodimerization activity"	GO:0046982	2	Amillepora15379	0.6178053332476687
"protein heterodimerization activity"	GO:0046982	2	Amillepora16163	0.0609417229950307
"protein heterodimerization activity"	GO:0046982	2	Amillepora25015	0.4545964176093384
"protein heterodimerization activity"	GO:0046982	2	Amillepora26172	0.16441933149647292
"protein heterodimerization activity"	GO:0046982	2	Amillepora26173	0.14237101114946527
"protein heterodimerization activity"	GO:0046982	2	Amillepora00136	0.5429121989110999
"protein heterodimerization activity"	GO:0046982	2	Amillepora00983	1.4138727026690905
"protein heterodimerization activity"	GO:0046982	2	Amillepora01000	0.4559116178641883
"protein heterodimerization activity"	GO:0046982	2	Amillepora01009	0.605522823662911
"protein heterodimerization activity"	GO:0046982	2	Amillepora01087	0.07330065624295562
"protein heterodimerization activity"	GO:0046982	2	Amillepora01382	0.3210673692652184
"protein heterodimerization activity"	GO:0046982	2	Amillepora02576	0.01205061464159873
"protein heterodimerization activity"	GO:0046982	2	Amillepora03517	0.5319287574450545
"protein heterodimerization activity"	GO:0046982	2	Amillepora05133	0.24018987657572066
"protein heterodimerization activity"	GO:0046982	2	Amillepora05182	0.10247021635774346
"protein heterodimerization activity"	GO:0046982	2	Amillepora22163	0.05056905691140345
"protein heterodimerization activity"	GO:0046982	2	Amillepora22519	0.0916575399410175
"protein heterodimerization activity"	GO:0046982	2	Amillepora23154	0.35093765273685873
"protein heterodimerization activity"	GO:0046982	2	Amillepora23155	0.46176810883801744
"protein heterodimerization activity"	GO:0046982	2	Amillepora10175	0.14955651141149415
"protein heterodimerization activity"	GO:0046982	2	Amillepora06222	0.8202053923206323
"protein heterodimerization activity"	GO:0046982	2	Amillepora08007	0.38778671598562475
"protein heterodimerization activity"	GO:0046982	2	Amillepora08025	0.6557934924470387
"protein heterodimerization activity"	GO:0046982	2	Amillepora08564	0.529668594101776
"protein heterodimerization activity"	GO:0046982	2	Amillepora08565	0.6741261554036105
"protein heterodimerization activity"	GO:0046982	2	Amillepora20226	0.11606173577412124
"protein heterodimerization activity"	GO:0046982	2	Amillepora20260	0.10674282511917241
"protein heterodimerization activity"	GO:0046982	2	Amillepora20335	0.02564933458824147
"protein heterodimerization activity"	GO:0046982	2	Amillepora11254	4.828904755027557e-4
"protein heterodimerization activity"	GO:0046982	2	Amillepora11671	0.15226513066195188
"protein heterodimerization activity"	GO:0046982	2	Amillepora11729	0.1628100709351273
"protein heterodimerization activity"	GO:0046982	2	Amillepora11832	0.16743840333652915
"protein heterodimerization activity"	GO:0046982	2	Amillepora11830	0.18176535474229943
"protein heterodimerization activity"	GO:0046982	2	Amillepora12516	0.11168944365590745
"protein heterodimerization activity"	GO:0046982	2	Amillepora24696	0.2954989416218444
"protein heterodimerization activity"	GO:0046982	2	Amillepora20473	0.06351057313593086
"protein heterodimerization activity"	GO:0046982	2	Amillepora20571	0.3177456598617456
"protein heterodimerization activity"	GO:0046982	2	Amillepora20573	0.15743644048263483
"protein heterodimerization activity"	GO:0046982	2	Amillepora20947	0.5598885375185755
"protein heterodimerization activity"	GO:0046982	2	Amillepora21104	0.3885760007174033
"protein heterodimerization activity"	GO:0046982	2	Amillepora21327	0.397932528017334
"protein heterodimerization activity"	GO:0046982	2	Amillepora31929	0.15463799281798812
"protein heterodimerization activity"	GO:0046982	2	Amillepora31787	0.2754914003692108
"protein heterodimerization activity"	GO:0046982	2	Amillepora30348	0.06617251799181512
"protein heterodimerization activity"	GO:0046982	2	Amillepora30349	0.3737891986494054
"protein heterodimerization activity"	GO:0046982	2	Amillepora33789	0.17122940526763258
"protein heterodimerization activity"	GO:0046982	2	Amillepora33792	0.025420988947740784
"protein heterodimerization activity"	GO:0046982	2	Amillepora35525	0.2527014372294617
"protein heterodimerization activity"	GO:0046982	2	Amillepora31830	0.2932679246937137
"protein heterodimerization activity"	GO:0046982	2	Amillepora31831	0.24119405692373835
"protein heterodimerization activity"	GO:0046982	2	Amillepora31835	0.5832691431933804
"protein heterodimerization activity"	GO:0046982	2	Amillepora31832	0.6585257479438659
"protein heterodimerization activity"	GO:0046982	2	Amillepora36938	0.18944147628944136
"protein heterodimerization activity"	GO:0046982	2	Amillepora36020	0.2858114912817419
"protein heterodimerization activity"	GO:0046982	2	Amillepora34064	0.2752967009773558
"electron transfer activity"	GO:0009055	3	Amillepora16811	0.4300788800189427
"electron transfer activity"	GO:0009055	3	Amillepora16896	0.34758028343261715
"electron transfer activity"	GO:0009055	3	Amillepora13633	0.1940260372794954
"electron transfer activity"	GO:0009055	3	Amillepora14179	0.17680545782156284
"electron transfer activity"	GO:0009055	3	Amillepora14800	0.20735195413593246
"electron transfer activity"	GO:0009055	3	Amillepora14801	0.613738576405287
"electron transfer activity"	GO:0009055	3	Amillepora16068	0.011692906616443954
"electron transfer activity"	GO:0009055	3	Amillepora16532	0.09196315619448003
"electron transfer activity"	GO:0009055	3	Amillepora24988	0.23593228999474863
"electron transfer activity"	GO:0009055	3	Amillepora25738	0.5532579925983422
"electron transfer activity"	GO:0009055	3	Amillepora26105	0.18289562932591807
"electron transfer activity"	GO:0009055	3	Amillepora01041	0.7298905152144689
"electron transfer activity"	GO:0009055	3	Amillepora01201	0.44463417586787274
"electron transfer activity"	GO:0009055	3	Amillepora02720	0.5840868856489793
"electron transfer activity"	GO:0009055	3	Amillepora03225	0.2568799033530556
"electron transfer activity"	GO:0009055	3	Amillepora03234	0.7434563448689718
"electron transfer activity"	GO:0009055	3	Amillepora03233	0.5364395773780981
"electron transfer activity"	GO:0009055	3	Amillepora03416	0.3037776778024329
"electron transfer activity"	GO:0009055	3	Amillepora03432	0.2958596716319707
"electron transfer activity"	GO:0009055	3	Amillepora05703	0.07084022264753909
"electron transfer activity"	GO:0009055	3	Amillepora23081	0.26868043746240766
"electron transfer activity"	GO:0009055	3	Amillepora08608	0.12186393261496721
"electron transfer activity"	GO:0009055	3	Amillepora08611	0.27640447707979904
"electron transfer activity"	GO:0009055	3	Amillepora08689	0.06754932542029134
"electron transfer activity"	GO:0009055	3	Amillepora09001	0.4177588558370672
"electron transfer activity"	GO:0009055	3	Amillepora09021	0.6069110350215969
"electron transfer activity"	GO:0009055	3	Amillepora09023	0.3259479968282722
"electron transfer activity"	GO:0009055	3	Amillepora10454	0.746335072736394
"electron transfer activity"	GO:0009055	3	Amillepora10700	0.30672133957782277
"electron transfer activity"	GO:0009055	3	Amillepora07201	0.09409599347782337
"electron transfer activity"	GO:0009055	3	Amillepora07325	0.32206258363423856
"electron transfer activity"	GO:0009055	3	Amillepora08327	0.5643371005779084
"electron transfer activity"	GO:0009055	3	Amillepora08573	0.27505719742614415
"electron transfer activity"	GO:0009055	3	Amillepora18742	0.36824774343231825
"electron transfer activity"	GO:0009055	3	Amillepora18834	0.2573272193124894
"electron transfer activity"	GO:0009055	3	Amillepora18874	0.5091277670304697
"electron transfer activity"	GO:0009055	3	Amillepora18926	0.047951641899154344
"electron transfer activity"	GO:0009055	3	Amillepora19030	0.08009668338557187
"electron transfer activity"	GO:0009055	3	Amillepora20213	0.3228574199631905
"electron transfer activity"	GO:0009055	3	Amillepora11045	0.5913434460623556
"electron transfer activity"	GO:0009055	3	Amillepora24216	0.7635665939054311
"electron transfer activity"	GO:0009055	3	Amillepora24692	0.4746673328198813
"electron transfer activity"	GO:0009055	3	Amillepora20399	0.38711981072840423
"electron transfer activity"	GO:0009055	3	Amillepora20522	0.16198459360673817
"electron transfer activity"	GO:0009055	3	Amillepora21406	0.4268280512317534
"electron transfer activity"	GO:0009055	3	Amillepora28807	0.4276881668103866
"electron transfer activity"	GO:0009055	3	Amillepora31911	0.026168628078082286
"electron transfer activity"	GO:0009055	3	Amillepora31870	0.4576309230784972
"electron transfer activity"	GO:0009055	3	Amillepora30015	0.1298717027938755
"electron transfer activity"	GO:0009055	3	Amillepora29557	0.20635764241898358
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Amillepora17084	0.15923354349949967
"oxidoreductase activity, acting on CH-OH group of donors"	GO:0016614	3	Amillepora17507	0.16267678031827895
