name	term	lev	seq	value
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora18188	0.04950746165984867
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora18538	0.2265502407202035
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora26835	0.1531528271487874
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora27303	0.3142670446026632
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora27322	0.09265616244226992
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora27323	0.06788430344115148
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora13493	0.4623986533351143
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora14479	0.03707835008347102
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora15180	0.26223607803962934
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora16605	0.40345002936653157
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora16714	0.1694364125367807
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora24860	0.7523618850078809
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora24874	1.1556435305619432
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora24897	0.8228518704809253
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora00273	0.03624007339801602
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora00723	1.139629634776866
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora01086	1.08352710932271
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora01177	0.5009531157585134
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora01199	0.40771253657949824
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora01198	0.05237861601378728
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora01302	0.10887349783987231
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora01442	0.8461481986505573
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora01453	0.8630421643961129
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora02016	5.007562660501101
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora02579	0.31246398496910677
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora03038	2.0869120881041443
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora03037	0.18751149011815232
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora04718	0.3297777227211049
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora05693	0.14913000474790952
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora06020	0.18752054510283547
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora09453	2.9124233966346513
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora09461	2.1552345938608566
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora09486	0.268129940168347
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora09685	0.2923389846006412
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora10215	0.002422661391017641
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora10233	6.846893009066103e-4
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora10236	0.02060231483659667
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora10241	1.3665467318427966
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora10244	0.8480394069870738
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora10451	0.7912860518262125
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora10710	0.26730825071628606
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora10847	0.31810963496379124
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora06283	0.8040330255540247
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora07513	0.21456546281082342
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora07654	0.17971681257533584
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora08020	0.062409251803071386
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora08471	0.2826079345286679
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora08513	0.08052371537045297
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora19137	1.766736957235544
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora19539	0.2252320704963387
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora19583	0.6393307474226179
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora20150	0.19341959392241298
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora20230	0.16423238771332788
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora12603	0.8485560265344919
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora12736	2.5302648226730216
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora12767	0.2863803414787124
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora12760	0.05498325641179806
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora24109	0.16106795237353264
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora24297	0.1892797388952854
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora24648	0.42416682403974787
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora24757	0.03142638273230131
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora20461	1.2311055349627287
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora20462	0.0945634871151086
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora20565	0.7669982766107712
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora20580	0.1865832175274196
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora21131	0.5229478867654793
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora27919	0.050575599926307196
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora31070	0.26707038842592584
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora35530	0.046973411399666876
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora33906	0.006968345335645655
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora33909	0.020789335885574613
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora32558	0.061442022891699075
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora32008	0.20338792869837918
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora32021	0.03223989537692664
"ubiquitin-like protein transferase activity"	GO:0019787	2	Amillepora35404	0.4712207835833024
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora16814	0.048015104275207304
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora17050	0.37774182427749553
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora17893	0.2773244408146166
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora18351	0.5781492077641527
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora18350	0.572279181438502
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora26508	0.8166107754396772
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora26503	0.6818888347521944
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora26511	0.05280543969528192
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora26506	0.653245043976145
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora26614	0.057789551651880926
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora27540	0.02240672673672398
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora13451	0.10610642600080365
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora14026	0.024128076877623562
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora14297	0.003069659006909415
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora14299	0.4592896006909309
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora14593	2.171838302451198
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora14657	1.5278519310109986
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora14822	0.007315354039817771
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora14864	0.5421916445135332
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora14915	0.11464074931080248
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora15086	2.2198241982466693
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora15114	3.2702068955802965
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora15378	0.2475097595904436
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora15503	0.08351219410630703
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora15812	0.24071154493725536
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora16712	0.258329087784206
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora24978	0.0552059369390978
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora25094	0.5694586903871157
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora25161	0.06634360510443894
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora25166	0.7982311702793116
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora25177	1.6549741303153949
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora25181	0.1490721991722377
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora00743	0.04858299925567418
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora01177	0.5009531157585134
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora01199	0.40771253657949824
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora01198	0.05237861601378728
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora01463	2.174687163543811
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora02102	0.06345863560800401
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora03354	0.3065021765633127
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora03421	1.7765458097235265
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora03428	2.3939808972418803
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora03655	0.17814713675549385
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora04316	0.08137376894417948
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora04375	0.058244288982112175
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora04404	0.23591638786217328
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora04864	0.2670275009034966
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora05621	0.01428601430624228
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora23234	0.3685316866325768
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora23297	0.7416946000170238
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora09211	0.12446927033623642
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora09212	0.31838575612807213
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora09988	0.6698364841914092
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora10347	0.2543767753938446
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora06177	0.623750476621685
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora07217	0.08037248343065294
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora07259	0.06992101346910572
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora07703	0.4036314788423447
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora18680	0.5800918234085507
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora19723	0.026357304745440114
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora11097	0.22125950081941267
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora11357	0.4082115896813706
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora12404	0.842450575410295
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora12470	0.06067357322279949
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora12724	0.21337170037350078
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora23513	0.4271143547506506
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora24835	0.17959474963272426
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora20672	0.4955063848803988
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora21398	0.5215084091489137
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora27862	0.3282881691101745
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora29168	2.223298687041187
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora29173	1.9167156295834122
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora28076	1.02696069425994
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora28073	0.4837213424852461
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora28100	2.9145891161477158
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora28146	2.329948508647142
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora28732	1.3983382676390763
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora30838	0.4055837915841848
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora29913	3.1676911913577945
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora29807	1.809294877687644
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora29808	0.7740313796293584
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora29809	0.07716688742329807
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora29825	0.5697579363946166
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora34685	0.2870344462871336
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora34679	0.34845428367037984
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora33317	2.0884577904488353
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora31886	0.2934584923722541
"nucleoside-triphosphatase regulator activity"	GO:0060589	2	Amillepora30001	0.4940857607761358
