name	term	lev	seq	value
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora26478	2.1199277347685213
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora26849	0.025882642033740244
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora12983	0.018424550994735528
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora13122	0.43443727803282245
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora15449	1.3889375510857853
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora15523	1.5139694352521986
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora15538	0.3411303062968924
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora16185	1.3049163986127508
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora16396	1.6103714805091032
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora16628	0.20112984110854693
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora24942	0.030977961071892313
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora24993	0.3218341881960264
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora25067	0.6372247636233236
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora25472	0.45934944701742625
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora25488	0.357938836793158
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora26167	3.0225565026106174
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora26168	1.4244897134891035
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora00098	1.5318361906764901
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora00969	3.6716926891582857
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora02499	6.998163928663463
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora02759	3.6903663841447836
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora03103	5.331721134793986
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora03515	0.11064296601018458
"obsolete transcription factor activity, RNA polymerase II transcription factor binding"	GO:0001076	-1	Amillepora03516	0.5372180383542842
