name	term	lev	seq	value
"molecular function regulator"	GO:0098772	1	Amillepora16814	2.8830783447148014
"molecular function regulator"	GO:0098772	1	Amillepora16928	34.11968044812473
"molecular function regulator"	GO:0098772	1	Amillepora16986	0.6011818890470593
"molecular function regulator"	GO:0098772	1	Amillepora16996	4.284264599267682
"molecular function regulator"	GO:0098772	1	Amillepora17893	22.979991092368863
"molecular function regulator"	GO:0098772	1	Amillepora17953	8.469052190735253
"molecular function regulator"	GO:0098772	1	Amillepora17967	1.3356721263856057
"molecular function regulator"	GO:0098772	1	Amillepora18169	12.42230245481483
"molecular function regulator"	GO:0098772	1	Amillepora26511	2.9805313244639926
"molecular function regulator"	GO:0098772	1	Amillepora26623	0.035837292796282706
"molecular function regulator"	GO:0098772	1	Amillepora27540	10.047838471494886
"molecular function regulator"	GO:0098772	1	Amillepora13185	21.43332121653792
"molecular function regulator"	GO:0098772	1	Amillepora13300	2.576524169608421
"molecular function regulator"	GO:0098772	1	Amillepora13447	37.50514567867517
"molecular function regulator"	GO:0098772	1	Amillepora13446	6.190133724280543
"molecular function regulator"	GO:0098772	1	Amillepora13542	2.465146052572858
"molecular function regulator"	GO:0098772	1	Amillepora14098	0.21583924549428368
"molecular function regulator"	GO:0098772	1	Amillepora14161	4.590749953109285
"molecular function regulator"	GO:0098772	1	Amillepora14165	1.717910458550161
"molecular function regulator"	GO:0098772	1	Amillepora14164	22.04648010174765
"molecular function regulator"	GO:0098772	1	Amillepora14260	0.7890233891326248
"molecular function regulator"	GO:0098772	1	Amillepora14299	6.946615652787416
"molecular function regulator"	GO:0098772	1	Amillepora14302	1.357147172298495
"molecular function regulator"	GO:0098772	1	Amillepora14323	5.85000442759884
"molecular function regulator"	GO:0098772	1	Amillepora14593	18.39704614976374
"molecular function regulator"	GO:0098772	1	Amillepora14659	25.554728679510664
"molecular function regulator"	GO:0098772	1	Amillepora14657	15.745485391821742
"molecular function regulator"	GO:0098772	1	Amillepora14808	0.04409826050239779
"molecular function regulator"	GO:0098772	1	Amillepora14833	5.813885163873688
"molecular function regulator"	GO:0098772	1	Amillepora14854	8.275759486343944
"molecular function regulator"	GO:0098772	1	Amillepora14864	12.364753638448311
"molecular function regulator"	GO:0098772	1	Amillepora14908	0.3372664699008412
"molecular function regulator"	GO:0098772	1	Amillepora15174	11.811503391303932
"molecular function regulator"	GO:0098772	1	Amillepora15295	10.714756496161304
"molecular function regulator"	GO:0098772	1	Amillepora15354	19.13185803477309
"molecular function regulator"	GO:0098772	1	Amillepora15503	0.30372703963968983
