name	term	lev	seq	value
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora27566	-6.862508285651098
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora15798	-7.032326537151628
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora25018	41.283619706888544
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora25289	-1.2592196254592805
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora25301	15.889374286960152
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora26055	-5.32397208830178
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora00433	3.718156368251542
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora00445	4.158483432914545
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora01894	-4.451864889541054
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora03360	0.30576663545557425
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora03635	-0.510939932165623
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora04314	-0.44751348627822224
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora04619	1.9885680228977929
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora05297	12.93800882202572
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora06134	-0.7762957019843779
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora22287	5.8273869141963
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora09127	-4.923450994577903
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora10352	-11.809133304629828
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora06645	11.488629680288437
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora07100	-14.015537178655206
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora07097	-6.517089545327142
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora07096	-0.8771002586929417
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora08456	0.5099516874594463
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora19104	-10.842063476180961
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora20181	-3.5717219485318505
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora11679	18.266446451557943
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora23683	0.385802789410874
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora24738	-15.855893277479941
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora20563	-2.5012020594844318
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora20582	-2.1595413634383736
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora29585	0.5163130332228448
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora28815	-14.004237228455251
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora28819	2.820725745113358
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora30730	-29.24572544438399
"ATPase coupled ion transmembrane transporter activity"	GO:0042625;GO:0022853	6	Amillepora30732	-0.021803987772853053
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora26222	-21.720836223204177
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora00065	1.0535906362312453
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora00501	-18.631609899137505
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora00526	-6.370263390599131
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora01764	-13.176775386296152
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora03698	-0.29570569811151076
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora03996	-43.535420563775965
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora03997	0.10437255629938466
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora04936	-72.53064978177133
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora04935	-7.813680514477556
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora05298	14.47880632525846
"L-amino acid transmembrane transporter activity"	GO:0015179	2	Amillepora05429	7.336675062182138
