name	term	lev	seq	value
"amide binding"	GO:0033218	2	Amillepora16872	0.1274677009841051
"amide binding"	GO:0033218	2	Amillepora27251	0.24736779207539145
"amide binding"	GO:0033218	2	Amillepora27324	0.30342445059475676
"amide binding"	GO:0033218	2	Amillepora13941	0.029406856918479232
"amide binding"	GO:0033218	2	Amillepora15328	1.161816177701968
"amide binding"	GO:0033218	2	Amillepora15767	0.326431019750456
"amide binding"	GO:0033218	2	Amillepora16446	0.4805487432986985
"amide binding"	GO:0033218	2	Amillepora16448	0.09532526906604624
"amide binding"	GO:0033218	2	Amillepora16449	0.1039275190742777
"amide binding"	GO:0033218	2	Amillepora16675	0.9927244919976154
"amide binding"	GO:0033218	2	Amillepora25281	0.17229721080260788
"amide binding"	GO:0033218	2	Amillepora25392	0.036936035647405184
"amide binding"	GO:0033218	2	Amillepora00093	0.027806499539410466
"amide binding"	GO:0033218	2	Amillepora00263	0.016207214118419782
"amide binding"	GO:0033218	2	Amillepora01920	0.12780008977479773
"amide binding"	GO:0033218	2	Amillepora02720	1.1542507004230789
"amide binding"	GO:0033218	2	Amillepora04428	1.070855928070195
"amide binding"	GO:0033218	2	Amillepora04953	0.12091249633185416
"amide binding"	GO:0033218	2	Amillepora04972	1.1937806336116692
"amide binding"	GO:0033218	2	Amillepora21958	0.3598598583234322
"amide binding"	GO:0033218	2	Amillepora22118	2.120737567084638
"amide binding"	GO:0033218	2	Amillepora22218	0.8743886421246633
"amide binding"	GO:0033218	2	Amillepora08961	0.07524017541615369
"amide binding"	GO:0033218	2	Amillepora10211	1.5444968532616223
"amide binding"	GO:0033218	2	Amillepora10523	0.5753528136013404
"amide binding"	GO:0033218	2	Amillepora06811	0.04588553508633811
"amide binding"	GO:0033218	2	Amillepora08001	0.33137162722494695
"amide binding"	GO:0033218	2	Amillepora08345	0.05811549549239529
"amide binding"	GO:0033218	2	Amillepora08459	0.26462460140616145
"amide binding"	GO:0033218	2	Amillepora18991	0.7370787855877136
"amide binding"	GO:0033218	2	Amillepora19040	1.1444206901438576
"amide binding"	GO:0033218	2	Amillepora19448	0.5808703910741674
"amide binding"	GO:0033218	2	Amillepora19509	0.2260815864069322
"amide binding"	GO:0033218	2	Amillepora19518	0.45761542322346416
"amide binding"	GO:0033218	2	Amillepora11433	0.4229217019496209
"amide binding"	GO:0033218	2	Amillepora11441	0.1990730936014926
"amide binding"	GO:0033218	2	Amillepora11671	0.7613756978053017
"amide binding"	GO:0033218	2	Amillepora12516	0.5798740464277081
"amide binding"	GO:0033218	2	Amillepora12898	0.38611827573286583
"amide binding"	GO:0033218	2	Amillepora24321	0.9301168813059023
"amide binding"	GO:0033218	2	Amillepora24461	0.5280951163376649
"amide binding"	GO:0033218	2	Amillepora20352	0.6277709215796518
"amide binding"	GO:0033218	2	Amillepora27785	0.00991326156591751
"amide binding"	GO:0033218	2	Amillepora27846	0.4332899969057212
"amide binding"	GO:0033218	2	Amillepora29427	0.4123565711080695
"amide binding"	GO:0033218	2	Amillepora33957	0.4373036926084844
"amide binding"	GO:0033218	2	Amillepora31830	0.1321175156883196
"amide binding"	GO:0033218	2	Amillepora31831	0.531287451901354
"amide binding"	GO:0033218	2	Amillepora36941	0.5225430980338006
"amide binding"	GO:0033218	2	Amillepora30405	0.14327855104858156
"amide binding"	GO:0033218	2	Amillepora36950	0.3422127955938377
"chromatin DNA binding"	GO:0031490	2	Amillepora15219	3.244806876469687
"chromatin DNA binding"	GO:0031490	2	Amillepora15378	0.4050662658812096
"chromatin DNA binding"	GO:0031490	2	Amillepora15564	0.052344475461180325
"chromatin DNA binding"	GO:0031490	2	Amillepora03103	1.1745013550339929
"chromatin DNA binding"	GO:0031490	2	Amillepora22027	0.6397331841176215
"chromatin DNA binding"	GO:0031490	2	Amillepora08816	0.1155774023773822
"chromatin DNA binding"	GO:0031490	2	Amillepora06476	0.23248742471859016
"chromatin DNA binding"	GO:0031490	2	Amillepora06616	0.30555883630945535
"chromatin DNA binding"	GO:0031490	2	Amillepora19240	0.27331012825526085
"chromatin DNA binding"	GO:0031490	2	Amillepora30026	0.8534118427171284
"chromatin DNA binding"	GO:0031490	2	Amillepora30092	0.45789045789879546
"phosphatidylinositol binding"	GO:0035091	3	Amillepora26297	0.10601382512825995
"phosphatidylinositol binding"	GO:0035091	3	Amillepora26603	0.010272572254049256
"phosphatidylinositol binding"	GO:0035091	3	Amillepora27324	0.30342445059475676
"phosphatidylinositol binding"	GO:0035091	3	Amillepora14091	0.5808053268175951
"phosphatidylinositol binding"	GO:0035091	3	Amillepora14170	0.2927038750687265
"phosphatidylinositol binding"	GO:0035091	3	Amillepora14485	0.14781609731344808
"phosphatidylinositol binding"	GO:0035091	3	Amillepora16078	0.18556686992165825
"phosphatidylinositol binding"	GO:0035091	3	Amillepora16297	0.168727291066621
"phosphatidylinositol binding"	GO:0035091	3	Amillepora25586	0.3946624913278612
"phosphatidylinositol binding"	GO:0035091	3	Amillepora00097	1.6717441432847875
"phosphatidylinositol binding"	GO:0035091	3	Amillepora04357	0.04769445528597176
"phosphatidylinositol binding"	GO:0035091	3	Amillepora04361	0.16494053681872659
"phosphatidylinositol binding"	GO:0035091	3	Amillepora04708	2.1393612954439996
"phosphatidylinositol binding"	GO:0035091	3	Amillepora05040	1.1700623056231148
"phosphatidylinositol binding"	GO:0035091	3	Amillepora22366	0.05260184558398975
"phosphatidylinositol binding"	GO:0035091	3	Amillepora08668	0.38108073931089187
"phosphatidylinositol binding"	GO:0035091	3	Amillepora08791	0.4287266231133128
"phosphatidylinositol binding"	GO:0035091	3	Amillepora09138	0.13714319120431784
"phosphatidylinositol binding"	GO:0035091	3	Amillepora09624	0.21364341557369873
"phosphatidylinositol binding"	GO:0035091	3	Amillepora09623	0.15021789871036553
"phosphatidylinositol binding"	GO:0035091	3	Amillepora07217	0.32744203784750736
"phosphatidylinositol binding"	GO:0035091	3	Amillepora07441	0.7744133500522319
"phosphatidylinositol binding"	GO:0035091	3	Amillepora19867	0.7706268116061017
"phosphatidylinositol binding"	GO:0035091	3	Amillepora20340	0.01378187895553955
"phosphatidylinositol binding"	GO:0035091	3	Amillepora12310	1.4493628890347536
"phosphatidylinositol binding"	GO:0035091	3	Amillepora12424	0.539419620605658
"phosphatidylinositol binding"	GO:0035091	3	Amillepora12898	0.38611827573286583
"phosphatidylinositol binding"	GO:0035091	3	Amillepora23671	0.2418483375478396
"phosphatidylinositol binding"	GO:0035091	3	Amillepora23701	0.4948458293838858
"phosphatidylinositol binding"	GO:0035091	3	Amillepora24834	0.1488830446906389
"phosphatidylinositol binding"	GO:0035091	3	Amillepora20346	0.8704014484168155
"phosphatidylinositol binding"	GO:0035091	3	Amillepora20353	0.052358604338764915
"phosphatidylinositol binding"	GO:0035091	3	Amillepora20726	0.020980830463343175
"phosphatidylinositol binding"	GO:0035091	3	Amillepora21743	0.2111122874288538
"phosphatidylinositol binding"	GO:0035091	3	Amillepora31785	0.48555567089125395
"phosphatidylinositol binding"	GO:0035091	3	Amillepora31649	1.090602505928775
"phosphatidylinositol binding"	GO:0035091	3	Amillepora31682	0.3693313085103888
"translation regulator activity"	GO:0045182	1	Amillepora16876	0.6078209332427744
"translation regulator activity"	GO:0045182	1	Amillepora27509	0.14833815751827176
"translation regulator activity"	GO:0045182	1	Amillepora14845	1.0613698960419014
"translation regulator activity"	GO:0045182	1	Amillepora15176	0.5270196771698593
"translation regulator activity"	GO:0045182	1	Amillepora15175	0.7440301150341544
