name	term	lev	seq	value
"monosaccharide binding"	GO:0048029	2	Amillepora26953	0.4961338807184811
"monosaccharide binding"	GO:0048029	2	Amillepora14097	-0.1351111267533319
"monosaccharide binding"	GO:0048029	2	Amillepora14583	-0.08668229063509969
"monosaccharide binding"	GO:0048029	2	Amillepora15017	0.12970145750499387
"monosaccharide binding"	GO:0048029	2	Amillepora15383	0.1879468441722009
"monosaccharide binding"	GO:0048029	2	Amillepora01220	0.14926959479429608
"monosaccharide binding"	GO:0048029	2	Amillepora03684	-0.18012886489132057
"monosaccharide binding"	GO:0048029	2	Amillepora03716	0.4765947985212264
"monosaccharide binding"	GO:0048029	2	Amillepora04734	-0.08093812518294548
"monosaccharide binding"	GO:0048029	2	Amillepora09408	0.3269212788422306
"monosaccharide binding"	GO:0048029	2	Amillepora09409	0.16479815661981825
"monosaccharide binding"	GO:0048029	2	Amillepora09410	0.10397052210032783
"monosaccharide binding"	GO:0048029	2	Amillepora09411	0.09292634303789743
"monosaccharide binding"	GO:0048029	2	Amillepora09413	0.28590547285564893
"monosaccharide binding"	GO:0048029	2	Amillepora06216	-0.22414416106816998
"monosaccharide binding"	GO:0048029	2	Amillepora08370	-0.2768517224384485
"monosaccharide binding"	GO:0048029	2	Amillepora08583	0.05432447779663399
"monosaccharide binding"	GO:0048029	2	Amillepora18804	0.12133183183346437
"monosaccharide binding"	GO:0048029	2	Amillepora18947	0.3491274970689749
"monosaccharide binding"	GO:0048029	2	Amillepora10981	0.15573746139186115
"monosaccharide binding"	GO:0048029	2	Amillepora12441	0.15889911448464514
"monosaccharide binding"	GO:0048029	2	Amillepora35693	0.15408862844743074
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora16807	-0.032399948584903374
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora16694	0.035303163665524634
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora25398	0.06756119551647495
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora02912	-0.2541624783056131
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora21958	0.5724061835242639
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora22307	0.04013872773731212
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora23063	-0.11271574917482684
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora09078	-0.12038334902830103
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora19565	-0.15086328304061639
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora19957	-0.05870511683090658
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora20222	0.019559675618800572
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora23959	0.31306707247533766
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora23962	-0.0905587030543332
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora24745	-0.23772083524830995
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora21253	0.3618542168091823
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora27846	-6.348551383918016e-4
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora27849	0.03128514159999229
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora30728	-0.3520184965798938
"peptide transmembrane transporter activity"	GO:1904680	4	Amillepora32569	-0.13922232960296727
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora24980	-0.20812459416963525
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora04844	-0.2214944602365208
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora04843	-0.3963412581118222
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora10422	-0.34214746018725256
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora10420	-0.45811587448465363
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora10423	-0.32095688261865823
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora10421	-0.5650259101405533
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora10429	-0.2524471946523881
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora10433	-0.09400181016039068
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora10428	0.1615889811787845
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora10432	-0.05440309169876457
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora10842	-0.3676622936423176
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora18735	-0.0845484694944905
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora12212	-0.1761458385994431
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora12273	-0.24879966040562668
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora20704	-0.1077832996886132
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora28039	0.1688398006646128
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora29556	-0.07600446771159929
"amino-acid betaine transmembrane transporter activity"	GO:0008513;GO:0015199;GO:0015651;GO:0015226	3	Amillepora36424	0.20604896586073937
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora18540	-0.1706700599356597
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora27436	0.0011964267078535696
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora27533	-0.06544057372255173
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora13104	-0.2730322242655788
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora14334	0.00475008290790873
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora14845	-0.056801649866905585
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora15118	0.5152746010355642
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora15416	-0.4608829607194405
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora15526	-0.22555984276409347
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora16446	-0.12511820519384426
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora16448	-0.14893417196773726
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora25070	0.7414061881217665
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora01010	-0.3665275697561101
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora02634	-0.08133848791168882
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora02717	-0.3202779128314248
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora03935	-0.2942365938109691
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora04296	-0.019054654151010347
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora04295	-0.11646823856250224
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora04628	0.022269610947140216
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora04966	-0.3219407792892032
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora05351	-0.16639112769152115
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora05683	-0.12343606252700728
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora05906	-0.33563843507577446
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora21904	-0.17768928235071602
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora08612	-0.017767599131866492
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora08630	-0.13080988365152385
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora09792	-0.28353509110763064
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora10032	-0.1331622260143151
"S-adenosylmethionine-dependent methyltransferase activity"	GO:0008757	2	Amillepora10837	0.35838062937028936
