"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
752 0.027406125282773 4 37 "GO:0000018" "regulation of DNA recombination" 0.111901297594614
-1000 7.23815110276091e-05 2 68 "GO:0000022" "mitotic spindle elongation" 0.00185016469050308
91 0.643438453178925 2 112 "GO:0000041" "transition metal ion transport" 0.808606092002811
737 0.00124047334113536 4 83 "GO:0000070" "mitotic sister chromatid segregation" 0.0127232333232667
-3 0.980288433132656 2 233 "GO:0000075" "cell cycle checkpoint" 0.991170853571518
-85 0.613367029835796 4 154 "GO:0000077" "DNA damage checkpoint" 0.790066746839844
222 0.478034988704182 7 44 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.685603271241906
-43 0.804822471352805 4 141 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.913094552700716
131 0.504392368962077 4 112 "GO:0000084" "mitotic S phase" 0.704196123580168
196 0.387417864892967 2 84 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.60302539670444
-658 0.033287624800433 2 45 "GO:0000096" "sulfur amino acid metabolic process" 0.127817743120718
154 0.181982268756588 2 339 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.38085811209444
-831 0.00861753453416752 2 43 "GO:0000132" "establishment of mitotic spindle orientation" 0.0528730141647881
-21 0.898717444910754 2 160 "GO:0000165" "MAPK cascade" 0.953743249891934
-646 0.00488655295757184 3 82 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0350999403293094
17 0.958125779862848 3 42 "GO:0000186" "activation of MAPKK activity" 0.981411984480378
-133 0.520622344009434 3 101 "GO:0000187" "activation of MAPK activity" 0.714561228034648
-139 0.437721645631602 9 135 "GO:0000209" "protein polyubiquitination" 0.655148151370873
-351 0.000323292457594495 3 481 "GO:0000226" "microtubule cytoskeleton organization" 0.00497389814826125
810 0.00414732879684818 4 54 "GO:0000236" "mitotic prometaphase" 0.0309621890833551
-20 0.953213708936983 2 37 "GO:0000245" "spliceosomal complex assembly" 0.980785978519781
-127 0.130920826942642 2 666 "GO:0000278" "mitotic cell cycle" 0.311176119987887
167 0.580021572991994 3 47 "GO:0000279" "M phase" 0.762534134932315
236 0.0335789416020297 3 364 "GO:0000280" "nuclear division" 0.12850294122323
-360 0.229617443474522 2 48 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.439360435959232
56 0.751481794339564 4 140 "GO:0000302" "response to reactive oxygen species" 0.878497404153471
-380 0.00708054859418365 2 222 "GO:0000375" "RNA splicing, via transesterification reactions" 0.0456725471641818
-355 0.0128790335821945 9 217 "GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.0683579474747247
-278 0.369308099859582 2 45 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.584066463825332
189 0.277328939288537 2 144 "GO:0000578" "embryonic axis specification" 0.489592260870795
1051 0.00357957896483473 2 33 "GO:0000722" "telomere maintenance via recombination" 0.0279133606264681
1244 2.90518403908141e-06 4 61 "GO:0000723" "telomere maintenance" 0.00017408168571022
565 0.0566579813725903 6 49 "GO:0000724;GO:0000725" "recombinational repair" 0.179758960659811
-935 0.0134292202247012 6 30 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.0702950217279187
-67 0.839235875076767 3 40 "GO:0000768" "syncytium formation by plasma membrane fusion" 0.93331925984245
727 0.000983998633741278 2 89 "GO:0000819" "sister chromatid segregation" 0.0104896250565659
-159 0.0566828870240422 5 683 "GO:0000904" "cell morphogenesis involved in differentiation" 0.179758960659811
307 0.0319380616811193 2 215 "GO:0000910" "cytokinesis" 0.124739222037579
-439 0.0151626908036485 2 133 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.0765942043923205
-168 0.260350995476374 2 198 "GO:0001101" "response to acid chemical" 0.473119885634241
-63 0.649623101719448 2 228 "GO:0001501" "skeletal system development" 0.811599642817005
100 0.644185968771673 2 92 "GO:0001503" "ossification" 0.808606092002811
301 0.365088833159011 4 39 "GO:0001504" "neurotransmitter uptake" 0.580746147023683
-336 0.00895414494415495 3 268 "GO:0001505" "regulation of neurotransmitter levels" 0.0535133544300284
-18 0.93099806050285 4 104 "GO:0001508" "action potential" 0.972435385080978
-340 0.287906597969595 2 42 "GO:0001523" "retinoid metabolic process" 0.499286613539046
16 0.914692687073434 2 187 "GO:0001525" "angiogenesis" 0.962232928050656
-132 0.69832459488449 2 37 "GO:0001541" "ovarian follicle development" 0.844891127817207
411 0.269624552585025 3 31 "GO:0001556" "oocyte maturation" 0.482048021606443
-38 0.781063517661859 4 236 "GO:0001558" "regulation of cell growth" 0.896892776125003
43 0.73824371612259 3 265 "GO:0001568" "blood vessel development" 0.870974581145667
-225 0.472336970093995 4 44 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.680360197774534
500 0.0768618013414879 3 54 "GO:0001570" "vasculogenesis" 0.2176118554479
113 0.754930427743881 2 33 "GO:0001578" "microtubule bundle formation" 0.880658808420315
-245 0.443391965212065 3 42 "GO:0001649" "osteoblast differentiation" 0.659262923460516
-175 0.0750675067601202 2 471 "GO:0001654" "eye development" 0.215004670305401
143 0.265594507825548 2 269 "GO:0001655" "urogenital system development" 0.478070114085986
-41 0.895705645333275 5 43 "GO:0001656" "metanephros development" 0.95215768180386
270 0.361825443383127 6 49 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 0.577412225484311
341 0.35249282591962 4 32 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.568011164406569
-355 0.0181475857835068 3 195 "GO:0001666" "response to hypoxia" 0.0859086337402183
-261 0.0372106914213248 3 284 "GO:0001667" "ameboidal-type cell migration" 0.137101528100901
-276 0.372440193919212 6 45 "GO:0001676" "long-chain fatty acid metabolic process" 0.58688326751145
-765 0.0290465401162587 2 35 "GO:0001678" "cellular glucose homeostasis" 0.117267680575747
-417 0.0165833491059227 2 144 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.0814886304908604
95 0.478752280753655 2 245 "GO:0001701" "in utero embryonic development" 0.686040870532456
-218 0.563656822353835 2 30 "GO:0001702" "gastrulation with mouth forming second" 0.749239103619196
-627 0.0149772615349185 2 65 "GO:0001703" "gastrulation with mouth forming first" 0.0761946085373933
-334 0.121784933400442 3 93 "GO:0001704" "formation of primary germ layer" 0.29708887976456
73 0.846378593993062 2 30 "GO:0001706" "endoderm formation" 0.935082027424649
-361 0.130146345989322 2 76 "GO:0001707" "mesoderm formation" 0.310596040117306
84 0.662644409650145 2 117 "GO:0001708" "cell fate specification" 0.821916453512247
141 0.419881525762848 2 143 "GO:0001709" "cell fate determination" 0.638231130949269
-600 0.0218069812343497 4 63 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.0953061348764189
-583 0.010219909426741 5 84 "GO:0001738" "morphogenesis of a polarized epithelium" 0.0571762500360915
-264 0.0829953833037468 3 190 "GO:0001745" "compound eye morphogenesis" 0.230183298151804
-260 0.178550870484738 7 116 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.375748920604204
-157 0.607368833255008 7 46 "GO:0001752;GO:0042706" "compound eye photoreceptor fate commitment" 0.787316282453006
-186 0.257104177603319 2 162 "GO:0001754" "eye photoreceptor cell differentiation" 0.469699762532067
183 0.62771175708896 2 30 "GO:0001755" "neural crest cell migration" 0.798143264344689
132 0.537813041870311 2 95 "GO:0001756" "somitogenesis" 0.727629409589244
-125 0.463559466307175 2 150 "GO:0001763" "morphogenesis of a branching structure" 0.672308856548686
-285 0.212266399623936 3 83 "GO:0001764" "neuron migration" 0.421573968552677
85 0.45840819162957 2 343 "GO:0001775" "cell activation" 0.669321032643638
-804 0.0199187915447943 4 36 "GO:0001776" "leukocyte homeostasis" 0.0899440720187801
245 0.399541416205856 2 51 "GO:0001816" "cytokine production" 0.615856156439798
73 0.65507666128794 4 162 "GO:0001817" "regulation of cytokine production" 0.816872704136166
486 0.06978665314621 2 60 "GO:0001818" "negative regulation of cytokine production" 0.205267151580068
