"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
101 0.208686523204386 3 53 "GO:0000041" "transition metal ion transport" 0.99999311602495
195 0.0687440576459786 2 47 "GO:0000070" "mitotic sister chromatid segregation" 0.99999311602495
-84 0.824183666954092 3 103 "GO:0000075" "cell cycle checkpoint" 0.99999311602495
-45 0.653606161114369 2 64 "GO:0000077" "DNA damage checkpoint" 0.99999311602495
-98 0.797824264404773 5 59 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.99999311602495
-58 0.676734321949491 2 51 "GO:0000084;GO:0051320" "mitotic S phase" 0.99999311602495
-148 0.851179365851222 5 40 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.99999311602495
132 0.0338485167882539 3 161 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.99999311602495
-170 0.94415873124078 2 72 "GO:0000165" "MAPK cascade" 0.99999311602495
-261 0.971353418591756 3 43 "GO:0000187" "activation of MAPK activity" 0.99999311602495
4 0.487959505979571 2 53 "GO:0000209" "protein polyubiquitination" 0.99999311602495
-162 0.99061282912616 2 180 "GO:0000226" "microtubule cytoskeleton organization" 0.99999311602495
61 0.352435660510912 2 31 "GO:0000236" "mitotic prometaphase" 0.99999311602495
-44 0.77952289563322 3 269 "GO:0000278" "mitotic cell cycle" 0.99999311602495
19 0.391849407094702 2 177 "GO:0000280" "nuclear division" 0.99999311602495
125 0.143596562609087 2 59 "GO:0000302" "response to reactive oxygen species" 0.99999311602495
-67 0.753260957773317 4 86 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.99999311602495
-113 0.849480156273521 2 69 "GO:0000578" "embryonic axis specification" 0.99999311602495
156 0.131390381912921 5 42 "GO:0000723;GO:0032200" "telomere maintenance" 0.99999311602495
135 0.142977531147816 3 51 "GO:0000819" "sister chromatid segregation" 0.99999311602495
-99 0.963102006712242 2 287 "GO:0000904" "cell morphogenesis involved in differentiation" 0.99999311602495
-101 0.881951131708446 3 115 "GO:0000910" "cytokinesis" 0.99999311602495
-252 0.965039466775168 2 42 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.99999311602495
3 0.489207919008006 2 76 "GO:0001101" "response to acid chemical" 0.99999311602495
104 0.132126179312259 2 96 "GO:0001501" "skeletal system development" 0.99999311602495
-37 0.600372059646231 2 38 "GO:0001503" "ossification" 0.99999311602495
-125 0.916965711616169 3 101 "GO:0001505" "regulation of neurotransmitter levels" 0.99999311602495
-88 0.740338747659667 4 44 "GO:0001508" "action potential" 0.99999311602495
108 0.142532230724703 2 81 "GO:0001525" "angiogenesis" 0.99999311602495
-56 0.732168264711302 4 103 "GO:0001558" "regulation of cell growth" 0.99999311602495
67 0.211812308239315 3 119 "GO:0001568" "blood vessel development" 0.99999311602495
-70 0.667714026042745 4 31 "GO:0001570" "vasculogenesis" 0.99999311602495
-71 0.853841630233928 5 187 "GO:0001654" "eye development" 0.99999311602495
128 0.0593398281163549 4 125 "GO:0001655" "urogenital system development" 0.99999311602495
-76 0.762562129219622 2 72 "GO:0001666" "response to hypoxia" 0.99999311602495
-87 0.841746561938289 4 110 "GO:0001667" "ameboidal-type cell migration" 0.99999311602495
-326 0.995996401261517 5 54 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.99999311602495
-31 0.642130504660164 6 112 "GO:0001701" "in utero embryonic development" 0.99999311602495
-89 0.725437273271163 3 37 "GO:0001704" "formation of primary germ layer" 0.99999311602495
-151 0.821654655469401 2 30 "GO:0001707" "mesoderm formation" 0.99999311602495
-1 0.502434365565359 3 56 "GO:0001708" "cell fate specification" 0.99999311602495
39 0.364957115371251 3 65 "GO:0001709" "cell fate determination" 0.99999311602495
-128 0.88907838973913 3 75 "GO:0001745" "compound eye morphogenesis" 0.99999311602495
-78 0.719551269884816 2 45 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.99999311602495
-53 0.681028154424798 4 64 "GO:0001754" "eye photoreceptor cell differentiation" 0.99999311602495
-57 0.665051990164637 2 46 "GO:0001756" "somitogenesis" 0.99999311602495
-54 0.682840350151387 2 64 "GO:0001763" "morphogenesis of a branching structure" 0.99999311602495
86 0.297632404007817 4 31 "GO:0001764" "neuron migration" 0.99999311602495
-137 0.970678683284718 2 160 "GO:0001775" "cell activation" 0.99999311602495
-40 0.647544907919014 4 72 "GO:0001817" "regulation of cytokine production" 0.99999311602495
-63 0.651077774427782 2 31 "GO:0001818" "negative regulation of cytokine production" 0.99999311602495
22 0.432987168936822 2 50 "GO:0001819" "positive regulation of cytokine production" 0.99999311602495
39 0.348552774463519 4 80 "GO:0001822" "kidney development" 0.99999311602495
-22 0.569892979936229 2 50 "GO:0001838" "embryonic epithelial tube formation" 0.99999311602495
-12 0.534627511122572 3 45 "GO:0001841" "neural tube formation" 0.99999311602495
-17 0.544837133833676 4 35 "GO:0001843;GO:0060606;GO:0014020" "neural tube closure" 0.99999311602495
-218 0.941663307123873 2 42 "GO:0001889" "liver development" 0.99999311602495
-209 0.984278533139377 5 87 "GO:0001894" "tissue homeostasis" 0.99999311602495
-136 0.984187534518452 3 216 "GO:0001932" "regulation of protein phosphorylation" 0.99999311602495
-83 0.764073176911324 4 62 "GO:0001933" "negative regulation of protein phosphorylation" 0.99999311602495
-192 0.993220038954159 3 138 "GO:0001934" "positive regulation of protein phosphorylation" 0.99999311602495
21 0.398458471827008 4 128 "GO:0001944" "vasculature development" 0.99999311602495
-87 0.708445802611242 2 32 "GO:0001947" "heart looping" 0.99999311602495
-29 0.655858676300421 4 165 "GO:0002064" "epithelial cell development" 0.99999311602495
31 0.412351681651738 3 41 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.99999311602495
-144 0.947970572377018 2 106 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.99999311602495
-84 0.850430765697102 2 128 "GO:0002165" "instar larval or pupal development" 0.99999311602495
-107 0.80109886559479 2 51 "GO:0002218" "activation of innate immune response" 0.99999311602495
-151 0.861604672259357 4 42 "GO:0002221;GO:0002758" "pattern recognition receptor signaling pathway" 0.99999311602495
-306 0.972940865895784 2 32 "GO:0002224" "toll-like receptor signaling pathway" 0.99999311602495
-124 0.814714836460634 4 42 "GO:0002237" "response to molecule of bacterial origin" 0.99999311602495
-286 0.973497352755158 3 37 "GO:0002250" "adaptive immune response" 0.99999311602495
-105 0.851635832010324 2 81 "GO:0002252" "immune effector process" 0.99999311602495
-84 0.768595637610621 3 62 "GO:0002253" "activation of immune response" 0.99999311602495
-229 0.918520926951342 2 30 "GO:0002274" "myeloid leukocyte activation" 0.99999311602495
-256 0.956243875158753 4 36 "GO:0002460" "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 0.99999311602495
-134 0.823047221999047 4 39 "GO:0002478;GO:0019884" "antigen processing and presentation of exogenous peptide antigen" 0.99999311602495
-44 0.718804562981024 3 149 "GO:0002520" "immune system development" 0.99999311602495
-286 0.990652426274476 2 55 "GO:0002521" "leukocyte differentiation" 0.99999311602495
-176 0.995811063576095 3 192 "GO:0002682" "regulation of immune system process" 0.99999311602495
-238 0.967531686036223 4 49 "GO:0002683" "negative regulation of immune system process" 0.99999311602495
-124 0.945373974274718 2 139 "GO:0002684" "positive regulation of immune system process" 0.99999311602495
-143 0.910972061055505 2 73 "GO:0002694" "regulation of leukocyte activation" 0.99999311602495
-262 0.986312422414906 2 58 "GO:0002696" "positive regulation of leukocyte activation" 0.99999311602495
-161 0.959137358319518 4 97 "GO:0002697" "regulation of immune effector process" 0.99999311602495
-100 0.799817230728014 2 58 "GO:0002699" "positive regulation of immune effector process" 0.99999311602495
-180 0.918426829400544 2 49 "GO:0002700" "regulation of production of molecular mediator of immune response" 0.99999311602495
-219 0.944736956471237 2 43 "GO:0002702" "positive regulation of production of molecular mediator of immune response" 0.99999311602495
-172 0.902019624308965 2 46 "GO:0002703" "regulation of leukocyte mediated immunity" 0.99999311602495
-225 0.938574031028813 2 38 "GO:0002706" "regulation of lymphocyte mediated immunity" 0.99999311602495
