"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1581 3.23860206110177e-06 2 37 "GO:0000018" "regulation of DNA recombination" 6.80106432831372e-05
1840 2.36083575333446e-13 2 68 "GO:0000022" "mitotic spindle elongation" 3.14963264033091e-11
-213 0.277212504807947 2 112 "GO:0000041" "transition metal ion transport" 0.477158482802985
-478 0.0366336938889497 3 82 "GO:0000070" "mitotic sister chromatid segregation" 0.11906988828157
-277 0.0438928676064649 4 232 "GO:0000075" "cell cycle checkpoint" 0.134163104759383
35 0.833529497598002 4 154 "GO:0000077" "DNA damage checkpoint" 0.911936758587684
180 0.563903482673701 3 44 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.733333198798139
387 0.0272571300279698 4 141 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.0956591176344229
76 0.699334726772606 2 112 "GO:0000084" "mitotic S phase" 0.833031071596781
-518 0.0220114193172907 2 84 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.0818391787075661
-540 0.0795440374638083 5 45 "GO:0000096" "sulfur amino acid metabolic process" 0.20617828378933
-7 0.948667083258708 2 339 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.974616512587258
-39 0.901171446575452 3 43 "GO:0000132" "establishment of mitotic spindle orientation" 0.950631088759593
341 0.0385913802604945 2 160 "GO:0000165" "MAPK cascade" 0.122928722515171
1924 4.22493928480792e-17 2 82 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 8.71105663449487e-15
-50 0.876135298772922 2 42 "GO:0000186" "activation of MAPKK activity" 0.936416049772378
5 0.980484386595963 7 101 "GO:0000187" "activation of MAPK activity" 0.98939446408012
404 0.0241175455711308 2 135 "GO:0000209" "protein polyubiquitination" 0.0872385858936597
418 1.79416017387159e-05 4 480 "GO:0000226" "microtubule cytoskeleton organization" 0.000288592572648281
-1011 0.000329754819516183 3 54 "GO:0000236" "mitotic prometaphase" 0.00295606296704626
164 0.629413458360797 2 37 "GO:0000245" "spliceosomal complex assembly" 0.785208868846143
193 0.0218059761571421 3 663 "GO:0000278" "mitotic cell cycle" 0.0813420294809182
-232 0.441649675237739 2 47 "GO:0000279" "M phase" 0.632837248597638
-423 0.00014140585544124 5 362 "GO:0000280" "nuclear division" 0.00145116959339698
289 0.332205844138512 2 48 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.535495987566557
315 0.0733358480273819 4 140 "GO:0000302" "response to reactive oxygen species" 0.194989101202933
27 0.848811264344198 3 222 "GO:0000375" "RNA splicing, via transesterification reactions" 0.920221772243136
37 0.796172271254226 3 217 "GO:0000377;GO:0000398" "mRNA splicing, via spliceosome" 0.893477838300141
-47 0.877788286613829 3 45 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.93685827484243
-223 0.199952054767669 2 143 "GO:0000578" "embryonic axis specification" 0.392505498635969
-768 0.0327288463543203 6 33 "GO:0000722" "telomere maintenance via recombination" 0.109160328722939
-1067 5.61281689815548e-05 5 61 "GO:0000723" "telomere maintenance" 0.00070330766436556
-1179 6.56804206856178e-05 2 49 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.000796594620935728
-616 0.0592418790854804 3 40 "GO:0000768" "syncytium formation by plasma membrane fusion" 0.166018643869717
-387 0.0796240595168165 2 88 "GO:0000819" "sister chromatid segregation" 0.20617828378933
161 0.0525595631199428 2 679 "GO:0000904" "cell morphogenesis involved in differentiation" 0.152827037379526
-14 0.920257256572174 2 215 "GO:0000910" "cytokinesis" 0.963145578405072
1163 1.14610396750919e-10 6 133 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 9.62727332707720e-09
77 0.60753076922087 2 196 "GO:0001101" "response to acid chemical" 0.766766713741198
42 0.763203707042028 2 227 "GO:0001501" "skeletal system development" 0.872452624783931
200 0.353999516973708 2 92 "GO:0001503" "ossification" 0.555187767499375
-1032 0.00237767373300613 4 37 "GO:0001504" "neurotransmitter uptake" 0.0148147363364228
329 0.0107094137144561 3 266 "GO:0001505" "regulation of neurotransmitter levels" 0.0480867404641064
18 0.929164774251412 2 104 "GO:0001508" "action potential" 0.968449314339247
-1050 0.000990092882741585 2 42 "GO:0001523" "retinoid metabolic process" 0.00736239560018988
-41 0.790244794083742 2 186 "GO:0001525" "angiogenesis" 0.890350319414767
236 0.487159264065284 3 37 "GO:0001541" "ovarian follicle development" 0.670028630018232
-582 0.122672350227828 2 30 "GO:0001556" "oocyte maturation" 0.281149412020573
575 2.63028909598049e-05 2 235 "GO:0001558" "regulation of cell growth" 0.000389901677757108
-73 0.570687600277767 2 264 "GO:0001568" "blood vessel development" 0.739510152988827
-312 0.317256953546239 2 44 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.521480749351761
-17 0.951133528875649 3 54 "GO:0001570" "vasculogenesis" 0.974616512587258
726 0.0435165626121859 2 33 "GO:0001578" "microtubule bundle formation" 0.133819878100616
420 0.187891387791999 2 42 "GO:0001649" "osteoblast differentiation" 0.379378638790391
25 0.800319086859889 5 470 "GO:0001654" "eye development" 0.896836883201099
-255 0.0469642465619692 3 267 "GO:0001655" "urogenital system development" 0.141454065342027
-562 0.0747426831172361 3 43 "GO:0001656" "metanephros development" 0.198033183773238
-780 0.00824127992955373 3 49 "GO:0001657;GO:0072164;GO:0072163" "mesonephric tubule development" 0.0393741958098558
-1064 0.00355468711856244 5 32 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.0197115657332509
266 0.075927325536613 3 194 "GO:0001666" "response to hypoxia" 0.200284710649848
218 0.0816489273876718 4 283 "GO:0001667" "ameboidal-type cell migration" 0.209716610776036
-296 0.341819338661178 2 44 "GO:0001676" "long-chain fatty acid metabolic process" 0.544433736924688
1209 0.000535311394685782 4 35 "GO:0001678" "cellular glucose homeostasis" 0.00446355236451233
401 0.0208320938068797 3 144 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.0790086768461591
-155 0.247429432750982 2 245 "GO:0001701" "in utero embryonic development" 0.446682827447084
238 0.528365038130929 5 30 "GO:0001702" "gastrulation with mouth forming second" 0.703294170754285
180 0.482896841716235 5 65 "GO:0001703" "gastrulation with mouth forming first" 0.666772964936424
616 0.00417328897858074 3 93 "GO:0001704" "formation of primary germ layer" 0.0225047702362666
651 0.0840732100133445 2 30 "GO:0001706" "endoderm formation" 0.214485984600973
622 0.00888374418070067 2 76 "GO:0001707" "mesoderm formation" 0.0416903614642411
301 0.116818138437498 2 117 "GO:0001708" "cell fate specification" 0.272295516933449
66 0.707446509480359 2 142 "GO:0001709" "cell fate determination" 0.83741580558531
284 0.275404317705863 4 63 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.475874769651199
209 0.356619400329952 5 84 "GO:0001738" "morphogenesis of a polarized epithelium" 0.556650240845376
122 0.422819500495276 2 189 "GO:0001745" "compound eye morphogenesis" 0.615503611760774
161 0.404964563351194 4 116 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.602347203129267
142 0.640623786997065 4 46 "GO:0001752;GO:0042706" "eye photoreceptor cell fate commitment" 0.79351979732897
