"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
617 2.26120513536498e-06 3 58 "GO:0000022" "mitotic spindle elongation" 0.000163877866915662
-273 0.976986435791437 3 56 "GO:0000041" "transition metal ion transport" 0.999999932184544
-241 0.990899651374471 3 102 "GO:0000075" "cell cycle checkpoint" 0.999999932184544
-187 0.944757327623662 4 77 "GO:0000077" "DNA damage checkpoint" 0.996990404629784
-93 0.799865878535282 2 87 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.923231613363859
-145 0.868261445701559 4 63 "GO:0000084;GO:0051320" "mitotic S phase" 0.964968531663476
-356 0.97560526589847 5 32 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.999999932184544
21 0.399310656751689 2 168 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.604896341415925
-52 0.685263903912697 2 92 "GO:0000165" "MAPK cascade" 0.853944249491207
650 5.92681943159951e-08 8 70 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 6.27786950562502e-06
-156 0.86158895930672 8 51 "GO:0000187" "activation of MAPK activity" 0.963775789573805
-196 0.960718754517864 3 85 "GO:0000209" "protein polyubiquitination" 0.999999932184544
174 0.00346563593207118 2 271 "GO:0000226" "microtubule cytoskeleton organization" 0.0224450532606697
55 0.16680466753266 2 351 "GO:0000278" "mitotic cell cycle" 0.333367238305476
-143 0.951880709635115 5 146 "GO:0000280" "nuclear division" 0.999422816284148
238 0.0219353124509485 3 76 "GO:0000302" "response to reactive oxygen species" 0.0788200202345107
-456 0.999998344336643 5 111 "GO:0000375" "RNA splicing, via transesterification reactions" 0.999999932184544
-453 0.999997679277534 2 109 "GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.999999932184544
235 0.0336639480886596 4 64 "GO:0000578" "embryonic axis specification" 0.106809346815862
-89 0.694800358256377 4 34 "GO:0000819" "sister chromatid segregation" 0.856526493571201
184 0.000605153178086172 4 354 "GO:0000904" "cell morphogenesis involved in differentiation" 0.00757541751113326
23 0.40940020234352 2 105 "GO:0000910" "cytokinesis" 0.612765302855464
387 0.000125870449345041 7 95 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.00288872681246869
163 0.0556927147863427 3 101 "GO:0001101" "response to acid chemical" 0.150370329923125
292 0.00153617621527729 4 110 "GO:0001501" "skeletal system development" 0.012820088778405
-67 0.677868951272929 2 50 "GO:0001503" "ossification" 0.849815632196914
377 8.10227142856297e-06 2 141 "GO:0001505" "regulation of neurotransmitter levels" 0.000446273110285248
