"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-33 0.595311240986472 2 38 "GO:0000041" "transition metal ion transport" 0.999937403688296
-233 0.93707993408425 2 31 "GO:0000070" "mitotic sister chromatid segregation" 0.999937403688296
-44 0.676741058141955 4 80 "GO:0000075" "cell cycle checkpoint" 0.999937403688296
-89 0.758578906433919 2 45 "GO:0000077" "DNA damage checkpoint" 0.999937403688296
18 0.451628193615371 5 32 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.9926768352619
124 0.199532853831713 3 33 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.941037742530713
181 0.00614646785003706 3 143 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.210209200471267
-17 0.567949498401651 7 71 "GO:0000165" "MAPK cascade" 0.999937403688296
138 0.128037282567634 2 49 "GO:0000187" "activation of MAPK activity" 0.873442431055951
47 0.353047303369038 8 47 "GO:0000209" "protein polyubiquitination" 0.985577354936797
-128 0.968647571447716 4 160 "GO:0000226" "microtubule cytoskeleton organization" 0.999937403688296
-16 0.603161084446325 2 202 "GO:0000278" "mitotic cell cycle" 0.999937403688296
52 0.237829814306007 3 143 "GO:0000280" "nuclear division" 0.942865448428159
64 0.266076706298358 2 69 "GO:0000302" "response to reactive oxygen species" 0.983005609380045
-343 0.998478576733247 8 54 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.999937403688296
96 0.180145002836119 2 66 "GO:0000578" "embryonic axis specification" 0.937143958472733
-187 0.897554570201506 4 33 "GO:0000819" "sister chromatid segregation" 0.999937403688296
-6 0.525640819617304 2 74 "GO:0000910" "cytokinesis" 0.999937403688296
79 0.213942637396792 2 74 "GO:0001101" "response to acid chemical" 0.941037742530713
45 0.304725864090121 4 95 "GO:0001501" "skeletal system development" 0.985577354936797
139 0.123725534604014 2 50 "GO:0001503" "ossification" 0.865164940565383
69 0.211962760077223 2 99 "GO:0001505" "regulation of neurotransmitter levels" 0.941037742530713
2 0.495291903564493 3 44 "GO:0001508" "action potential" 0.999937403688296
-23 0.601351772053256 2 88 "GO:0001525" "angiogenesis" 0.999937403688296
-136 0.940717904306836 3 97 "GO:0001558" "regulation of cell growth" 0.999937403688296
-2 0.511269338034473 3 120 "GO:0001568" "blood vessel development" 0.999937403688296
-39 0.729999438977812 5 192 "GO:0001654" "eye development" 0.999937403688296
90 0.107288030146622 4 143 "GO:0001655" "urogenital system development" 0.805439743824177
58 0.283022349249378 3 72 "GO:0001666" "response to hypoxia" 0.985577354936797
-27 0.640329119067363 2 127 "GO:0001667" "ameboidal-type cell migration" 0.999937403688296
162 0.0863705727384276 2 51 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.728067433576745
26 0.381855297803447 3 102 "GO:0001701" "in utero embryonic development" 0.985577354936797
-36 0.598840227334281 2 34 "GO:0001704" "formation of primary germ layer" 0.999937403688296
-153 0.86411154965202 2 37 "GO:0001708" "cell fate specification" 0.999937403688296
6 0.478329940788239 3 64 "GO:0001709" "cell fate determination" 0.999937403688296
229 0.0630923452489078 5 32 "GO:0001738" "morphogenesis of a polarized epithelium" 0.674299439847702
50 0.306948591302552 2 75 "GO:0001745" "compound eye morphogenesis" 0.985577354936797
100 0.230869985488485 2 39 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.942369159921443
136 0.104704866353402 3 62 "GO:0001754" "eye photoreceptor cell differentiation" 0.805439743824177
9 0.471157979663646 3 42 "GO:0001756" "somitogenesis" 0.996424207875237
6 0.477357140737635 2 61 "GO:0001763" "morphogenesis of a branching structure" 0.999937403688296
142 0.176309157739685 2 31 "GO:0001764" "neuron migration" 0.935662294005065
47 0.244971724696038 2 161 "GO:0001775" "cell activation" 0.942865448428159
313 0.0183493729645029 2 32 "GO:0001816" "cytokine production" 0.439283988770199
184 0.0273181642350236 4 80 "GO:0001817" "regulation of cytokine production" 0.544997376488721
218 0.0791717464122224 5 30 "GO:0001818" "negative regulation of cytokine production" 0.707228212353957
246 0.0127050843211353 5 60 "GO:0001819" "positive regulation of cytokine production" 0.330609461966684
100 0.135079952501527 4 90 "GO:0001822" "kidney development" 0.893169703204822
35 0.373467576507743 2 60 "GO:0001838" "embryonic epithelial tube formation" 0.985577354936797
90 0.221672013718131 3 53 "GO:0001841" "neural tube formation" 0.941037742530713
69 0.308883354337067 5 38 "GO:0001843;GO:0060606" "neural tube closure" 0.985577354936797
-34 0.599927001689808 2 41 "GO:0001889" "liver development" 0.999937403688296
311 0.000522731092365525 4 81 "GO:0001894" "tissue homeostasis" 0.0384601749466755
-68 0.879943701219771 2 228 "GO:0001932" "regulation of protein phosphorylation" 0.999937403688296
-92 0.797962483830667 4 60 "GO:0001933" "negative regulation of protein phosphorylation" 0.999937403688296
-85 0.890602263599508 2 156 "GO:0001934" "positive regulation of protein phosphorylation" 0.999937403688296
-25 0.629853523065944 4 127 "GO:0001944" "vasculature development" 0.999937403688296
