"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1072 0.00160127221198329 2 37 "GO:0000018" "regulation of DNA recombination" 0.01781022867152
-2307 3.88554226286854e-20 3 68 "GO:0000022" "mitotic spindle elongation" 4.89794188580484e-18
9 0.964749904931834 2 110 "GO:0000041" "transition metal ion transport" 0.98030341884923
107 0.637123662498946 2 83 "GO:0000070" "mitotic sister chromatid segregation" 0.793950024467549
-364 0.00796752710147743 3 233 "GO:0000075" "cell cycle checkpoint" 0.0573914888674676
-410 0.0144694825598667 2 154 "GO:0000077" "DNA damage checkpoint" 0.0857212948520562
-350 0.26141601468199 6 44 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.489804242207626
-670 0.000132886590283175 3 141 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.00218492516922119
-916 3.01090134050848e-06 4 112 "GO:0000084" "mitotic S phase" 8.53966892701718e-05
56 0.804194035163431 3 84 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.887965195307817
-166 0.59000375682756 4 45 "GO:0000096" "sulfur amino acid metabolic process" 0.765637465163617
-161 0.161151406506883 2 339 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.372350023382969
151 0.632380794163873 7 43 "GO:0000132" "establishment of mitotic spindle orientation" 0.793185197323288
124 0.454584394498659 2 159 "GO:0000165" "MAPK cascade" 0.671081321481755
-1732 3.71088760768136e-14 3 82 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 3.66087129644739e-12
288 0.366329533899126 8 42 "GO:0000186" "activation of MAPKK activity" 0.598613442358775
561 0.00685982675163562 2 100 "GO:0000187" "activation of MAPK activity" 0.0518629778912083
-150 0.403267986614377 3 135 "GO:0000209" "protein polyubiquitination" 0.627582346795625
-548 1.7876538355691e-08 3 480 "GO:0000226" "microtubule cytoskeleton organization" 1.09626663592062e-06
533 0.0582223530769529 4 54 "GO:0000236" "mitotic prometaphase" 0.201381888920131
81 0.810373712713427 3 37 "GO:0000245" "spliceosomal complex assembly" 0.890876152103246
-430 2.85894445447082e-07 2 666 "GO:0000278" "mitotic cell cycle" 1.29738899343886e-05
166 0.581214982021888 3 47 "GO:0000279" "M phase" 0.757917697820496
135 0.223456157975091 5 362 "GO:0000280" "nuclear division" 0.4490894795797
-589 0.048385604917977 2 48 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.179588334099368
-12 0.947753764562648 2 139 "GO:0000302" "response to reactive oxygen species" 0.972621083639265
-167 0.236180864180143 3 221 "GO:0000375" "RNA splicing, via transesterification reactions" 0.463673271872772
