"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1106 6.93454624315523e-22 4 56 "GO:0000022" "mitotic spindle elongation" 5.43206122380493e-20
-20 0.561331729669232 5 46 "GO:0000041" "transition metal ion transport" 0.826135420120557
-265 0.972022545449573 3 39 "GO:0000070" "mitotic sister chromatid segregation" 0.999989105350974
154 0.0286317951611584 2 117 "GO:0000075" "cell cycle checkpoint" 0.131415466071723
230 0.00972355151252864 5 78 "GO:0000077" "DNA damage checkpoint" 0.0591322235664266
240 0.00845876173515475 5 75 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.0528672608447172
322 0.00148925567054783 3 64 "GO:0000084" "mitotic S phase" 0.013887900102331
-65 0.667759686093399 5 33 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.916609382195962
194 0.00428356688655371 3 142 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0303204282632567
165 0.0733588863119654 6 58 "GO:0000165" "MAPK cascade" 0.253519680636939
1064 1.07060161986076e-20 2 57 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 7.39974649021408e-19
576 8.15348323350928e-07 2 52 "GO:0000209" "protein polyubiquitination" 1.31237572594156e-05
367 8.65909341179412e-11 3 243 "GO:0000226" "microtubule cytoskeleton organization" 2.42248446639478e-09
-69 0.834940979445481 2 153 "GO:0000280" "nuclear division" 0.999989105350974
149 0.0930133341763795 2 59 "GO:0000302" "response to reactive oxygen species" 0.296483992636591
95 0.133927367441572 3 105 "GO:0000375" "RNA splicing, via transesterification reactions" 0.361757831595051
95 0.135232356749756 2 103 "GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.364308156400535
-74 0.737732513056659 2 55 "GO:0000578" "embryonic axis specification" 0.959950944453571
-223 0.952305911197387 2 42 "GO:0000819" "sister chromatid segregation" 0.999989105350974
-29 0.704756748918132 3 272 "GO:0000904" "cell morphogenesis involved in differentiation" 0.940950323566827
112 0.0954642990638995 3 104 "GO:0000910" "cytokinesis" 0.29794611857551
815 8.30963621465088e-18 2 83 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 4.06825939675616e-16
216 0.00828750781630515 2 94 "GO:0001101" "response to acid chemical" 0.0526368739684246
58 0.266101238906928 4 87 "GO:0001501" "skeletal system development" 0.522857785477659
156 0.160938516196687 2 30 "GO:0001503" "ossification" 0.395612461362149
90 0.138349942307455 2 112 "GO:0001505" "regulation of neurotransmitter levels" 0.369457232298317
-446 0.998681803080806 2 34 "GO:0001508" "action potential" 0.999989105350974
-7 0.525686076161988 2 69 "GO:0001525" "angiogenesis" 0.798804176031851
4 0.483964556509049 4 89 "GO:0001558" "regulation of cell growth" 0.770539774929719
49 0.292934513261348 2 93 "GO:0001568" "blood vessel development" 0.550716884931334
100 0.0623648205667916 2 184 "GO:0001654" "eye development" 0.225159672851284
-52 0.700558004958221 4 78 "GO:0001655" "urogenital system development" 0.937789141317035
102 0.13876889787812 2 87 "GO:0001666;GO:0036293" "response to hypoxia" 0.369735725638982
131 0.0656659365240492 2 102 "GO:0001667" "ameboidal-type cell migration" 0.23066019378346
35 0.377694733830713 5 60 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.653640866298354
72 0.225073453988311 5 83 "GO:0001701" "in utero embryonic development" 0.476506862047325
-105 0.772135022200714 2 38 "GO:0001704" "formation of primary germ layer" 0.97554693665144
-149 0.831910445950704 4 31 "GO:0001707" "mesoderm formation" 0.999989105350974
-38 0.605948024839334 2 38 "GO:0001708" "cell fate specification" 0.860929781361811
-58 0.692045680979877 3 57 "GO:0001709" "cell fate determination" 0.932912621802198
230 0.0551502943027469 2 36 "GO:0001738" "morphogenesis of a polarized epithelium" 0.208365259825491
176 0.0354211366462209 3 80 "GO:0001745" "compound eye morphogenesis" 0.155879533929998
236 0.0268423343513293 2 50 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.12565634606698
236 0.0155157437416825 3 63 "GO:0001754" "eye photoreceptor cell differentiation" 0.0851915836283969
179 0.110861534399726 4 35 "GO:0001756" "somitogenesis" 0.320843110639601
-22 0.572541432255892 2 52 "GO:0001763" "morphogenesis of a branching structure" 0.835422891914941
-108 0.756369973921937 2 31 "GO:0001764" "neuron migration" 0.968120609322741
-12 0.559767544437544 2 118 "GO:0001775" "cell activation" 0.826135420120557
-120 0.867472761896685 2 65 "GO:0001817" "regulation of cytokine production" 0.999989105350974
-332 0.992946345017863 2 41 "GO:0001819" "positive regulation of cytokine production" 0.999989105350974
-64 0.69296944561554 2 46 "GO:0001822" "kidney development" 0.932912621802198
205 0.0603999907052857 2 43 "GO:0001889" "liver development" 0.219721328417061
2 0.494966023853266 4 52 "GO:0001894" "tissue homeostasis" 0.781700373692994
61 0.15429551016114 4 220 "GO:0001932" "regulation of protein phosphorylation" 0.389042308734969
117 0.121299516847163 5 76 "GO:0001933" "negative regulation of protein phosphorylation" 0.336943102353231
13 0.429007949542147 5 143 "GO:0001934" "positive regulation of protein phosphorylation" 0.71399211385097
85 0.163520447684993 4 101 "GO:0001944" "vasculature development" 0.397798190538026
41 0.292624280874214 4 134 "GO:0002064" "epithelial cell development" 0.550716884931334
-35 0.594542870091715 3 35 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.850898748304221
102 0.131310773138888 2 92 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.355507277507358
186 0.00359166059413004 2 163 "GO:0002165" "instar larval or pupal development" 0.0260506246796469
-135 0.819135632149113 2 34 "GO:0002218" "activation of innate immune response" 0.997768655677939
-76 0.685820760432279 4 30 "GO:0002221;GO:0002758" "pattern recognition receptor signaling pathway" 0.928386398050608
120 0.137195456768613 2 63 "GO:0002237" "response to molecule of bacterial origin" 0.367208796590251
-169 0.958932011906489 2 80 "GO:0002252" "immune effector process" 0.999989105350974
