"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
52 0.355101513023455 7 64 "GO:0000041" "transition metal ion transport" 0.584608246471299
-559 0.99927964950314 2 40 "GO:0000070" "mitotic sister chromatid segregation" 0.99995753512956
-249 0.987074188402389 2 100 "GO:0000075" "cell cycle checkpoint" 0.99995753512956
-234 0.95096851319608 2 62 "GO:0000077" "DNA damage checkpoint" 0.99995753512956
-222 0.937073263391319 2 59 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.99995753512956
-439 0.994359016379486 3 41 "GO:0000084;GO:0051320" "S phase" 0.99995753512956
-161 0.833937608768707 2 45 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.957622737260246
-28 0.634399440072899 6 196 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.831037963691683
406 0.000121868543566036 2 102 "GO:0000165" "MAPK cascade" 0.00281648921426233
321 0.0115626295538922 5 62 "GO:0000187" "activation of MAPK activity" 0.0619773115598488
132 0.178514503058001 4 60 "GO:0000209" "protein polyubiquitination" 0.381145867949743
-30 0.654743784058602 4 232 "GO:0000226" "microtubule cytoskeleton organization" 0.842828780831192
-380 0.969817535810845 4 30 "GO:0000236" "mitotic prometaphase" 0.99995753512956
-112 0.957369672054858 2 311 "GO:0000278" "mitotic cell cycle" 0.99995753512956
-168 0.979683952510719 5 190 "GO:0000280" "nuclear division" 0.99995753512956
318 0.00361741528175728 2 89 "GO:0000302" "response to reactive oxygen species" 0.0288828001402808
-6 0.51945475193094 2 87 "GO:0000375" "RNA splicing, via transesterification reactions" 0.726573115611433
-24 0.579455534425762 8 85 "GO:0000377;GO:0000398" "mRNA splicing, via spliceosome" 0.784722026744429
269 0.0137162844096099 2 84 "GO:0000578" "embryonic axis specification" 0.0703246287623143
-511 0.99857038011437 4 42 "GO:0000819" "sister chromatid segregation" 0.99995753512956
92 0.176748342051094 2 129 "GO:0000910" "cytokinesis" 0.378429061961351
