"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1677 8.55396904844239e-07 4 37 "GO:0000018" "regulation of DNA recombination" 1.82031659096293e-05
1941 1.29910504939203e-14 3 68 "GO:0000022" "mitotic spindle elongation" 1.64336788748092e-12
134 0.494559213313626 5 112 "GO:0000041" "transition metal ion transport" 0.651307882426331
-736 0.00125749391645558 5 83 "GO:0000070" "mitotic sister chromatid segregation" 0.00837072211141672
-386 0.00510559221094023 3 233 "GO:0000075" "cell cycle checkpoint" 0.0248224154960798
-65 0.699418105848144 4 154 "GO:0000077" "DNA damage checkpoint" 0.801757292457454
-628 0.0445728830417957 2 44 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.126549195369288
-344 0.0501560908209343 3 141 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.136936952996724
-352 0.0738174231013147 4 112 "GO:0000084" "mitotic S phase" 0.180694215332603
-1067 2.54481539237959e-06 2 84 "GO:0000086" "G2/M transition of mitotic cell cycle" 4.59884495908597e-05
-244 0.430410710808656 5 45 "GO:0000096" "sulfur amino acid metabolic process" 0.603847928842458
-272 0.0182182986900605 3 339 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0640301318920208
151 0.632862053722704 2 43 "GO:0000132" "establishment of mitotic spindle orientation" 0.759634631695623
433 0.00876115258567235 7 160 "GO:0000165" "MAPK cascade" 0.0374280383444202
1870 3.76504291520605e-16 6 82 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 7.79363883447652e-14
425 0.18384965937671 8 42 "GO:0000186" "activation of MAPKK activity" 0.34827427154806
546 0.00841534033280365 6 101 "GO:0000187" "activation of MAPK activity" 0.0362980533493497
542 0.00254996107139116 2 135 "GO:0000209" "protein polyubiquitination" 0.0143719340583111
-34 0.726174802183938 3 481 "GO:0000226" "microtubule cytoskeleton organization" 0.8153353178367
-863 0.00224082580300367 4 54 "GO:0000236" "mitotic prometaphase" 0.0129173679833908
238 0.484791890611486 6 37 "GO:0000245" "spliceosomal complex assembly" 0.643866531851793
-184 0.0284763603576912 3 666 "GO:0000278" "mitotic cell cycle" 0.0915828708113882
-780 0.00993624815892899 2 47 "GO:0000279" "M phase" 0.0411909014070286
-676 1.19566309610123e-09 2 364 "GO:0000280" "nuclear division" 7.3581753238446e-08
402 0.179764981341217 2 48 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.342244868322702
493 0.00517995759166858 2 140 "GO:0000302" "response to reactive oxygen species" 0.0250419605864742
194 0.169649788483639 3 222 "GO:0000375" "RNA splicing, via transesterification reactions" 0.325985289769828
216 0.130421858316134 4 217 "GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.268751648312975
27 0.929477674299515 3 45 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.956661548879928
-114 0.51072946214728 2 144 "GO:0000578" "embryonic axis specification" 0.667967251757241
-1171 0.0011700703546598 5 33 "GO:0000722" "telomere maintenance via recombination" 0.0079565564535901
-958 0.000312090805017861 4 61 "GO:0000723" "telomere maintenance" 0.00271560536611997
-1076 0.000282945910934039 2 49 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.00249716216742948
-184 0.626973245255734 4 30 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.754156407526311
264 0.420442600492089 3 40 "GO:0000768" "syncytium formation by plasma membrane fusion" 0.595736030691031
-627 0.00445666043945862 2 89 "GO:0000819" "sister chromatid segregation" 0.0224509199571842
-13 0.873348603595556 2 683 "GO:0000904" "cell morphogenesis involved in differentiation" 0.921935452196143
-124 0.385145112722356 2 215 "GO:0000910" "cytokinesis" 0.566887796812414
1155 1.72498720513636e-10 5 133 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 1.23060404503291e-08
4 0.976402214347021 3 198 "GO:0001101" "response to acid chemical" 0.986365502248521
-89 0.523512936196978 4 228 "GO:0001501" "skeletal system development" 0.679047329188727
238 0.272553820266904 2 92 "GO:0001503" "ossification" 0.4493881598463
-1383 3.09706298982396e-05 2 39 "GO:0001504" "neurotransmitter uptake" 0.000402972138733095
-53 0.679429972024164 2 268 "GO:0001505" "regulation of neurotransmitter levels" 0.789317370560725
-317 0.121162245627621 2 104 "GO:0001508" "action potential" 0.25568714855801
-723 0.0239139424720935 7 42 "GO:0001523" "retinoid metabolic process" 0.079260621555978
-272 0.076219143610977 2 187 "GO:0001525" "angiogenesis" 0.18451038861553
-206 0.544797861960717 2 37 "GO:0001541" "ovarian follicle development" 0.696130601394249
-369 0.321884978550953 3 31 "GO:0001556" "oocyte maturation" 0.500820912128361
346 0.0113648074795231 2 236 "GO:0001558" "regulation of cell growth" 0.0452406759281016
-250 0.0538041994362864 3 265 "GO:0001568" "blood vessel development" 0.143945095067014
-528 0.0913298882629597 4 44 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.208793328890321
125 0.65839003519027 4 54 "GO:0001570" "vasculogenesis" 0.77595968433139
-935 0.00952582169792502 4 33 "GO:0001578" "microtubule bundle formation" 0.0400189963213566
-119 0.709218350959259 4 42 "GO:0001649" "osteoblast differentiation" 0.806383951822201
-251 0.0108115245266669 5 471 "GO:0001654" "eye development" 0.0435714006145496
-416 0.00119040005855429 3 269 "GO:0001655" "urogenital system development" 0.00806708611109559
-556 0.078623798881106 2 43 "GO:0001656" "metanephros development" 0.188052930727183
-1190 5.89784322226222e-05 5 49 "GO:0001657;GO:0072164;GO:0072163" "ureteric bud development" 0.000671469450854554
-1413 0.000114786660956102 4 32 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.00121004271757891
91 0.543145024644285 3 195 "GO:0001666" "response to hypoxia" 0.69465338703719
257 0.0402302765026848 4 284 "GO:0001667" "ameboidal-type cell migration" 0.117441461021299
-850 0.00597268383241311 2 45 "GO:0001676" "long-chain fatty acid metabolic process" 0.0278684448491899
485 0.165937702739545 2 35 "GO:0001678" "cellular glucose homeostasis" 0.321292643824782
285 0.100986044433447 2 144 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.225131290869591
-319 0.0174985263226316 3 245 "GO:0001701" "in utero embryonic development" 0.0624516370480128
-50 0.894427461056049 2 30 "GO:0001702" "gastrulation with mouth forming second" 0.934887041691278
249 0.333563370808028 2 65 "GO:0001703" "gastrulation with mouth forming first" 0.511808487419056
-21 0.922877481988643 2 93 "GO:0001704" "formation of primary germ layer" 0.952580247728078
-224 0.553130939057362 2 30 "GO:0001706" "endoderm formation" 0.702130579201778
30 0.90146657908645 2 76 "GO:0001707" "mesoderm formation" 0.939423066626932
-447 0.020375687887561 3 117 "GO:0001708" "cell fate specification" 0.0697103192846157
-68 0.698570391163354 3 143 "GO:0001709" "cell fate determination" 0.80133238321358
213 0.414579322597992 4 63 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.592590783148542
150 0.509775905518549 2 84 "GO:0001738" "morphogenesis of a polarized epithelium" 0.667103297049274
-101 0.508385667048707 2 190 "GO:0001745" "compound eye morphogenesis" 0.665666569217887
-159 0.411033411402552 3 116 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.588869276790805
-498 0.103175693819051 7 46 "GO:0001752;GO:0042706" "compound eye photoreceptor fate commitment" 0.226884806533685
-278 0.0904092702935252 2 162 "GO:0001754" "eye photoreceptor cell differentiation" 0.207941321675108
-703 0.0629822819123457 5 30 "GO:0001755" "neural crest cell migration" 0.160448564365037
-10 0.960930411098328 2 95 "GO:0001756" "somitogenesis" 0.97776113110863
-424 0.0130200004673282 2 150 "GO:0001763" "morphogenesis of a branching structure" 0.0505913670035944
154 0.498992222258848 2 83 "GO:0001764" "neuron migration" 0.655251032343366
227 0.0467447190258785 2 343 "GO:0001775" "cell activation" 0.130598435855123
-441 0.201620698715985 3 36 "GO:0001776" "leukocyte homeostasis" 0.370832254423504
1192 4.10390535320473e-05 2 51 "GO:0001816" "cytokine production" 0.000510112171102794
948 7.95163585475593e-09 2 162 "GO:0001817" "regulation of cytokine production" 3.29197724386896e-07
1083 5.34633034121037e-05 2 60 "GO:0001818" "negative regulation of cytokine production" 0.00061794894349929
629 0.00154997617515199 3 110 "GO:0001819" "positive regulation of cytokine production" 0.00972257782595339
-606 9.38888061992754e-05 4 182 "GO:0001822" "kidney development" 0.00102781159478726
-595 0.0695397565888594 2 40 "GO:0001824" "blastocyst development" 0.17267396483406
-390 0.217586932676989 2 43 "GO:0001837" "epithelial to mesenchymal transition" 0.387013257596249
84 0.662113834801145 2 118 "GO:0001838" "embryonic epithelial tube formation" 0.777932508690509
191 0.35408088418754 5 102 "GO:0001841" "neural tube formation" 0.532876519031744
406 0.0947244588853462 4 73 "GO:0001843;GO:0060606" "neural tube closure" 0.213763719407268
-111 0.587987800135818 2 104 "GO:0001889" "liver development" 0.726844853913821
-534 0.0777739520818227 4 47 "GO:0001890" "placenta development" 0.18621586634102
225 0.157233958151149 5 173 "GO:0001894" "tissue homeostasis" 0.31078274540813
-370 0.193729638245324 2 53 "GO:0001895" "retina homeostasis" 0.361279595646685
394 2.02617689112265e-05 3 542 "GO:0001932" "regulation of protein phosphorylation" 0.000279612410974926
315 0.0577506399107198 3 159 "GO:0001933" "negative regulation of protein phosphorylation" 0.151148841021579
519 2.60110327616236e-06 2 369 "GO:0001934" "positive regulation of protein phosphorylation" 4.66355288174936e-05
-368 0.214605600793683 2 49 "GO:0001936" "regulation of endothelial cell proliferation" 0.384466524789312
-235 0.462570436812935 2 42 "GO:0001938" "positive regulation of endothelial cell proliferation" 0.623976827383325
-108 0.738387730918326 3 41 "GO:0001942;GO:0022405" "hair follicle development" 0.822558152299916
-130 0.299759049827686 2 282 "GO:0001944" "vasculature development" 0.477642656723332
-279 0.439396241067731 3 33 "GO:0001945" "lymph vessel development" 0.609214767338436
-565 0.0157745612054425 2 79 "GO:0001947" "heart looping" 0.0581208347326741
278 0.433374135372912 5 34 "GO:0001952" "regulation of cell-matrix adhesion" 0.605499925994
77 0.801955553270936 2 46 "GO:0002011" "morphogenesis of an epithelial sheet" 0.86922391003047
22 0.93825710848089 2 53 "GO:0002040" "sprouting angiogenesis" 0.961425578594281
14 0.967670126945664 3 35 "GO:0002042" "cell migration involved in sprouting angiogenesis" 0.981463197797451
-525 0.134007541686724 4 35 "GO:0002053" "positive regulation of mesenchymal cell proliferation" 0.275144429594834
21 0.845222119112938 2 386 "GO:0002064" "epithelial cell development" 0.901438297527007
-138 0.5395877287032 5 85 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.691413201045125
-12 0.931311383024428 3 237 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.95703609480802
