"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1 0.497144167518475 2 42 "GO:0000041" "transition metal ion transport" 0.999987879105299
54 0.343411942872455 5 49 "GO:0000070" "mitotic sister chromatid segregation" 0.999987879105299
-5 0.526362620110443 3 129 "GO:0000075" "cell cycle checkpoint" 0.999987879105299
-52 0.696665931757681 7 85 "GO:0000077" "DNA damage checkpoint" 0.999987879105299
-144 0.922349964808262 2 85 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.999987879105299
-205 0.97171584697864 2 75 "GO:0000084" "mitotic S phase" 0.999987879105299
11 0.471695372552926 2 37 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.999987879105299
198 0.00494223306532189 4 151 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.401309324904138
-156 0.900936178723356 3 59 "GO:0000165" "MAPK cascade" 0.999987879105299
-236 0.948470365871051 5 41 "GO:0000187" "activation of MAPK activity" 0.999987879105299
-287 0.993866995259877 2 66 "GO:0000209" "protein polyubiquitination" 0.999987879105299
-113 0.948739202965872 2 187 "GO:0000226" "microtubule cytoskeleton organization" 0.999987879105299
-14 0.534515279926717 2 35 "GO:0000236" "mitotic prometaphase" 0.999987879105299
-197 0.999787147270212 2 299 "GO:0000278" "mitotic cell cycle" 0.999987879105299
-64 0.818002350729752 2 182 "GO:0000280" "nuclear division" 0.999987879105299
-137 0.867409203152052 2 57 "GO:0000302" "response to reactive oxygen species" 0.999987879105299
-205 0.982973085722222 2 94 "GO:0000375" "RNA splicing, via transesterification reactions" 0.999987879105299
-197 0.97834077839768 4 92 "GO:0000377;GO:0000398" "mRNA splicing, via spliceosome" 0.999987879105299
-253 0.974086009719249 2 51 "GO:0000578" "embryonic axis specification" 0.999987879105299
-288 0.981213541956668 5 45 "GO:0000723" "telomere maintenance" 0.999987879105299
-80 0.692500148275321 2 34 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.999987879105299
11 0.467373591359645 2 52 "GO:0000819" "sister chromatid segregation" 0.999987879105299
10 0.433114643348386 4 257 "GO:0000904" "cell morphogenesis involved in differentiation" 0.999987879105299
-22 0.589767173176708 2 96 "GO:0000910" "cytokinesis" 0.999987879105299
53 0.306896463526755 3 79 "GO:0001101" "response to acid chemical" 0.999987879105299
16 0.42796460291694 4 110 "GO:0001501" "skeletal system development" 0.999987879105299
-48 0.620811049669832 2 35 "GO:0001503" "ossification" 0.999987879105299
4 0.480414329251695 3 106 "GO:0001505" "regulation of neurotransmitter levels" 0.999987879105299
78 0.300882056429542 4 39 "GO:0001508" "action potential" 0.999987879105299
-146 0.927157334418608 3 87 "GO:0001525" "angiogenesis" 0.999987879105299
-178 0.967251674147704 2 94 "GO:0001558" "regulation of cell growth" 0.999987879105299
-132 0.932764037185303 3 113 "GO:0001568" "blood vessel development" 0.999987879105299
-117 0.954981929161555 2 190 "GO:0001654" "eye development" 0.999987879105299
-78 0.802615662479614 2 106 "GO:0001655" "urogenital system development" 0.999987879105299
-28 0.60677616234658 4 79 "GO:0001666;GO:0036293" "response to decreased oxygen levels" 0.999987879105299
-160 0.954272186775719 2 98 "GO:0001667" "ameboidal-type cell migration" 0.999987879105299
-43 0.629251583147532 4 51 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.999987879105299
128 0.0821655051089189 6 104 "GO:0001701" "in utero embryonic development" 0.999987879105299
229 0.0548853206250604 2 42 "GO:0001704" "formation of primary germ layer" 0.999987879105299
314 0.0242689697655008 4 34 "GO:0001707" "mesoderm formation" 0.909863147979921
480 9.96630836563955e-05 2 52 "GO:0001708" "cell fate specification" 0.0404632119644966
113 0.184822060869145 3 55 "GO:0001709" "cell fate determination" 0.999987879105299
-114 0.749729664964011 2 30 "GO:0001738" "morphogenesis of a polarized epithelium" 0.999987879105299
-157 0.925004130222519 5 73 "GO:0001745" "compound eye morphogenesis" 0.999987879105299
-149 0.861054638010815 2 46 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.999987879105299
-39 0.632805278598353 2 66 "GO:0001754" "eye photoreceptor cell differentiation" 0.999987879105299
-102 0.759432047402509 2 41 "GO:0001756" "somitogenesis" 0.999987879105299
-64 0.709112502525517 2 64 "GO:0001763" "morphogenesis of a branching structure" 0.999987879105299
-14 0.532989772113563 2 31 "GO:0001764" "neuron migration" 0.999987879105299
-219 0.996305018289104 2 133 "GO:0001775" "cell activation" 0.999987879105299
-155 0.896118049767089 2 57 "GO:0001817" "regulation of cytokine production" 0.999987879105299
-309 0.98864912334464 5 47 "GO:0001819" "positive regulation of cytokine production" 0.999987879105299
-27 0.602255645231551 2 79 "GO:0001822" "kidney development" 0.999987879105299
97 0.247370082849452 5 43 "GO:0001838" "embryonic epithelial tube formation" 0.999987879105299
-16 0.539526224203725 6 33 "GO:0001841" "neural tube formation" 0.999987879105299
141 0.174344720582469 5 38 "GO:0001889" "liver development" 0.999987879105299
133 0.135926295215415 5 59 "GO:0001894" "tissue homeostasis" 0.999987879105299
21 0.372070248545684 2 218 "GO:0001932" "regulation of protein phosphorylation" 0.999987879105299
20 0.430170481776826 2 70 "GO:0001933" "negative regulation of protein phosphorylation" 0.999987879105299
58 0.236492911877022 2 136 "GO:0001934" "positive regulation of protein phosphorylation" 0.999987879105299
-121 0.916748383059769 2 116 "GO:0001944" "vasculature development" 0.999987879105299
