"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-281 0.922626664881274 4 31 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.999991219868872
63 0.337182217145484 2 55 "GO:0000041" "transition metal ion transport" 0.668460234257427
13 0.469750889550238 2 41 "GO:0000070" "mitotic sister chromatid segregation" 0.793400337853295
-240 0.990839211237926 2 120 "GO:0000075" "cell cycle checkpoint" 0.999991219868872
-196 0.949150256251735 3 86 "GO:0000077" "DNA damage checkpoint" 0.999991219868872
-243 0.962583760262403 2 66 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.999991219868872
-249 0.928393330337144 3 42 "GO:0000084;GO:0051320" "S phase" 0.999991219868872
-395 0.987386673461367 4 39 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.999991219868872
216 0.00758207530985937 7 159 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0987060996760591
327 0.00743294191655447 7 68 "GO:0000165" "MAPK cascade" 0.097660597959174
-531 0.998302297251479 4 37 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.999991219868872
170 0.177337782992246 2 36 "GO:0000187" "activation of MAPK activity" 0.457531480119995
-192 0.903578280992441 2 56 "GO:0000209" "protein polyubiquitination" 0.999991219868872
-145 0.982073958067722 4 270 "GO:0000226" "microtubule cytoskeleton organization" 0.999991219868872
-312 0.945589646016772 2 32 "GO:0000245" "spliceosomal complex assembly" 0.999991219868872
-192 0.998977816478158 3 340 "GO:0000278" "mitotic cell cycle" 0.999991219868872
-117 0.92257801452897 2 186 "GO:0000280" "nuclear division" 0.999991219868872
388 0.0012219597349594 2 75 "GO:0000302" "response to reactive oxygen species" 0.0368927843384551
-260 0.997252469309028 2 143 "GO:0000375" "RNA splicing, via transesterification reactions" 0.999991219868872
-263 0.997321774962 3 140 "GO:0000377;GO:0000398" "mRNA splicing, via spliceosome" 0.999991219868872
-59 0.628198954417549 2 37 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.892953946060502
-189 0.92463260612071 4 71 "GO:0000578" "embryonic axis specification" 0.999991219868872
37 0.414988045470952 4 42 "GO:0000819" "sister chromatid segregation" 0.738672585698332
115 0.024571662940498 2 394 "GO:0000904" "cell morphogenesis involved in differentiation" 0.176362950555721
89 0.209942096801044 2 101 "GO:0000910" "cytokinesis" 0.50315473046907
-504 0.999879593128581 2 65 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.999991219868872
336 0.00169390192199382 3 94 "GO:0001101" "response to acid chemical" 0.0453518269303628
235 0.0112452098993025 2 117 "GO:0001501" "skeletal system development" 0.124663694118049
433 0.00844956273227517 2 37 "GO:0001503" "ossification" 0.104782253809896
-23 0.597735604960059 3 149 "GO:0001505" "regulation of neurotransmitter levels" 0.883266815476669
156 0.151410018029346 3 53 "GO:0001508" "action potential" 0.431334133932533
403 0.000163063611222411 3 98 "GO:0001525" "angiogenesis" 0.0105176029238455
87 0.17769424382111 2 141 "GO:0001558" "regulation of cell growth" 0.457619114305182
333 0.000214344925754962 3 140 "GO:0001568" "blood vessel development" 0.0116672689438481
389 0.0247330705853337 2 31 "GO:0001570" "vasculogenesis" 0.176362950555721
-105 0.938761866210638 3 283 "GO:0001654" "eye development" 0.999991219868872
235 0.00543620715628936 4 147 "GO:0001655" "urogenital system development" 0.086673909604209
136 0.096905983374483 2 113 "GO:0001666" "response to hypoxia" 0.355749132534175
156 0.0385914409433841 4 161 "GO:0001667" "ameboidal-type cell migration" 0.219924717665309
-3 0.50976130918991 2 79 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.83375683093581
18 0.423503265896234 2 142 "GO:0001701" "in utero embryonic development" 0.748382483570057
151 0.189516756404018 2 41 "GO:0001703" "gastrulation with mouth forming first" 0.476816094569684
8 0.477798972102249 2 56 "GO:0001704" "formation of primary germ layer" 0.802363007589457
-22 0.552930156169973 3 45 "GO:0001707" "mesoderm formation" 0.857704214970897
339 0.00642085664489748 3 66 "GO:0001708" "cell fate specification" 0.0911892899417927
43 0.371631133507032 2 72 "GO:0001709" "cell fate determination" 0.696011707648415
50 0.389261691878316 2 39 "GO:0001738" "morphogenesis of a polarized epithelium" 0.714569651714528
-132 0.891451288633272 3 109 "GO:0001745" "compound eye morphogenesis" 0.999991219868872
-198 0.930165354326883 3 68 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.999991219868872
-134 0.880964040016206 2 96 "GO:0001754" "eye photoreceptor cell differentiation" 0.999991219868872
444 0.00121752268546731 4 57 "GO:0001756" "somitogenesis" 0.0368927843384551
87 0.236318974994205 2 84 "GO:0001763" "morphogenesis of a branching structure" 0.543495341194128
130 0.193546842691333 2 54 "GO:0001764" "neuron migration" 0.478472072785717
108 0.1076900830792 2 165 "GO:0001775" "cell activation" 0.367494377465189
156 0.115966096867929 4 72 "GO:0001817" "regulation of cytokine production" 0.378289405645037
169 0.156922750836449 2 43 "GO:0001819" "positive regulation of cytokine production" 0.431334133932533
114 0.156616421881627 2 97 "GO:0001822" "kidney development" 0.431334133932533
122 0.193256428747166 5 62 "GO:0001838" "embryonic epithelial tube formation" 0.478472072785717
73 0.309658550079563 2 57 "GO:0001841" "neural tube formation" 0.64240567626155
104 0.279472061290489 5 38 "GO:0001843;GO:0060606" "neural tube closure" 0.603608607262106
137 0.183198167957219 4 53 "GO:0001889;GO:0061008" "hepaticobiliary system development" 0.466044317311101
140 0.121051570685838 2 86 "GO:0001894" "tissue homeostasis" 0.388624838921276
-44 0.586180131355208 6 30 "GO:0001895" "retina homeostasis" 0.877415196617131
9 0.450397215508498 4 274 "GO:0001932" "regulation of protein phosphorylation" 0.778153495783462
85 0.246176080713791 3 81 "GO:0001933" "negative regulation of protein phosphorylation" 0.560712453503803
-36 0.669374993900342 3 186 "GO:0001934" "positive regulation of protein phosphorylation" 0.91352203892072
200 0.156289808512141 6 31 "GO:0001936" "regulation of endothelial cell proliferation" 0.431334133932533
369 2.48857405190764e-05 3 151 "GO:0001944" "vasculature development" 0.00545769083635418
147 0.187750953250175 4 44 "GO:0001947" "heart looping" 0.474054453135228
167 0.0157941358097903 3 211 "GO:0002064" "epithelial cell development" 0.142750819834984
92 0.294532556117912 5 42 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.625661223250475
71 0.235230300708187 2 128 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.541869799845645
-91 0.86599340554536 3 187 "GO:0002165" "instar larval or pupal development" 0.999991219868872
124 0.255105817987528 2 34 "GO:0002168" "instar larval development" 0.569212015316054
284 0.066162906056565 2 34 "GO:0002218" "activation of innate immune response" 0.28612174817653
285 0.0712711808660989 2 32 "GO:0002221" "pattern recognition receptor signaling pathway" 0.295712882014603
209 0.0733555044285522 2 59 "GO:0002237" "response to molecule of bacterial origin" 0.302591455767778
60 0.314418206616187 2 80 "GO:0002252" "immune effector process" 0.642738328144449
43 0.383662412327486 4 57 "GO:0002253" "activation of immune response" 0.712587648027098
87 0.324819169304069 2 33 "GO:0002262" "myeloid cell homeostasis" 0.652503442521762
62 0.344778163074088 4 51 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 0.668816844188522
7 0.479051784960361 2 78 "GO:0002478" "antigen processing and presentation of exogenous peptide antigen" 0.802567276102423
-22 0.547561662961333 2 36 "GO:0002479" "antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent" 0.857604856227518
-4 0.509986987495366 4 43 "GO:0002495;GO:0002504" "antigen processing and presentation of peptide antigen via MHC class II" 0.83375683093581
146 0.0356418058036315 2 194 "GO:0002520" "immune system development" 0.208429787912554
309 0.0126507050070246 2 64 "GO:0002521" "leukocyte differentiation" 0.128901419072147
127 0.0486666009995058 3 217 "GO:0002682" "regulation of immune system process" 0.250209807312677
251 0.0394547604620506 2 60 "GO:0002683" "negative regulation of immune system process" 0.223053008349202
108 0.130894848645052 2 134 "GO:0002684" "positive regulation of immune system process" 0.401182622883607
112 0.208240975738793 2 64 "GO:0002694" "regulation of leukocyte activation" 0.501687512009079
-61 0.645845166390281 3 46 "GO:0002696" "positive regulation of leukocyte activation" 0.908019923367722
-28 0.59065611420023 4 81 "GO:0002697" "regulation of immune effector process" 0.87947641768114
-45 0.603968043813172 2 41 "GO:0002699" "positive regulation of immune effector process" 0.883266815476669
82 0.322665629336592 2 38 "GO:0002700" "regulation of production of molecular mediator of immune response" 0.650372909131568
58 0.385611059249047 3 31 "GO:0002702" "positive regulation of production of molecular mediator of immune response" 0.714336936128457
-46 0.590343279030898 5 30 "GO:0002703" "regulation of leukocyte mediated immunity" 0.87947641768114
55 0.35859259297226 3 52 "GO:0002757;GO:0002764" "immune response-activating signal transduction" 0.684475408729186
326 0.0447433890001806 4 33 "GO:0002758" "innate immune response-activating signal transduction" 0.237615620149654
-165 0.887544724144051 2 66 "GO:0002791" "regulation of peptide secretion" 0.999991219868872
-86 0.668880102140691 5 31 "GO:0002819" "regulation of adaptive immune response" 0.91352203892072
61 0.341127101104527 3 55 "GO:0002831" "regulation of response to biotic stimulus" 0.668816844188522
238 0.0809096815070399 2 42 "GO:0002920" "regulation of humoral immune response" 0.319807348352339
45 0.364759307500091 2 72 "GO:0003001;GO:0023061" "signal release" 0.689205668898308
150 0.0108397643269697 2 307 "GO:0003002" "regionalization" 0.12305300463976
266 0.0114394851783677 4 90 "GO:0003007" "heart morphogenesis" 0.125834336962045
-115 0.79615021360474 2 63 "GO:0003012" "muscle system process" 0.982380133134892
117 0.144715671053498 2 101 "GO:0003013" "circulatory system process" 0.421666400872513
251 0.0775026491824631 3 39 "GO:0003018" "vascular process in circulatory system" 0.311882954539903
127 0.212376636967628 3 48 "GO:0003143" "embryonic heart tube morphogenesis" 0.505641691035343
322 0.0466248431001403 2 33 "GO:0003205" "cardiac chamber development" 0.243237692496688
46 0.388866896367009 3 45 "GO:0003333" "amino acid transmembrane transport" 0.714569651714528
-280 0.918576405237773 3 30 "GO:0003407" "neural retina development" 0.999991219868872
34 0.32556197132164 2 223 "GO:0005975" "carbohydrate metabolic process" 0.652503442521762
74 0.295971374133612 3 65 "GO:0005996" "monosaccharide metabolic process" 0.625906676446491
51 0.371611461050422 3 51 "GO:0006006" "glucose metabolic process" 0.696011707648415
4 0.492564679560811 3 30 "GO:0006022;GO:0030203" "glycosaminoglycan metabolic process" 0.820363005043182
57 0.301262863703155 2 105 "GO:0006066" "alcohol metabolic process" 0.632696289324076
25 0.355140212590514 2 296 "GO:0006082" "organic acid metabolic process" 0.683541604163448
-45 0.652301433676069 2 95 "GO:0006091" "generation of precursor metabolites and energy" 0.910143298314987
