"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1851 5.54571543403486e-08 4 37 "GO:0000018" "regulation of DNA recombination" 1.45017271407233e-06
414 0.100245181354301 4 68 "GO:0000022" "mitotic spindle elongation" 0.209804772383657
-7 0.970490811854715 7 112 "GO:0000041" "transition metal ion transport" 0.984336423080462
-855 0.000178654557733696 3 83 "GO:0000070" "mitotic sister chromatid segregation" 0.00132823241452339
-96 0.486523250516771 3 233 "GO:0000075" "cell cycle checkpoint" 0.64993564000332
638 0.000151777740500517 2 154 "GO:0000077" "DNA damage checkpoint" 0.00116653499877931
-382 0.222303012381707 4 44 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.375735032071607
170 0.332433002074146 4 141 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.498868786094118
-48 0.809051034954853 4 112 "GO:0000084" "mitotic S phase" 0.889822085283576
-774 0.000647176039405149 2 84 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.00405599308442621
-735 0.0174316372800045 5 45 "GO:0000096" "sulfur amino acid metabolic process" 0.0578174761002462
42 0.71617722848243 8 338 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.826218658619436
123 0.697118632340777 2 43 "GO:0000132" "establishment of mitotic spindle orientation" 0.811084758001577
429 0.00951632596621856 5 160 "GO:0000165" "MAPK cascade" 0.0362034140019184
366 0.111030283702844 2 82 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.227571636269203
-164 0.608551416330083 2 42 "GO:0000186" "activation of MAPKK activity" 0.752760493085671
317 0.126169162193202 2 101 "GO:0000187" "activation of MAPK activity" 0.248946091925008
980 4.88086660396281e-08 5 135 "GO:0000209" "protein polyubiquitination" 1.32190137190659e-06
15 0.880542783371969 4 481 "GO:0000226" "microtubule cytoskeleton organization" 0.935653821658678
-1719 1.14236355173739e-09 2 54 "GO:0000236" "mitotic prometaphase" 4.90354166075955e-08
1241 0.00027093368219933 2 37 "GO:0000245" "spliceosomal complex assembly" 0.00190827903097051
-58 0.489201200398468 3 666 "GO:0000278" "mitotic cell cycle" 0.651981681843301
-795 0.00863858855193182 2 47 "GO:0000279" "M phase" 0.0336520358829536
-563 4.20766469819754e-07 2 364 "GO:0000280" "nuclear division" 7.65794975071952e-06
965 0.00127027968230234 2 48 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.0070485031152142
341 0.0533327746262236 3 140 "GO:0000302" "response to reactive oxygen species" 0.13406857709907
1126 1.34892645898839e-15 2 222 "GO:0000375" "RNA splicing, via transesterification reactions" 2.53099816156555e-13
1118 4.36164728584689e-15 3 217 "GO:0000377;GO:0000398" "mRNA splicing, via spliceosome" 5.83691033841275e-13
1180 0.000135670397788507 2 45 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.00106354718807301
118 0.499282301139884 2 144 "GO:0000578" "embryonic axis specification" 0.659970929876511
-1852 2.84700712475864e-07 2 33 "GO:0000722" "telomere maintenance via recombination" 5.35284397423629e-06
-1641 6.72013533216644e-10 3 61 "GO:0000723" "telomere maintenance" 2.99770742758405e-08
-1248 2.5384009333895e-05 6 49 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.000263692334404617
3 0.991830664818915 2 40 "GO:0000768" "syncytium formation by plasma membrane fusion" 0.995195350827165
-740 0.000788664610863391 2 89 "GO:0000819" "sister chromatid segregation" 0.00470921782077222
17 0.836704598992112 5 683 "GO:0000904" "cell morphogenesis involved in differentiation" 0.905998554358427
-314 0.0281146987613021 2 215 "GO:0000910" "cytokinesis" 0.0840485409749833
376 0.0378599101862164 5 133 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.104528271448595
-81 0.586782862621329 2 198 "GO:0001101" "response to acid chemical" 0.734689605098252
-63 0.64997504832432 4 228 "GO:0001501" "skeletal system development" 0.78193115019878
46 0.832788964077756 2 92 "GO:0001503" "ossification" 0.903762480855521
-1556 2.76647860192089e-06 2 39 "GO:0001504" "neurotransmitter uptake" 3.88502396257409e-05
-152 0.238862677118512 3 268 "GO:0001505" "regulation of neurotransmitter levels" 0.395798192510202
-346 0.0902799623569382 2 104 "GO:0001508" "action potential" 0.195490153382187
-1488 3.30606472043664e-06 2 42 "GO:0001523" "retinoid metabolic process" 4.47696264225795e-05
-138 0.36891393840039 2 187 "GO:0001525" "angiogenesis" 0.539729395408931
-346 0.309433287297602 2 37 "GO:0001541" "ovarian follicle development" 0.475193901840927
-281 0.450097354907593 2 31 "GO:0001556" "oocyte maturation" 0.620212890620699
423 0.00197640974001682 4 236 "GO:0001558" "regulation of cell growth" 0.0100589086320767
-104 0.422463136486583 2 265 "GO:0001568" "blood vessel development" 0.597326338643036
-19 0.950801902160373 3 44 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.975676286610216
1 0.996125112300175 4 54 "GO:0001570" "vasculogenesis" 0.997747274963687
-190 0.598176984201339 2 33 "GO:0001578" "microtubule bundle formation" 0.744053777535096
-202 0.52856787769523 4 42 "GO:0001649" "osteoblast differentiation" 0.68450828083046
98 0.322466209216436 2 471 "GO:0001654" "eye development" 0.490381434470182
-335 0.00913667518848036 2 269 "GO:0001655" "urogenital system development" 0.0350521687247771
-424 0.180427949315542 5 43 "GO:0001656" "metanephros development" 0.324998879408439
-634 0.0325019904775522 5 49 "GO:0001657;GO:0072164;GO:0072163" "ureteric bud development" 0.0931858915732226
-966 0.00838203207800249 2 32 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.0330583809513587
7 0.963233692272318 2 195 "GO:0001666" "response to hypoxia" 0.980724348752398
200 0.109531865115997 4 284 "GO:0001667" "ameboidal-type cell migration" 0.22530288710569
-766 0.013256955895243 2 45 "GO:0001676" "long-chain fatty acid metabolic process" 0.0471143794716294
340 0.331684812281405 2 35 "GO:0001678" "cellular glucose homeostasis" 0.498074553095839
371 0.0331376691056493 2 144 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.0948279210256002
-120 0.371512905940992 3 245 "GO:0001701" "in utero embryonic development" 0.54144257592297
-203 0.591963198266597 2 30 "GO:0001702" "gastrulation with mouth forming second" 0.739547652968978
669 0.00941089184194045 2 65 "GO:0001703" "gastrulation with mouth forming first" 0.0358622762821014
