"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
514 0.00133636036943407 4 32 "GO:0000018" "regulation of DNA recombination" 0.0231350927714087
-68 0.697920747666854 2 55 "GO:0000041" "transition metal ion transport" 0.999991517090397
426 0.000786289816053684 2 52 "GO:0000070" "mitotic sister chromatid segregation" 0.0174272759230259
319 0.000320146680602237 3 110 "GO:0000075" "cell cycle checkpoint" 0.00939128938107317
58 0.333423022625416 3 52 "GO:0000077" "DNA damage checkpoint" 0.769262673361028
217 0.0384413130042641 2 63 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.248672991300311
393 0.00148052425432593 4 54 "GO:0000084" "mitotic S phase" 0.0241164914680561
309 0.0109234652421185 2 52 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.115379101619877
96 0.11330758497847 2 156 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.46142124967136
-134 0.861001468377688 6 62 "GO:0000165" "MAPK cascade" 0.999991517090397
-689 0.999978471890848 2 33 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.999991517090397
-24 0.562434306769348 2 40 "GO:0000187" "activation of MAPK activity" 0.969653798127546
-420 0.997494472079405 5 42 "GO:0000209" "protein polyubiquitination" 0.999991517090397
105 0.0582067228557441 2 220 "GO:0000226" "microtubule cytoskeleton organization" 0.330653316390614
742 3.50251311188224e-07 2 42 "GO:0000236" "mitotic prometaphase" 5.57613581506588e-05
245 8.88749082531956e-06 3 314 "GO:0000278" "mitotic cell cycle" 0.000600794379791602
288 1.32247851111863e-05 2 211 "GO:0000280" "nuclear division" 0.000744996227930162
-31 0.596428673822295 2 58 "GO:0000302" "response to reactive oxygen species" 0.996751009898323
-299 0.985437333474059 7 50 "GO:0000375" "RNA splicing, via transesterification reactions" 0.999991517090397
-307 0.986507850735942 2 49 "GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.999991517090397
-121 0.83911850990671 2 63 "GO:0000578" "embryonic axis specification" 0.999991517090397
451 0.000567539784365653 5 49 "GO:0000723;GO:0032200" "telomere organization" 0.0134616454116204
318 0.0227616439918978 5 37 "GO:0000724;GO:0000725" "recombinational repair" 0.18317703974432
421 0.000724501188845122 4 54 "GO:0000819" "sister chromatid segregation" 0.0163254267886434
26 0.323042122601864 3 314 "GO:0000904" "cell morphogenesis involved in differentiation" 0.756937521243882
350 8.76502289233271e-05 2 110 "GO:0000910" "cytokinesis" 0.00327877319245985
-442 0.999489332105536 6 52 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.999991517090397
170 0.0412495202306126 3 100 "GO:0001101" "response to acid chemical" 0.259948811115488
-41 0.666073825704812 2 107 "GO:0001501" "skeletal system development" 0.999991517090397
20 0.446979909818635 2 41 "GO:0001503" "ossification" 0.870634771595721
422 0.00761839931763496 2 31 "GO:0001504" "neurotransmitter uptake" 0.0858339656453539
258 0.00118724091136927 2 134 "GO:0001505" "regulation of neurotransmitter levels" 0.021988352221524
105 0.205515925590612 3 58 "GO:0001508" "action potential" 0.607705185867765
272 0.052967255697455 3 33 "GO:0001523;GO:0016101" "retinoid metabolic process" 0.312920760967948
-209 0.983054138426474 3 98 "GO:0001525" "angiogenesis" 0.999991517090397
-33 0.629284068577941 2 94 "GO:0001558" "regulation of cell growth" 0.999991517090397
-101 0.883136349584049 2 134 "GO:0001568" "blood vessel development" 0.999991517090397
-12 0.570344373047289 2 216 "GO:0001654" "eye development" 0.973618172171635
-52 0.740918867172055 4 149 "GO:0001655" "urogenital system development" 0.999991517090397
170 0.168342121060566 2 30 "GO:0001657;GO:0072164;GO:0072163" "ureteric bud development" 0.557839577632072
-37 0.646405575517047 4 96 "GO:0001666;GO:0036293" "response to decreased oxygen levels" 0.999991517090397
-179 0.980778129890956 4 129 "GO:0001667" "ameboidal-type cell migration" 0.999991517090397
29 0.433124611726683 2 31 "GO:0001676" "long-chain fatty acid metabolic process" 0.859889096996293
-134 0.850806994872392 2 57 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.999991517090397
15 0.431397277687413 3 130 "GO:0001701" "in utero embryonic development" 0.858982502847397
-103 0.752914281500467 3 41 "GO:0001704" "formation of primary germ layer" 0.999991517090397
-115 0.765803587315899 2 37 "GO:0001707" "mesoderm formation" 0.999991517090397
52 0.346553152914652 2 54 "GO:0001708" "cell fate specification" 0.784823890687788
37 0.375625314733243 2 70 "GO:0001709" "cell fate determination" 0.808705078284889
-89 0.78653975530196 6 76 "GO:0001745" "compound eye morphogenesis" 0.999991517090397
-123 0.801913883659597 2 45 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.999991517090397
-84 0.768216783317842 4 72 "GO:0001754" "eye photoreceptor cell differentiation" 0.999991517090397
-143 0.843788586469783 2 47 "GO:0001756" "somitogenesis" 0.999991517090397
130 0.126228382022348 2 73 "GO:0001763" "morphogenesis of a branching structure" 0.475378196362715
-95 0.722978523361723 2 36 "GO:0001764" "neuron migration" 0.999991517090397
-128 0.947818153994496 2 156 "GO:0001775" "cell activation" 0.999991517090397
54 0.341102032233523 2 54 "GO:0001817" "regulation of cytokine production" 0.7803214003041
55 0.355658978572764 2 42 "GO:0001819" "positive regulation of cytokine production" 0.791207697108311
106 0.138514103084639 2 101 "GO:0001822" "kidney development" 0.499395759712559
34 0.400131697121162 2 52 "GO:0001838" "embryonic epithelial tube formation" 0.823406475658769
82 0.290137472556411 3 43 "GO:0001841" "neural tube formation" 0.712233059032756
143 0.128856870130422 5 59 "GO:0001889" "liver development" 0.481255492862792
-55 0.698811542005832 2 85 "GO:0001894" "tissue homeostasis" 0.999991517090397
59 0.18553530032157 7 233 "GO:0001932" "regulation of protein phosphorylation" 0.57930142553474
-99 0.792658701411596 3 64 "GO:0001933" "negative regulation of protein phosphorylation" 0.999991517090397
87 0.135557217683283 2 157 "GO:0001934" "positive regulation of protein phosphorylation" 0.493998270371425
-101 0.887533830191684 2 139 "GO:0001944" "vasculature development" 0.999991517090397
-108 0.770229896092166 2 44 "GO:0001947" "heart looping" 0.999991517090397
-286 0.950005156174784 2 31 "GO:0002040" "sprouting angiogenesis" 0.999991517090397
107 0.0807788794227614 3 167 "GO:0002064" "epithelial cell development" 0.386847060254788
289 0.0267188517982611 3 42 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.198482899072797
