"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-755 0.99999924630336 2 45 "GO:0000022" "mitotic spindle elongation" 0.999999933674144
-156 0.866439929110907 7 56 "GO:0000041" "transition metal ion transport" 0.999999933674144
-53 0.608009084376255 4 30 "GO:0000070" "mitotic sister chromatid segregation" 0.999999933674144
-334 0.999639319927542 2 116 "GO:0000075" "cell cycle checkpoint" 0.999999933674144
-291 0.993673957810781 4 82 "GO:0000077" "DNA damage checkpoint" 0.999999933674144
-454 0.999855038516867 2 71 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.999999933674144
-498 0.999856964465909 3 59 "GO:0000084;GO:0051320" "mitotic S phase" 0.999999933674144
-63 0.630458921008573 2 31 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.999999933674144
265 0.000837751777959072 2 161 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0213702862632105
258 0.0147026422260666 7 80 "GO:0000165" "MAPK cascade" 0.1346651052378
-293 0.98344276815326 2 59 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.999999933674144
368 0.00722881820247718 4 49 "GO:0000187" "activation of MAPK activity" 0.0931517928728567
168 0.0697594787757153 2 87 "GO:0000209" "protein polyubiquitination" 0.342211708819331
-68 0.838528746641204 2 247 "GO:0000226" "microtubule cytoskeleton organization" 0.999999933674144
-203 0.999518956109396 2 319 "GO:0000278" "mitotic cell cycle" 0.999999933674144
-159 0.967934771992746 5 155 "GO:0000280" "nuclear division" 0.999999933674144
-17 0.537350795189284 2 32 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.977825117575312
169 0.0846592491018344 2 74 "GO:0000302" "response to reactive oxygen species" 0.380474965114603
307 0.000308688091055954 3 142 "GO:0000375" "RNA splicing, via transesterification reactions" 0.0131239209621668
308 0.000363943416350529 9 137 "GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.0133687539194957
90 0.30909598179659 3 34 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.765366049007471
76 0.284262361778215 2 62 "GO:0000578" "embryonic axis specification" 0.741500186724939
-396 0.984828766140088 2 33 "GO:0000723" "telomere maintenance" 0.999999933674144
-45 0.597298047903757 3 33 "GO:0000819" "sister chromatid segregation" 0.999999933674144
-98 0.938834253246856 2 297 "GO:0000904" "cell morphogenesis involved in differentiation" 0.999999933674144
-246 0.988874089844628 2 97 "GO:0000910" "cytokinesis" 0.999999933674144
-196 0.960036455182244 6 90 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.999999933674144
88 0.220020577685548 2 86 "GO:0001101" "response to acid chemical" 0.659591603617145
-221 0.978826793508622 4 95 "GO:0001501" "skeletal system development" 0.999999933674144
204 0.119175172497349 2 37 "GO:0001503" "ossification" 0.477637667306586
-142 0.920522801528957 3 111 "GO:0001505" "regulation of neurotransmitter levels" 0.999999933674144
-170 0.85252690672614 2 42 "GO:0001508" "action potential" 0.999999933674144
51 0.317318850095976 2 97 "GO:0001525" "angiogenesis" 0.772614194639687
95 0.165848183121455 2 119 "GO:0001558" "regulation of cell growth" 0.570306374802454
33 0.360039517104455 2 133 "GO:0001568" "blood vessel development" 0.811783691072013
-214 0.867391459533027 4 30 "GO:0001570" "vasculogenesis" 0.999999933674144
-191 0.995693311321337 2 220 "GO:0001654" "eye development" 0.999999933674144
34 0.356584519465293 3 137 "GO:0001655" "urogenital system development" 0.811783691072013
133 0.121344120773288 3 87 "GO:0001666" "response to hypoxia" 0.48227532706567
-33 0.642544664799786 2 141 "GO:0001667" "ameboidal-type cell migration" 0.999999933674144
86 0.268388149207869 4 58 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.731201974123831
-20 0.578143670895223 6 114 "GO:0001701" "in utero embryonic development" 0.999999933674144
-282 0.946362901643625 3 36 "GO:0001703" "gastrulation with mouth forming first" 0.999999933674144
