"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1501 5.60803799010614e-07 2 32 "GO:0000018" "regulation of DNA recombination" 1.15373698233954e-05
1092 1.49674589383398e-07 2 67 "GO:0000022" "mitotic spindle elongation" 3.94143085376281e-06
57 0.767210646674451 7 78 "GO:0000041" "transition metal ion transport" 0.859145746337827
-1037 8.82380143759953e-07 2 65 "GO:0000070" "mitotic sister chromatid segregation" 1.76030382214738e-05
-262 0.0289016448995271 2 207 "GO:0000075" "cell cycle checkpoint" 0.0938828103232994
180 0.213014432327828 2 140 "GO:0000077" "DNA damage checkpoint" 0.387137910300144
-241 0.357484736468263 7 42 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.542684361663966
75 0.61387279778058 4 131 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.755388645244016
-121 0.469495252159852 4 105 "GO:0000084" "mitotic S phase" 0.644284330960067
-584 0.00245682011711267 2 78 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.0152211661740862
-162 0.577191961924061 5 34 "GO:0000096" "sulfur amino acid metabolic process" 0.728405191565508
18 0.858929676196257 3 297 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.922792040724248
262 0.347951652196703 4 37 "GO:0000132" "establishment of mitotic spindle orientation" 0.534158389607562
373 0.0114385935131364 2 135 "GO:0000165" "MAPK cascade" 0.0484323563751931
1168 2.83082804763229e-09 2 75 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1.33116318906518e-07
345 0.222361366662714 8 36 "GO:0000186" "activation of MAPKK activity" 0.400496383258373
219 0.239483753856022 5 84 "GO:0000187" "activation of MAPK activity" 0.420427034547239
629 3.38483167483346e-05 2 127 "GO:0000209" "protein polyubiquitination" 0.000415220034645719
83 0.326689354600626 3 427 "GO:0000226" "microtubule cytoskeleton organization" 0.519066303965462
-1528 4.61272551325539e-10 2 48 "GO:0000236" "mitotic prometaphase" 2.90716178580157e-08
469 0.0924975245001765 4 37 "GO:0000245" "spliceosomal complex assembly" 0.218519869483072
