"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
14 0.446921002212773 2 56 "GO:0000022" "mitotic spindle elongation" 0.580641393090997
118 0.180973595713828 7 37 "GO:0000041" "transition metal ion transport" 0.296942307909758
148 0.0465596628902678 2 80 "GO:0000075" "cell cycle checkpoint" 0.11517988138507
217 0.0112923485972839 2 69 "GO:0000077" "DNA damage checkpoint" 0.0423436955670854
253 0.00649846517854053 2 60 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.0308423081411068
336 0.00227904592091588 3 44 "GO:0000084;GO:0051320" "mitotic S phase" 0.0155729874868933
137 0.021335576526879 2 141 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0655184918011159
72 0.209254154603839 2 80 "GO:0000165" "MAPK cascade" 0.330828421655255
34 0.367166926121724 2 61 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.500363519846073
11 0.461967539526 6 48 "GO:0000187" "activation of MAPK activity" 0.592771831616508
186 0.0196301094384226 6 77 "GO:0000209" "protein polyubiquitination" 0.0620985733481402
-4 0.532097187811523 2 226 "GO:0000226" "microtubule cytoskeleton organization" 0.6612132627647
-50 0.744300508058712 2 110 "GO:0000280" "nuclear division" 0.83006951191704
227 0.0141862018307575 2 58 "GO:0000302" "response to reactive oxygen species" 0.0489445392469035
-147 0.976350932584127 2 115 "GO:0000375" "RNA splicing, via transesterification reactions" 0.998203012543485
-155 0.980402860386258 3 112 "GO:0000377;GO:0000398" "mRNA splicing, via spliceosome" 0.999990131997146
53 0.312375574135189 2 53 "GO:0000578" "embryonic axis specification" 0.445330701397683
119 0.00888732988757723 5 268 "GO:0000904" "cell morphogenesis involved in differentiation" 0.037730537234286
-95 0.86736599200595 2 86 "GO:0000910" "cytokinesis" 0.913774873497043
-77 0.809725682603737 7 81 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.874013922054317
203 0.00901425197382074 2 85 "GO:0001101" "response to acid chemical" 0.037730537234286
314 0.000128443597086145 3 85 "GO:0001501" "skeletal system development" 0.00244470979787296
181 0.0676955256806628 2 42 "GO:0001503" "ossification" 0.149084144456525
124 0.0484611646774601 3 114 "GO:0001505" "regulation of neurotransmitter levels" 0.117602769743305
26 0.416358011337444 2 40 "GO:0001508" "action potential" 0.550325056652038
180 0.0328383740793347 3 65 "GO:0001525" "angiogenesis" 0.0906120895880979
219 0.00157442891268135 2 115 "GO:0001558" "regulation of cell growth" 0.0124860959602924
136 0.0446410175561499 2 98 "GO:0001568" "blood vessel development" 0.111798337827025
124 0.0155558225196457 5 197 "GO:0001654" "eye development" 0.0528712777304625
185 0.0124191645592689 2 92 "GO:0001655" "urogenital system development" 0.0451677895754302
275 0.000821703520801042 2 82 "GO:0001666" "response to hypoxia" 0.0080203882115794
207 0.00187725693122177 3 124 "GO:0001667" "ameboidal-type cell migration" 0.0138010479637694
96 0.14786733437098 2 74 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.25398656485484
310 0.000141307357026481 6 86 "GO:0001701" "in utero embryonic development" 0.00251550755617795
212 0.0502631112847303 5 37 "GO:0001703" "gastrulation with mouth forming first" 0.12058922917471
265 0.00980214124076608 3 48 "GO:0001704" "formation of primary germ layer" 0.0398443146970066
302 0.00741422723166718 2 40 "GO:0001707" "mesoderm formation" 0.0333801795460914
335 0.00212864965142524 2 45 "GO:0001708" "cell fate specification" 0.0150988689560722
46 0.329886495020173 2 58 "GO:0001709" "cell fate determination" 0.462245861733788
156 0.130470573267408 3 32 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.233172761614053
211 0.0404040284319045 5 42 "GO:0001738" "morphogenesis of a polarized epithelium" 0.103922073128908
75 0.185024886677348 4 90 "GO:0001745" "compound eye morphogenesis" 0.303154118487133
-4 0.515665225775604 2 55 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.64784344096341
5 0.480210042286773 2 72 "GO:0001754" "eye photoreceptor cell differentiation" 0.611891471353016
350 0.0041678899417511 3 35 "GO:0001756" "somitogenesis" 0.0222417304368213
279 0.00395814040543162 2 56 "GO:0001763" "morphogenesis of a branching structure" 0.0215401538093356
200 0.0581243808018588 2 38 "GO:0001764" "neuron migration" 0.134711715596938
90 0.0939702669482877 2 138 "GO:0001775" "cell activation" 0.185986212920181
87 0.163691381179806 2 80 "GO:0001817" "regulation of cytokine production" 0.274696667350837
89 0.209134399261916 2 51 "GO:0001819" "positive regulation of cytokine production" 0.330828421655255
195 0.0278016296424711 3 60 "GO:0001822" "kidney development" 0.0814088744915436
216 0.0259251918572123 5 50 "GO:0001838" "embryonic epithelial tube formation" 0.077100440367022
226 0.0255543972427918 2 46 "GO:0001841" "neural tube formation" 0.0761961400816403
130 0.150778325892984 4 39 "GO:0001843;GO:0060606" "tube closure" 0.257767736781119
227 0.0431892162735448 2 35 "GO:0001889;GO:0061008" "liver development" 0.109119657045107
175 0.0312149642963721 2 71 "GO:0001894" "tissue homeostasis" 0.087371297123669
158 0.00098517244934374 4 258 "GO:0001932" "regulation of protein phosphorylation" 0.00898762258791525
234 0.00468148983483327 2 77 "GO:0001933" "negative regulation of protein phosphorylation" 0.0239465123497895
196 0.000535932025794228 3 182 "GO:0001934" "positive regulation of protein phosphorylation" 0.00600033699467655
174 0.0109845838981368 3 109 "GO:0001944" "vasculature development" 0.041560917080796
103 0.231863805595473 3 31 "GO:0001947" "heart looping" 0.356377477779314
152 0.00719269441924371 2 167 "GO:0002064" "epithelial cell development" 0.0331211976886142
178 0.0893262923495583 2 35 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.180549780288842
164 0.0204132794207003 5 98 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.0637095286911335
180 0.00238052557674479 2 159 "GO:0002165" "instar larval or pupal development" 0.0157706138118614
-20 0.569299572040582 2 48 "GO:0002218" "activation of innate immune response" 0.69608148958281
-43 0.644447425487603 5 45 "GO:0002221" "pattern recognition receptor signaling pathway" 0.753284503487045
-50 0.654614362068471 7 39 "GO:0002224" "toll-like receptor signaling pathway" 0.760498068649231
172 0.0604103829536536 2 50 "GO:0002237" "response to molecule of bacterial origin" 0.138531440427856
22 0.418108162591065 2 57 "GO:0002252" "immune effector process" 0.551999447027741
-36 0.642671711322931 3 65 "GO:0002253" "activation of immune response" 0.751978580256954
-6 0.518078729448084 3 32 "GO:0002274" "myeloid leukocyte activation" 0.648131841400955
-139 0.845320244343174 2 33 "GO:0002429" "immune response-activating cell surface receptor signaling pathway" 0.895580111562442
455 7.43922301944301e-06 4 56 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 0.000424779634410196
288 0.000240158520436507 2 92 "GO:0002478" "antigen processing and presentation of exogenous peptide antigen" 0.00366783438232494
518 3.06004095036338e-06 3 47 "GO:0002479" "antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent" 0.000232971117687665
20 0.431427661815379 3 46 "GO:0002495;GO:0002504" "antigen processing and presentation of peptide or polysaccharide antigen via MHC class II" 0.564806997221282
150 0.00891085918820915 3 160 "GO:0002520" "immune system development" 0.037730537234286
96 0.162805340260248 2 65 "GO:0002521" "leukocyte differentiation" 0.274223744214164
60 0.335208659048768 2 31 "GO:0002573" "myeloid leukocyte differentiation" 0.466839376382552
117 0.0221870298989086 2 194 "GO:0002682" "regulation of immune system process" 0.0679291907360687
238 0.0152479459381274 2 51 "GO:0002683" "negative regulation of immune system process" 0.052135192399226
84 0.125970555166643 2 118 "GO:0002684" "positive regulation of immune system process" 0.228950951834493
24 0.403164778288421 4 65 "GO:0002694" "regulation of leukocyte activation" 0.538544282277473
-99 0.802314101592554 2 45 "GO:0002696" "positive regulation of leukocyte activation" 0.868476496700186
24 0.399999688188759 2 72 "GO:0002697" "regulation of immune effector process" 0.5356150431092
29 0.41106500894001 2 37 "GO:0002699" "positive regulation of immune effector process" 0.547128485092647
54 0.350040898459323 3 31 "GO:0002700" "regulation of production of molecular mediator of immune response" 0.483369656639113
-34 0.602604738853413 2 37 "GO:0002703" "regulation of leukocyte mediated immunity" 0.718487527996651
-95 0.752753404687633 4 32 "GO:0002706" "regulation of lymphocyte mediated immunity" 0.834770459872194
-38 0.612315510708215 2 34 "GO:0002755" "MyD88-dependent toll-like receptor signaling pathway" 0.725323149650128
-56 0.657940080336425 2 32 "GO:0002756" "MyD88-independent toll-like receptor signaling pathway" 0.762743032646096
-78 0.779780827098656 4 61 "GO:0002757" "immune response-activating signal transduction" 0.855436795914184
-27 0.593784690387993 3 46 "GO:0002758" "innate immune response-activating signal transduction" 0.712292139099882
124 0.168494926445985 6 37 "GO:0002761" "regulation of myeloid leukocyte differentiation" 0.280906870074912
-95 0.831006108286593 3 63 "GO:0002764" "immune response-regulating signaling pathway" 0.883283995716561
