"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1557 3.20492562263778e-06 2 37 "GO:0000018" "regulation of DNA recombination" 3.40238549512257e-05
1387 2.01660635721213e-08 4 68 "GO:0000022" "mitotic spindle elongation" 4.60938595934201e-07
92 0.638070089629964 2 109 "GO:0000041" "transition metal ion transport" 0.753955464413702
-1089 2.42275515256554e-06 2 78 "GO:0000070" "mitotic sister chromatid segregation" 2.69998584166508e-05
-395 0.00354300074994477 3 232 "GO:0000075" "cell cycle checkpoint" 0.0138989871801686
181 0.274353640279498 2 153 "GO:0000077" "DNA damage checkpoint" 0.421688223970082
-407 0.184482135031148 3 44 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.3157056079442
98 0.571307739443037 3 141 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.7012215541657
-19 0.923251102478964 2 112 "GO:0000084" "mitotic S phase" 0.954352777827817
-907 4.6574506007598e-05 2 84 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.000359747908472481
-573 0.0646222333205661 3 43 "GO:0000096" "sulfur amino acid metabolic process" 0.146660387677881
18 0.874557800466792 2 334 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.928294756411739
182 0.562583541404733 6 42 "GO:0000132" "establishment of mitotic spindle orientation" 0.694317979474712
645 8.06322512458185e-05 2 157 "GO:0000165" "MAPK cascade" 0.000571446128469828
1422 4.54374448389387e-10 2 80 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1.85054320798587e-08
486 0.126447119097607 6 41 "GO:0000186" "activation of MAPKK activity" 0.240092935490937
622 0.00232082863977517 4 100 "GO:0000187" "activation of MAPK activity" 0.00979031290601955
862 1.0200562964603e-06 2 135 "GO:0000209" "protein polyubiquitination" 1.31317592187993e-05
-62 0.517904614868917 2 474 "GO:0000226" "microtubule cytoskeleton organization" 0.656084186132953
-1718 5.63067146931519e-10 4 54 "GO:0000236" "mitotic prometaphase" 2.21275510373088e-08
-106 0.752160977726666 4 37 "GO:0000245" "spliceosomal complex assembly" 0.841578716337528
-122 0.142229224894689 2 654 "GO:0000278" "mitotic cell cycle" 0.263286643040143
-762 0.010268313662652 3 47 "GO:0000279" "M phase" 0.0337501411349001
-707 1.78350264140841e-10 3 353 "GO:0000280" "nuclear division" 8.15315493215273e-09
37 0.900190849048616 2 48 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.938982812718753
522 0.00268649274709391 3 139 "GO:0000302" "response to reactive oxygen species" 0.011062028958622
-17 0.900306003784082 7 220 "GO:0000375" "RNA splicing, via transesterification reactions" 0.938982812718753
-32 0.81722000803576 8 215 "GO:0000377;GO:0000398" "mRNA splicing, via spliceosome" 0.889923586776909
130 0.668598141677753 4 45 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.774785223672099
68 0.6986881332663 2 136 "GO:0000578" "embryonic axis specification" 0.798908330023743
-1506 2.09149537014041e-05 5 33 "GO:0000722" "telomere maintenance via recombination" 0.000183005844887286
-1402 7.72579749080257e-08 5 61 "GO:0000723" "telomere maintenance" 1.4542677629746e-06
-1436 1.30585707960647e-06 5 47 "GO:0000724;GO:0000725" "recombinational repair" 1.60925322795137e-05
379 0.238749318520091 3 40 "GO:0000768" "syncytium formation by plasma membrane fusion" 0.385301493865277
-948 2.08254298381472e-05 2 84 "GO:0000819" "sister chromatid segregation" 0.00018293710916647
215 0.0091965118544239 5 668 "GO:0000904" "cell morphogenesis involved in differentiation" 0.0308848374121582
-311 0.0279895296010284 3 212 "GO:0000910" "cytokinesis" 0.0753716546512673
747 2.95560213750686e-05 7 131 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.000246117055316556
-84 0.568788424948583 2 196 "GO:0001101" "response to acid chemical" 0.70004729224441
35 0.798810381919714 2 224 "GO:0001501" "skeletal system development" 0.877249981969117
177 0.40767849320924 2 91 "GO:0001503" "ossification" 0.556489838384337
-1185 0.000328184454276536 2 38 "GO:0001504" "neurotransmitter uptake" 0.0018151436483443
109 0.388755386614343 3 266 "GO:0001505" "regulation of neurotransmitter levels" 0.538868852732753
-204 0.313231173099825 4 102 "GO:0001508" "action potential" 0.464968739392716
-745 0.0176957447812841 7 42 "GO:0001523" "retinoid metabolic process" 0.051612588945412
21 0.889509135835434 2 185 "GO:0001525" "angiogenesis" 0.935595055936794
175 0.600229567061104 3 37 "GO:0001541" "ovarian follicle development" 0.722468688993484
580 2.15813811964471e-05 2 228 "GO:0001558" "regulation of cell growth" 0.000188102310817282
22 0.863567737431086 2 262 "GO:0001568" "blood vessel development" 0.922097106856431
83 0.786579976300635 2 44 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.870523293929557
143 0.612771616916492 3 52 "GO:0001570" "vasculogenesis" 0.732448464190471
-220 0.533805307343621 4 33 "GO:0001578" "microtubule bundle formation" 0.671377814963341
18 0.954554392668809 2 41 "GO:0001649" "osteoblast differentiation" 0.972351905219705
82 0.398988759630434 2 462 "GO:0001654" "eye development" 0.54877586387152
-127 0.322875450343407 2 259 "GO:0001655" "urogenital system development" 0.474256399192939
-233 0.446899055734149 3 44 "GO:0001656" "metanephros development" 0.595865407645532
-819 0.00443555040731679 5 50 "GO:0001657;GO:0072164;GO:0072163" "ureteric bud development" 0.0167831637033608
-1205 0.000662104448090287 2 33 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.00334034676514019
156 0.292306868685877 2 192 "GO:0001666" "response to hypoxia" 0.442065514628846
453 0.000272469322520639 4 277 "GO:0001667" "ameboidal-type cell migration" 0.00154906416864526
-756 0.0159926969212202 6 42 "GO:0001676" "long-chain fatty acid metabolic process" 0.0479566815308343
1245 0.000238114823695586 4 36 "GO:0001678" "cellular glucose homeostasis" 0.0013904248621593
490 0.00466251833839065 5 140 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.0174067351299918
-136 0.304262615489203 2 242 "GO:0001701" "in utero embryonic development" 0.455885122873455
182 0.47594307171852 2 64 "GO:0001703" "gastrulation with mouth forming first" 0.61983283758691
561 0.00842141451266854 2 92 "GO:0001704" "formation of primary germ layer" 0.0287999519211871
539 0.146615949097304 2 30 "GO:0001706" "endoderm formation" 0.267889889816262
572 0.0151909776993965 2 75 "GO:0001707" "mesoderm formation" 0.0464226330786469
-33 0.861928465820662 3 115 "GO:0001708" "cell fate specification" 0.921144925304524
182 0.30102889672202 2 135 "GO:0001709" "cell fate determination" 0.451644158511269
624 0.0167004718476302 2 61 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.0492617378773818
581 0.00988768289702012 2 82 "GO:0001738" "morphogenesis of a polarized epithelium" 0.0326672709282081
251 0.0944952604836782 3 187 "GO:0001745" "compound eye morphogenesis" 0.195086989385658
182 0.340816961993629 7 114 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.492535480558535
-144 0.63549550635037 3 45 "GO:0001752;GO:0042706" "eye photoreceptor cell fate commitment" 0.752383686165343
-1 0.996744085728593 3 160 "GO:0001754" "eye photoreceptor cell differentiation" 0.998080801087192
109 0.605654052805848 3 93 "GO:0001756" "somitogenesis" 0.727824612813895
-37 0.827491811332244 2 148 "GO:0001763" "morphogenesis of a branching structure" 0.896316081907266
567 0.0123838735976991 2 81 "GO:0001764" "neuron migration" 0.0394592842942333
435 0.0001286849571875 2 334 "GO:0001775" "cell activation" 0.000830704046397695
-30 0.93025219181186 3 36 "GO:0001776" "leukocyte homeostasis" 0.957612550394562
1153 5.26148811839697e-05 2 51 "GO:0001816" "cytokine production" 0.000395494408899638
1016 3.78120971471794e-10 2 160 "GO:0001817" "regulation of cytokine production" 1.5685018075867e-08
1063 6.07010182436518e-05 3 59 "GO:0001818" "negative regulation of cytokine production" 0.000444347323090784
858 1.27557140059618e-05 3 108 "GO:0001819" "positive regulation of cytokine production" 0.000115679349689694
-177 0.250704797214488 2 177 "GO:0001822" "kidney development" 0.396875438699967
-392 0.229107858732908 2 39 "GO:0001824" "blastocyst development" 0.371885219972256
41 0.89591955269518 3 42 "GO:0001837" "epithelial to mesenchymal transition" 0.938662206752668
294 0.119703392747097 2 117 "GO:0001838" "embryonic epithelial tube formation" 0.229961920886361
384 0.0575271502555558 3 102 "GO:0001841" "neural tube formation" 0.132695792690026
470 0.0487199138294949 4 73 "GO:0001843;GO:0060606" "tube closure" 0.116719365751945
-309 0.124659785713087 3 103 "GO:0001889" "liver development" 0.237851720611001
-131 0.659366128662575 3 47 "GO:0001890" "placenta development" 0.76733562103976
284 0.0733111341443608 2 168 "GO:0001894" "tissue homeostasis" 0.161313301064212
-175 0.531943104275324 2 53 "GO:0001895" "retina homeostasis" 0.670293494846922
510 2.20058312718639e-08 2 537 "GO:0001932" "regulation of protein phosphorylation" 4.73971750470915e-07
482 0.00336255354927112 2 156 "GO:0001933" "negative regulation of protein phosphorylation" 0.0133548226070342
622 1.17204137277444e-08 8 365 "GO:0001934" "positive regulation of protein phosphorylation" 2.8229813709836e-07
136 0.641187641972979 2 49 "GO:0001936" "regulation of endothelial cell proliferation" 0.755625116446247
337 0.28266454149521 2 42 "GO:0001938" "positive regulation of endothelial cell proliferation" 0.430538904957894
66 0.836281251930463 2 40 "GO:0001942;GO:0022405" "hair follicle development" 0.902780724975536
108 0.383262850639911 2 279 "GO:0001944" "vasculature development" 0.533898498403856
-81 0.821796825518575 2 32 "GO:0001945" "lymph vessel development" 0.891872523818608
-108 0.643091914946863 3 76 "GO:0001947" "heart looping" 0.756578723466898
1027 0.00371704208871153 5 33 "GO:0001952" "regulation of cell-matrix adhesion" 0.0145055301022889
734 0.0167305306534117 2 44 "GO:0002011" "morphogenesis of an epithelial sheet" 0.0492617378773818
195 0.490262930041479 2 52 "GO:0002040" "sprouting angiogenesis" 0.632976405362701
376 0.280334960931449 3 34 "GO:0002042" "cell migration involved in sprouting angiogenesis" 0.428050656091647
