"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-212 0.978446097379014 2 51 "GO:0000022" "mitotic spindle elongation" 0.999981867329346
-133 0.875154967754238 7 42 "GO:0000041" "transition metal ion transport" 0.961305700447394
94 0.139290115319766 4 75 "GO:0000075" "cell cycle checkpoint" 0.274440489449959
130 0.0810468568034083 3 65 "GO:0000077" "DNA damage checkpoint" 0.189431273863703
69 0.230568939161189 5 64 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.376609956233556
68 0.262292345548129 2 49 "GO:0000084;GO:0051320" "mitotic S phase" 0.415757346600199
180 0.00299719206709665 2 135 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.023015493944611
305 0.00017827765684352 2 78 "GO:0000165" "MAPK cascade" 0.00372072072708606
-208 0.984514828357435 2 61 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.999981867329346
240 0.0118990090300871 7 50 "GO:0000187" "activation of MAPK activity" 0.0561095530414567
223 0.0047147750225525 3 77 "GO:0000209" "protein polyubiquitination" 0.0308119005046698
-39 0.755342608868466 3 186 "GO:0000226" "microtubule cytoskeleton organization" 0.874353951570608
-19 0.654081412087162 2 258 "GO:0000278" "mitotic cell cycle" 0.785037008969363
-150 0.976503794024113 2 100 "GO:0000280" "nuclear division" 0.999981867329346
147 0.0571780277569253 2 65 "GO:0000302" "response to reactive oxygen species" 0.150955468214346
-32 0.637805326509638 2 68 "GO:0000375" "RNA splicing, via transesterification reactions" 0.769600217319445
-12 0.553067101076664 8 66 "GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.699558499341639
28 0.390179194962631 2 57 "GO:0000578" "embryonic axis specification" 0.545573142336086
-68 0.781155908086162 3 75 "GO:0000910" "cytokinesis" 0.895587699301225
-166 0.970282674044076 5 73 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.999981867329346
164 0.0290886248557039 3 76 "GO:0001101" "response to acid chemical" 0.103090818277919
136 0.0465830158732808 4 87 "GO:0001501" "skeletal system development" 0.135656482917797
376 0.00127639024581482 2 36 "GO:0001503" "ossification" 0.0133899651453908
31 0.333433231144675 3 112 "GO:0001505" "regulation of neurotransmitter levels" 0.49250229554397
222 0.0414014988793452 2 34 "GO:0001508" "action potential" 0.127507213803374
-1 0.504916726993267 3 69 "GO:0001525" "angiogenesis" 0.654822958942937
178 0.00609008819453368 4 114 "GO:0001558" "regulation of cell growth" 0.0365081350810609
53 0.241564742736927 3 99 "GO:0001568" "blood vessel development" 0.388919235806452
23 0.339912325525517 2 190 "GO:0001654" "eye development" 0.499453964624847
109 0.0863375714479776 3 90 "GO:0001655" "urogenital system development" 0.194994875795332
203 0.00848113757662105 3 79 "GO:0001666" "response to hypoxia" 0.0448340874887836
169 0.00598449235143668 2 129 "GO:0001667" "ameboidal-type cell migration" 0.0362608756992964
59 0.25039685053386 5 74 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.399712819478272
338 3.34998266720896e-05 6 79 "GO:0001701" "in utero embryonic development" 0.0017161047572475
197 0.0406613412812072 2 44 "GO:0001704" "formation of primary germ layer" 0.126240582986007
160 0.0967209591847056 4 37 "GO:0001707;GO:0048332" "mesoderm formation" 0.21084046615312
301 0.00420391277266626 3 43 "GO:0001708" "cell fate specification" 0.0293148095570314
9 0.466036266571297 3 56 "GO:0001709" "cell fate determination" 0.61984717810188
50 0.352494800649593 3 32 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.510203714914305
105 0.185434829419969 4 41 "GO:0001738" "morphogenesis of a polarized epithelium" 0.329110319301268
39 0.320707424778201 3 82 "GO:0001745" "compound eye morphogenesis" 0.479996371480787
-58 0.711237818377216 2 52 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.83583422451629
10 0.4557870476404 3 64 "GO:0001754" "eye photoreceptor cell differentiation" 0.610061760915357
181 0.0657032291836418 2 39 "GO:0001756" "somitogenesis" 0.167095030022093
28 0.386250668368065 2 60 "GO:0001763" "morphogenesis of a branching structure" 0.542150940969794
178 0.0617369070316026 2 42 "GO:0001764" "neuron migration" 0.158130668692309
84 0.0832031519822704 2 158 "GO:0001775" "cell activation" 0.192942288650244
-138 0.865544027468842 2 36 "GO:0001816" "cytokine production" 0.952605584919321
179 0.00841051296116411 2 102 "GO:0001817" "regulation of cytokine production" 0.0448340874887836
-9 0.528753614806395 3 39 "GO:0001818" "negative regulation of cytokine production" 0.675629618919283
100 0.139886031829308 5 66 "GO:0001819" "positive regulation of cytokine production" 0.274654282006324
-11 0.546356329386049 2 63 "GO:0001822" "kidney development" 0.693404936056393
348 0.000517569344350272 2 50 "GO:0001838" "embryonic epithelial tube formation" 0.00720124260595996
