"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1889 2.83106001801039e-08 2 37 "GO:0000018" "regulation of DNA recombination" 1.94999982452655e-06
-885 0.000435263524293838 2 68 "GO:0000022" "mitotic spindle elongation" 0.00716923181681083
-129 0.510302897535897 2 112 "GO:0000041" "transition metal ion transport" 0.752705052627575
1450 2.51573264560414e-10 2 82 "GO:0000070" "mitotic sister chromatid segregation" 3.17681127969901e-08
404 0.00327591623574156 5 233 "GO:0000075" "cell cycle checkpoint" 0.0347951289899092
-103 0.538355874320186 2 154 "GO:0000077" "DNA damage checkpoint" 0.775935882125122
493 0.114567822444074 4 44 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.341229899345823
292 0.0968179225740325 3 141 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.316643364044282
585 0.00292094259934539 2 112 "GO:0000084" "mitotic S phase" 0.03176699774312
1480 6.40146942822503e-11 2 84 "GO:0000086" "G2/M transition of mitotic cell cycle" 9.70036000690366e-09
-95 0.759146744641634 3 45 "GO:0000096" "sulfur amino acid metabolic process" 0.898285497603526
40 0.729768660375756 7 339 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.886413715683588
480 0.128583512053151 2 43 "GO:0000132" "establishment of mitotic spindle orientation" 0.361273575892228
-344 0.0375514350687083 5 159 "GO:0000165" "MAPK cascade" 0.18677114203758
-928 5.14138912859967e-05 2 82 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.00120478118446464
-126 0.693688432087665 2 42 "GO:0000186" "activation of MAPKK activity" 0.874050383775383
-404 0.0522008996090582 2 100 "GO:0000187" "activation of MAPK activity" 0.223833702401203
-513 0.00421850015978826 4 135 "GO:0000209" "protein polyubiquitination" 0.0415093110960983
138 0.156062878756016 3 480 "GO:0000226" "microtubule cytoskeleton organization" 0.398243406245138
1857 4.52300725362683e-11 4 54 "GO:0000236" "mitotic prometaphase" 7.34342534820985e-09
-612 0.0721302055901276 6 37 "GO:0000245" "spliceosomal complex assembly" 0.265907923373621
383 5.11186840742784e-06 3 665 "GO:0000278" "mitotic cell cycle" 0.000178758106001284
442 0.143229289768989 3 47 "GO:0000279" "M phase" 0.380239154083691
866 6.84515614634477e-15 2 363 "GO:0000280" "nuclear division" 7.77951996032083e-12
-472 0.11454054547046 7 48 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.341229899345823
-234 0.183276701052101 3 140 "GO:0000302" "response to reactive oxygen species" 0.438588608592395
-422 0.00268731987682389 3 222 "GO:0000375" "RNA splicing, via transesterification reactions" 0.0297964784391254
-380 0.00761818733797766 3 217 "GO:0000377;GO:0000398" "mRNA splicing, via spliceosome" 0.0611877732128029
-569 0.0653639692740596 2 45 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.255959671488498
36 0.838051783111389 2 142 "GO:0000578" "embryonic axis specification" 0.935145656854289
2061 1.05349186619339e-08 2 33 "GO:0000722" "telomere maintenance via recombination" 8.53608693405979e-07
1361 2.93571581775402e-07 5 61 "GO:0000723" "telomere maintenance" 1.51656410312611e-05
1148 0.000103687335524061 6 49 "GO:0000724;GO:0000725" "recombinational repair" 0.00218223438561288
-487 0.19758935839311 2 30 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.461109457523141
534 0.102429631768514 2 40 "GO:0000768" "syncytium formation by plasma membrane fusion" 0.324717647154578
1279 7.59999629265666e-09 2 88 "GO:0000819" "sister chromatid segregation" 6.64415060508023e-07
42 0.61576555806056 5 682 "GO:0000904" "cell morphogenesis involved in differentiation" 0.826192716391073
466 0.00111008458819229 3 215 "GO:0000910" "cytokinesis" 0.0150191801723874
-702 0.000101254962005923 6 133 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.00215095821158377
56 0.707508682806558 2 198 "GO:0001101" "response to acid chemical" 0.879796784634319
58 0.676868281617137 2 228 "GO:0001501" "skeletal system development" 0.865498715807466
34 0.873939527129155 2 92 "GO:0001503" "ossification" 0.950604737911088
1069 0.00125113083378999 2 39 "GO:0001504" "neurotransmitter uptake" 0.0166305285684482
257 0.0451729997631273 3 268 "GO:0001505" "regulation of neurotransmitter levels" 0.209697072180985
71 0.726064509248824 2 104 "GO:0001508" "action potential" 0.886413715683588
369 0.247530281188651 2 42 "GO:0001523" "retinoid metabolic process" 0.520477640279189
-250 0.102424973842831 3 187 "GO:0001525" "angiogenesis" 0.324717647154578
-93 0.784109964619376 3 37 "GO:0001541" "ovarian follicle development" 0.908382728867087
1159 0.00215330879535041 2 30 "GO:0001556" "oocyte maturation" 0.0253728973320845
