"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-817 0.00932588368378375 4 34 "GO:0000018" "regulation of DNA recombination" 0.052575622184601
1274 1.37634949572019e-08 2 67 "GO:0000022" "mitotic spindle elongation" 1.77979194165317e-06
24 0.904937039195077 2 87 "GO:0000041" "transition metal ion transport" 0.948968441000818
-72 0.745681635656242 2 69 "GO:0000070" "mitotic sister chromatid segregation" 0.872139798854022
-229 0.0649561864907578 2 225 "GO:0000075" "cell cycle checkpoint" 0.197638749778497
3 0.983200483086939 3 149 "GO:0000077" "DNA damage checkpoint" 0.991907489789041
-366 0.185972653412581 3 44 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.391033963323811
244 0.122793892131676 3 136 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.299246834888619
165 0.352692862859971 4 108 "GO:0000084" "mitotic S phase" 0.575490168183975
-410 0.0435310071964499 2 82 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.149115321009031
-483 0.103852620285188 3 38 "GO:0000096" "sulfur amino acid metabolic process" 0.265272927617351
-128 0.230272103131087 4 309 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.444086570238688
407 0.171398750380488 3 38 "GO:0000132" "establishment of mitotic spindle orientation" 0.372895914339884
211 0.183618643649685 5 135 "GO:0000165" "MAPK cascade" 0.388056152922572
1108 1.02065387026008e-07 3 78 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 7.71553784263593e-06
463 0.140709227452337 6 34 "GO:0000186" "activation of MAPKK activity" 0.325645851900319
-22 0.91332336222589 2 86 "GO:0000187" "activation of MAPK activity" 0.952607743402642
484 0.00320976145964102 5 126 "GO:0000209" "protein polyubiquitination" 0.0248726459175928
169 0.0589164868454733 2 448 "GO:0000226" "microtubule cytoskeleton organization" 0.184974523950355
-372 0.140070802219271 2 53 "GO:0000236" "mitotic prometaphase" 0.325259808969329
-731 0.0166868073014323 2 36 "GO:0000245" "spliceosomal complex assembly" 0.0772371460999182
66 0.390889220429615 2 620 "GO:0000278" "mitotic cell cycle" 0.615632593372103
-260 0.341940160550939 2 45 "GO:0000279" "M phase" 0.56588348252926
-296 0.00423981082513774 2 329 "GO:0000280" "nuclear division" 0.0295359212027272
-217 0.422389103102986 2 46 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.643536858851309
765 7.92166801594869e-06 4 116 "GO:0000302" "response to reactive oxygen species" 0.000248332289772695
-580 5.49466093451513e-06 2 212 "GO:0000375" "RNA splicing, via transesterification reactions" 0.000186368089729702
-598 3.57355881068123e-06 3 207 "GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.000132030235344633
-654 0.0192534546914 2 43 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.0840409235369338
6 0.970218577772053 2 119 "GO:0000578" "embryonic axis specification" 0.984174040384011
-479 0.152385520573524 2 30 "GO:0000722" "telomere maintenance via recombination" 0.346087422685643
-815 0.00072120991325593 5 58 "GO:0000723" "telomere maintenance" 0.00904353521531224
-808 0.00309841704418735 6 45 "GO:0000724;GO:0000725" "recombinational repair" 0.0242251513497336
-1 0.998741512257526 2 35 "GO:0000768" "syncytium formation by plasma membrane fusion" 0.999336591011904
-92 0.663578012851602 2 75 "GO:0000819" "sister chromatid segregation" 0.813704494263338
137 0.083850784574432 2 587 "GO:0000904" "cell morphogenesis involved in differentiation" 0.23039478523838
-77 0.558236816341309 3 201 "GO:0000910" "cytokinesis" 0.740262588679413
504 0.002080667860974 2 127 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.0187986978356123
53 0.706710918235168 2 175 "GO:0001101" "response to acid chemical" 0.842757861572659
60 0.64819194555543 2 202 "GO:0001501" "skeletal system development" 0.802578776393887
-25 0.901881077015948 2 84 "GO:0001503" "ossification" 0.947685093116301
-832 0.00903772389723962 3 33 "GO:0001504" "neurotransmitter uptake" 0.0521231615411465
253 0.0342676359682093 3 243 "GO:0001505" "regulation of neurotransmitter levels" 0.125043631072707
156 0.429243036754412 4 87 "GO:0001508" "action potential" 0.649673623295449
-383 0.215757835008529 2 35 "GO:0001523" "retinoid metabolic process" 0.425957023504434
112 0.45157139157027 3 155 "GO:0001525" "angiogenesis" 0.665851003086347
233 0.458392914887243 3 34 "GO:0001541" "ovarian follicle development" 0.670731924258632
565 1.19765271997565e-05 4 207 "GO:0001558" "regulation of cell growth" 0.000339444312004058
93 0.454424901552055 2 226 "GO:0001568" "blood vessel development" 0.66775931911307
