"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1873 3.86010392907812e-08 3 37 "GO:0000018" "regulation of DNA recombination" 1.14148787617024e-06
1342 9.95291684633186e-08 2 68 "GO:0000022" "mitotic spindle elongation" 2.46660552267915e-06
100 0.610454978560312 5 112 "GO:0000041" "transition metal ion transport" 0.742921425003651
-1158 3.9196342058118e-07 2 83 "GO:0000070" "mitotic sister chromatid segregation" 7.76087572750736e-06
-406 0.00320742691692137 4 233 "GO:0000075" "cell cycle checkpoint" 0.0157619752644394
204 0.22527079034045 2 154 "GO:0000077" "DNA damage checkpoint" 0.385380608268373
-422 0.176870782159109 3 44 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.324524392406359
94 0.592781069970844 3 141 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.728027236420502
-179 0.363431921280574 2 112 "GO:0000084" "mitotic S phase" 0.535274569699785
-870 0.000124908440193537 2 84 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.00111535889537523
-184 0.551526788134103 5 45 "GO:0000096" "sulfur amino acid metabolic process" 0.697713262466425
51 0.659830699475924 5 339 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.779058406634455
253 0.42367117388101 4 43 "GO:0000132" "establishment of mitotic spindle orientation" 0.590287020530594
551 0.000853839089432727 3 160 "GO:0000165" "MAPK cascade" 0.00535589974280529
1295 1.70571585297963e-08 2 82 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 5.54844999604945e-07
365 0.254135422313999 3 42 "GO:0000186" "activation of MAPKK activity" 0.420848259351982
425 0.0402397548428254 8 101 "GO:0000187" "activation of MAPK activity" 0.111619401899513
716 6.70557070884214e-05 9 135 "GO:0000209" "protein polyubiquitination" 0.00064424407190015
61 0.529651270421571 2 481 "GO:0000226" "microtubule cytoskeleton organization" 0.681004363495837
-2083 1.63321535965898e-13 3 54 "GO:0000236" "mitotic prometaphase" 4.13203485993722e-11
519 0.127694556431165 2 37 "GO:0000245" "spliceosomal complex assembly" 0.26007200804451
-80 0.338601865475027 3 666 "GO:0000278" "mitotic cell cycle" 0.509244681431068
-726 0.0164289695875128 3 47 "GO:0000279" "M phase" 0.0589114389775853
-745 2.04598072957758e-11 3 364 "GO:0000280" "nuclear division" 2.32934906062407e-09
173 0.563654209683248 2 48 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.705574840818447
294 0.0951456899497621 3 140 "GO:0000302" "response to reactive oxygen species" 0.209320517889477
347 0.0138706605994744 2 222 "GO:0000375" "RNA splicing, via transesterification reactions" 0.0516914798445224
332 0.0196539186456216 2 217 "GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.066595197553691
456 0.140024822650005 4 45 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.275571755552343
-22 0.899290405804342 3 144 "GO:0000578" "embryonic axis specification" 0.941923096388586
-1818 4.62386072267891e-07 6 33 "GO:0000722" "telomere maintenance via recombination" 8.84750492902511e-06
-1685 2.30187701903658e-10 2 61 "GO:0000723" "telomere maintenance" 1.49753542067037e-08
-1587 8.44831540712866e-08 2 49 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 2.23683885837581e-06
134 0.723802752748343 4 30 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.827358869481916
170 0.603895785158748 2 40 "GO:0000768" "syncytium formation by plasma membrane fusion" 0.737354672756501
-1010 4.6450303064914e-06 4 89 "GO:0000819" "sister chromatid segregation" 6.82369935992317e-05
170 0.0413572246487665 2 683 "GO:0000904" "cell morphogenesis involved in differentiation" 0.113732367784108
-380 0.00788219817270303 2 215 "GO:0000910" "cytokinesis" 0.0326323004349905
686 0.000151156013381404 5 133 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.001289072069174
-43 0.772803860868487 3 198 "GO:0001101" "response to acid chemical" 0.86126330747648
63 0.650479564356456 3 228 "GO:0001501" "skeletal system development" 0.774044177637529
76 0.726379013386463 2 92 "GO:0001503" "ossification" 0.829470919498985
-937 0.00473762552426374 3 39 "GO:0001504" "neurotransmitter uptake" 0.0216183834043057
92 0.474849162157975 2 268 "GO:0001505" "regulation of neurotransmitter levels" 0.639403632308521
-255 0.211384367904898 2 104 "GO:0001508" "action potential" 0.369112120950501
-480 0.133334998799239 2 42 "GO:0001523" "retinoid metabolic process" 0.267021804983173
-72 0.636733731091494 2 187 "GO:0001525" "angiogenesis" 0.763879191620301
395 0.246387865842418 3 37 "GO:0001541" "ovarian follicle development" 0.413430486752532
-787 0.0343081085773373 2 31 "GO:0001556" "oocyte maturation" 0.0998340360824076
511 0.000188540366259336 2 236 "GO:0001558" "regulation of cell growth" 0.0015442676761601
-80 0.538789362233877 3 265 "GO:0001568" "blood vessel development" 0.686856130789539
-145 0.642803485271666 2 44 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.768327315466448
-81 0.774389501035538 3 54 "GO:0001570" "vasculogenesis" 0.861399557331666
2 0.996699890577773 2 33 "GO:0001578" "microtubule bundle formation" 0.997653414422259
-95 0.765577615423046 3 42 "GO:0001649" "osteoblast differentiation" 0.855778218123847
66 0.501764088849658 5 471 "GO:0001654" "eye development" 0.660032830913155
-138 0.283976704154892 3 269 "GO:0001655" "urogenital system development" 0.45376488095487
-262 0.407941417752266 5 43 "GO:0001656" "metanephros development" 0.574865577329886
-652 0.0277311434400042 4 49 "GO:0001657;GO:0072164;GO:0072163" "mesonephric tubule development" 0.0863800459820651
-1156 0.00160334722426038 2 32 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.00899217150157853
166 0.267919278155941 3 195 "GO:0001666" "response to hypoxia" 0.435751568829341
359 0.00417532131385763 3 284 "GO:0001667" "ameboidal-type cell migration" 0.0196836576224717
-531 0.0861169202720843 2 45 "GO:0001676" "long-chain fatty acid metabolic process" 0.195892335124412
1152 0.00100116356780979 2 35 "GO:0001678" "cellular glucose homeostasis" 0.00609531936872431
562 0.00123480571957368 2 144 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.00726525225702654
-130 0.33164412426671 3 245 "GO:0001701" "in utero embryonic development" 0.503100380383277
183 0.62805501992452 2 30 "GO:0001702" "gastrulation with mouth forming second" 0.758261548445457
528 0.0402947511468596 4 65 "GO:0001703" "gastrulation with mouth forming first" 0.111619401899513
593 0.0060142006000505 2 93 "GO:0001704" "formation of primary germ layer" 0.0265394084618508
438 0.246307683925175 3 30 "GO:0001706" "endoderm formation" 0.413430486752532
662 0.00546966355923498 3 76 "GO:0001707" "mesoderm formation" 0.0243250467273009
70 0.71740024058845 3 117 "GO:0001708" "cell fate specification" 0.821294574004772
158 0.366801740805546 2 143 "GO:0001709" "cell fate determination" 0.537802681142452
596 0.0226931278420817 3 63 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.0736255497208103
565 0.0127186493460732 2 84 "GO:0001738" "morphogenesis of a polarized epithelium" 0.0481069178754297
254 0.094854540067321 5 190 "GO:0001745" "compound eye morphogenesis" 0.208881806318462
128 0.508542138059614 2 116 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.66449951872636
-244 0.424374111817559 6 46 "GO:0001752;GO:0042706" "eye photoreceptor cell fate commitment" 0.590287020530594
15 0.928116180617772 6 162 "GO:0001754" "eye photoreceptor cell differentiation" 0.957315781590336
-281 0.457477108925058 5 30 "GO:0001755" "neural crest cell migration" 0.624131442194342
-17 0.936199383886083 2 95 "GO:0001756" "somitogenesis" 0.96197021530172
4 0.980078529488267 2 150 "GO:0001763" "morphogenesis of a branching structure" 0.988973773158097
699 0.00218719413605885 3 83 "GO:0001764" "neuron migration" 0.0116907066849906
222 0.0523414028286759 2 343 "GO:0001775" "cell activation" 0.135811813649005
-57 0.870072588082339 3 36 "GO:0001776" "leukocyte homeostasis" 0.924046307399014
790 0.00656277071009469 2 51 "GO:0001816" "cytokine production" 0.0284095606594783
850 2.28632697826772e-07 4 162 "GO:0001817" "regulation of cytokine production" 5.0574683713896e-06
862 0.00129419381163095 2 60 "GO:0001818" "negative regulation of cytokine production" 0.00755610079252224
680 0.000622967430926431 2 110 "GO:0001819" "positive regulation of cytokine production" 0.00419673621366711
-137 0.377550297257527 2 182 "GO:0001822" "kidney development" 0.547917161794384
-532 0.104359919249629 3 40 "GO:0001824" "blastocyst development" 0.223754742119967
358 0.256909410658477 2 43 "GO:0001837" "epithelial to mesenchymal transition" 0.423694351088287
253 0.186663129530907 4 118 "GO:0001838" "embryonic epithelial tube formation" 0.338670873260458
303 0.142101386875737 6 102 "GO:0001841" "neural tube formation" 0.278455127294366
482 0.0472701327620725 4 73 "GO:0001843;GO:0060606" "neural tube closure" 0.125766694488447
-239 0.242429221109958 3 104 "GO:0001889" "liver development" 0.40859462358799
37 0.903357856286418 3 47 "GO:0001890" "placenta development" 0.94441957702671
254 0.110256029604116 2 173 "GO:0001894" "tissue homeostasis" 0.232887736000531
-206 0.469952785422085 6 53 "GO:0001895" "retina homeostasis" 0.635818474394586
429 3.40957927281531e-06 5 542 "GO:0001932" "regulation of protein phosphorylation" 5.17574133613364e-05
464 0.00513490505255987 2 159 "GO:0001933" "negative regulation of protein phosphorylation" 0.0231070727365194
536 1.25397837669127e-06 2 369 "GO:0001934" "positive regulation of protein phosphorylation" 2.09949173803384e-05
169 0.568127164376453 2 49 "GO:0001936" "regulation of endothelial cell proliferation" 0.709224535792316
533 0.0957849687974885 3 42 "GO:0001938" "positive regulation of endothelial cell proliferation" 0.210117893980618
-82 0.799859159019719 3 41 "GO:0001942;GO:0022405" "hair follicle development" 0.87712332161455
2 0.984416838185837 3 282 "GO:0001944" "vasculature development" 0.991383078526825
-588 0.103093091756207 2 33 "GO:0001945" "lymph vessel development" 0.221681292952727
37 0.874641521852662 2 79 "GO:0001947" "heart looping" 0.926480309713261
1057 0.00294396918530792 2 34 "GO:0001952" "regulation of cell-matrix adhesion" 0.0148305704312968
520 0.0888878223108871 2 46 "GO:0002011" "morphogenesis of an epithelial sheet" 0.199589343567769
-72 0.799759578692846 4 53 "GO:0002040" "sprouting angiogenesis" 0.87712332161455
-34 0.922550547492934 3 35 "GO:0002042" "cell migration involved in sprouting angiogenesis" 0.954839816655187
-568 0.104868427593059 2 35 "GO:0002053" "positive regulation of mesenchymal cell proliferation" 0.224422377471236
190 0.0796474277058684 2 386 "GO:0002064" "epithelial cell development" 0.18468145915098
148 0.512170088642643 4 85 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.66716893125818
68 0.618931242711628 3 237 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.750552904801592
160 0.667075253016248 2 31 "GO:0002067" "glandular epithelial cell differentiation" 0.784313045962437
-88 0.812028369205166 3 31 "GO:0002088" "lens development in camera-type eye" 0.884683539081418
226 0.0436196985149305 3 359 "GO:0002165" "instar larval or pupal development" 0.118099944730674
-64 0.821427871833806 2 54 "GO:0002168" "instar larval development" 0.890662506745513
852 2.78045654066326e-05 2 105 "GO:0002218" "activation of innate immune response" 0.000308834124053183
981 7.70423571766679e-06 2 90 "GO:0002221" "pattern recognition receptor signaling pathway" 0.000108287313142761
1009 6.14382396447308e-05 2 68 "GO:0002224" "toll-like receptor signaling pathway" 0.000600957216391222
164 0.360584385758461 2 136 "GO:0002237" "response to molecule of bacterial origin" 0.532113186242395
-246 0.509109015594447 4 31 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.66449951872636
144 0.564825198271754 2 69 "GO:0002250" "adaptive immune response" 0.706264127657762
140 0.380486293337091 2 172 "GO:0002252" "immune effector process" 0.549028700841924
878 1.11145040763449e-06 2 134 "GO:0002253" "activation of immune response" 1.88863625237592e-05
-205 0.588246405830874 2 30 "GO:0002260" "lymphocyte homeostasis" 0.725713320553968
24 0.928240182879141 4 59 "GO:0002262" "myeloid cell homeostasis" 0.957315781590336
171 0.53651304450967 3 56 "GO:0002263;GO:0002366" "leukocyte activation involved in immune response" 0.685544445762356
655 0.0109766705680899 3 65 "GO:0002274" "myeloid leukocyte activation" 0.0429448090782486
-996 0.00305539844148612 3 38 "GO:0002377" "immunoglobulin production" 0.0151420507481314
865 0.00289021061533326 2 51 "GO:0002429" "immune response-activating cell surface receptor signaling pathway" 0.0146244657135863
-770 0.0160845892512527 2 42 "GO:0002440" "production of molecular mediator of immune response" 0.0579503318435164
254 0.339890292875608 2 61 "GO:0002443" "leukocyte mediated immunity" 0.510508045433878
-277 0.375867489523453 2 44 "GO:0002449" "lymphocyte mediated immunity" 0.547728523643553
171 0.503916328521934 4 66 "GO:0002460" "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 0.660194177240762
1701 1.35500108350784e-12 4 75 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 2.0568916447649e-10
1314 3.83162641526719e-13 4 133 "GO:0002478" "antigen processing and presentation of exogenous peptide antigen" 7.93146667960308e-11
2116 1.36720598815577e-14 2 57 "GO:0002479" "antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent" 5.18854672505115e-12
709 0.0027607012230204 2 77 "GO:0002495;GO:0002504" "antigen processing and presentation of peptide antigen via MHC class II" 0.014000259877099
96 0.391032071385288 3 363 "GO:0002520" "immune system development" 0.558231991563825
70 0.688908942872041 4 141 "GO:0002521" "leukocyte differentiation" 0.801966085337238
-977 0.00675273538399828 2 33 "GO:0002526" "acute inflammatory response" 0.0290864289934184
147 0.580845154252034 2 61 "GO:0002573" "myeloid leukocyte differentiation" 0.719969742096833
85 0.770081405284719 4 51 "GO:0002576" "platelet degranulation" 0.859546745016326
466 5.75922706155846e-06 2 431 "GO:0002682" "regulation of immune system process" 8.35271338800549e-05
489 0.0114601105045805 2 116 "GO:0002683" "negative regulation of immune system process" 0.0443786932294724
383 0.0020008324503937 2 290 "GO:0002684" "positive regulation of immune system process" 0.0109254088478332
690 0.0272948755639589 3 44 "GO:0002685" "regulation of leukocyte migration" 0.0853714720592506
104 0.531270752552025 3 159 "GO:0002694" "regulation of leukocyte activation" 0.681907273709674
148 0.656417366131826 2 39 "GO:0002695" "negative regulation of leukocyte activation" 0.776044830053047
-72 0.707214747597294 2 117 "GO:0002696" "positive regulation of leukocyte activation" 0.812476276629182
531 0.000738110891698643 4 177 "GO:0002697" "regulation of immune effector process" 0.00473430563492341
1171 0.000252738860220945 2 42 "GO:0002698" "negative regulation of immune effector process" 0.00199130236928405
281 0.169415244596634 2 104 "GO:0002699" "positive regulation of immune effector process" 0.314135596047667
115 0.599003797105656 2 90 "GO:0002700" "regulation of production of molecular mediator of immune response" 0.732902550246952
208 0.379631505594053 2 77 "GO:0002702" "positive regulation of production of molecular mediator of immune response" 0.549028700841924
741 0.00214825843720913 2 74 "GO:0002703" "regulation of leukocyte mediated immunity" 0.0115640294598704
629 0.030294934474238 2 51 "GO:0002705" "positive regulation of leukocyte mediated immunity" 0.0916089851232934
755 0.00418800741006973 6 62 "GO:0002706" "regulation of lymphocyte mediated immunity" 0.0197026712246462
718 0.017611551861006 4 47 "GO:0002708" "positive regulation of lymphocyte mediated immunity" 0.061599851900938
817 0.00638146054506523 2 48 "GO:0002709" "regulation of T cell mediated immunity" 0.027783146579567
646 0.0347070613297093 2 46 "GO:0002718" "regulation of cytokine production involved in immune response" 0.100035416009808
768 0.0177571403369377 3 41 "GO:0002720" "positive regulation of cytokine production involved in immune response" 0.0618241720905308
842 0.00261466105280319 2 55 "GO:0002753" "cytoplasmic pattern recognition receptor signaling pathway" 0.0134654105883279
904 0.000674333880701179 3 61 "GO:0002755" "MyD88-dependent toll-like receptor signaling pathway" 0.00445060361262778
1032 0.000197471876039313 3 56 "GO:0002756" "MyD88-independent toll-like receptor signaling pathway" 0.00160578435072039
1023 1.24958196893206e-07 4 116 "GO:0002757" "immune response-activating signal transduction" 2.98820880277302e-06
1002 4.36129229593148e-06 5 91 "GO:0002758" "innate immune response-activating signal transduction" 6.44848218041297e-05
-249 0.383010382988851 2 53 "GO:0002759" "regulation of antimicrobial humoral response" 0.550799839543599
992 0.000497593890192663 2 53 "GO:0002761" "regulation of myeloid leukocyte differentiation" 0.00349697928385399
1035 0.00239369274635327 2 37 "GO:0002763" "positive regulation of myeloid leukocyte differentiation" 0.0125305540370341
1050 4.38614384849021e-08 2 118 "GO:0002764" "immune response-regulating signaling pathway" 1.24934747302998e-06
907 0.00132316511651006 3 54 "GO:0002768" "immune response-regulating cell surface receptor signaling pathway" 0.00764681972155687
-300 0.311301017912238 5 49 "GO:0002784;GO:0002805" "regulation of antimicrobial peptide production" 0.481871120180942
-212 0.51868578439876 5 40 "GO:0002786;GO:0002808;GO:0006963;GO:0002803;GO:1900426" "positive regulation of antibacterial peptide biosynthetic process" 0.672558740698797
86 0.728032524734992 2 70 "GO:0002790" "peptide secretion" 0.830526081573936
712 3.36155218044026e-05 2 148 "GO:0002791" "regulation of peptide secretion" 0.0003593546626696
669 0.00886659208994285 4 66 "GO:0002793" "positive regulation of peptide secretion" 0.0359238971330959
-178 0.578612019418599 4 42 "GO:0002807;GO:0002225;GO:0002760" "positive regulation of antimicrobial peptide biosynthetic process" 0.718374900881216
811 0.000853213472711266 2 73 "GO:0002819" "regulation of adaptive immune response" 0.00535589974280529
693 0.0141516758331365 3 54 "GO:0002821" "positive regulation of adaptive immune response" 0.0523957168651249
