"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1428 2.77689727408415e-05 4 37 "GO:0000018" "regulation of DNA recombination" 0.000187070860742296
1690 1.94676356675373e-11 3 68 "GO:0000022" "mitotic spindle elongation" 5.78219768853978e-10
-145 0.461060504759494 3 112 "GO:0000041" "transition metal ion transport" 0.590790528608536
-931 4.55511910324354e-05 2 83 "GO:0000070" "mitotic sister chromatid segregation" 0.000288913821673692
-228 0.0976694244403804 5 233 "GO:0000075" "cell cycle checkpoint" 0.180660665678916
372 0.0271659905323897 4 154 "GO:0000077" "DNA damage checkpoint" 0.065361504485513
-86 0.784246942539885 6 44 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.85156427666348
180 0.306153017103812 4 141 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.433039829907461
142 0.471205195584575 2 112 "GO:0000084" "mitotic S phase" 0.598338381154138
-547 0.0160033176472553 2 84 "GO:0000086" "G2/M transition of mitotic cell cycle" 0.0425695727602807
-876 0.00460343040108416 2 45 "GO:0000096" "sulfur amino acid metabolic process" 0.0149732476416086
147 0.202705635572689 7 339 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.318288519299741
267 0.398416472799545 3 43 "GO:0000132" "establishment of mitotic spindle orientation" 0.52530069980577
776 2.64998779893329e-06 2 160 "GO:0000165" "MAPK cascade" 2.32507710052359e-05
1711 9.20866446651118e-14 6 82 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 5.24203224756149e-12
458 0.152458574280322 2 42 "GO:0000186" "activation of MAPKK activity" 0.255820319555117
826 6.66759697134158e-05 6 101 "GO:0000187" "activation of MAPK activity" 0.000401002685801334
1028 1.05647862108615e-08 6 135 "GO:0000209" "protein polyubiquitination" 1.55200117433107e-07
48 0.621612668803126 2 481 "GO:0000226" "microtubule cytoskeleton organization" 0.728956306640043
-1465 2.11813444212644e-07 4 54 "GO:0000236" "mitotic prometaphase" 2.36421182584407e-06
32 0.925120193729823 2 37 "GO:0000245" "spliceosomal complex assembly" 0.953598316488369
38 0.648396718438767 3 666 "GO:0000278" "mitotic cell cycle" 0.749441283190392
-693 0.0219273464266876 3 47 "GO:0000279" "M phase" 0.055135003538964
-495 8.62239113314227e-06 2 364 "GO:0000280" "nuclear division" 6.65531681700507e-05
-3 0.99293047063475 2 48 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.99819102941957
436 0.0134716405352244 2 140 "GO:0000302" "response to reactive oxygen species" 0.0364743466096385
-46 0.745640407689461 2 222 "GO:0000375" "RNA splicing, via transesterification reactions" 0.827399224322077
-41 0.773679621495962 4 217 "GO:0000377;GO:0000398" "mRNA splicing, via spliceosome" 0.844115236294349
282 0.362178097303763 6 45 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.490005661058032
188 0.279839558594216 2 144 "GO:0000578" "embryonic axis specification" 0.405082437965054
-1373 0.000141430724862146 6 33 "GO:0000722" "telomere maintenance via recombination" 0.000763122655239589
-1266 1.92581648885101e-06 5 61 "GO:0000723" "telomere maintenance" 1.71964084122108e-05
-1196 5.48001076945241e-05 6 49 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.000339075666359868
-41 0.914278262179197 2 30 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.945848070414372
689 0.0355951226013861 3 40 "GO:0000768" "syncytium formation by plasma membrane fusion" 0.0805230864299153
-816 0.000213874742590689 4 89 "GO:0000819" "sister chromatid segregation" 0.00109436581770562
250 0.00262506724738308 5 683 "GO:0000904" "cell morphogenesis involved in differentiation" 0.009442777444378
-87 0.542993132954998 3 215 "GO:0000910" "cytokinesis" 0.659762734118746
959 1.15060816983166e-07 5 133 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 1.36454937640973e-06
-240 0.106829510396554 3 198 "GO:0001101" "response to acid chemical" 0.194134712827577
22 0.873666913859851 2 228 "GO:0001501" "skeletal system development" 0.91659019535626
261 0.228971283921988 2 92 "GO:0001503" "ossification" 0.349911149993535
