"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1020 0.999999685915426 2 32 "GO:0000018" "regulation of DNA recombination" 1
85 0.271735909100305 3 70 "GO:0000041" "transition metal ion transport" 0.51074450068123
-1082 0.999999999985996 4 51 "GO:0000070" "mitotic sister chromatid segregation" 1
-594 0.999999999031042 2 141 "GO:0000075" "cell cycle checkpoint" 1
-263 0.978420831036779 2 80 "GO:0000077" "DNA damage checkpoint" 1
-389 0.999116577441168 2 88 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
-512 0.999913395580805 2 73 "GO:0000084" "mitotic S phase" 1
-512 0.998090297195106 2 43 "GO:0000086" "G2/M transition of mitotic cell cycle" 1
132 0.0530367709400958 2 210 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.150520167440175
562 5.01187697347426e-06 2 84 "GO:0000165" "MAPK cascade" 7.23677562992311e-05
494 0.000492863605555717 4 60 "GO:0000187" "activation of MAPK activity" 0.00338433009148259
353 0.00535105919046115 8 71 "GO:0000209" "protein polyubiquitination" 0.0246053168132812
-383 0.99999733548501 2 198 "GO:0000226" "microtubule cytoskeleton organization" 1
-1333 0.999999999999331 3 38 "GO:0000236" "mitotic prometaphase" 1
-458 0.999999999993344 3 315 "GO:0000278" "mitotic cell cycle" 1
-799 0.999939469923431 3 31 "GO:0000279" "M phase" 1
-688 1 5 203 "GO:0000280" "nuclear division" 1
397 0.000756213737311952 3 87 "GO:0000302" "response to reactive oxygen species" 0.00480802561377352
-173 0.905504557821112 4 78 "GO:0000375" "RNA splicing, via transesterification reactions" 1
-186 0.918153465006317 3 76 "GO:0000377;GO:0000398" "mRNA splicing, via spliceosome" 1
38 0.388019199976017 4 78 "GO:0000578" "embryonic axis specification" 0.655896787705631
-984 0.999999999301757 3 51 "GO:0000723" "telomere maintenance" 1
-871 0.999998661438425 6 39 "GO:0000724;GO:0000725" "recombinational repair" 1
-1049 0.999999999975954 3 53 "GO:0000819" "sister chromatid segregation" 1
153 0.0077060691540353 5 365 "GO:0000904" "cell morphogenesis involved in differentiation" 0.0335737192041525
-311 0.996669718546801 3 104 "GO:0000910" "cytokinesis" 1
-206 0.857530253854103 5 36 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 1
-139 0.91523063450933 2 135 "GO:0001101" "response to acid chemical" 1
150 0.0601222397658937 4 149 "GO:0001501" "skeletal system development" 0.165282669819049
350 0.00540732737769647 2 72 "GO:0001503" "ossification" 0.0246440141549883
180 0.0316866946102 2 147 "GO:0001505" "regulation of neurotransmitter levels" 0.10263300455505
-2 0.506344494944946 2 57 "GO:0001508" "action potential" 0.789406906851606
-264 0.911375343183758 2 35 "GO:0001523" "retinoid metabolic process" 1
163 0.0594226879038237 2 126 "GO:0001525" "angiogenesis" 0.164236230431856
197 0.0329920603277634 2 119 "GO:0001558" "regulation of cell growth" 0.106193194179988
97 0.140136948978281 2 171 "GO:0001568" "blood vessel development" 0.310633552613263
194 0.157312284514431 2 36 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.337565943853883
128 0.245942072681576 2 39 "GO:0001570" "vasculogenesis" 0.473791149991315
177 0.18639662002057 2 34 "GO:0001649" "osteoblast differentiation" 0.383465749576272
60 0.217419278546601 2 240 "GO:0001654" "eye development" 0.431620043387161
106 0.125503883753087 4 162 "GO:0001655" "urogenital system development" 0.286839497630946
90 0.324743750175832 3 34 "GO:0001656" "metanephros development" 0.584236836512018
-241 0.908609986118428 4 41 "GO:0001657;GO:0072164;GO:0072163" "mesonephric tubule development" 1
116 0.147078332936748 4 111 "GO:0001666;GO:0036293" "response to decreased oxygen levels" 0.31915171964505
360 7.98479367263979e-05 3 152 "GO:0001667" "ameboidal-type cell migration" 0.000721433112527981
-260 0.890421584046757 6 30 "GO:0001676" "long-chain fatty acid metabolic process" 1
78 0.290768667595058 2 67 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.538009091538161
-49 0.687746240197931 2 138 "GO:0001701" "in utero embryonic development" 0.970336546909446
516 0.000841857388198401 2 50 "GO:0001704" "formation of primary germ layer" 0.0052658690881236
489 0.00283148752738884 2 43 "GO:0001707" "mesoderm formation" 0.0142962360451495
103 0.214003877008537 3 80 "GO:0001708" "cell fate specification" 0.426077306672925
288 0.012287432159244 3 83 "GO:0001709" "cell fate determination" 0.0494291447307974
357 0.0231193214099362 2 42 "GO:0001738" "morphogenesis of a polarized epithelium" 0.0796412752294374
