"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
453 0.00607757189506147 2 16 "GO:0000118" "histone deacetylase complex" 0.211364444794916
159 0.145679587277137 5 23 "GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 0.894072761132233
-60 0.831417191593661 3 143 "GO:0000139" "Golgi membrane" 0.999745893148601
-151 0.918492415773737 3 45 "GO:0000151" "ubiquitin ligase complex" 0.999745893148601
-232 0.876477667888714 4 13 "GO:0000152" "nuclear ubiquitin ligase complex" 0.999745893148601
51 0.222527243549945 3 124 "GO:0000228" "nuclear chromosome" 0.995014674730468
18 0.461781139929688 5 15 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.999745893148601
-21 0.619830899366693 2 111 "GO:0000323" "lytic vacuole" 0.999745893148601
191 0.0348433715500538 5 48 "GO:0000428;GO:0055029" "DNA-directed RNA polymerase complex" 0.573998699745623
127 0.279300959172003 4 11 "GO:0000502;GO:1905369" "proteasome complex" 0.999745893148601
136 0.0856100729154221 2 54 "GO:0000775" "chromosome, centromeric region" 0.765598652072203
64 0.283987838246368 3 42 "GO:0000776" "kinetochore" 0.999745893148601
124 0.169733444390906 5 31 "GO:0000777" "condensed chromosome kinetochore" 0.962760976801709
135 0.136333335655083 3 35 "GO:0000779" "condensed chromosome, centromeric region" 0.894072761132233
256 0.0565325913626069 2 20 "GO:0000781" "chromosome, telomeric region" 0.655359299870221
443 0.0167396805324991 2 12 "GO:0000784" "nuclear chromosome, telomeric region" 0.3740718423498
61 0.21094375437132 2 92 "GO:0000785" "chromatin" 0.995014674730468
-35 0.623234366831374 2 43 "GO:0000790" "nuclear chromatin" 0.999745893148601
74 0.366751603371206 4 11 "GO:0000791" "euchromatin" 0.999745893148601
263 0.0796263804727585 4 15 "GO:0000792" "heterochromatin" 0.755244154181012
105 0.102856511537588 3 78 "GO:0000793" "condensed chromosome" 0.833663962532283
127 0.116015700573805 5 47 "GO:0000794" "condensed nuclear chromosome" 0.840851271239362
-1 0.502707302995906 2 16 "GO:0000795;GO:0099086" "synaptonemal complex" 0.999745893148601
113 0.128265382295134 4 54 "GO:0000922" "spindle pole" 0.887673595501449
398 0.0165458679589018 3 15 "GO:0001669" "acrosomal vesicle" 0.3740718423498
-246 0.935558580073653 2 20 "GO:0001726" "ruffle" 0.999745893148601
-129 0.713881919757704 3 10 "GO:0002116" "semaphorin receptor complex" 0.999745893148601
-35 0.789809440531244 1 324 "GO:0005576" "extracellular region" 0.999745893148601
360 0.0490082940725826 2 11 "GO:0005581" "collagen trimer" 0.613583841788734
-81 0.703317865716526 2 23 "GO:0005604" "basement membrane" 0.999745893148601
-2 0.513419773144206 2 135 "GO:0005615" "extracellular space" 0.999745893148601
-38 0.698223908982222 4 103 "GO:0005635" "nuclear envelope" 0.999745893148601
-205 0.86354564487104 2 15 "GO:0005643;GO:0046930" "nuclear pore" 0.999745893148601
-107 0.789668605066998 2 30 "GO:0005657" "replication fork" 0.999745893148601
41 0.422719396462774 3 12 "GO:0005658" "alpha DNA polymerase:primase complex" 0.999745893148601
115 0.0892006637135854 2 73 "GO:0005667" "transcription factor complex" 0.77555021506534
-80 0.805247214638784 2 61 "GO:0005681" "spliceosomal complex" 0.999745893148601
74 0.0613463864834431 2 255 "GO:0005694" "chromosome" 0.685764963189918
-4 0.512705743913668 3 33 "GO:0005700" "polytene chromosome" 0.999745893148601
-1 0.504296737676111 2 203 "GO:0005730" "nucleolus" 0.999745893148601
-29 0.655942672872217 4 106 "GO:0005740" "mitochondrial envelope" 0.999745893148601
-106 0.783635748058257 2 29 "GO:0005741" "mitochondrial outer membrane" 0.999745893148601
100 0.137966891528573 2 63 "GO:0005743" "mitochondrial inner membrane" 0.894072761132233
5 0.479207022805113 2 65 "GO:0005759" "mitochondrial matrix" 0.999745893148601
-5 0.529293106504385 6 107 "GO:0005764" "lysosome" 0.999745893148601
-74 0.793245653879197 2 65 "GO:0005765" "lysosomal membrane" 0.999745893148601
-86 0.953460909297862 5 216 "GO:0005768" "endosome" 0.999745893148601
-185 0.982501526604783 6 69 "GO:0005769" "early endosome" 0.999745893148601
-76 0.794900406785468 2 63 "GO:0005770" "late endosome" 0.999745893148601
-309 0.922097205775467 3 11 "GO:0005771" "multivesicular body" 0.999745893148601
-33 0.694940024321014 2 128 "GO:0005773" "vacuole" 0.999745893148601
-85 0.850794684952935 2 80 "GO:0005774" "vacuolar membrane" 0.999745893148601
22 0.421328181438144 4 44 "GO:0005775;GO:0043202" "lysosomal lumen" 0.999745893148601
-214 0.965531199631197 3 38 "GO:0005777;GO:0042579" "microbody" 0.999745893148601
-272 0.927763689731713 2 15 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.999745893148601
-77 0.965744197172948 2 337 "GO:0005783" "endoplasmic reticulum" 0.999745893148601
179 0.0669754166759175 4 37 "GO:0005788" "endoplasmic reticulum lumen" 0.722872600674558
-112 0.97177241966878 3 161 "GO:0005789" "endoplasmic reticulum membrane" 0.999745893148601
-432 0.970705026072274 3 10 "GO:0005791" "rough endoplasmic reticulum" 0.999745893148601
