"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-203 0.865113539278999 2 20 "GO:0000118" "histone deacetylase complex" 0.999998358224386
-550 0.999577797834985 4 25 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.999998358224386
39 0.246841926503135 4 227 "GO:0000139" "Golgi membrane" 0.582555863062087
-25 0.579068917388093 3 44 "GO:0000151" "ubiquitin ligase complex" 0.995358093021929
-193 0.781909154227609 2 11 "GO:0000152" "nuclear ubiquitin ligase complex" 0.999998358224386
1 0.493684427951714 3 109 "GO:0000228" "nuclear chromosome" 0.916140754358156
-584 0.999236878139622 5 20 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.999998358224386
-561 0.990986638817975 5 12 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.999998358224386
57 0.230803898748842 2 118 "GO:0000323" "lytic vacuole" 0.582555863062087
-367 0.996176539732029 6 36 "GO:0000428;GO:0055029" "nuclear DNA-directed RNA polymerase complex" 0.999998358224386
47 0.351706001049308 4 45 "GO:0000502;GO:1905369" "proteasome complex" 0.724786399952441
-330 0.9901754088307 2 34 "GO:0000775" "chromosome, centromeric region" 0.999998358224386
-310 0.974667536407646 3 27 "GO:0000776" "kinetochore" 0.999998358224386
-329 0.950387571455503 2 17 "GO:0000777" "condensed chromosome kinetochore" 0.999998358224386
-433 0.990676662990616 2 20 "GO:0000779" "condensed chromosome, centromeric region" 0.999998358224386
-478 0.985150315129825 2 14 "GO:0000781" "chromosome, telomeric region" 0.999998358224386
-89 0.838890690275234 2 85 "GO:0000785" "chromatin" 0.999998358224386
23 0.4180979263336 2 55 "GO:0000790" "nuclear chromatin" 0.81649490325881
-496 0.977300919049163 3 11 "GO:0000791" "euchromatin" 0.999998358224386
-350 0.937441361690543 5 13 "GO:0000792" "heterochromatin" 0.999998358224386
-101 0.811910311518335 5 53 "GO:0000793" "condensed chromosome" 0.999998358224386
23 0.444413113844813 2 25 "GO:0000794" "condensed nuclear chromosome" 0.850082520328796
-227 0.962739692964564 2 42 "GO:0000922" "spindle pole" 0.999998358224386
107 0.246166574861687 2 28 "GO:0000932" "P-body" 0.582555863062087
85 0.303843489782443 6 25 "GO:0001669" "acrosomal vesicle" 0.657950080498247
473 0.0190085208651747 3 13 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "stress fiber" 0.109079665887849
120 0.164698696507503 4 45 "GO:0001726" "ruffle" 0.47622181238216
169 0.228862126376323 3 13 "GO:0001750" "photoreceptor outer segment" 0.582555863062087
-178 0.753713706084067 3 10 "GO:0001891" "phagocytic cup" 0.999998358224386
116 0.327346814390246 3 10 "GO:0001917" "photoreceptor inner segment" 0.685957088581808
