"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-280 0.927807316080428 3 17 "GO:0000118" "histone deacetylase complex" 0.999790308201053
-142 0.815549944368751 3 25 "GO:0000123" "histone acetyltransferase complex" 0.999790308201053
-103 0.965283920055938 2 207 "GO:0000139" "Golgi membrane" 0.999790308201053
-94 0.805257252850319 3 53 "GO:0000151" "ubiquitin ligase complex" 0.999790308201053
182 0.16435595757313 2 18 "GO:0000152" "nuclear ubiquitin ligase complex" 0.82406250949861
177 0.00571873990055843 2 134 "GO:0000228" "nuclear chromosome" 0.147461793150114
-275 0.930020428751304 5 18 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.999790308201053
-409 0.94933590480288 2 10 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.999790308201053
-72 0.850460120243201 4 136 "GO:0000323" "lytic vacuole" 0.999790308201053
-124 0.846022776792785 3 43 "GO:0000428;GO:0055029" "nuclear DNA-directed RNA polymerase complex" 0.999790308201053
202 0.0477801727198059 4 43 "GO:0000502;GO:1905369" "endopeptidase complex" 0.507998396732082
-235 0.971122691812735 3 41 "GO:0000775" "chromosome, centromeric region" 0.999790308201053
-311 0.982736487794862 4 29 "GO:0000776" "kinetochore" 0.999790308201053
-218 0.906635348632768 2 23 "GO:0000777" "condensed chromosome kinetochore" 0.999790308201053
-233 0.929257644548274 5 25 "GO:0000779" "condensed chromosome, centromeric region" 0.999790308201053
-514 0.987884523519732 2 12 "GO:0000781" "chromosome, telomeric region" 0.999790308201053
29 0.349870806468226 2 111 "GO:0000785" "chromatin" 0.999790308201053
-151 0.7552020646652 3 13 "GO:0000786" "nucleosome" 0.999790308201053
206 0.0174796596449421 2 67 "GO:0000790" "nuclear chromatin" 0.274354657905396
306 0.0608448871077233 4 16 "GO:0000792" "heterochromatin" 0.522976291568765
-11 0.542540075167921 2 62 "GO:0000793" "condensed chromosome" 0.999790308201053
38 0.393347845070671 3 32 "GO:0000794" "condensed nuclear chromosome" 0.999790308201053
183 0.170415422094036 5 17 "GO:0000803" "sex chromosome" 0.832862193193926
48 0.359090009461303 2 36 "GO:0000922" "spindle pole" 0.999790308201053
-57 0.635684962317646 2 23 "GO:0000932" "P-body" 0.999790308201053
-137 0.781049140371253 3 20 "GO:0001669" "acrosomal vesicle" 0.999790308201053
-83 0.647977088177832 5 13 "GO:0001725;GO:0097517;GO:0032432" "stress fiber" 0.999790308201053
-416 0.999472625731424 2 39 "GO:0001726" "ruffle" 0.999790308201053
61 0.403238491723732 3 10 "GO:0001750" "photoreceptor outer segment" 0.999790308201053
-64 0.611055429836352 2 12 "GO:0005581" "collagen trimer" 0.999790308201053
6 0.481395070921228 3 39 "GO:0005604" "basement membrane" 0.999790308201053
177 0.00166651580775274 2 184 "GO:0005615" "extracellular space" 0.101148941268945
-6 0.53207469375312 2 126 "GO:0005635" "nuclear envelope" 0.999790308201053
-21 0.55104915063052 2 23 "GO:0005643" "nuclear pore" 0.999790308201053
-9 0.523577563388575 2 27 "GO:0005657" "replication fork" 0.999790308201053
-67 0.767735159961952 2 76 "GO:0005667" "transcription factor complex" 0.999790308201053
-9 0.53982181368935 2 80 "GO:0005681" "spliceosomal complex" 0.999790308201053
31 0.276735309607231 4 248 "GO:0005694" "chromosome" 0.999790308201053
82 0.271522337667063 5 35 "GO:0005700" "polytene chromosome" 0.999790308201053
-55 0.587554950959581 5 10 "GO:0005703" "polytene chromosome puff" 0.999790308201053
806 0.000625789753935617 2 10 "GO:0005720" "nuclear heterochromatin" 0.0707472982023966
-55 0.835757345093033 3 212 "GO:0005730" "nucleolus" 0.999790308201053
34 0.305536108770864 4 148 "GO:0005740" "mitochondrial envelope" 0.999790308201053
-91 0.760680657902268 3 38 "GO:0005741" "mitochondrial outer membrane" 0.999790308201053
130 0.0526124326911676 2 100 "GO:0005743" "mitochondrial inner membrane" 0.507998396732082
-71 0.631447551681032 4 14 "GO:0005758" "mitochondrial intermembrane space" 0.999790308201053
100 0.0938235582182909 2 113 "GO:0005759" "mitochondrial matrix" 0.673104912013765
