"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
124 0.637440937708168 5 38 "GO:0000118" "histone deacetylase complex" 0.798333482081624
224 0.276205842555449 2 63 "GO:0000123" "histone acetyltransferase complex" 0.483404154041512
-23 0.955647419492439 6 16 "GO:0000124" "SAGA complex" 0.974348934551
-43 0.615572377330932 4 393 "GO:0000139" "Golgi membrane" 0.784139874301749
56 0.723699545563257 2 106 "GO:0000151" "ubiquitin ligase complex" 0.862808840362602
65 0.836360677563173 2 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.933291185652305
-132 0.778226167101883 2 12 "GO:0000176" "nuclear exosome (RNase complex)" 0.895045989095102
330 0.500847759871093 2 11 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.696855925120941
36 0.925414693366792 3 18 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.955086262437974
25 0.803786239354267 3 269 "GO:0000228" "nuclear chromosome" 0.91097478234001
-911 0.0519604357659125 2 12 "GO:0000235" "astral microtubule" 0.16210411397629
160 0.722873775143214 3 13 "GO:0000242" "pericentriolar material" 0.862808840362602
-507 0.226598788359772 5 15 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.43733861665736
-949 6.56808933941895e-05 3 47 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.000865779645407853
-1139 0.00172884104104973 4 20 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.0125100858664849
-1054 0.000952563195923108 5 26 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.00813582664058917
-217 0.657694442773803 3 11 "GO:0000322;GO:0000324" "storage vacuole" 0.81624828671869
10 0.921355322612149 3 268 "GO:0000323" "lytic vacuole" 0.954326288431272
192 0.246572704306817 4 98 "GO:0000428;GO:0055029" "nuclear DNA-directed RNA polymerase complex" 0.460445802666135
-1213 1.08143050259544e-07 3 51 "GO:0000502;GO:1905369" "proteasome complex" 3.31426642266014e-06
333 0.0408062190265641 5 101 "GO:0000775" "chromosome, centromeric region" 0.132875250705249
280 0.140195793692552 2 74 "GO:0000776" "kinetochore" 0.322969165422353
177 0.416888771670947 5 56 "GO:0000777" "condensed chromosome kinetochore" 0.6303121129261
208 0.31849879037835 2 61 "GO:0000779" "condensed chromosome, centromeric region" 0.525119841098482
-669 0.153929908226079 3 12 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.341265881641648
98 0.746425792975751 4 29 "GO:0000781" "chromosome, telomeric region" 0.875873509325149
106 0.794125454783741 2 16 "GO:0000784" "nuclear chromosome, telomeric region" 0.90732316215423
24 0.833762002542741 3 216 "GO:0000785" "chromatin" 0.933291185652305
-190 0.610340815306331 2 19 "GO:0000786" "nucleosome" 0.781296227947416
23 0.879697851593052 2 121 "GO:0000790" "nuclear chromatin" 0.94694748074376
-389 0.309861700246189 2 18 "GO:0000791" "euchromatin" 0.51742931355213
332 0.240593010188293 5 33 "GO:0000792" "heterochromatin" 0.452523315191699
290 0.0333127213447975 2 146 "GO:0000793" "condensed chromosome" 0.116482737051272
276 0.135718751849769 4 78 "GO:0000794" "condensed nuclear chromosome" 0.31851112483662
525 0.139305516064062 6 21 "GO:0000795;GO:0099086" "synaptonemal complex" 0.322969165422353
291 0.362437598083371 2 26 "GO:0000803" "sex chromosome" 0.573951333135065
713 0.113342848525443 3 13 "GO:0000805" "X chromosome" 0.281013342696808
184 0.719907676898195 2 10 "GO:0000808;GO:0005664" "origin recognition complex" 0.862808840362602
437 0.00921489912353966 2 95 "GO:0000922" "spindle pole" 0.0470682592486683
-560 0.0277519424004356 2 41 "GO:0000932" "P-body" 0.106314426401669
-708 0.168305372523779 2 10 "GO:0000940" "condensed chromosome outer kinetochore" 0.365362912853704
-370 0.145670116160096 2 41 "GO:0001669" "acrosomal vesicle" 0.324626191733912
1071 0.0223850692593039 4 12 "GO:0001673" "male germ cell nucleus" 0.0897124698776718
-661 0.0625168766349477 5 21 "GO:0001725;GO:0097517;GO:0032432" "contractile actin filament bundle" 0.185661447268847
204 0.299217035036641 2 69 "GO:0001726" "ruffle" 0.506143101474318
242 0.516839983055463 2 19 "GO:0001750" "photoreceptor outer segment" 0.710484514965425
-1577 0.000280732131866344 3 14 "GO:0001891" "phagocytic cup" 0.00304711334796594
-515 0.220118116962159 3 15 "GO:0001917" "photoreceptor inner segment" 0.436051478848992
280 0.585993614588778 3 10 "GO:0002102" "podosome" 0.761353299752502
1367 0.00524986574718801 3 11 "GO:0002116" "semaphorin receptor complex" 0.0310815915259654
1101 0.00520761091553055 2 17 "GO:0005581" "collagen trimer" 0.0310815915259654
1463 0.00439298891529354 3 10 "GO:0005593;GO:0030934" "anchoring collagen complex" 0.0272469907722373
321 0.0788836565360507 2 80 "GO:0005604" "basement membrane" 0.217451772779272
-220 0.0166623981364746 2 331 "GO:0005615" "extracellular space" 0.0745628480753244
-123 0.776381912857048 2 14 "GO:0005618" "cell wall" 0.894900390704695
227 0.0259192367441924 2 266 "GO:0005635" "nuclear envelope" 0.101974734882294
-119 0.770548023885103 4 16 "GO:0005637" "nuclear inner membrane" 0.894053378251059
473 0.0260319380793572 2 59 "GO:0005643" "nuclear pore" 0.101974734882294
-33 0.934894056832049 2 16 "GO:0005652" "nuclear lamina" 0.957967428607046
-345 0.501575761843288 3 10 "GO:0005656;GO:0036387" "nuclear pre-replicative complex" 0.696855925120941
-33 0.88582429850957 4 51 "GO:0005657" "replication fork" 0.948734291858373
168 0.708819107613915 5 13 "GO:0005658" "alpha DNA polymerase:primase complex" 0.860826934887762
-799 0.0882582427597446 2 12 "GO:0005665" "RNA polymerase II, core complex" 0.238251525791849
239 0.625474868407748 2 11 "GO:0005666" "RNA polymerase III complex" 0.792876901314931
-201 0.112056408912597 2 170 "GO:0005667" "transcription factor complex" 0.280679755016649
-112 0.796038082186936 2 14 "GO:0005669" "transcription factor TFIID complex" 0.907518251245938
-394 0.364743776371166 6 14 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.574113315677878
425 0.408529229845118 2 10 "GO:0005675" "transcription factor TFIIH holo complex" 0.6223500840623
-93 0.842399782069037 2 12 "GO:0005680" "anaphase-promoting complex" 0.933809768094847
-226 0.0768051682212167 4 167 "GO:0005681" "spliceosomal complex" 0.212848365123691
-562 0.19542435824822 3 14 "GO:0005686" "U2 snRNP" 0.406731569031945
-414 0.293053656495959 5 17 "GO:0005689" "U12-type spliceosomal complex" 0.500492925766785
51 0.491181989902278 4 525 "GO:0005694" "chromosome" 0.687918862201846
373 0.0363032517271588 5 84 "GO:0005700" "polytene chromosome" 0.123795691706431
120 0.767954006604055 3 16 "GO:0005703" "polytene chromosome puff" 0.893089369287305
403 0.32176595310151 4 16 "GO:0005705" "polytene chromosome interband" 0.528833001785132
-591 0.250200719263234 3 10 "GO:0005719" "nuclear euchromatin" 0.462541932426355
523 0.172542822868502 3 18 "GO:0005720" "nuclear heterochromatin" 0.366917594753019
873 0.0892275634613924 2 10 "GO:0005721" "pericentric heterochromatin" 0.239626600842193
-159 0.0444608189303434 3 459 "GO:0005730" "nucleolus" 0.142110961120914
-589 0.135199550354688 3 17 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.31851112483662
-250 0.00510001603048944 2 354 "GO:0005740" "mitochondrial envelope" 0.0308966087428488
-88 0.631774981071809 4 79 "GO:0005741" "mitochondrial outer membrane" 0.795059819174909
-389 0.000235667164340962 3 246 "GO:0005743" "mitochondrial inner membrane" 0.00266918679612263
-1543 5.16480976403871e-09 4 38 "GO:0005746;GO:0070469" "mitochondrial respirasome" 1.79391059137611e-07
-1504 3.52001704610426e-05 5 20 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.000509424689172311
-1765 0.000591367523723563 3 10 "GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex" 0.00540530666421011
-7 0.980335298293766 2 30 "GO:0005758" "mitochondrial intermembrane space" 0.986012915851452
