"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-581 0.028359375901747 3 38 "GO:0000118" "histone deacetylase complex" 0.0760613004954548
476 0.020911688083611 3 63 "GO:0000123" "histone acetyltransferase complex" 0.0628552463662561
588 0.148798786261218 2 16 "GO:0000124" "SAGA complex" 0.276945783681911
-477 2.09004455204199e-08 4 394 "GO:0000139" "Golgi membrane" 6.18404731391176e-07
-297 0.0628835590313942 3 106 "GO:0000151" "ubiquitin ligase complex" 0.138185299888316
96 0.758867272182329 2 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.848050391776406
1374 0.00349495242863688 2 12 "GO:0000176" "nuclear exosome (RNase complex)" 0.014740807420783
1740 0.00039781728526523 4 11 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.00251584558343922
1395 0.000283369593306654 3 18 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.00202083222433258
480 2.3687400649615e-06 2 269 "GO:0000228" "nuclear chromosome" 3.75409410295413e-05
921 0.0503318630482564 2 12 "GO:0000235" "astral microtubule" 0.115645640223448
349 0.440391470856679 2 13 "GO:0000242" "pericentriolar material" 0.578915773811202
884 0.0358085226811577 6 15 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.0893195767422263
863 0.000294112028798693 3 47 "GO:0000313;GO:0005761" "organellar ribosome" 0.00205094121415622
690 0.0583604984320141 5 20 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.129883151829546
877 0.00613730867998792 2 26 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.0246908649202591
320 0.514697821361742 2 11 "GO:0000322;GO:0000324" "storage vacuole" 0.643663940964026
-231 0.0234020901138094 3 269 "GO:0000323" "lytic vacuole" 0.0671774136112531
303 0.0677453795915513 5 98 "GO:0000428;GO:0055029" "DNA-directed RNA polymerase complex" 0.146408403001576
873 0.000136619513643836 4 51 "GO:0000502;GO:1905369" "proteasome complex" 0.00108260614599585
293 0.0734567623549031 2 101 "GO:0000775" "chromosome, centromeric region" 0.154097026671487
196 0.304704209125899 2 74 "GO:0000776" "kinetochore" 0.453297302606443
201 0.358859021206749 2 56 "GO:0000777" "condensed chromosome kinetochore" 0.50862674279439
241 0.250156816337362 2 61 "GO:0000779" "condensed chromosome, centromeric region" 0.397665698919271
251 0.593683856336998 2 12 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.707281678506264
314 0.299492310009539 5 29 "GO:0000781" "chromosome, telomeric region" 0.449964107110635
240 0.556747110644923 2 16 "GO:0000784" "nuclear chromosome, telomeric region" 0.680777541451667
237 0.0352917582290689 2 217 "GO:0000785" "chromatin" 0.0887384113163608
1155 0.00154247685575688 2 20 "GO:0000786" "nucleosome" 0.00740105867487017
338 0.0236800670894319 2 121 "GO:0000790" "nuclear chromatin" 0.0671774136112531
-311 0.418039538540602 2 18 "GO:0000791" "euchromatin" 0.56387618004986
242 0.394279574687597 2 33 "GO:0000792" "heterochromatin" 0.541228917484549
180 0.187832216309737 2 146 "GO:0000793" "condensed chromosome" 0.329651842718096
48 0.797664908929045 3 78 "GO:0000794" "condensed nuclear chromosome" 0.869122390353939
-230 0.517923582468899 3 21 "GO:0000795;GO:0099086" "synaptonemal structure" 0.644938175312462
21 0.946811568279204 3 26 "GO:0000803" "sex chromosome" 0.963592711210352
423 0.350000375162613 2 13 "GO:0000805" "X chromosome" 0.499652037921778
818 0.112527778825976 4 10 "GO:0000808;GO:0005664" "origin recognition complex" 0.220419581745264
-189 0.26260268099302 2 95 "GO:0000922" "spindle pole" 0.407720427564603
156 0.540592766741854 3 41 "GO:0000932" "P-body" 0.666816077844315
-137 0.791091197528969 4 10 "GO:0000940" "condensed chromosome outer kinetochore" 0.866875295194086
18 0.94385149946994 2 41 "GO:0001669" "acrosomal vesicle" 0.963592711210352
71 0.880838062083846 4 12 "GO:0001673" "male germ cell nucleus" 0.919002299129873
-923 0.0095446063176866 5 21 "GO:0001725;GO:0097517;GO:0032432" "stress fiber" 0.0346654798899312
-849 1.68391070649763e-05 4 69 "GO:0001726" "ruffle" 0.00020319538731859
-919 0.0139855294898787 2 19 "GO:0001750" "photoreceptor outer segment" 0.046588738364373
-602 0.167188710487802 3 14 "GO:0001891" "phagocytic cup" 0.303768718167232
-113 0.789069981521322 2 15 "GO:0001917" "photoreceptor inner segment" 0.866875295194086
-1347 0.0089631151925715 2 10 "GO:0002102" "podosome" 0.0330120369416542
-638 0.194357123288564 3 11 "GO:0002116" "semaphorin receptor complex" 0.336585349271255
274 0.487761005693962 2 17 "GO:0005581" "collagen trimer" 0.614696399946849
322 0.532383352390393 2 10 "GO:0005593;GO:0030934" "FACIT collagen trimer" 0.659802116825061
-331 0.0709906325227745 4 80 "GO:0005604" "basement membrane" 0.150316197608952
17 0.857152694679561 2 331 "GO:0005615" "extracellular space" 0.901993680719136
71 0.870668272561981 3 14 "GO:0005618" "cell wall" 0.910719013099832
-89 0.381700710001512 2 267 "GO:0005635" "nuclear envelope" 0.526726837284408
-966 0.0178019414454936 3 16 "GO:0005637" "nuclear inner membrane" 0.054767149270548
