"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-117 0.759945251227384 2 29 "GO:0000118" "histone deacetylase complex" 0.986049932152322
93 0.303412345944632 4 24 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.639248343896911
99 0.0433376700064577 2 253 "GO:0000139" "Golgi membrane" 0.223402636934697
-41 0.644425649065161 3 65 "GO:0000151" "ubiquitin ligase complex" 0.917742364038323
-129 0.70075409796043 2 13 "GO:0000152" "nuclear ubiquitin ligase complex" 0.952948733789272
-264 0.999082663144674 4 113 "GO:0000228" "nuclear chromosome" 0.999840147149684
-633 0.99783519759011 5 16 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.999840147149684
-695 0.993464106681361 4 10 "GO:0000315;GO:0015934;GO:0005762" "large ribosomal subunit" 0.999840147149684
127 0.0413270801729568 5 154 "GO:0000323" "lytic vacuole" 0.216081590618603
24 0.431775425507168 5 42 "GO:0000428;GO:0055029" "DNA-directed RNA polymerase complex" 0.790149028678118
-347 0.920830713244309 3 13 "GO:0000502;GO:1905369" "endopeptidase complex" 0.999840147149684
-214 0.955259482994168 3 50 "GO:0000775" "chromosome, centromeric region" 0.999840147149684
-295 0.982048158585365 4 40 "GO:0000776" "kinetochore" 0.999840147149684
-288 0.961812847815281 2 30 "GO:0000777" "condensed chromosome kinetochore" 0.999840147149684
-278 0.961724208178408 2 32 "GO:0000779" "condensed chromosome, centromeric region" 0.999840147149684
-279 0.8623408287247 5 12 "GO:0000781" "chromosome, telomeric region" 0.999840147149684
-130 0.930245410456331 2 105 "GO:0000785" "chromatin" 0.999840147149684
-234 0.975963516484376 2 57 "GO:0000790" "nuclear chromatin" 0.999840147149684
-369 0.925448053914136 3 12 "GO:0000791" "euchromatin" 0.999840147149684
-238 0.850793961439252 3 15 "GO:0000792" "heterochromatin" 0.999840147149684
-150 0.921650633821792 2 71 "GO:0000793" "condensed chromosome" 0.999840147149684
-109 0.781615120744196 2 40 "GO:0000794" "condensed nuclear chromosome" 0.993822388350995
62 0.404853181492881 6 12 "GO:0000795;GO:0099086" "synaptonemal complex" 0.758266030421227
111 0.326387677559087 2 13 "GO:0000803" "sex chromosome" 0.673927886887847
22 0.426792136766986 4 56 "GO:0000922" "spindle pole" 0.784954382194557
-41 0.579989890544016 5 19 "GO:0000932" "P-body" 0.883075310215383
-9 0.519146446922413 3 22 "GO:0001669" "acrosomal vesicle" 0.851964821508052
754 0.000732802687836979 4 14 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.0223504819790279
303 0.00718213860518821 3 52 "GO:0001726" "ruffle" 0.0646188791597155
400 0.0519858128829101 2 13 "GO:0001750" "photoreceptor outer segment" 0.231332068652666
76 0.0515373669898842 1 413 "GO:0005576" "extracellular region" 0.231332068652666
515 4.48674475649971e-05 3 46 "GO:0005604" "basement membrane" 0.00619748894230467
91 0.0956751195519358 2 172 "GO:0005615" "extracellular space" 0.347540794785093
-86 0.877656049114669 2 152 "GO:0005635" "nuclear envelope" 0.999840147149684
161 0.255705455258889 2 13 "GO:0005637" "nuclear inner membrane" 0.588605010218575
-423 0.997847927240952 2 36 "GO:0005643" "nuclear pore" 0.999840147149684
-544 0.994263270491623 2 17 "GO:0005657" "replication fork" 0.999840147149684
-68 0.767394453435334 2 93 "GO:0005667" "transcription factor complex" 0.988966091399057
4 0.485642445553569 2 65 "GO:0005681" "spliceosomal complex" 0.846405405107649
-162 0.996871063416735 4 243 "GO:0005694" "chromosome" 0.999840147149684
-202 0.937998325773922 2 46 "GO:0005700" "polytene chromosome" 0.999840147149684
-72 0.873876403530833 4 210 "GO:0005730" "nucleolus" 0.999840147149684
-8 0.54674864243492 4 164 "GO:0005740" "mitochondrial envelope" 0.866277069831951
92 0.262101796794732 4 38 "GO:0005741" "mitochondrial outer membrane" 0.596624314377992
-59 0.756614662223321 2 114 "GO:0005743" "mitochondrial inner membrane" 0.986049932152322
-170 0.727741196656716 2 10 "GO:0005758" "mitochondrial intermembrane space" 0.968557374459484
