"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-341 0.953042783276085 4 11 "GO:0000118" "histone deacetylase complex" 0.999898583736343
-268 0.973608196512468 4 24 "GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 0.999898583736343
-56 0.864649109518551 2 191 "GO:0000139" "Golgi membrane" 0.999898583736343
-172 0.942917194118766 3 39 "GO:0000151" "ubiquitin ligase complex" 0.999898583736343
97 0.110933929256944 2 74 "GO:0000228" "nuclear chromosome" 0.300102515509261
-321 0.971399156153949 5 16 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.999898583736343
-365 0.956247741947702 3 10 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.999898583736343
-53 0.796950256142767 2 117 "GO:0000323" "lytic vacuole" 0.999898583736343
-257 0.975522766375709 6 27 "GO:0000428;GO:0055029" "nuclear DNA-directed RNA polymerase complex" 0.999898583736343
-228 0.978151527146775 3 36 "GO:0000502;GO:1905369" "endopeptidase complex" 0.999898583736343
-411 0.998533071100627 5 24 "GO:0000775" "chromosome, centromeric region" 0.999898583736343
-429 0.998180399304016 3 21 "GO:0000776" "kinetochore" 0.999898583736343
-500 0.998470363984096 2 16 "GO:0000777" "condensed chromosome kinetochore" 0.999898583736343
-491 0.99862867468559 2 17 "GO:0000779" "condensed chromosome, centromeric region" 0.999898583736343
33 0.356508474226663 3 58 "GO:0000785" "chromatin" 0.648622205458418
82 0.238223687911092 2 35 "GO:0000790" "nuclear chromatin" 0.472218552959857
-46 0.675541766454695 4 46 "GO:0000793" "condensed chromosome" 0.950867612446735
164 0.122351220471579 4 23 "GO:0000794" "condensed nuclear chromosome" 0.322737471322669
-96 0.7612876271336 2 25 "GO:0000922" "spindle pole" 0.992339903072981
193 0.0768081209727025 5 25 "GO:0000932" "P-body" 0.254461981393591
233 0.0905119064370699 2 15 "GO:0001669" "acrosomal vesicle" 0.273166564472238
336 0.00192329910336055 2 34 "GO:0001726" "ruffle" 0.0357947333125436
313 0.00359368773612733 2 34 "GO:0005604" "basement membrane" 0.0494549421194005
163 0.00161787808979825 2 158 "GO:0005615" "extracellular space" 0.0338743225051509
-32 0.679588380660269 2 103 "GO:0005635" "nuclear envelope" 0.952561119335524
-395 0.985660136546708 3 14 "GO:0005643" "nuclear pore" 0.999898583736343
30 0.367941893234451 2 60 "GO:0005667" "transcription factor complex" 0.657919018371734
-179 0.991098817300528 3 82 "GO:0005681" "spliceosomal complex" 0.999898583736343
67 0.111578889052808 3 159 "GO:0005694" "chromosome" 0.300102515509261
152 0.0860549908897001 4 37 "GO:0005700" "polytene chromosome" 0.26692983285231
424 0.0148734214636913 4 12 "GO:0005703" "polytene chromosome puff" 0.0889749319702962
-101 0.972641894388499 3 178 "GO:0005730" "nucleolus" 0.999898583736343
-60 0.877465920351968 2 184 "GO:0005740" "mitochondrial envelope" 0.999898583736343
-46 0.669885747404332 2 43 "GO:0005741" "mitochondrial outer membrane" 0.950867612446735
-62 0.847216617644828 4 132 "GO:0005743" "mitochondrial inner membrane" 0.999898583736343
-43 0.615860497134491 2 21 "GO:0005746;GO:0070469" "mitochondrial respirasome" 0.911578484845831
-56 0.637821170305813 2 18 "GO:0005758" "mitochondrial intermembrane space" 0.917039021684323
62 0.185620563487515 3 97 "GO:0005759" "mitochondrial matrix" 0.401179927537532
-53 0.791256942427364 3 113 "GO:0005764" "lysosome" 0.999898583736343
-50 0.706648827049236 5 54 "GO:0005765" "lysosomal membrane" 0.968005265795264
104 0.0118960520699633 2 239 "GO:0005768" "endosome" 0.078140734185053
123 0.0525071429519929 6 82 "GO:0005769" "early endosome" 0.201592341967059
-49 0.728216267670128 5 72 "GO:0005770" "late endosome" 0.971922110237023
342 0.04634409918696 2 11 "GO:0005771" "multivesicular body" 0.184824681281329
-33 0.719746010148039 3 154 "GO:0005773" "vacuole" 0.968005265795264
