"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
59 0.824599123764994 3 38 "GO:0000118" "histone deacetylase complex" 0.883740454362893
475 0.0212791401789823 3 63 "GO:0000123" "histone acetyltransferase complex" 0.0704366475544794
-78 0.848520129138689 2 16 "GO:0000124" "SAGA complex" 0.901983795812062
410 1.38715195953086e-06 4 396 "GO:0000139" "Golgi membrane" 2.34025959624077e-05
326 0.0409288148959121 2 106 "GO:0000151" "ubiquitin ligase complex" 0.110339021600835
-221 0.481775837688357 2 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.649404028636626
190 0.686244099573456 2 12 "GO:0000176" "nuclear exosome (RNase complex)" 0.812003764879904
-54 0.913007015341341 2 11 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.945869515201612
146 0.704039998735267 3 18 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.818250931863433
-650 1.65162253148215e-10 2 269 "GO:0000228" "nuclear chromosome" 9.59776204405738e-09
-138 0.770024097257669 3 12 "GO:0000235" "astral microtubule" 0.852491772814655
-141 0.755093378491715 3 13 "GO:0000242" "pericentriolar material" 0.843832984938391
-554 0.188226279547596 2 15 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.332575487173624
477 0.0457336805413267 5 47 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.119593574615569
509 0.162910532837296 5 20 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.304293602406806
686 0.0322397826894216 4 26 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.0931569411412569
10 0.984105629173232 2 11 "GO:0000322;GO:0000324" "storage vacuole" 0.988073672042999
-211 0.0382286527366906 2 269 "GO:0000323" "lytic vacuole" 0.105786166038567
-107 0.517323570365387 2 98 "GO:0000428;GO:0055029" "DNA-directed RNA polymerase complex" 0.681950309006654
1779 8.1602191487444e-15 4 51 "GO:0000502;GO:1905369" "endopeptidase complex" 2.13389730739666e-12
-986 1.61845826780415e-09 2 101 "GO:0000775" "chromosome, centromeric region" 5.29033546288482e-08
-936 9.04787244206267e-07 4 74 "GO:0000776" "kinetochore" 1.72058472056308e-05
-1070 9.89333077958202e-07 2 56 "GO:0000777" "condensed chromosome kinetochore" 1.78421103369703e-05
-1038 7.371803393141e-07 3 61 "GO:0000779" "condensed chromosome, centromeric region" 1.48286660562029e-05
-1490 0.00154219361807301 2 12 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.00831512641497097
-797 0.00853967626914965 2 29 "GO:0000781" "chromosome, telomeric region" 0.0343557745289636
-1384 0.00068820306070474 5 16 "GO:0000784" "nuclear chromosome, telomeric region" 0.00409011591759749
-395 0.000458943342150338 2 217 "GO:0000785" "chromatin" 0.00292716302371496
-432 0.235947504907635 2 20 "GO:0000786" "nucleosome" 0.398066274408687
-160 0.286527792049975 5 121 "GO:0000790" "nuclear chromatin" 0.44599415250636
-125 0.745342228451431 3 18 "GO:0000791" "euchromatin" 0.836510698455147
-520 0.0672126804116563 2 33 "GO:0000792" "heterochromatin" 0.158343386735569
-771 1.63397763775724e-08 2 146 "GO:0000793" "condensed chromosome" 4.06938240260494e-07
-905 1.09911986085214e-06 5 78 "GO:0000794" "condensed nuclear chromosome" 1.91613229075223e-05
-1148 0.00126081578442506 5 21 "GO:0000795;GO:0099086" "synaptonemal structure" 0.007014964417599
-239 0.455451494031857 2 26 "GO:0000803" "sex chromosome" 0.623563171148328
-187 0.679204663206933 2 13 "GO:0000805" "X chromosome" 0.80732736103915
-693 0.179005600582713 5 10 "GO:0000808;GO:0005664" "nuclear origin of replication recognition complex" 0.325069198280413
-601 0.000365632074770103 2 95 "GO:0000922" "spindle pole" 0.0024205769000603
1133 9.08363133979251e-06 2 41 "GO:0000932" "P-body" 0.000113112837874083
-1681 0.00111296702265111 2 10 "GO:0000940" "condensed chromosome outer kinetochore" 0.00632697557441881
-53 0.836025774036285 2 41 "GO:0001669" "acrosomal vesicle" 0.892329550655055
-816 0.0828693092769903 2 12 "GO:0001673" "male germ cell nucleus" 0.183646816745195
-124 0.727113035271779 3 21 "GO:0001725;GO:0097517;GO:0032432" "contractile actin filament bundle" 0.8303059332907
-64 0.744622541072747 4 69 "GO:0001726" "ruffle" 0.836510698455147
-91 0.806976312985497 2 19 "GO:0001750" "photoreceptor outer segment" 0.873879858075502
-213 0.624554351479289 2 14 "GO:0001891" "phagocytic cup" 0.76856923723216
310 0.461978250345805 3 15 "GO:0001917" "photoreceptor inner segment" 0.630847584675864
1609 0.00180033113414374 2 10 "GO:0002102" "podosome" 0.00932250676393244
-79 0.873153922463926 2 11 "GO:0002116" "semaphorin receptor complex" 0.917135698873765
-710 0.072802620437968 2 17 "GO:0005581" "collagen trimer" 0.167799138431183
-766 0.137153542827644 2 10 "GO:0005593;GO:0030934" "FACIT collagen trimer" 0.273783598850602
-424 0.0206944088044735 4 80 "GO:0005604" "basement membrane" 0.0695336385374734
-380 3.66628043233997e-05 2 332 "GO:0005615" "extracellular space" 0.000336397309844527
89 0.838871490411618 3 14 "GO:0005618" "cell wall" 0.893543359440481
-91 0.370792796022225 2 267 "GO:0005635" "nuclear envelope" 0.537554607843907
-7 0.986201757842311 3 16 "GO:0005637" "nuclear inner membrane" 0.988073672042999
-319 0.134971417900339 2 59 "GO:0005643" "nuclear pore" 0.270459967670028
-450 0.269994646859759 4 16 "GO:0005652" "nuclear lamina" 0.431826300635027
-1431 0.0055035999851152 5 10 "GO:0005656;GO:0036387" "nuclear pre-replicative complex" 0.0243930745102987
-1406 8.29577104019775e-10 4 51 "GO:0005657" "replication fork" 3.44388678371752e-08
-1340 0.00303773472239143 3 13 "GO:0005658" "alpha DNA polymerase:primase complex" 0.0148099582217405
1014 0.0311756451660315 6 12 "GO:0005665" "RNA polymerase II, core complex" 0.0925027057377374
-538 0.273450184734056 4 11 "GO:0005666" "RNA polymerase III complex" 0.433377110957307
240 0.0590426038490161 2 169 "GO:0005667" "transcription factor complex" 0.142300837848089
515 0.237146579830776 2 14 "GO:0005669" "transcription factor TFIID complex" 0.398802769297414
-47 0.913315688674597 6 14 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.945869515201612
-267 0.604161933722477 2 10 "GO:0005675" "transcription factor TFIIH holo complex" 0.754120981710872
-1177 0.0123587520087716 3 12 "GO:0005680" "anaphase-promoting complex" 0.0461687664327682
1007 2.84025726055299e-15 2 168 "GO:0005681" "spliceosomal complex" 1.48545454726921e-12
1269 0.00359082388048064 3 14 "GO:0005686" "U2 snRNP" 0.0169359573679994
1110 0.00501053354849696 3 17 "GO:0005689" "U12-type spliceosomal complex" 0.0223975132125121
-449 1.59023440959531e-09 4 528 "GO:0005694" "chromosome" 5.29033546288482e-08
107 0.548466982231678 2 85 "GO:0005700" "polytene chromosome" 0.706522738194994
1019 0.0100147250973528 2 17 "GO:0005703" "polytene chromosome puff" 0.0393812122249287
1218 0.00280588481524867 2 16 "GO:0005705" "polytene chromosome interband" 0.0141103630612986
464 0.368156977371313 2 10 "GO:0005719" "nuclear euchromatin" 0.536340109095255
-468 0.223152884900652 2 18 "GO:0005720" "nuclear heterochromatin" 0.385215461343512
-1497 0.00367223717300849 6 10 "GO:0005721" "pericentric heterochromatin" 0.0171480360846736
236 0.00295968801227761 2 459 "GO:0005730" "nucleolus" 0.0146029889662376
232 0.558115798724992 3 17 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.717185657821058
166 0.0624036351559981 2 355 "GO:0005740" "mitochondrial envelope" 0.148350459939032
263 0.152242591117886 2 80 "GO:0005741" "mitochondrial outer membrane" 0.290594434871001
157 0.138003745211148 3 247 "GO:0005743" "mitochondrial inner membrane" 0.274433303214564
1006 0.0509684425502357 4 10 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 0.127543040448676
725 0.00620564622237067 3 38 "GO:0005746;GO:0070469" "mitochondrial respirasome" 0.0261738143088698
299 0.412614752924476 3 20 "GO:0005747;GO:0045271;GO:0030964" "respiratory chain complex I" 0.581664463017523
326 0.527055390266009 3 10 "GO:0005753;GO:0045259" "proton-transporting ATP synthase complex" 0.687808337380657
559 0.0607302326865113 2 30 "GO:0005758" "mitochondrial intermembrane space" 0.145031560251349
-130 0.250430729941098 2 217 "GO:0005759" "mitochondrial matrix" 0.414478708098716
-220 0.034160189163242 2 258 "GO:0005764" "lysosome" 0.0965717780128409
13 0.928457895866703 6 122 "GO:0005765" "lysosomal membrane" 0.958783923589343
264 0.000879197180539446 2 459 "GO:0005768" "endosome" 0.00516651826317
264 0.0468926415706729 5 154 "GO:0005769" "early endosome" 0.120155970257898
225 0.117913807264546 3 131 "GO:0005770" "late endosome" 0.243750676677303
943 0.00811211922413052 2 21 "GO:0005771" "multivesicular body" 0.0331456121423458
-44 0.635159931684455 4 328 "GO:0005773" "vacuole" 0.777695255370731
225 0.0722377976676558 4 174 "GO:0005774" "vacuolar membrane" 0.167799138431183
-854 3.67839683313334e-06 3 79 "GO:0005775;GO:0043202" "lysosomal lumen" 5.06263564139141e-05
211 0.544555917189885 2 22 "GO:0005776" "autophagosome" 0.704957288837401
-63 0.710669520603567 3 95 "GO:0005777;GO:0042579" "peroxisome" 0.820486002816039
-68 0.819370424590213 4 30 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.883740454362893
111 0.821779264533937 2 11 "GO:0005779" "integral component of peroxisomal membrane" 0.883740454362893
32 0.929452101835176 5 21 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.958783923589343
-165 0.316774466583957 2 100 "GO:0005788" "endoplasmic reticulum lumen" 0.483301836610386
158 0.0433102749282361 2 471 "GO:0005789" "endoplasmic reticulum membrane" 0.114400372663977
655 0.119736013593285 5 15 "GO:0005790" "smooth endoplasmic reticulum" 0.246103805419684
662 0.00461631635739361 3 49 "GO:0005791" "rough endoplasmic reticulum" 0.0208132194389384
1032 2.36712354506084e-06 2 56 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 3.75153216383885e-05
595 1.74070390946892e-05 2 142 "GO:0005795" "Golgi stack" 0.000193699605245159
-509 0.143610936528781 2 22 "GO:0005796" "Golgi lumen" 0.280255670912509
932 0.00149062650093488 2 31 "GO:0005797" "Golgi medial cisterna" 0.00812080895821815
1145 4.20371977805041e-10 2 80 "GO:0005798" "Golgi-associated vesicle" 1.99867767629124e-08
1038 1.66221445391787e-05 2 46 "GO:0005801" "cis-Golgi network" 0.000188986556391097
681 3.41077232588625e-06 2 126 "GO:0005802" "trans-Golgi network" 4.82117277415813e-05
309 0.0105801068306768 4 188 "GO:0005811" "lipid droplet" 0.040988117573659
-392 3.50641596400855e-05 2 313 "GO:0005813" "centrosome" 0.000332213214552829
-1020 0.000179019636246552 2 36 "GO:0005814" "centriole" 0.00125704933039637
-389 1.23579080146108e-05 2 358 "GO:0005815" "microtubule organizing center" 0.000144944032586451
92 0.822472572061196 3 16 "GO:0005818" "aster" 0.883740454362893
-373 0.000582018107827585 2 235 "GO:0005819" "spindle" 0.00353948221388171
-1029 0.0363234453690912 2 11 "GO:0005828" "kinetochore microtubule" 0.101589101219437
2246 1.9699208283053e-09 2 19 "GO:0005838" "proteasome regulatory particle" 6.06040348943336e-08
1561 1.74840440557319e-06 2 25 "GO:0005839" "proteasome core complex" 2.85754845035868e-05
105 0.48717202420152 2 118 "GO:0005840" "ribosome" 0.65392486660007
129 0.723046028664896 3 20 "GO:0005844" "polysome" 0.8281319147973
-22 0.966437743832019 2 10 "GO:0005845" "mRNA cap binding complex" 0.977973588798642
1040 0.0271291454927964 3 12 "GO:0005849" "mRNA cleavage factor complex" 0.0844556136472174
1227 0.0125278554646484 3 11 "GO:0005850" "eukaryotic translation initiation factor 2 complex" 0.0464685702695824
893 0.028473501188811 3 16 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 0.0870856205950184
-783 0.0278022942975181 2 21 "GO:0005858" "axonemal dynein complex" 0.0859759277720697
-648 0.152012510451544 3 13 "GO:0005859;GO:0016460" "myosin II complex" 0.290594434871001
273 0.561566190758987 2 12 "GO:0005868" "cytoplasmic dynein complex" 0.717272966260341
1347 0.00895176149325773 2 10 "GO:0005869" "dynactin complex" 0.0357387119158305
-73 0.784156747453517 3 38 "GO:0005871" "kinesin complex" 0.861583989323927
-279 0.0502777396343794 5 134 "GO:0005874" "microtubule" 0.126419508792214
-70 0.45048830653157 2 330 "GO:0005875" "microtubule associated complex" 0.620014169252661
-503 0.0164543524160316 2 61 "GO:0005876" "spindle microtubule" 0.0589426459834557
-345 0.166763361601651 2 43 "GO:0005881" "cytoplasmic microtubule" 0.3100738242008
-150 0.740624472094348 2 13 "GO:0005882" "intermediate filament" 0.834798704537379
-173 0.562166419720451 2 30 "GO:0005884" "actin filament" 0.717272966260341
-182 0.00822152062614163 4 631 "GO:0005887" "integral component of plasma membrane" 0.0333322115307913
-595 0.188057194878081 5 13 "GO:0005891" "voltage-gated calcium channel complex" 0.332575487173624
-1059 0.000475892103340693 2 29 "GO:0005892" "acetylcholine-gated channel complex" 0.00299869361502629
-788 0.000402288419508658 3 54 "GO:0005901;GO:0044853" "plasma membrane raft" 0.00262996054253785
-443 0.0902358137567362 5 39 "GO:0005902" "microvillus" 0.199127977193135
-446 0.0238575806611053 2 69 "GO:0005903" "brush border" 0.0759354860535865
-323 0.0925357584617906 2 73 "GO:0005905" "clathrin-coated pit" 0.20277661946429
135 0.272794939220407 2 181 "GO:0005911" "cell-cell junction" 0.433377110957307
270 0.0520784660139321 3 141 "GO:0005912" "adherens junction" 0.128476593043804
395 0.0945285580343417 3 48 "GO:0005913" "cell-cell adherens junction" 0.204291057239507
419 0.353699771002412 4 13 "GO:0005915" "zonula adherens" 0.525525512029152
-119 0.699893215622531 2 28 "GO:0005918" "septate junction" 0.818250931863433
898 0.00359443837064614 2 28 "GO:0005923" "bicellular tight junction" 0.0169359573679994
144 0.478267142871193 2 65 "GO:0005924" "cell-substrate adherens junction" 0.646340350701896
313 0.156264278971516 3 55 "GO:0005925" "focal adhesion" 0.296109485152547
-285 0.0059220289856486 3 260 "GO:0005929" "cilium" 0.0255968690867291
-152 0.421614710527209 3 75 "GO:0005930" "axoneme" 0.589127768521369
78 0.496392995725813 3 212 "GO:0005938" "cell cortex" 0.660852016557949
223 0.139460722484768 3 119 "GO:0008021;GO:0070382" "synaptic vesicle" 0.275237576828429
455 0.13342924200931 5 29 "GO:0008023" "transcription elongation factor complex" 0.26839805219565
-571 0.0930829964842704 5 23 "GO:0008076" "voltage-gated potassium channel complex" 0.20277661946429
-1619 0.000342591234552053 4 13 "GO:0008278" "cohesin complex" 0.00229711814962466
618 0.0756512654257714 3 22 "GO:0008287" "protein serine/threonine phosphatase complex" 0.17184791431354
-521 0.249396961026266 3 13 "GO:0008328;GO:0098878" "ionotropic glutamate receptor complex" 0.414078128942023
7 0.982597788500882 1 28 "GO:0009295" "nucleoid" 0.988073672042999
