"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-188 0.864756662461266 2 18 "GO:0000118" "histone deacetylase complex" 0.99999096116483
-190 0.932981015072921 4 33 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.99999096116483
-420 0.981703571620823 2 13 "GO:0000124" "SAGA complex" 0.99999096116483
-272 0.99999096116483 4 137 "GO:0000139" "Golgi membrane" 0.99999096116483
23 0.4152622993554 3 45 "GO:0000151" "ubiquitin ligase complex" 0.84047100109057
18 0.459048857230393 4 17 "GO:0000152" "nuclear ubiquitin ligase complex" 0.886620078536416
-98 0.673803510941714 3 11 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.99999096116483
211 0.000228591925318532 4 153 "GO:0000228" "nuclear chromosome" 0.00594339005828183
217 0.159545620270355 6 11 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.544711309609899
-177 0.909649977382918 5 30 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.99999096116483
-20 0.541326830660557 2 14 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.961529201663756
-318 0.960295389719197 3 16 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.99999096116483
167 0.00729289609966026 2 117 "GO:0000323" "lytic vacuole" 0.0704285394767191
-159 0.961633654574151 3 66 "GO:0000428;GO:0055029" "nuclear DNA-directed RNA polymerase complex" 0.99999096116483
502 1.55453802838911e-08 2 65 "GO:0000775" "chromosome, centromeric region" 1.75144617865173e-06
410 4.85902597543709e-05 2 48 "GO:0000776" "kinetochore" 0.00182483419966415
484 2.04557691707027e-05 5 38 "GO:0000777" "condensed chromosome kinetochore" 0.000987721425671073
524 1.99837710356236e-06 2 41 "GO:0000779" "condensed chromosome, centromeric region" 0.000135090292200816
160 0.167729016500738 2 19 "GO:0000781" "chromosome, telomeric region" 0.552172641733988
263 0.103730547325158 2 12 "GO:0000784" "nuclear chromosome, telomeric region" 0.473796283728424
274 2.69586354430755e-05 2 119 "GO:0000785" "chromatin" 0.00113900234746994
137 0.0716279354858782 2 61 "GO:0000790" "nuclear chromatin" 0.371574295985935
487 0.0027652390628964 2 17 "GO:0000792" "heterochromatin" 0.033380385830678
366 2.46015833803868e-06 2 84 "GO:0000793" "condensed chromosome" 0.000138588919709512
296 0.0034759446334925 2 44 "GO:0000794" "condensed nuclear chromosome" 0.040512734004154
445 0.013284574192783 3 13 "GO:0000795;GO:0099086" "synaptonemal complex" 0.115132976337453
176 0.172691062790424 2 15 "GO:0000803" "sex chromosome" 0.559055629983242
199 0.192440073186014 2 10 "GO:0000805" "X chromosome" 0.601995951824366
214 0.0141401804643438 3 56 "GO:0000922" "spindle pole" 0.119484524923705
-71 0.62176962648624 2 10 "GO:0000932" "P-body" 0.985757817897512
224 0.123001709428122 3 14 "GO:0001669" "acrosomal vesicle" 0.482547914203174
247 0.0384055741521418 2 27 "GO:0001726" "ruffle" 0.243036057637834
132 0.0011724252882732 1 316 "GO:0005576" "extracellular region" 0.0188704641636353
220 0.0311833098850577 4 38 "GO:0005604" "basement membrane" 0.215101198798969
94 0.0725559276185554 2 133 "GO:0005615" "extracellular space" 0.371574295985935
107 0.0555303258344404 4 122 "GO:0005635" "nuclear envelope" 0.32158617591129
64 0.297563302217351 3 37 "GO:0005643;GO:0046930" "nuclear pore" 0.723571195319889
138 0.254223754504706 4 12 "GO:0005652" "nuclear lamina" 0.669734258279329
448 7.26299483636153e-05 4 38 "GO:0005657" "replication fork" 0.00223172023153654
69 0.37645452588908 4 11 "GO:0005658" "alpha DNA polymerase:primase complex" 0.786780510843704
24 0.384640448153926 2 78 "GO:0005667" "transcription factor complex" 0.792734582170896
-150 0.753947087685601 2 11 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.99999096116483
137 0.274741646632641 5 10 "GO:0005680" "anaphase-promoting complex" 0.6930050489689
-248 0.996437677269458 2 63 "GO:0005681" "spliceosomal complex" 0.99999096116483
269 1.58557066864831e-09 4 286 "GO:0005694" "chromosome" 2.85487682662556e-07
-30 0.602148901155133 2 39 "GO:0005700" "polytene chromosome" 0.978605829062637
-138 0.996210672703793 4 212 "GO:0005730" "nucleolus" 0.99999096116483
-52 0.815703495740116 3 166 "GO:0005740" "mitochondrial envelope" 0.99999096116483
-134 0.874908624089171 2 39 "GO:0005741" "mitochondrial outer membrane" 0.99999096116483
-36 0.699590388871493 2 113 "GO:0005743" "mitochondrial inner membrane" 0.99999096116483
-222 0.897000374184736 2 17 "GO:0005746;GO:0070469" "mitochondrial respirasome" 0.99999096116483
-122 0.719946935987844 3 12 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.99999096116483
-49 0.6007409272184 4 14 "GO:0005758" "mitochondrial intermembrane space" 0.978605829062637
-18 0.60527647138249 2 119 "GO:0005759" "mitochondrial matrix" 0.978605829062637
143 0.0194080174557991 3 114 "GO:0005764" "lysosome" 0.152556044187444
-26 0.600105618679473 3 50 "GO:0005765" "lysosomal membrane" 0.978605829062637
-28 0.694217519621623 3 183 "GO:0005768" "endosome" 0.99999096116483
99 0.148696826062824 4 59 "GO:0005769" "early endosome" 0.532481901741571
-4 0.516353842961436 4 60 "GO:0005770" "late endosome" 0.958971819780228
160 0.00539071867684643 4 141 "GO:0005773" "vacuole" 0.0587762229927127
74 0.199679319762644 4 69 "GO:0005774" "vacuolar membrane" 0.602603661426551
111 0.151237463216541 5 46 "GO:0005775;GO:0043202" "lysosomal lumen" 0.532481901741571
-40 0.5755883439292 2 12 "GO:0005776" "autophagosome" 0.978605829062637
-65 0.752296186408717 5 59 "GO:0005777;GO:0042579" "peroxisome" 0.99999096116483
53 0.372289005655214 5 20 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.786460524446639
-16 0.532698418401157 5 13 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.961529201663756
83 0.205839513894283 2 52 "GO:0005788" "endoplasmic reticulum lumen" 0.608867381279406
-165 0.999109541834581 3 203 "GO:0005789" "endoplasmic reticulum membrane" 0.99999096116483
-116 0.710697596129154 2 12 "GO:0005791" "rough endoplasmic reticulum" 0.99999096116483
-125 0.76251538617727 2 17 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.99999096116483
-125 0.998131575925858 4 321 "GO:0005794" "Golgi apparatus" 0.99999096116483
-213 0.979648685600561 5 49 "GO:0005795" "Golgi stack" 0.99999096116483
124 0.246998866943067 2 16 "GO:0005796" "Golgi lumen" 0.669734258279329
28 0.451870852004238 4 10 "GO:0005797" "Golgi medial cisterna" 0.87777211481283
-510 0.999831674663942 3 26 "GO:0005798" "Golgi-associated vesicle" 0.99999096116483
-422 0.994445167439447 2 19 "GO:0005801" "cis-Golgi network" 0.99999096116483
-124 0.879031689583891 3 47 "GO:0005802" "trans-Golgi network" 0.99999096116483
56 0.255608637035602 4 73 "GO:0005811" "lipid droplet" 0.669734258279329
125 0.0150267537146153 2 169 "GO:0005813" "centrosome" 0.123879091598536
251 0.0561348650259352 4 21 "GO:0005814" "centriole" 0.32158617591129
67 0.108709088391104 2 192 "GO:0005815" "microtubule organizing center" 0.48068548905042
210 0.00103239894989716 2 118 "GO:0005819" "spindle" 0.0182564236065254
-228 0.973310724953204 2 38 "GO:0005840" "ribosome" 0.99999096116483
151 0.218051291916742 4 14 "GO:0005858" "axonemal dynein complex" 0.625497304300495
152 0.173671127657516 5 20 "GO:0005871" "kinesin complex" 0.559055629983242
50 0.291920869982956 2 64 "GO:0005874" "microtubule" 0.714994594595936
43 0.225350984720411 2 168 "GO:0005875" "microtubule associated complex" 0.640072544836125
185 0.0818011579025457 3 30 "GO:0005876" "spindle microtubule" 0.400806441324651
-15 0.537108390499248 2 20 "GO:0005881" "cytoplasmic microtubule" 0.961529201663756
