"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-62 0.809398597278635 5 36 "GO:0000118" "histone deacetylase complex" 0.899331774754039
-241 0.21720344506654 5 63 "GO:0000123" "histone acetyltransferase complex" 0.381978472358398
-526 0.172842123617408 5 16 "GO:0000124" "SAGA complex" 0.328915981510739
304 0.000246290786309257 4 370 "GO:0000139" "Golgi membrane" 0.00256343471464737
-86 0.582556552708985 2 98 "GO:0000151" "ubiquitin ligase complex" 0.755989419546011
-601 0.0429964015052125 4 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.121823137598102
-25 0.954437768982477 3 12 "GO:0000176" "nuclear exosome (RNase complex)" 0.98336012561831
-245 0.598033685086901 2 11 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.768254859935314
-241 0.50768820192874 3 18 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.697900223675626
-632 1.06457827102681e-10 4 260 "GO:0000228" "nuclear chromosome" 9.04891530372788e-09
-584 0.189697386171247 6 12 "GO:0000235" "astral microtubule" 0.355112840823773
-617 0.149439183682169 2 13 "GO:0000242" "pericentriolar material" 0.302187935223769
-868 0.0292138725083337 6 15 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.0894287807072093
-72 0.751099827878732 5 47 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.868618848567241
-288 0.403494441010468 5 20 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.600435692282102
41 0.891820235867212 5 26 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.952039407133103
-150 0.757807945721798 3 10 "GO:0000322;GO:0000324" "fungal-type vacuole" 0.872395999405667
-147 0.136867310796922 2 254 "GO:0000323" "lytic vacuole" 0.289855009863221
-386 0.0139917785699617 4 98 "GO:0000428;GO:0055029" "nuclear DNA-directed RNA polymerase complex" 0.0495542157686144
1445 2.62264375655583e-11 4 51 "GO:0000502;GO:1905369" "proteasome complex" 3.34387078960868e-09
-1183 6.47471655511279e-14 2 97 "GO:0000775" "chromosome, centromeric region" 1.65105272155376e-11
-1168 2.19115168429458e-10 3 71 "GO:0000776" "kinetochore" 1.59641051284319e-08
-1249 2.21548825176734e-09 2 55 "GO:0000777" "condensed chromosome kinetochore" 1.02718091672849e-07
-1242 5.23449599086868e-10 3 60 "GO:0000779" "condensed chromosome, centromeric region" 2.96621439482559e-08
-1474 0.000930543442661647 3 12 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.00699956246314112
-559 0.0598267300852352 5 27 "GO:0000781" "chromosome, telomeric region" 0.156727055761333
-1011 0.0141778147021006 2 14 "GO:0000784" "nuclear chromosome, telomeric region" 0.0498667965384228
-537 6.84916400939868e-07 2 211 "GO:0000785" "chromatin" 1.45544735199722e-05
-185 0.610968094560128 2 18 "GO:0000786" "nucleosome" 0.778984320564163
-321 0.0252422491284146 2 118 "GO:0000790" "nuclear chromatin" 0.0789788162913586
-525 0.160290971524951 2 17 "GO:0000791" "euchromatin" 0.312742755791818
-481 0.0737867493125982 2 33 "GO:0000792" "heterochromatin" 0.184267410022599
-788 2.03658196368135e-09 2 141 "GO:0000793" "condensed chromosome" 1.02718091672849e-07
-759 2.58290085026615e-05 2 74 "GO:0000794" "condensed nuclear chromosome" 0.000365910953787705
-684 0.0473670579442908 4 20 "GO:0000795;GO:0099086" "synaptonemal complex" 0.131289127997763
-811 0.00859081337116482 5 25 "GO:0000803" "sex chromosome" 0.0339636807697214
-1347 0.00164105870311997 6 13 "GO:0000805" "X chromosome" 0.0107256901014829
-987 0.0429785498084414 2 10 "GO:0000808;GO:0005664" "origin recognition complex" 0.121823137598102
-890 3.87841301848884e-08 3 92 "GO:0000922" "spindle pole" 1.41285045673522e-06
