"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
55 0.831460697114621 2 38 "GO:0000118" "histone deacetylase complex" 0.908453180330875
-373 0.0653659878757077 2 63 "GO:0000123" "histone acetyltransferase complex" 0.155733713049497
-722 0.0709257881895424 3 16 "GO:0000124" "SAGA complex" 0.162250586256608
282 0.000809216464029432 3 387 "GO:0000139" "Golgi membrane" 0.00589246354793262
-43 0.788632182454456 3 103 "GO:0000151" "ubiquitin ligase complex" 0.886543094695545
-804 0.00904537324796523 2 27 "GO:0000152" "nuclear ubiquitin ligase complex" 0.0346404294014668
-295 0.523243184752049 2 12 "GO:0000176" "nuclear exosome (RNase complex)" 0.67125738589779
-570 0.237236960882451 2 11 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.392069824193088
-525 0.163515573979307 3 18 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.298719264124741
-546 5.20857414720792e-08 3 267 "GO:0000228" "nuclear chromosome" 2.36043072655687e-06
-587 0.203725278863461 2 12 "GO:0000235" "astral microtubule" 0.351086563908031
-836 0.0595308408194512 4 13 "GO:0000242" "pericentriolar material" 0.145176625960643
-911 0.0273808046748573 2 15 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.0813556092925358
-305 0.192514168852762 3 47 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.33624940978675
-512 0.152296324191186 5 20 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.281204284310154
-181 0.564036107956208 3 26 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.70950527448506
-275 0.586981762393286 4 10 "GO:0000322;GO:0000324" "storage vacuole" 0.729353279037878
-181 0.0727530999879357 4 263 "GO:0000323" "lytic vacuole" 0.162828366639666
-491 0.00255548520398292 2 98 "GO:0000428;GO:0055029" "DNA-directed RNA polymerase complex" 0.0134995293657805
1674 9.51360430276321e-14 4 51 "GO:0000502;GO:1905369" "endopeptidase complex" 4.91853342452858e-11
-1113 4.02942741096886e-12 2 101 "GO:0000775" "chromosome, centromeric region" 6.94404657156967e-10
-1131 1.46838576761833e-09 3 74 "GO:0000776" "kinetochore" 1.51831088371735e-07
-1197 2.40970829698531e-08 2 56 "GO:0000777" "condensed chromosome kinetochore" 1.55727398692676e-06
-1172 1.19887993032998e-08 2 61 "GO:0000779" "condensed chromosome, centromeric region" 8.85458462829428e-07
-1338 0.00373860847671619 3 12 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.0172576837719846
-636 0.032447655744579 2 29 "GO:0000781" "chromosome, telomeric region" 0.0926819780107588
-822 0.0399243892173987 2 16 "GO:0000784" "nuclear chromosome, telomeric region" 0.108636364344185
-517 3.28788896745862e-06 3 215 "GO:0000785" "chromatin" 7.21421824982586e-05
-37 0.922469477358216 4 18 "GO:0000786" "nucleosome" 0.950033306362944
-261 0.0764779415191209 2 120 "GO:0000790" "nuclear chromatin" 0.167538541378752
-497 0.187761577131593 2 18 "GO:0000791" "euchromatin" 0.334130435392516
-625 0.0251403529251765 2 33 "GO:0000792" "heterochromatin" 0.0764562497783309
-722 7.70807752566255e-08 2 145 "GO:0000793" "condensed chromosome" 2.96740203936644e-06
-610 0.000873884703969114 2 77 "GO:0000794" "condensed nuclear chromosome" 0.00610538367502746
-604 0.0839553862087318 2 21 "GO:0000795;GO:0099086" "synaptonemal complex" 0.180216801091982
-903 0.00479424136691236 4 25 "GO:0000803" "sex chromosome" 0.0211848101426811
-1464 0.000966454263184346 2 13 "GO:0000805" "X chromosome" 0.00648905005280918
-1212 0.0165360945652237 3 10 "GO:0000808;GO:0005664" "origin recognition complex" 0.055155876711101
-690 3.61690675302089e-05 3 93 "GO:0000922" "spindle pole" 0.000566648724639939
703 0.00502283710259022 5 41 "GO:0000932" "P-body" 0.0215486270381531
-1522 0.00260801739343724 3 10 "GO:0000940" "condensed chromosome outer kinetochore" 0.0134995293657805
93 0.712639631235982 4 40 "GO:0001669" "acrosomal vesicle" 0.820269681564362
-1107 0.0217238224182028 6 11 "GO:0001673" "male germ cell nucleus" 0.0684830255500661
288 0.421126447891578 5 20 "GO:0001725;GO:0097517;GO:0032432" "stress fiber" 0.582384234367129
221 0.260807980429228 4 67 "GO:0001726" "ruffle" 0.422688795868059
188 0.607981115456417 2 19 "GO:0001750" "photoreceptor outer segment" 0.742383509640926
582 0.189169360246742 2 13 "GO:0001891" "phagocytic cup" 0.334634316286957
646 0.117942372245245 2 15 "GO:0001917" "photoreceptor inner segment" 0.229233858837563
1559 0.00204488689284806 2 10 "GO:0002102" "podosome" 0.0119070819266594
657 0.173143907860599 3 11 "GO:0002116" "semaphorin receptor complex" 0.314089124083964
-387 0.349134983048096 2 15 "GO:0005581" "collagen trimer" 0.51719996056122
-37 0.838248373410281 4 78 "GO:0005604" "basement membrane" 0.908541738056845
-17 0.856634508192329 2 322 "GO:0005615" "extracellular space" 0.916935902143756
25 0.955293345274733 3 13 "GO:0005618" "cell wall" 0.968023146356967
-120 0.238149158988749 2 258 "GO:0005635" "nuclear envelope" 0.392111831838163
117 0.76927358408327 2 16 "GO:0005637" "nuclear inner membrane" 0.874097676859452
-804 0.000136058888324447 4 58 "GO:0005643" "nuclear pore" 0.00137926363262234
-1073 0.00728562810011883 2 16 "GO:0005652" "nuclear lamina" 0.0294271072481362
-1375 0.00654702440324773 5 10 "GO:0005656;GO:0036387" "nuclear pre-replicative complex" 0.0270784929318326
-1185 2.32330830571284e-07 4 49 "GO:0005657" "replication fork" 7.3812098000096e-06
-674 0.128579697595715 3 13 "GO:0005658" "alpha DNA polymerase:primase complex" 0.245297799472268
-348 0.450657195431996 3 12 "GO:0005665" "RNA polymerase II, core complex" 0.606744192808182
-954 0.0478726652168597 4 11 "GO:0005666" "RNA polymerase III complex" 0.121922009443923
-126 0.315751387747542 2 168 "GO:0005667" "transcription factor complex" 0.485843653171069
-314 0.462332669650735 5 14 "GO:0005669" "transcription factor TFIID complex" 0.619238316604741
-950 0.0261960004051139 2 14 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.0792007731546426
-553 0.274103092456049 6 10 "GO:0005675" "transcription factor TFIIH holo complex" 0.438734671206741
-1769 0.000127280247289497 5 12 "GO:0005680" "anaphase-promoting complex" 0.00134293648670755
108 0.390328158247647 4 168 "GO:0005681" "spliceosomal complex" 0.556964957663249
-366 0.392481476192203 6 14 "GO:0005686" "U2 snRNP" 0.556964957663249
-9 0.981498564049494 2 17 "GO:0005689" "U12-type spliceosomal complex" 0.985544384463027
-490 2.78822018633256e-11 2 521 "GO:0005694" "chromosome" 3.60377459083483e-09
16 0.927456532853848 3 85 "GO:0005700" "polytene chromosome" 0.95137902278857
850 0.0284038490326098 2 17 "GO:0005703" "polytene chromosome puff" 0.0834363065332913
579 0.147931167512208 2 16 "GO:0005705" "polytene chromosome interband" 0.277006315861792
19 0.970837602351619 3 10 "GO:0005719" "nuclear euchromatin" 0.980318438312084
-176 0.640105032657567 2 18 "GO:0005720" "nuclear heterochromatin" 0.768014016581769
-1464 0.00378679858281488 6 10 "GO:0005721" "pericentric heterochromatin" 0.0173254413036752
-54 0.485802465482873 2 459 "GO:0005730" "nucleolus" 0.637467716863347
-257 0.506982492871252 3 17 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.656902944100288
58 0.511559679500696 4 353 "GO:0005740" "mitochondrial envelope" 0.659542030677955
237 0.190831090730912 2 79 "GO:0005741" "mitochondrial outer membrane" 0.335577122135651
17 0.873460449151171 2 246 "GO:0005743" "mitochondrial inner membrane" 0.921243953592584
669 0.186126946678079 6 10 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 0.33296758281165
-141 0.586427899815572 4 38 "GO:0005746;GO:0070469" "mitochondrial respirasome" 0.729353279037878
-944 0.00836914721775818 3 20 "GO:0005747;GO:0045271;GO:0030964" "NADH dehydrogenase complex" 0.032532700087075
-380 0.452491702240171 3 10 "GO:0005753;GO:0045259" "proton-transporting ATP synthase complex" 0.607631714436801
145 0.62081150206793 2 30 "GO:0005758" "mitochondrial intermembrane space" 0.751661701567025
-260 0.018914203021245 3 216 "GO:0005759" "mitochondrial matrix" 0.0613118677841578
-177 0.0859267099379202 5 253 "GO:0005764" "lysosome" 0.182815263530472
55 0.713967807938033 2 116 "GO:0005765" "lysosomal membrane" 0.820269681564362
281 0.000369940257091883 2 446 "GO:0005768" "endosome" 0.00313539529371317
292 0.0272261417143788 2 150 "GO:0005769" "early endosome" 0.0813556092925358
116 0.415982429017581 2 129 "GO:0005770" "late endosome" 0.579684409170052
427 0.221744394284741 2 21 "GO:0005771" "multivesicular body" 0.374646574657553
-74 0.419877517609996 2 322 "GO:0005773" "vacuole" 0.582384234367129
134 0.286780463918939 4 167 "GO:0005774" "vacuolar membrane" 0.450269179278573
-682 0.00020033603047046 4 77 "GO:0005775;GO:0043202" "lysosomal lumen" 0.00191803199543014
146 0.669806583696002 4 22 "GO:0005776" "autophagosome" 0.787541473611297
-161 0.329359574767843 3 95 "GO:0005777;GO:0042579" "microbody" 0.49356202943471
-724 0.0133196142465242 2 30 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.0468451739146463
-417 0.386691028100507 2 11 "GO:0005779" "integral component of peroxisomal membrane" 0.556011223224219
-188 0.589844995134412 3 21 "GO:0005782;GO:0031907" "microbody lumen" 0.729353279037878
-91 0.578637901353605 3 96 "GO:0005788" "endoplasmic reticulum lumen" 0.723113957089267
195 0.0116822437770105 4 465 "GO:0005789" "endoplasmic reticulum membrane" 0.042533239667003
774 0.0609201475599722 4 15 "GO:0005790" "smooth endoplasmic reticulum" 0.147867212622092
672 0.00407436486157282 4 47 "GO:0005791" "rough endoplasmic reticulum" 0.0184776020476592
786 0.000280739815805421 3 55 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.00254635938195443
508 0.000195637176603043 2 141 "GO:0005795" "Golgi stack" 0.00190838528875044
-519 0.128520248843463 3 22 "GO:0005796" "Golgi lumen" 0.245297799472268
715 0.0129499477685283 6 31 "GO:0005797" "Golgi medial cisterna" 0.0458570068241721
707 8.48641574758402e-05 2 80 "GO:0005798" "Golgi-associated vesicle" 0.000974994875889097
522 0.0273691661974688 2 46 "GO:0005801" "cis-Golgi network" 0.0813556092925358
361 0.0125440033329782 2 125 "GO:0005802" "trans-Golgi network" 0.0447258601596533
480 5.08679330780118e-05 2 188 "GO:0005811" "lipid droplet" 0.000710776254090057
-499 9.66994725686264e-08 2 308 "GO:0005813" "centrosome" 3.33290848786532e-06
-1033 0.000109721511539555 2 36 "GO:0005814" "centriole" 0.00118179211387396
-448 3.47289037010072e-07 4 353 "GO:0005815" "microtubule organizing center" 9.97491289634485e-06
-341 0.393215105506936 3 16 "GO:0005818" "aster" 0.556964957663249
-536 5.97575219416859e-07 2 231 "GO:0005819" "spindle" 1.54473194219258e-05
-1409 0.00348347839144363 2 11 "GO:0005828" "kinetochore microtubule" 0.0166755400775589
2009 4.43778837950242e-08 2 19 "GO:0005838" "proteasome regulatory particle" 2.36043072655687e-06
1718 8.03551809499617e-08 2 25 "GO:0005839" "proteasome core complex" 2.96740203936644e-06
610 4.04003530021511e-05 3 118 "GO:0005840" "ribosome" 0.000596770928631775
736 0.0398151641517389 3 20 "GO:0005844" "polysome" 0.108636364344185
-81 0.873347592719453 2 10 "GO:0005845" "mRNA cap binding complex" 0.921243953592584
-326 0.479953289156476 4 12 "GO:0005849" "mRNA cleavage factor complex" 0.637435222412952
856 0.0756785401320877 2 11 "GO:0005850" "eukaryotic translation initiation factor 2 complex" 0.166492788290593
469 0.240643768204914 2 16 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 0.394961359244256
-813 0.0230836825832469 2 20 "GO:0005858" "axonemal dynein complex" 0.0718931559972208
-344 0.438630048466083 5 13 "GO:0005859;GO:0016460" "myosin II complex" 0.598556539519534
