"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-74 0.67093573309299 2 24 "GO:0000118" "histone deacetylase complex" 0.999972664258751
259 0.0271660960623714 2 37 "GO:0000123" "histone acetyltransferase complex" 0.596056107721443
8 0.442539396725084 3 207 "GO:0000139" "Golgi membrane" 0.999972664258751
279 0.00805626878126872 2 50 "GO:0000151" "ubiquitin ligase complex" 0.442419710361978
368 0.0764379793877364 4 10 "GO:0000152" "nuclear ubiquitin ligase complex" 0.86398079732199
22 0.392374479128388 2 103 "GO:0000228" "nuclear chromosome" 0.999972664258751
-107 0.756074014531401 2 28 "GO:0000313;GO:0005761" "organellar ribosome" 0.999972664258751
-559 0.99336747130052 3 13 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.999972664258751
-60 0.608744211015917 5 14 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.999972664258751
-7 0.539632890003906 2 138 "GO:0000323" "lytic vacuole" 0.999972664258751
-186 0.927279397318287 3 41 "GO:0000428;GO:0055029" "nuclear DNA-directed RNA polymerase complex" 0.999972664258751
41 0.382886370175076 4 35 "GO:0000502;GO:1905369" "proteasome complex" 0.999972664258751
-316 0.968343963349755 2 23 "GO:0000775" "chromosome, centromeric region" 0.999972664258751
-190 0.808854526457987 2 14 "GO:0000776" "kinetochore" 0.999972664258751
-288 0.868815479289426 3 10 "GO:0000779" "condensed chromosome, centromeric region" 0.999972664258751
49 0.289897863022891 4 88 "GO:0000785" "chromatin" 0.999972664258751
-239 0.823412282989995 2 10 "GO:0000786" "nucleosome" 0.999972664258751
55 0.302298074490276 5 60 "GO:0000790" "nuclear chromatin" 0.999972664258751
246 0.100346707664298 5 18 "GO:0000792" "heterochromatin" 0.919032695773065
30 0.412643321948172 2 37 "GO:0000793" "condensed chromosome" 0.999972664258751
12 0.473720502757555 4 20 "GO:0000794" "condensed nuclear chromosome" 0.999972664258751
-26 0.542079789826476 2 11 "GO:0000803" "sex chromosome" 0.999972664258751
-122 0.797092363038968 4 31 "GO:0000922" "spindle pole" 0.999972664258751
3 0.492497349901868 2 26 "GO:0000932" "P-body" 0.999972664258751
-50 0.612221672054692 2 22 "GO:0001669" "acrosomal vesicle" 0.999972664258751
-3 0.505330458037181 5 12 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "contractile actin filament bundle" 0.999972664258751
-199 0.901479083169526 2 28 "GO:0001726" "ruffle" 0.999972664258751
-7 0.51243609074434 3 12 "GO:0001750" "photoreceptor outer segment" 0.999972664258751
-82 0.630582449321771 2 11 "GO:0001917" "photoreceptor inner segment" 0.999972664258751
-89 0.976678255303987 1 376 "GO:0005576" "extracellular region" 0.999972664258751
-30 0.571980278752317 4 24 "GO:0005604" "basement membrane" 0.999972664258751
-137 0.979107441822596 2 154 "GO:0005615" "extracellular space" 0.999972664258751
-47 0.730826188050848 2 120 "GO:0005635" "nuclear envelope" 0.999972664258751
259 0.0635846749388083 3 23 "GO:0005643" "nuclear pore" 0.765067217812113
221 0.00818884527565264 2 80 "GO:0005667" "transcription factor complex" 0.442419710361978
-31 0.642783425005346 2 97 "GO:0005681" "spliceosomal complex" 0.999972664258751
112 0.0294557845100283 2 202 "GO:0005694" "chromosome" 0.610389312346697
190 0.0594696612010918 5 45 "GO:0005700" "polytene chromosome" 0.765067217812113
-60 0.59699714544599 2 11 "GO:0005703" "polytene chromosome puff" 0.999972664258751
445 0.0417205118564051 2 10 "GO:0005705" "polytene chromosome interband" 0.648406288434963
252 0.132457028663047 2 13 "GO:0005720" "nuclear heterochromatin" 0.999972664258751
41 0.214679442553358 4 266 "GO:0005730" "nucleolus" 0.999972664258751
-190 0.808854526457987 2 14 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.999972664258751
-19 0.620582188448666 2 179 "GO:0005740" "mitochondrial envelope" 0.999972664258751
-28 0.582820774451974 4 38 "GO:0005741" "mitochondrial outer membrane" 0.999972664258751
-60 0.790335363488007 3 123 "GO:0005743" "mitochondrial inner membrane" 0.999972664258751
-623 0.999831939868894 5 22 "GO:0005746;GO:0070469" "mitochondrial respirasome" 0.999972664258751
-795 0.999407421705064 5 11 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.999972664258751
-7 0.513863440035372 4 17 "GO:0005758" "mitochondrial intermembrane space" 0.999972664258751
69 0.189739944673249 2 112 "GO:0005759" "mitochondrial matrix" 0.999972664258751
-16 0.587858176193688 3 137 "GO:0005764" "lysosome" 0.999972664258751
-111 0.859824190526034 3 64 "GO:0005765;GO:0098852" "lysosomal membrane" 0.999972664258751
-75 0.916871010296519 2 246 "GO:0005768" "endosome" 0.999972664258751
-42 0.671252934595634 3 76 "GO:0005769" "early endosome" 0.999972664258751
-175 0.958544126898515 3 66 "GO:0005770" "late endosome" 0.999972664258751
5 0.467800526978742 2 168 "GO:0005773" "vacuole" 0.999972664258751
-87 0.841143935468732 3 89 "GO:0005774" "vacuolar membrane" 0.999972664258751
-292 0.989729947615185 4 42 "GO:0005775;GO:0043202" "vacuolar lumen" 0.999972664258751
24 0.420850719341353 4 45 "GO:0005777;GO:0042579" "microbody" 0.999972664258751
294 0.0879994994172261 2 14 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.919032695773065
430 0.0472481486741444 4 10 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.691736435575172
-216 0.952509805885655 4 40 "GO:0005788" "endoplasmic reticulum lumen" 0.999972664258751
-98 0.961711155830552 2 233 "GO:0005789" "endoplasmic reticulum membrane" 0.999972664258751
-17 0.529469227510832 3 12 "GO:0005790" "smooth endoplasmic reticulum" 0.999972664258751
-84 0.719255314510203 3 32 "GO:0005791" "rough endoplasmic reticulum" 0.999972664258751
-293 0.977322431851838 2 31 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.999972664258751
64 0.249260014504175 3 75 "GO:0005795" "Golgi stack" 0.999972664258751
-193 0.773882253019604 3 10 "GO:0005796" "Golgi lumen" 0.999972664258751
45 0.427517400308582 6 11 "GO:0005797" "Golgi medial cisterna" 0.999972664258751
-146 0.902637235587225 2 53 "GO:0005798" "Golgi-associated vesicle" 0.999972664258751
7 0.484175683929994 2 22 "GO:0005801" "cis-Golgi network" 0.999972664258751
-42 0.659575768401609 2 65 "GO:0005802" "trans-Golgi network" 0.999972664258751
-119 0.935553854985426 2 111 "GO:0005811" "lipid droplet" 0.999972664258751
-31 0.657625738558747 2 121 "GO:0005813" "centrosome" 0.999972664258751
