"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-208 0.856887906015322 2 16 "GO:0000118" "histone deacetylase complex" 0.998759756424598
-43 0.620940669662935 3 31 "GO:0000123" "histone acetyltransferase complex" 0.998759756424598
71 0.380753473862425 2 11 "GO:0000124" "SAGA complex" 0.852600215036457
-106 0.95460180200063 3 162 "GO:0000139" "Golgi membrane" 0.998759756424598
-85 0.778837716219584 3 50 "GO:0000151" "ubiquitin ligase complex" 0.998759756424598
249 0.0822377187761288 4 19 "GO:0000152" "nuclear ubiquitin ligase complex" 0.49484420435981
55 0.392390186848065 3 15 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.852600215036457
147 0.00959317842694635 3 162 "GO:0000228" "nuclear chromosome" 0.123904699199909
184 0.22746529121652 3 10 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.692046270944956
-324 0.989453864915156 3 31 "GO:0000313;GO:0005761" "organellar ribosome" 0.998759756424598
-149 0.745859747135804 2 12 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.998759756424598
-408 0.986749302067244 3 18 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.998759756424598
78 0.11847407851986 5 146 "GO:0000323" "lytic vacuole" 0.531770686985149
-123 0.886696235331039 3 60 "GO:0000428;GO:0055029" "nuclear DNA-directed RNA polymerase complex" 0.998759756424598
287 0.00101060604433804 2 72 "GO:0000775" "chromosome, centromeric region" 0.0391890566082196
217 0.0212050154299132 2 54 "GO:0000776" "kinetochore" 0.200014875271343
278 0.0106508337421125 3 42 "GO:0000777" "condensed chromosome kinetochore" 0.123904699199909
317 0.00336142337242356 6 45 "GO:0000779" "condensed chromosome, centromeric region" 0.0782091171317215
255 0.0715787715948478 2 20 "GO:0000781" "chromosome, telomeric region" 0.462610949751887
234 0.171190987415137 5 10 "GO:0000784" "nuclear chromosome, telomeric region" 0.635356476741176
166 0.00930956615286297 2 128 "GO:0000785" "chromatin" 0.123904699199909
55 0.400347128051828 2 13 "GO:0000786" "nucleosome" 0.852600215036457
-64 0.740197189556822 2 63 "GO:0000790" "nuclear chromatin" 0.998759756424598
179 0.234164281002822 2 10 "GO:0000791" "euchromatin" 0.692046270944956
592 0.000464966502461355 3 19 "GO:0000792" "heterochromatin" 0.03203708978932
340 1.52713223485048e-05 2 94 "GO:0000793" "condensed chromosome" 0.00532969149962817
266 0.00880304873876986 4 49 "GO:0000794" "condensed nuclear chromosome" 0.123904699199909
145 0.243280049653017 4 14 "GO:0000795;GO:0099086" "synaptonemal complex" 0.692204427168794
599 0.00200429089313608 2 14 "GO:0000803" "sex chromosome" 0.0605431326354385
181 0.05277065332908 2 49 "GO:0000922" "spindle pole" 0.36967971990071
281 0.126487050869105 2 10 "GO:0000932" "P-body" 0.534493318567045
10 0.476666097098097 6 19 "GO:0001669" "acrosomal vesicle" 0.899224150741815
-189 0.899961227769999 4 28 "GO:0001726" "ruffle" 0.998759756424598
85 0.358303362215947 2 11 "GO:0005581" "collagen trimer" 0.846517623684851
302 0.00944737976163755 4 37 "GO:0005604" "basement membrane" 0.123904699199909
150 0.00807591528424998 2 166 "GO:0005615" "extracellular space" 0.123904699199909
181 0.00564508351329941 2 124 "GO:0005635" "nuclear envelope" 0.102737016648033
197 0.0630499908872149 4 37 "GO:0005643" "nuclear pore" 0.415178241879962
434 0.0267918821015949 4 12 "GO:0005652" "nuclear lamina" 0.231526714315028
113 0.181512180367251 4 40 "GO:0005657" "replication fork" 0.648302736203029
105 0.11570568100427 2 81 "GO:0005667" "transcription factor complex" 0.531770686985149
71 0.380605334137556 7 11 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.852600215036457
275 0.110725117598026 2 12 "GO:0005680" "anaphase-promoting complex" 0.531770686985149
-158 0.962556472516927 4 79 "GO:0005681" "spliceosomal complex" 0.998759756424598
175 0.000102087192649304 2 305 "GO:0005694" "chromosome" 0.0120631047290824
106 0.207065461451495 3 36 "GO:0005700" "polytene chromosome" 0.683987618237106
-137 0.996304758402196 3 255 "GO:0005730" "nucleolus" 0.998759756424598
4 0.493097001814169 2 11 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.917049939259775
109 0.0376930020324585 2 171 "GO:0005740" "mitochondrial envelope" 0.2923301713184
-35 0.599436520023844 3 32 "GO:0005741;GO:0031968;GO:0019867" "mitochondrial outer membrane" 0.997253102508
149 0.0189019027434067 3 123 "GO:0005743" "mitochondrial inner membrane" 0.19520470445495
197 0.149070053548101 2 17 "GO:0005746;GO:0070469" "mitochondrial respirasome" 0.584555603239183
243 0.130177455811458 5 13 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.534493318567045
-84 0.651413549633604 4 13 "GO:0005758" "mitochondrial intermembrane space" 0.998759756424598
38 0.29176087101678 3 132 "GO:0005759" "mitochondrial matrix" 0.765598075074107
59 0.190420892973722 2 141 "GO:0005764" "lysosome" 0.657989026216129
-88 0.808501748842466 2 60 "GO:0005765" "lysosomal membrane" 0.998759756424598
-25 0.663167930081377 2 180 "GO:0005768" "endosome" 0.998759756424598
119 0.127450306506698 5 56 "GO:0005769" "early endosome" 0.534493318567045
-129 0.889826193848356 4 56 "GO:0005770" "late endosome" 0.998759756424598
84 0.0866750039683514 2 168 "GO:0005773" "vacuole" 0.502191731032155
6 0.475008190140786 3 79 "GO:0005774" "vacuolar membrane" 0.899224150741815
172 0.055081219010994 2 53 "GO:0005775;GO:0043202" "vacuolar lumen" 0.36967971990071
-29 0.546823061201196 2 10 "GO:0005776" "autophagosome" 0.968737301315824
42 0.352409104687197 3 49 "GO:0005777;GO:0042579" "peroxisome" 0.843334611381486
220 0.0985553731555853 3 21 "GO:0005778;GO:0031903" "microbody membrane" 0.510546576682992
44 0.419820549312224 4 13 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.856826735146001
78 0.235258047563102 4 53 "GO:0005788" "endoplasmic reticulum lumen" 0.692046270944956
111 0.0263489802832936 2 199 "GO:0005789;GO:0042175" "endoplasmic reticulum membrane" 0.231526714315028
-90 0.678645925623318 2 16 "GO:0005791" "rough endoplasmic reticulum" 0.998759756424598
-303 0.945411390927552 2 17 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.998759756424598
-49 0.861835970822553 2 340 "GO:0005794" "Golgi apparatus" 0.998759756424598
63 0.290364752139361 2 48 "GO:0005795" "Golgi stack" 0.765598075074107
176 0.216621214629812 4 12 "GO:0005796" "Golgi lumen" 0.692046270944956
-212 0.853956863338341 3 15 "GO:0005798" "Golgi-associated vesicle" 0.998759756424598
-304 0.911616500931975 3 12 "GO:0005801" "cis-Golgi network" 0.998759756424598
-256 0.984873861713278 2 44 "GO:0005802" "trans-Golgi network" 0.998759756424598
236 0.00640287398702491 2 69 "GO:0005811" "lipid droplet" 0.106409667689128
83 0.0848502803838282 2 178 "GO:0005813" "centrosome" 0.501910980575526
190 0.099567438561758 2 28 "GO:0005814" "centriole" 0.510546576682992
30 0.296796397938852 2 200 "GO:0005815" "microtubule organizing center" 0.766795275585961
185 0.00435493395027987 2 127 "GO:0005819" "spindle" 0.0873534867259017
-303 0.989026975033367 2 35 "GO:0005840" "ribosome" 0.998759756424598
247 0.0957799185591544 3 17 "GO:0005858" "axonemal dynein complex" 0.50647259965371
-102 0.705408932043074 5 17 "GO:0005871" "kinesin complex" 0.998759756424598
-2 0.510513002142843 5 81 "GO:0005874" "microtubule" 0.937731777620275
125 0.0209467040607714 4 170 "GO:0005875" "microtubule associated complex" 0.200014875271343
251 0.0271994134295592 6 36 "GO:0005876" "spindle microtubule" 0.231526714315028
-133 0.803611444633645 2 25 "GO:0005881" "cytoplasmic microtubule" 0.998759756424598
-245 0.89606251664502 2 16 "GO:0005884" "actin filament" 0.998759756424598
46 0.185760096333246 2 254 "GO:0005887" "integral component of plasma membrane" 0.648302736203029
35 0.430754313395793 3 15 "GO:0005892" "acetylcholine-gated channel complex" 0.866856111954831
-138 0.84873935837521 2 34 "GO:0005901;GO:0044853" "caveola" 0.998759756424598
198 0.140592647592969 2 18 "GO:0005902" "microvillus" 0.563986597815473
115 0.172948038081409 3 41 "GO:0005903" "brush border" 0.635356476741176
19 0.444746521007929 2 34 "GO:0005905" "clathrin-coated pit" 0.872003010290827
-48 0.688371183910109 2 66 "GO:0005911" "cell-cell junction" 0.998759756424598
-182 0.944347692638795 2 47 "GO:0005912;GO:0070161" "adherens junction" 0.998759756424598
-367 0.948769078494492 3 12 "GO:0005913" "cell-cell adherens junction" 0.998759756424598
-16 0.531409151938772 2 15 "GO:0005918" "septate junction" 0.960941937961821
-169 0.850694459710211 3 23 "GO:0005924" "cell-substrate adherens junction" 0.998759756424598
-152 0.796442510430768 2 18 "GO:0005925" "focal adhesion" 0.998759756424598
-176 0.995534385421803 2 141 "GO:0005929" "cilium" 0.998759756424598
-116 0.843833572778637 2 47 "GO:0005930" "axoneme" 0.998759756424598
72 0.203943965224246 5 82 "GO:0005938" "cell cortex" 0.683987618237106
-80 0.739163046235591 6 39 "GO:0008021;GO:0070382" "exocytic vesicle" 0.998759756424598
-342 0.935863841960754 2 12 "GO:0008023" "transcription elongation factor complex" 0.998759756424598
145 0.2682588649316 2 11 "GO:0008278" "cohesin complex" 0.734796824777246
266 0.100939007997497 2 14 "GO:0009295;GO:0042645" "mitochondrial nucleoid" 0.510546576682992
64 0.398081519394475 2 10 "GO:0009507;GO:0009536" "chloroplast" 0.852600215036457
-176 0.951728964057198 2 55 "GO:0009897" "external side of plasma membrane" 0.998759756424598
70 0.323950931783092 2 26 "GO:0009898" "cytoplasmic side of plasma membrane" 0.801835994271625
287 0.0921934066846849 2 13 "GO:0009925" "basal plasma membrane" 0.502742170827422
-122 0.964653406036842 2 139 "GO:0009986" "cell surface" 0.998759756424598
-72 0.816213585796474 2 97 "GO:0010008" "endosome membrane" 0.998759756424598
-17 0.58597807835202 2 104 "GO:0012506" "vesicle membrane" 0.98795337847756
-254 0.981046654414906 2 41 "GO:0014069;GO:0099572" "postsynaptic density" 0.998759756424598
-14 0.537434949935612 3 26 "GO:0015030" "Cajal body" 0.961870756551429
-77 0.795624787744119 3 71 "GO:0015629" "actin cytoskeleton" 0.998759756424598
-394 0.986180892141761 4 19 "GO:0015934" "large ribosomal subunit" 0.998759756424598
-111 0.696006354260648 4 13 "GO:0015935" "small ribosomal subunit" 0.998759756424598
-249 0.933029519751524 2 22 "GO:0016234" "inclusion body" 0.998759756424598
-362 0.946376536633293 4 12 "GO:0016235" "aggresome" 0.998759756424598
226 0.0058875081173658 2 77 "GO:0016323" "basolateral plasma membrane" 0.102737016648033
239 0.00411446746265837 2 76 "GO:0016324" "apical plasma membrane" 0.0873534867259017
-131 0.720411463408536 2 12 "GO:0016328" "lateral plasma membrane" 0.998759756424598
337 0.0171359861311588 4 24 "GO:0016363" "nuclear matrix" 0.186889348742951
-201 0.832416927748794 2 14 "GO:0016459" "myosin complex" 0.998759756424598
125 0.23647256428165 4 20 "GO:0016528" "sarcoplasm" 0.692046270944956
43 0.410260536039864 3 17 "GO:0016529" "sarcoplasmic reticulum" 0.853477052264737
-20 0.565749188347559 2 40 "GO:0016591" "RNA polymerase II, holoenzyme" 0.987232333666491
-436 0.984955959780763 2 15 "GO:0016592" "mediator complex" 0.998759756424598
31 0.359087553726687 2 86 "GO:0016604" "nuclear body" 0.846517623684851
242 0.0775035035097565 3 21 "GO:0016605" "PML body" 0.483012905801875
-83 0.74027280939671 2 37 "GO:0016607" "nuclear speck" 0.998759756424598
254 0.119439016654356 2 13 "GO:0017053" "transcriptional repressor complex" 0.531770686985149
167 0.00917252597404542 2 127 "GO:0019866" "organelle inner membrane" 0.123904699199909
-47 0.662544619848471 2 48 "GO:0019897" "extrinsic component of plasma membrane" 0.998759756424598
26 0.3958164294451 2 64 "GO:0019898" "extrinsic component of membrane" 0.852600215036457
-13 0.543848623655455 2 47 "GO:0030016" "myofibril" 0.968383518651805
-120 0.831748800945971 3 39 "GO:0030017" "sarcomere" 0.998759756424598
-127 0.795735792526396 3 26 "GO:0030018" "Z disc" 0.998759756424598
-197 0.908761303338969 3 28 "GO:0030027" "lamellipodium" 0.998759756424598
-37 0.695763383591743 1 121 "GO:0030054" "cell junction" 0.998759756424598
-209 0.90483329322159 2 24 "GO:0030055" "cell-substrate junction" 0.998759756424598
-346 0.929753891865568 3 11 "GO:0030117;GO:0048475" "membrane coat" 0.998759756424598
-127 0.919095463739349 4 75 "GO:0030133" "transport vesicle" 0.998759756424598
