"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-668 0.220078033382696 2 9 "GO:0000109" "nucleotide-excision repair complex" 0.487344787594524
472 0.0720657539508958 2 39 "GO:0000118" "histone deacetylase complex" 0.270339926738075
-678 0.00104596831385588 4 63 "GO:0000123" "histone acetyltransferase complex" 0.0199284489271489
-646 0.114034505451418 2 16 "GO:0000124" "SAGA complex" 0.334832381107158
28 0.969067546687566 2 5 "GO:0000125" "PCAF complex" 0.986786081296481
206 0.778472402776324 2 5 "GO:0000131" "incipient cellular bud site" 0.895026212187237
311 0.614775839705093 6 7 "GO:0000137" "Golgi cis cisterna" 0.813706961510946
-666 0.280619871872963 4 7 "GO:0000138" "Golgi trans cisterna" 0.55359342571124
-41 0.631025062111612 4 390 "GO:0000139" "Golgi membrane" 0.81582525887287
-1164 0.0808162936905443 2 6 "GO:0000145" "exocyst" 0.28541949576563
-396 0.0124438894260708 3 108 "GO:0000151" "ubiquitin ligase complex" 0.0905556781861251
-1110 0.000334279832264266 2 28 "GO:0000152" "nuclear ubiquitin ligase complex" 0.00834546891583892
-1501 0.00936967023360415 2 8 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.0770868323764705
-111 0.847312814534749 4 8 "GO:0000159" "protein phosphatase type 2A complex" 0.926668395352203
655 0.165029315759703 4 12 "GO:0000176" "nuclear exosome (RNase complex)" 0.416310887142944
114 0.817614292983281 2 11 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.913572897010795
322 0.403876704230649 3 18 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.649792741917755
1616 0.0269681342459668 4 5 "GO:0000220;GO:0033179" "vacuolar proton-transporting V-type ATPase, V0 domain" 0.138472277699378
621 0.282666984766006 2 8 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 0.556082523339936
-528 2.02628128136237e-07 4 271 "GO:0000228" "nuclear chromosome" 1.83378455963294e-05
-716 0.129391229644737 2 12 "GO:0000235" "astral microtubule" 0.354845644934809
-434 0.338081226576157 3 13 "GO:0000242" "pericentriolar material" 0.598235868292147
-722 0.322979186311422 2 5 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.58900990148481
-1196 0.00460426707706772 2 15 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.0462984633860698
88 0.711549668515786 4 47 "GO:0000313;GO:0005761" "organellar ribosome" 0.862032835571296
342 0.349580259994551 5 20 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.60903296150666
-116 0.717270614972383 5 26 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.862631105049843
-737 0.134559854229029 5 11 "GO:0000322;GO:0000324" "fungal-type vacuole" 0.362161094653595
-73 0.47640178198685 4 270 "GO:0000323" "lytic vacuole" 0.706792807701802
-994 0.067935728850601 2 9 "GO:0000329" "fungal-type vacuole membrane" 0.258870882567553
-276 0.612400176153593 4 9 "GO:0000346" "transcription export complex" 0.813537114743489
-406 0.511274447093578 4 7 "GO:0000347" "THO complex" 0.738847703983534
649 0.261299804198062 3 8 "GO:0000407" "phagophore assembly site" 0.53016363389604
-960 0.096368641255142 5 8 "GO:0000421" "autophagosome membrane" 0.315705412980646
-390 0.019120961557313 4 98 "GO:0000428;GO:0055029" "DNA-directed RNA polymerase complex" 0.111780387994118
-711 0.286448191299349 2 6 "GO:0000445" "THO complex part of transcription export complex" 0.557539928785354
735 0.00137470295440849 4 51 "GO:0000502;GO:1905369" "proteasome complex" 0.0219663074697919
-920 1.98451990447266e-08 3 101 "GO:0000775" "chromosome, centromeric region" 3.59198102709551e-06
-919 1.29548467426947e-06 3 75 "GO:0000776" "kinetochore" 8.5209269766115e-05
-950 1.48537969000574e-05 2 56 "GO:0000777" "condensed chromosome kinetochore" 0.000448089539818398
-1885 0.00470154741865272 2 6 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.0465821722158345
-926 1.24650820386905e-05 2 60 "GO:0000779" "condensed chromosome, centromeric region" 0.000392379104174431
-1621 0.000593142275235634 3 12 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.0126304413903117
-636 0.0332703202259066 5 30 "GO:0000781" "chromosome, telomeric region" 0.155404592539073
-458 0.458165184917067 4 7 "GO:0000782;GO:0000783" "telomere cap complex" 0.690985994259169
-926 0.019509681225149 2 17 "GO:0000784" "nuclear chromosome, telomeric region" 0.113000073656063
-543 1.55956241532752e-06 2 217 "GO:0000785" "chromatin" 8.68556298997788e-05
458 0.262400459200103 2 16 "GO:0000786" "nucleosome" 0.53016363389604
-390 0.00902953109051726 5 122 "GO:0000790" "nuclear chromatin" 0.0751423047072931
-568 0.140246772912217 3 18 "GO:0000791" "euchromatin" 0.373303910251636
-775 0.00581295641449391 3 34 "GO:0000792" "heterochromatin" 0.0532731701783999
-722 1.6098415040101e-07 2 144 "GO:0000793" "condensed chromosome" 1.66503606986188e-05
-639 0.000646875407223628 2 77 "GO:0000794" "condensed nuclear chromosome" 0.0130093831897196
-876 0.0140753668976007 6 21 "GO:0000795;GO:0099086" "synaptonemal complex" 0.0945761995405257
-924 0.109674868840971 2 8 "GO:0000796" "condensin complex" 0.334832381107158
-863 0.237707627398383 4 5 "GO:0000798;GO:0034991" "nuclear meiotic cohesin complex" 0.512453998572104
-1328 0.0147258092757278 3 9 "GO:0000800" "lateral element" 0.0964671489263466
-1057 0.00123985975577006 2 25 "GO:0000803" "sex chromosome" 0.0211763893232648
-783 0.0840051301478233 4 13 "GO:0000805" "X chromosome" 0.293815044574996
-697 0.17770325382307 3 10 "GO:0000808;GO:0005664" "nuclear origin of replication recognition complex" 0.435653073439701
372 0.57697791302214 6 6 "GO:0000813" "ESCRT I complex" 0.786689282538662
1061 0.111699706307304 6 6 "GO:0000815" "ESCRT III complex" 0.334832381107158
-898 8.99522158823853e-08 2 96 "GO:0000922" "spindle pole" 1.13218702327763e-05
-833 0.126177581645082 4 9 "GO:0000930" "gamma-tubulin complex" 0.34867392790473
-919 0.168300345321585 3 6 "GO:0000931;GO:0008274" "gamma-tubulin ring complex" 0.419710732204251
481 0.0569567634074381 2 42 "GO:0000932" "P-body" 0.22411248210318
-1663 0.00128696288704924 4 10 "GO:0000940" "condensed chromosome outer kinetochore" 0.0211763893232648
1494 0.00970001086086228 2 8 "GO:0000974" "Prp19 complex" 0.0786655088764475
421 0.0957320303708802 5 42 "GO:0001669" "acrosomal vesicle" 0.315705412980646
