"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
291 0.517960287716616 5 14 "GO:0000030" "mannosyltransferase activity" 0.721816143926368
-279 0.417985711922262 2 24 "GO:0000049" "tRNA binding" 0.643197525663082
-332 0.41685795453135 4 17 "GO:0000062" "fatty-acyl-CoA binding" 0.643197525663082
-213 0.661962551578185 2 12 "GO:0000146" "microfilament motor activity" 0.816963947707119
-74 0.833354268280916 3 23 "GO:0000149" "SNARE binding" 0.914083471386531
-101 0.188507107969194 2 532 "GO:0000166" "nucleotide binding" 0.417967836839044
337 0.454603059094436 2 14 "GO:0000175" "3'-5'-exoribonuclease activity" 0.675393485762922
871 0.102021890954797 3 10 "GO:0000217" "DNA secondary structure binding" 0.278752725679642
-136 0.497223874770131 2 71 "GO:0000287" "magnesium ion binding" 0.702617496896105
-273 0.608161359367792 2 10 "GO:0000339" "RNA cap binding" 0.777858534468999
305 0.566602971634617 4 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.743331686794753
234 0.198910237546811 2 87 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.428428232667344
426 0.0408661466253934 2 66 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.158997163822073
460 0.1072734306409 4 35 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.286337541787633
261 0.548320295231636 4 15 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.739999907971037
-21 0.888494634946082 2 125 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.93853162351991
239 0.382331168333866 2 38 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.620057161225528
-122 0.25040251772062 -1 264 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.48005344557489
-116 0.275992526747407 -1 261 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.507902795827405
471 0.0192022314006472 6 71 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.0973224490234064
-707 0.0673928477226519 2 19 "GO:0001047" "core promoter binding" 0.218554375324862
-100 0.460921295980517 4 158 "GO:0001067" "regulatory region nucleic acid binding" 0.677710549598472
-281 0.171389623837441 -1 68 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.392798188593581
-91 0.792233736100944 2 24 "GO:0001085" "RNA polymerase II transcription factor binding" 0.89838270074192
341 0.502583118885267 4 11 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.706058065802379
444 0.227424187525442 2 21 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.45497539776352
165 0.660781402043271 -1 20 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.816963947707119
109 0.809605953818939 -1 14 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.903585017790383
666 0.126160047499568 2 15 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.312696689159644
1 0.996061845609284 2 35 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.997499164289817
-78 0.878579629531421 3 11 "GO:0001530" "lipopolysaccharide binding" 0.930892004419551
1227 6.80041803666001e-05 3 30 "GO:0001653;GO:0008528" "peptide receptor activity" 0.00147484066170064
45 0.858372171574198 2 45 "GO:0001664" "G protein-coupled receptor binding" 0.917889502422948
759 0.135271854971448 2 11 "GO:0001786" "phosphatidylserine binding" 0.32596759496592
-111 0.197562122202029 2 407 "GO:0001882" "nucleoside binding" 0.42796045975677
-109 0.207181859353012 3 405 "GO:0001883" "purine nucleoside binding" 0.429617137522967
-528 0.210461075185243 3 16 "GO:0002039" "p53 binding" 0.433412421894833
143 0.0518970891763192 2 582 "GO:0003677" "DNA binding" 0.182548626689955
471 0.0585754976040342 3 46 "GO:0003678" "DNA helicase activity" 0.195439400659614
-57 0.647536566559955 2 189 "GO:0003682" "chromatin binding" 0.80631926483556
226 0.456011145048577 2 31 "GO:0003684" "damaged DNA binding" 0.675393485762922
248 0.0562246557182453 4 173 "GO:0003690" "double-stranded DNA binding" 0.190341029602255
520 0.061215584146447 2 37 "GO:0003697" "single-stranded DNA binding" 0.200734255647881
19 0.840767693663 2 327 "GO:0003700" "DNA-binding transcription factor activity" 0.914302170138037
-103 0.350626824718874 2 244 "GO:0003712" "transcription coregulator activity" 0.586349436999756
-83 0.55390105934314 2 147 "GO:0003713" "transcription coactivator activity" 0.739999907971037
-51 0.776196399371251 2 88 "GO:0003714" "transcription corepressor activity" 0.884532514226023
-243 0.00470072858958136 3 413 "GO:0003723" "RNA binding" 0.0379337865252263
124 0.558756035638741 2 64 "GO:0003724" "RNA helicase activity" 0.739999907971037
325 0.316505562582264 2 27 "GO:0003725" "double-stranded RNA binding" 0.554683990990129
-7 0.978302212529251 2 44 "GO:0003727" "single-stranded RNA binding" 0.991155818241314
-350 0.00745029557524449 2 171 "GO:0003729" "mRNA binding" 0.0537650066598909
-73 0.802855804300087 3 33 "GO:0003730" "mRNA 3'-UTR binding" 0.903261810329205
-518 0.00170193314037073 2 106 "GO:0003735" "structural constituent of ribosome" 0.0181714092218044
-466 0.0775920103261992 3 41 "GO:0003743" "translation initiation factor activity" 0.235147839154508
-914 0.0861986382598476 2 10 "GO:0003746" "translation elongation factor activity" 0.250300648336127
35 0.911947954498728 3 28 "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 0.953150422322466
-548 0.127415161400154 3 22 "GO:0003756;GO:0016864;GO:0016862" "protein disulfide isomerase activity" 0.313567808552152
-16 0.928049412480413 2 87 "GO:0003774" "motor activity" 0.962729883798814
-84 0.684431592541122 4 67 "GO:0003777" "microtubule motor activity" 0.827518336626374
-419 0.00373196733977891 2 139 "GO:0003779" "actin binding" 0.0318555292662825
259 0.480719825234167 2 21 "GO:0003823" "antigen binding" 0.695040747317733
949 0.00245915545660827 3 29 "GO:0003887" "DNA-directed DNA polymerase activity" 0.0247341143026977
1727 0.000672019859799001 2 11 "GO:0003896" "DNA primase activity" 0.00804106521897425
363 0.197139225996164 3 36 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.42796045975677
399 0.454155056977235 3 10 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.675393485762922
-184 0.189804313328937 3 147 "GO:0003924" "GTPase activity" 0.418172042699309
-176 0.705842776900558 3 13 "GO:0003943" "N-acetylgalactosamine-4-sulfatase activity" 0.838792615015389
-861 0.0410093549339352 5 16 "GO:0003954;GO:0008137;GO:0050136" "NADH dehydrogenase (quinone) activity" 0.158997163822073
482 0.111848515957034 3 31 "GO:0004003" "ATP-dependent DNA helicase activity" 0.291815301030758
153 0.482800981636395 3 60 "GO:0004004" "ATP-dependent RNA helicase activity" 0.69555576133215
861 0.0768375646697704 3 12 "GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.233882762635178
697 0.170044328517698 2 11 "GO:0004114" "3',5'-cyclic-nucleotide phosphodiesterase activity" 0.39206233884147
-662 0.213915202638886 2 10 "GO:0004129;GO:0015002;GO:0016676" "cytochrome-c oxidase activity" 0.436638678327608
-200 0.0620378456098956 3 259 "GO:0004175" "endopeptidase activity" 0.202132698841632
219 0.417197303772763 2 39 "GO:0004177" "aminopeptidase activity" 0.643197525663082
104 0.730936143049735 2 31 "GO:0004180" "carboxypeptidase activity" 0.855429482759724
588 0.118844335825587 3 20 "GO:0004181" "metallocarboxypeptidase activity" 0.304346749309806
-590 0.008410976010356 2 57 "GO:0004197" "cysteine-type endopeptidase activity" 0.0577942311998719
426 0.206635890089221 -1 25 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.429617137522967
307 0.0733646138504185 6 98 "GO:0004222" "metalloendopeptidase activity" 0.229141194177319
-232 0.303918024837506 4 56 "GO:0004252" "serine-type endopeptidase activity" 0.539435061987798
