"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-88 0.654758855843387 2 10 "GO:0000149;GO:0019905" "SNARE binding" 0.999344057275021
-95 0.971315623332223 3 214 "GO:0000166;GO:1901265" "nucleotide binding" 0.999344057275021
-84 0.736258214678733 2 28 "GO:0000287" "magnesium ion binding" 0.999344057275021
3 0.489537116876073 3 45 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.999344057275021
36 0.377521071912875 2 38 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.959841156693519
79 0.304327148851549 2 21 "GO:0000978;GO:0000987" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.870465153700386
85 0.189630369327594 3 54 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.723198173219942
-46 0.748980988061738 -1 110 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.999344057275021
-54 0.785181948521537 -1 109 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.999344057275021
16 0.442484654929779 3 42 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.999344057275021
-2 0.507202847159811 2 67 "GO:0001067" "regulatory region nucleic acid binding" 0.999344057275021
-62 0.671195290557841 -1 25 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.999344057275021
-167 0.795225541826266 2 12 "GO:0001085" "RNA polymerase II transcription factor binding" 0.999344057275021
-118 0.72719690017893 2 13 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.999344057275021
16 0.470571272824719 -1 11 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.999344057275021
117 0.29948634879973 2 10 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.867660951181578
-286 0.953656505886064 4 17 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.999344057275021
420 0.00306869725392981 2 21 "GO:0001653;GO:0008528" "peptide receptor activity" 0.045258525088314
70 0.328693183681641 4 20 "GO:0001664" "G protein-coupled receptor binding" 0.900434144029284
-111 0.973979878950157 2 162 "GO:0001882" "nucleoside binding" 0.999344057275021
-104 0.965905323093781 3 161 "GO:0001883" "purine nucleoside binding" 0.999344057275021
208 0.0660394398572792 4 26 "GO:0003678" "DNA helicase activity" 0.347153271682184
-57 0.766363611926191 2 82 "GO:0003682" "chromatin binding" 0.999344057275021
161 0.195435391960946 5 14 "GO:0003684" "damaged DNA binding" 0.730222005427097
93 0.113340672644989 2 85 "GO:0003690" "double-stranded DNA binding" 0.518700254810597
-7 0.518366650920219 2 22 "GO:0003697" "single-stranded DNA binding" 0.999344057275021
-1 0.505688076522902 2 141 "GO:0003700" "DNA-binding transcription factor activity" 0.999344057275021
-75 0.854971893069038 2 102 "GO:0003712" "transcription coregulator activity" 0.999344057275021
-59 0.745200963431285 3 62 "GO:0003713" "transcription coactivator activity" 0.999344057275021
-51 0.669872611788931 3 37 "GO:0003714" "transcription corepressor activity" 0.999344057275021
-24 0.652170548262499 2 143 "GO:0003723" "RNA binding" 0.999344057275021
238 0.0366253192963315 2 28 "GO:0003724" "RNA helicase activity" 0.229794342036661
327 0.0462893965742281 3 13 "GO:0003725" "double-stranded RNA binding" 0.285818655037694
64 0.342021687993893 3 20 "GO:0003727" "single-stranded RNA binding" 0.911276963216605
-87 0.83336551537946 4 62 "GO:0003729" "mRNA binding" 0.999344057275021
-239 0.898250260386418 2 14 "GO:0003730" "mRNA 3'-UTR binding" 0.999344057275021
-295 0.975647741385781 2 22 "GO:0003735" "structural constituent of ribosome" 0.999344057275021
-208 0.837234858784376 5 11 "GO:0003743" "translation initiation factor activity" 0.999344057275021
-187 0.811843892811018 3 11 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.999344057275021
-89 0.768608164949382 2 34 "GO:0003774" "motor activity" 0.999344057275021
-67 0.690271871521782 2 27 "GO:0003777" "microtubule motor activity" 0.999344057275021
-225 0.986958750477857 4 49 "GO:0003779" "actin binding" 0.999344057275021
125 0.238255181504464 2 16 "GO:0003887" "DNA-directed DNA polymerase activity" 0.814289275954674
217 0.16421574326672 6 10 "GO:0003896" "DNA primase activity" 0.651835960517899
172 0.156944359383693 2 17 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.635951622919339
-234 0.990225152701368 3 50 "GO:0003924" "GTPase activity" 0.999344057275021
127 0.214825198433666 2 19 "GO:0004003" "ATP-dependent DNA helicase activity" 0.769074318165965
260 0.0298951128264404 2 26 "GO:0004004" "ATP-dependent RNA helicase activity" 0.210420993459192
-11 0.561916221420336 3 101 "GO:0004175" "endopeptidase activity" 0.999344057275021
1 0.49835191537212 2 22 "GO:0004177" "aminopeptidase activity" 0.999344057275021
-42 0.592747098533856 2 15 "GO:0004180" "carboxypeptidase activity" 0.999344057275021
34 0.430450312380604 3 13 "GO:0004181" "metallocarboxypeptidase activity" 0.999344057275021
-321 0.97024992134718 2 17 "GO:0004197" "cysteine-type endopeptidase activity" 0.999344057275021
35 0.431634329797307 -1 12 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.999344057275021
18 0.428353226545236 2 52 "GO:0004222" "metalloendopeptidase activity" 0.999344057275021
-28 0.570004822387502 5 19 "GO:0004252" "serine-type endopeptidase activity" 0.999344057275021
72 0.367650855365233 2 11 "GO:0004383" "guanylate cyclase activity" 0.953441218247171
184 0.0278755454528617 3 54 "GO:0004386" "helicase activity" 0.200807170021541
476 0.00556641175612148 4 14 "GO:0004407;GO:0033558" "histone deacetylase activity" 0.0676666929103517
-13 0.530906658286381 3 17 "GO:0004497" "monooxygenase activity" 0.999344057275021
55 0.300447296502597 4 46 "GO:0004518" "nuclease activity" 0.867660951181578
47 0.354432157802775 2 32 "GO:0004519" "endonuclease activity" 0.931581820170807
32 0.42979814277733 3 15 "GO:0004520" "endodeoxyribonuclease activity" 0.999344057275021
14 0.467572081079872 4 17 "GO:0004521" "endoribonuclease activity" 0.999344057275021
-48 0.617078451122792 2 19 "GO:0004527" "exonuclease activity" 0.999344057275021
100 0.285309552542453 2 16 "GO:0004536" "deoxyribonuclease activity" 0.867660951181578
19 0.446077153129296 2 25 "GO:0004540" "ribonuclease activity" 0.999344057275021
28 0.43269371658885 4 18 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.999344057275021
-220 0.902045900310981 4 17 "GO:0004620" "phospholipase activity" 0.999344057275021
74 0.0824598101417687 3 188 "GO:0004672" "protein kinase activity" 0.406036280318329
-19 0.610898121007189 2 108 "GO:0004674" "protein serine/threonine kinase activity" 0.999344057275021
-56 0.629569789323436 -1 17 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0.999344057275021
203 0.0082865539387939 2 70 "GO:0004713" "protein tyrosine kinase activity" 0.0848281442681797
205 0.015201100426863 2 56 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity" 0.131405068134438
-120 0.874428261023043 3 46 "GO:0004721" "phosphoprotein phosphatase activity" 0.999344057275021
46 0.387576651858777 4 19 "GO:0004722" "protein serine/threonine phosphatase activity" 0.979008555669248
-39 0.600358576146103 4 21 "GO:0004725" "protein tyrosine phosphatase activity" 0.999344057275021
-153 0.970845455033175 2 77 "GO:0004842" "ubiquitin-protein transferase activity" 0.999344057275021
58 0.371689411628215 3 16 "GO:0004843;GO:0036459;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.957531000817057
-184 0.950511508925825 3 40 "GO:0004857" "enzyme inhibitor activity" 0.999344057275021
-167 0.785280600821917 2 11 "GO:0004860" "protein kinase inhibitor activity" 0.999344057275021
87 0.0334419337928832 -1 240 "GO:0004871" "obsolete signal transducer activity" 0.221338738256235
169 0.00116458657185087 2 172 "GO:0004888" "transmembrane signaling receptor activity" 0.020592008020454
214 0.0191726329847717 3 47 "GO:0004930" "G protein-coupled receptor activity" 0.152207229205637
256 0.103298636795602 2 12 "GO:0004970" "ionotropic glutamate receptor activity" 0.478371068017728
-64 0.688051270779072 -1 29 "GO:0005057" "obsolete signal transducer activity, downstream of receptor" 0.999344057275021
29 0.396849937626265 4 41 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.985259441129537
14 0.452708647152601 5 34 "GO:0005088" "Ras guanyl-nucleotide exchange factor activity" 0.999344057275021
88 0.288622536549879 6 20 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 0.867660951181578
-154 0.888784927535626 2 31 "GO:0005096" "GTPase activator activity" 0.999344057275021
-72 0.893942529829312 2 158 "GO:0005102" "signaling receptor binding" 0.999344057275021
155 0.241762923695212 5 10 "GO:0005109" "frizzled binding" 0.814289275954674
-16 0.528604398759976 4 10 "GO:0005125" "cytokine activity" 0.999344057275021
-265 0.928295372085569 4 15 "GO:0005126" "cytokine receptor binding" 0.999344057275021
