"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-385 0.884872136535461 2 10 "GO:0000030" "mannosyltransferase activity" 0.999996745843597
-280 0.872248058188972 4 17 "GO:0000049" "tRNA binding" 0.999996745843597
-4 0.506265259973772 3 14 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 0.979300753848879
188 0.237183862781853 2 15 "GO:0000149" "SNARE binding" 0.682925949733956
31 0.295885984311619 2 342 "GO:0000166" "nucleotide binding" 0.726526442552076
-19 0.526640168607494 3 13 "GO:0000175" "3'-5'-exoribonuclease activity" 0.993398554504688
-175 0.881855821807486 5 48 "GO:0000287" "magnesium ion binding" 0.999996745843597
126 0.185227780863613 2 53 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.61052051455704
48 0.378145267822582 7 44 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.853381888194205
258 0.103012045774749 2 25 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.452710832746923
-91 0.622246845659111 2 12 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.999996745843597
-24 0.586528767742757 3 88 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.999996745843597
248 0.102461849537028 7 27 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.452710832746923
140 0.0369723009918682 -1 176 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.263094864642464
145 0.0330599760015228 -1 175 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.258797624636921
0 0.49875545575448 3 49 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.979300753848879
156 0.297068809840877 3 12 "GO:0001047" "core promoter binding" 0.726526442552076
65 0.266270409275387 2 99 "GO:0001067" "regulatory region nucleic acid binding" 0.696293924315337
116 0.22284057864325 -1 45 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.669417577356439
3 0.495028838740255 4 17 "GO:0001085" "RNA polymerase II transcription factor binding" 0.979300753848879
66 0.400626555920381 7 15 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.868891361541606
44 0.438620257139592 -1 13 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.90805268110304
439 0.085713907859049 4 10 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.431418151339671
-92 0.671643363167312 2 24 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.999996745843597
623 0.026203318032703 3 10 "GO:0001530" "lipopolysaccharide binding" 0.221511149683746
-525 0.980625120413216 3 16 "GO:0001653;GO:0008528" "peptide receptor activity" 0.999996745843597
-107 0.711631610956087 2 28 "GO:0001664" "G protein-coupled receptor binding" 0.999996745843597
-1 0.50445121469141 2 266 "GO:0001882" "nucleoside binding" 0.979300753848879
-3 0.519937918857071 3 265 "GO:0001883" "purine nucleoside binding" 0.993398554504688
297 0.13704381228548 2 14 "GO:0002039" "p53 binding" 0.510885961793162
-33 0.714545707778745 3 341 "GO:0003677" "DNA binding" 0.999996745843597
-151 0.76151505780046 2 23 "GO:0003678" "DNA helicase activity" 0.999996745843597
107 0.129202082855533 2 118 "GO:0003682" "chromatin binding" 0.510885961793162
-74 0.610861649124001 2 15 "GO:0003684" "damaged DNA binding" 0.999996745843597
60 0.281741367103982 2 97 "GO:0003690" "double-stranded DNA binding" 0.712891034944924
465 0.0125965575469959 2 24 "GO:0003697" "single-stranded DNA binding" 0.16181731618064
-37 0.695321955498219 2 211 "GO:0003700" "DNA-binding transcription factor activity" 0.999996745843597
133 0.0489920706105509 2 166 "GO:0003712" "transcription coregulator activity" 0.310696549061848
73 0.240460078786884 2 98 "GO:0003713" "transcription coactivator activity" 0.688402854127022
229 0.041477037598157 2 60 "GO:0003714" "transcription corepressor activity" 0.273420997851009
397 3.92433387253288e-11 2 303 "GO:0003723" "RNA binding" 9.83045635069486e-09
-99 0.734854324279067 2 42 "GO:0003724" "RNA helicase activity" 0.999996745843597
241 0.187675984087024 2 14 "GO:0003725" "double-stranded RNA binding" 0.613293831561891
426 0.00812332140423983 3 33 "GO:0003727" "single-stranded RNA binding" 0.116279543529262
309 0.000388307454488008 2 126 "GO:0003729" "mRNA binding" 0.0194542034698492
89 0.340704417530813 2 22 "GO:0003730" "mRNA 3'-UTR binding" 0.790244968439525
753 1.36397652139552e-12 2 91 "GO:0003735" "structural constituent of ribosome" 6.83352237219155e-10
634 0.000177264529114018 2 33 "GO:0003743" "translation initiation factor activity" 0.0111011911357654
-152 0.758423549425965 2 22 "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 0.999996745843597
-169 0.753971912617982 3 17 "GO:0003756;GO:0016864;GO:0016862" "protein disulfide isomerase activity" 0.999996745843597
-302 0.967876315217558 2 39 "GO:0003774" "motor activity" 0.999996745843597
-369 0.972407079141863 3 28 "GO:0003777" "microtubule motor activity" 0.999996745843597
241 0.0182311294728932 4 79 "GO:0003779" "actin binding" 0.200847879787083
8 0.489076667236892 2 11 "GO:0003823" "antigen binding" 0.979300753848879
113 0.313919937641079 2 19 "GO:0003887" "DNA-directed DNA polymerase activity" 0.74892327980086
579 0.0357873717230752 5 10 "GO:0003896" "DNA primase activity" 0.263094864642464
35 0.425490074433219 2 30 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.895674484416146
154 0.064412595531904 2 103 "GO:0003924" "GTPase activity" 0.354623190785537
366 0.0750729044352108 4 16 "GO:0003954;GO:0008137;GO:0050136" "NADH dehydrogenase activity" 0.391786720021256
-16 0.523368749712465 2 13 "GO:0004003" "ATP-dependent DNA helicase activity" 0.993398554504688
-57 0.637566722299427 2 40 "GO:0004004" "ATP-dependent RNA helicase activity" 0.999996745843597
124 0.06827520303407 2 154 "GO:0004175" "endopeptidase activity" 0.367805126022248
197 0.149151079842214 6 29 "GO:0004177" "aminopeptidase activity" 0.540399547700403
134 0.287562072378964 4 18 "GO:0004180" "carboxypeptidase activity" 0.720342991309305
150 0.202442020746614 3 32 "GO:0004197" "cysteine-type endopeptidase activity" 0.637883348390274
-114 0.639193889296255 -1 10 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.999996745843597
61 0.331167489111547 4 53 "GO:0004222" "metalloendopeptidase activity" 0.775303327312547
