"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
246 0.124951514896884 5 11 "GO:0000049" "tRNA binding" 0.506452416762902
48 0.414478828729952 3 10 "GO:0000149" "SNARE binding" 0.945607387701268
-70 0.9220739312406 2 227 "GO:0000166" "nucleotide binding" 0.999999999751672
-105 0.786339427186611 2 29 "GO:0000287" "magnesium ion binding" 0.999999999751672
431 1.4346465623282e-05 6 48 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.00136650085061761
406 0.000155354098053578 2 40 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.00624459638263099
425 0.00445628664518812 3 19 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.0514498549035356
262 0.00208307096775316 2 61 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.0305250014889982
430 0.00274279094573019 2 21 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.0373215482258287
185 0.00230160616876894 -1 123 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.0324782203815173
195 0.00150252341173303 -1 121 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.0248896269508819
345 0.000850028991885336 3 42 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.0179920889863741
284 0.000389073828346089 4 72 "GO:0001067" "regulatory region nucleic acid binding" 0.00988247523999066
230 0.0193528416082345 -1 41 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.16757801483494
345 0.0296691389074073 2 15 "GO:0001085" "RNA polymerase II transcription factor binding" 0.223007514167281
497 0.0132607248915153 6 10 "GO:0001158;GO:0035326" "enhancer binding" 0.126308404591683
319 0.0524550775070898 -1 13 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.299196412404827
428 0.00638983451289405 2 17 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.0676257485947954
274 0.11009680468688 2 10 "GO:0001530" "lipopolysaccharide binding" 0.472230561521056
-126 0.787417904277852 4 20 "GO:0001664" "G protein-coupled receptor binding" 0.999999999751672
2 0.484741009736545 4 174 "GO:0001882;GO:0001883" "purine nucleoside binding" 0.999999999751672
100 0.0173101716421927 4 250 "GO:0003677" "DNA binding" 0.160857936479888
-57 0.745878404720093 2 69 "GO:0003682" "chromatin binding" 0.999999999751672
310 7.48019546844562e-05 2 77 "GO:0003690" "double-stranded DNA binding" 0.00375919841195036
183 0.167008800084638 2 14 "GO:0003697" "single-stranded DNA binding" 0.604104935813119
125 0.019187706184516 2 146 "GO:0003700" "DNA-binding transcription factor activity" 0.16757801483494
178 0.00469842820879502 2 111 "GO:0003712" "transcription coregulator activity" 0.0526500337514971
267 0.00132119651182303 2 65 "GO:0003713" "transcription coactivator activity" 0.0239702795716464
78 0.233843844483479 2 44 "GO:0003714" "transcription corepressor activity" 0.68045468769609
332 1.01404112496117e-10 4 199 "GO:0003723" "RNA binding" 1.28783222870069e-08
-314 0.969983609172582 2 18 "GO:0003724" "RNA helicase activity" 0.999999999751672
-35 0.584570897879274 5 19 "GO:0003727" "single-stranded RNA binding" 0.999999999751672
124 0.0621966136142693 2 79 "GO:0003729" "mRNA binding" 0.333759292775163
328 0.0363189995225018 6 15 "GO:0003730" "mRNA 3'-UTR binding" 0.251591614874058
785 3.7819039499685e-25 2 89 "GO:0003735" "structural constituent of ribosome" 1.440905404938e-22
63 0.334413585566043 5 23 "GO:0003743" "translation initiation factor activity" 0.826201487492328
232 0.071400873360918 2 20 "GO:0003755" "peptidyl-prolyl cis-trans isomerase activity" 0.359580101408786
207 0.156188350988841 4 12 "GO:0003756;GO:0016864;GO:0016862" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.589185759670776
-164 0.875741334636564 2 25 "GO:0003774" "motor activity" 0.999999999751672
-260 0.949692633980337 8 20 "GO:0003777" "microtubule motor activity" 0.999999999751672
155 0.0518332466071518 2 56 "GO:0003779" "actin binding" 0.299196412404827
-125 0.712166889603811 3 10 "GO:0003887" "DNA-directed DNA polymerase activity" 0.999999999751672
-101 0.703386684267435 3 14 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.999999999751672
63 0.214742837711871 4 81 "GO:0003924" "GTPase activity" 0.659346112810649
546 0.00380466297796736 4 12 "GO:0003954;GO:0008137;GO:0050136" "NADH dehydrogenase (quinone) activity" 0.0467605353098569
-389 0.988105158792608 2 17 "GO:0004004;GO:0008186" "ATP-dependent RNA helicase activity" 0.999999999751672
91 0.0912391320385525 2 112 "GO:0004175" "endopeptidase activity" 0.429427036729631
-273 0.908890355599449 3 12 "GO:0004177" "aminopeptidase activity" 0.999999999751672
-49 0.612440953892629 2 17 "GO:0004180" "carboxypeptidase activity" 0.999999999751672
-22 0.561731990303296 2 26 "GO:0004197" "cysteine-type endopeptidase activity" 0.999999999751672
-377 0.954093309062332 -1 10 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.999999999751672
-171 0.930577301801466 2 38 "GO:0004222" "metalloendopeptidase activity" 0.999999999751672
103 0.244168450157898 3 23 "GO:0004252" "serine-type endopeptidase activity" 0.691227376055705
-38 0.567249573276232 3 10 "GO:0004322;GO:0016724;GO:0016722" "oxidoreductase activity, oxidizing metal ions, oxygen as acceptor" 0.999999999751672
-318 0.988755073368821 7 26 "GO:0004386" "helicase activity" 0.999999999751672
62 0.336467986082583 2 23 "GO:0004497" "monooxygenase activity" 0.826201487492328
-396 0.99930917323445 4 33 "GO:0004518" "nuclease activity" 0.999999999751672
-267 0.949886024344348 2 19 "GO:0004519" "endonuclease activity" 0.999999999751672
-658 0.999743869478328 2 14 "GO:0004527" "exonuclease activity" 0.999999999751672
-591 0.998695012164712 2 13 "GO:0004536" "deoxyribonuclease activity" 0.999999999751672
-278 0.941867597201817 3 16 "GO:0004540" "ribonuclease activity" 0.999999999751672
-98 0.75944011551054 2 26 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.999999999751672
85 0.309738497132348 3 17 "GO:0004601;GO:0016684" "peroxidase activity" 0.804663392354546
-160 0.849064847426268 2 21 "GO:0004620" "phospholipase activity" 0.999999999751672
-194 0.828530646896118 5 12 "GO:0004623" "phospholipase A2 activity" 0.999999999751672
145 0.248551576167012 2 11 "GO:0004656;GO:0019798" "procollagen-proline 4-dioxygenase activity" 0.691227376055705
-255 0.999816597874192 2 102 "GO:0004672" "protein kinase activity" 0.999999999751672
-189 0.985197821800861 4 68 "GO:0004674" "protein serine/threonine kinase activity" 0.999999999751672
-416 0.979158958678445 -1 12 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0.999999999751672
-350 0.99691670821491 4 31 "GO:0004713" "protein tyrosine kinase activity" 0.999999999751672
-405 0.993609930427369 4 19 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity" 0.999999999751672
-171 0.92508734477191 3 36 "GO:0004721" "phosphoprotein phosphatase activity" 0.999999999751672
-142 0.802802847297665 2 18 "GO:0004722" "protein serine/threonine phosphatase activity" 0.999999999751672
65 0.365840238016484 3 14 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.865746153318512
