"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
530 0.239301444697098 2 14 "GO:0000030" "mannosyltransferase activity" 0.471804552897119
-241 0.484270313949288 4 24 "GO:0000049" "tRNA binding" 0.684487979390643
1320 0.00124361817944902 3 17 "GO:0000062" "fatty-acyl-CoA binding" 0.0134854846334003
826 0.0894687745029225 4 12 "GO:0000146" "microfilament motor activity" 0.255813758717555
-131 0.709691879936047 3 23 "GO:0000149" "SNARE binding" 0.853259055114367
158 0.0392791596911865 3 532 "GO:0000166" "nucleotide binding" 0.149778773767491
-518 0.249807773400955 6 14 "GO:0000175" "3'-5'-exoribonuclease activity" 0.486751013860347
-894 0.0932535144335819 2 10 "GO:0000217" "DNA secondary structure binding" 0.263081052914251
64 0.751730078672575 2 71 "GO:0000287" "magnesium ion binding" 0.882742258204344
349 0.512122028830964 2 10 "GO:0000339" "RNA cap binding" 0.702396616617963
316 0.553620453027437 3 10 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.737452196547104
-296 0.103291499189446 5 87 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.281114903676375
-398 0.0560631743207778 2 66 "GO:0000977" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.185275442755332
-658 0.021113270883861 3 35 "GO:0000978" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.104661499952854
-244 0.574708972135918 2 15 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.756200090499966
-462 0.00241924217308532 2 125 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.0220911303433708
-639 0.0197053672097822 2 38 "GO:0000987" "proximal promoter sequence-specific DNA binding" 0.0983850708171859
-15 0.889393415081025 -1 264 "GO:0000988" "obsolete transcription factor activity, protein binding" 0.956688823531771
-24 0.824704680370143 -1 261 "GO:0000989" "obsolete transcription factor activity, transcription factor binding" 0.921650641186601
-497 0.0133901881141684 3 71 "GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.0823229276211665
-451 0.243421331590236 2 19 "GO:0001047" "core promoter binding" 0.47856771706409
-277 0.0413908995783751 2 158 "GO:0001067" "regulatory region nucleic acid binding" 0.15411460761192
-188 0.358734584398078 -1 68 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.591988402358863
-94 0.785462189764471 2 24 "GO:0001085" "RNA polymerase II transcription factor binding" 0.901451505333966
23 0.964024738003753 3 11 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.98775483228685
-491 0.182389754411267 5 21 "GO:0001158;GO:0035326" "enhancer binding" 0.405700287055831
106 0.779591920371804 -1 20 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.898244057765021
-176 0.69550393212687 -1 14 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.852474233367746
-1661 0.000134418935528126 4 15 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.00259129836823665
-417 0.143936400881139 2 35 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.350537740575446
983 0.0529058798575057 2 11 "GO:0001530" "lipopolysaccharide binding" 0.177375268701009
267 0.385481108727978 3 30 "GO:0001653;GO:0008528" "peptide receptor activity" 0.617838081887337
-363 0.14940178113552 2 45 "GO:0001664" "G protein-coupled receptor binding" 0.355166804188945
-683 0.178873853771224 2 11 "GO:0001786" "phosphatidylserine binding" 0.399159017740288
157 0.0689361822385746 2 407 "GO:0001882" "nucleoside binding" 0.210381495714574
164 0.0584117401831879 3 405 "GO:0001883" "purine nucleoside binding" 0.190318064258838
-42 0.921490985783736 3 16 "GO:0002039" "p53 binding" 0.970644009904066
-302 3.97816302835902e-05 3 582 "GO:0003677" "DNA binding" 0.00115035214236715
-274 0.271053775284985 2 46 "GO:0003678" "DNA helicase activity" 0.509786775197235
-526 2.33117274416715e-05 2 189 "GO:0003682" "chromatin binding" 0.000735379038387274
-557 0.0662833014682594 2 31 "GO:0003684" "damaged DNA binding" 0.205359871513268
