"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-329 0.919305607106579 3 14 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 0.999998474153906
-66 0.598177914274252 3 11 "GO:0000149" "SNARE binding" 0.863822419335342
41 0.231111649738217 3 268 "GO:0000166" "nucleotide binding" 0.614852021111206
-574 0.980659882009516 4 10 "GO:0000175" "3'-5'-exoribonuclease activity" 0.999998474153906
323 0.0191248168352001 3 32 "GO:0000287" "magnesium ion binding" 0.201032958360708
525 4.90674362658594e-05 3 43 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.00739282706405615
437 0.00291213825260683 2 31 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.069278236325173
406 0.0480323655011674 8 13 "GO:0000978;GO:0000987" "RNA polymerase II proximal promoter sequence-specific DNA binding" 0.324039241888473
154 0.0860878474460011 2 62 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.389117070455925
12 0.432228139544254 -1 158 "GO:0000988;GO:0000989" "obsolete transcription factor activity, protein binding" 0.758584828429849
436 0.058296972087391 6 10 "GO:0001047" "core promoter binding" 0.349948679758996
329 0.00053349041426208 2 78 "GO:0001067" "regulatory region nucleic acid binding" 0.0245550126504482
-40 0.606418287929801 -1 36 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.864672132947224
-193 0.786337435111057 4 13 "GO:0001085" "RNA polymerase II transcription factor binding" 0.972736205218289
325 0.121397063177701 -1 10 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.446109532978218
-5 0.506868807274927 -1 11 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 0.803876143467603
-25 0.546026155301878 2 17 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.832585210251203
11 0.481669933724733 3 14 "GO:0001653;GO:0008528" "peptide receptor activity" 0.785974043478626
43 0.410119306806039 2 22 "GO:0001664" "G protein-coupled receptor binding" 0.749703296229705
83 0.0984277641936355 2 199 "GO:0001882;GO:0001883" "nucleoside binding" 0.398001583710426
7 0.49042062204844 3 10 "GO:0002039" "p53 binding" 0.79039759648647
44 0.20737466399887 2 295 "GO:0003677" "DNA binding" 0.598675704763818
67 0.345388659862927 6 27 "GO:0003678" "DNA helicase activity" 0.699861997732437
24 0.392468542889212 2 107 "GO:0003682" "chromatin binding" 0.736082080439518
-258 0.855345147247416 3 13 "GO:0003684" "damaged DNA binding" 0.999998474153906
322 0.000450248320334114 5 84 "GO:0003690" "double-stranded DNA binding" 0.0245550126504482
-301 0.914498119913182 3 16 "GO:0003697" "single-stranded DNA binding" 0.999998474153906
98 0.0735532168749185 2 180 "GO:0003700" "DNA-binding transcription factor activity" 0.370837276550564
6 0.469162380913456 2 151 "GO:0003712" "transcription coregulator activity" 0.782514377021705
22 0.409797011528009 2 87 "GO:0003713" "transcription coactivator activity" 0.749703296229705
-104 0.814774528677309 2 58 "GO:0003714" "transcription corepressor activity" 0.995346180978767
-206 0.9997612804904 2 239 "GO:0003723" "RNA binding" 0.999998474153906
120 0.177815762880455 2 46 "GO:0003724" "RNA helicase activity" 0.543058951499768
-16 0.531417515196985 3 18 "GO:0003725" "double-stranded RNA binding" 0.825167257251411
-257 0.931887205629135 3 26 "GO:0003727" "single-stranded RNA binding" 0.999998474153906
-294 0.999582436472718 3 103 "GO:0003729" "mRNA binding" 0.999998474153906
-195 0.845379520559659 6 21 "GO:0003730" "mRNA 3'-UTR binding" 0.999998474153906
-677 0.999998474153906 2 37 "GO:0003735" "structural constituent of ribosome" 0.999998474153906
-80 0.674599548367795 5 25 "GO:0003743" "translation initiation factor activity" 0.910205957797741
-368 0.907254067456474 3 10 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.999998474153906
396 0.000364091882847888 2 57 "GO:0003774" "motor activity" 0.0245550126504482
408 0.00097146766029813 4 45 "GO:0003777" "microtubule motor activity" 0.0325171249875973
18 0.43002699968586 4 74 "GO:0003779" "actin binding" 0.758584828429849
-431 0.961431138559903 5 13 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.999998474153906
-14 0.550398088451954 2 61 "GO:0003924" "GTPase activity" 0.834831999933836
79 0.348311059141084 2 19 "GO:0004003" "ATP-dependent DNA helicase activity" 0.699861997732437
108 0.209271595913016 2 44 "GO:0004004;GO:0008186" "ATP-dependent RNA helicase activity" 0.598675704763818
4 0.477689037981435 2 131 "GO:0004175" "endopeptidase activity" 0.785331857133089
286 0.129809879807646 2 12 "GO:0004177" "aminopeptidase activity" 0.451139664426848
125 0.318786322861459 2 11 "GO:0004180" "carboxypeptidase activity" 0.689432621690811
58 0.362317936879182 2 29 "GO:0004197" "cysteine-type endopeptidase activity" 0.699861997732437
40 0.424895441729135 -1 17 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 0.758584828429849
-81 0.738952906291643 2 49 "GO:0004222" "metalloendopeptidase activity" 0.962555370731477
20 0.455029089891515 4 24 "GO:0004252" "serine-type endopeptidase activity" 0.773207325680319
66 0.265896581101946 3 71 "GO:0004386" "helicase activity" 0.653180731837389
517 0.000543252492266554 3 31 "GO:0004497" "monooxygenase activity" 0.0245550126504482
1315 1.10234095667137e-06 2 10 "GO:0004500" "dopamine beta-monooxygenase activity" 0.000498258112415459
-351 0.995805452986243 4 44 "GO:0004518" "nuclease activity" 0.999998474153906
-318 0.961514778139892 5 24 "GO:0004519" "endonuclease activity" 0.999998474153906
-353 0.945913703828528 2 16 "GO:0004521" "endoribonuclease activity" 0.999998474153906
-416 0.980307527659371 5 19 "GO:0004527" "exonuclease activity" 0.999998474153906
-380 0.93288304398677 2 12 "GO:0004532" "exoribonuclease activity" 0.999998474153906
-333 0.913940023009188 3 13 "GO:0004536" "deoxyribonuclease activity" 0.999998474153906
-383 0.990433643683655 3 29 "GO:0004540" "ribonuclease activity" 0.999998474153906
-82 0.649627945002734 4 17 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.90778954560202
-224 0.860368062698966 5 18 "GO:0004620" "phospholipase activity" 0.999998474153906
101 0.0556449561573409 2 204 "GO:0004672" "protein kinase activity" 0.339885407879974
18 0.411341631559661 3 128 "GO:0004674" "protein serine/threonine kinase activity" 0.749703296229705
-198 0.853830414114587 -1 22 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0.999998474153906
-383 0.934580692889555 3 12 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.999998474153906
171 0.0689997623353979 3 59 "GO:0004713" "protein tyrosine kinase activity" 0.370389524668676
228 0.0456394630427778 4 43 "GO:0004714" "transmembrane receptor protein tyrosine kinase activity" 0.322726043099239
19 0.437194792232144 3 55 "GO:0004721" "phosphoprotein phosphatase activity" 0.762980872930228
12 0.474524662493865 2 24 "GO:0004722" "protein serine/threonine phosphatase activity" 0.785331857133089
-284 0.943186204306015 2 24 "GO:0004725" "protein tyrosine phosphatase activity" 0.999998474153906
-132 0.699111868173748 3 12 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.940471917900399
-66 0.760123931669782 3 91 "GO:0004842" "ubiquitin-protein transferase activity" 0.970436618539726
-140 0.767066941438376 3 21 "GO:0004843;GO:0036459;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.970445229971058
3 0.491375496930748 2 47 "GO:0004857" "enzyme inhibitor activity" 0.79039759648647
-337 0.916547624452214 5 13 "GO:0004860" "protein kinase inhibitor activity" 0.999998474153906
565 0.0102258489835903 2 13 "GO:0004866;GO:0030414" "endopeptidase inhibitor activity" 0.156995026057593
97 0.0456957229167064 -1 253 "GO:0004871" "obsolete signal transducer activity" 0.322726043099239
151 0.0146248000746292 3 169 "GO:0004888" "transmembrane signaling receptor activity" 0.183973561135151
92 0.232288240091619 2 49 "GO:0004930" "G protein-coupled receptor activity" 0.614852021111206
-47 0.626631076281311 -1 36 "GO:0005057" "obsolete signal transducer activity, downstream of receptor" 0.885116395247352
135 0.276149193627049 4 15 "GO:0005070" "SH3/SH2 adaptor activity" 0.656944397470664
25 0.451573552332994 2 18 "GO:0005080" "protein kinase C binding" 0.772620088660912
204 0.0411725930642391 4 57 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.310166867750601
174 0.098619861450371 2 43 "GO:0005088" "Ras guanyl-nucleotide exchange factor activity" 0.398001583710426
213 0.108641617294983 3 26 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 0.416152635740104
73 0.267600636166414 4 56 "GO:0005096" "GTPase activator activity" 0.653208657992879
138 0.0171667046094864 3 192 "GO:0005102" "signaling receptor binding" 0.193983762087196
175 0.254909277098637 2 11 "GO:0005109" "frizzled binding" 0.64934380193047
37 0.432997534811728 4 16 "GO:0005126" "cytokine receptor binding" 0.758584828429849
267 0.167885183152854 2 10 "GO:0005172" "vascular endothelial growth factor receptor binding" 0.519754128665
60 0.36127789293043 2 27 "GO:0005178" "integrin binding" 0.699861997732437
-192 0.99118719520346 1 123 "GO:0005198" "structural molecule activity" 0.999998474153906
-33 0.569089784578632 2 22 "GO:0005200" "structural constituent of cytoskeleton" 0.837878119314468
195 0.160410133388072 2 20 "GO:0005201" "extracellular matrix structural constituent" 0.507030631408451
107 0.0704723431891729 3 152 "GO:0005216" "ion channel activity" 0.370389524668676
197 0.164461642632753 2 19 "GO:0005230" "extracellular ligand-gated ion channel activity" 0.516226822708364
580 0.0067916629009309 3 14 "GO:0005231" "excitatory extracellular ligand-gated ion channel activity" 0.139537801419126
-290 0.977079489506128 2 37 "GO:0005244;GO:0022832" "voltage-gated ion channel activity" 0.999998474153906
-409 0.946451587575635 2 12 "GO:0005249" "voltage-gated potassium channel activity" 0.999998474153906
-534 0.982398821653665 5 12 "GO:0005253" "anion channel activity" 0.999998474153906
-541 0.979497497235583 2 11 "GO:0005254" "chloride channel activity" 0.999998474153906
183 0.00900438443046706 4 135 "GO:0005261" "cation channel activity" 0.156537760098889
330 0.000513486048421143 2 78 "GO:0005262" "calcium channel activity" 0.0245550126504482
-439 0.987098663688133 2 20 "GO:0005267" "potassium channel activity" 0.999998474153906
-290 0.934493638922418 2 21 "GO:0005272" "sodium channel activity" 0.999998474153906
-114 0.67398688224138 5 12 "GO:0005283" "amino acid:sodium symporter activity" 0.910205957797741
110 0.346198913695365 2 10 "GO:0005310" "dicarboxylic acid transmembrane transporter activity" 0.699861997732437
-19 0.534898244191733 2 16 "GO:0005319" "lipid transporter activity" 0.825167257251411
38 0.423688053856946 2 20 "GO:0005326" "neurotransmitter transporter activity" 0.758584828429849
108 0.316726595403489 5 15 "GO:0005328" "neurotransmitter:sodium symporter activity" 0.68895639299876
140 0.124298747879414 3 53 "GO:0005342;GO:0046943" "organic acid transmembrane transporter activity" 0.451139664426848
94 0.339322755560162 3 15 "GO:0005343" "organic acid:sodium symporter activity" 0.699861997732437
-96 0.65257946385896 3 13 "GO:0005416" "amino acid:cation symporter activity" 0.90778954560202
-33 0.565953498408544 3 19 "GO:0005496" "steroid binding" 0.837878119314468
415 0.0226367629588782 6 18 "GO:0005506" "iron ion binding" 0.222430801248108
494 0.0147988073658041 6 15 "GO:0005507" "copper ion binding" 0.183973561135151
9 0.463407645860642 5 86 "GO:0005509" "calcium ion binding" 0.778662661446134
